month_day,east,north,up
01-01,-0.2588519966367853,0.09694412455318956,1.6086804594320108
01-02,-0.30423238489516335,-0.0807104721683018,1.355448485951054
01-03,-0.296570678259972,-0.029136436523025427,1.4014252067668915
01-04,-0.30255390187371894,-0.06078212215427713,1.3898782652744246
01-05,-0.30250855405889404,-0.11508495064267175,1.464083704734339
01-06,-0.2873060633869263,-0.22730682675011407,1.5813320013371102
01-07,-0.26119404890543513,-0.3207144171432708,1.6167707741303567
01-08,-0.38898180046278275,-0.5211238058851725,2.4381339555067063
01-09,-0.42032436473586987,-0.5847280995750326,2.550317783245008
01-10,-0.4298720572140854,-0.6642452137777131,2.555460585342284
01-11,-0.39179410866666,-0.7449725843906501,2.7155572335934077
01-12,-0.29176800142321485,-0.5815021865473682,2.1361485999924397
01-13,-0.15508187647314436,-0.4812703824631692,1.557278756622105
01-14,-0.2957764632905429,-0.6155554306049184,2.218492593780778
01-15,-0.16669279831437583,-0.49302220465471486,1.7342012956729964
01-16,-0.17076206343647968,-0.5027344138296381,1.858402927443954
01-17,-0.18075235419960925,-0.5267634972414357,2.108706439556791
01-18,-0.1650863714641499,-0.5846183892218939,2.347890609175436
01-19,-0.17480261095091223,-0.6270421700912413,2.5249814454607464
01-20,-0.17313662821545225,-0.6719281731828107,2.6749300595238354
01-21,-0.19268397881332602,-0.6549475096077132,2.725265340253591
01-22,-0.2872757738556438,-0.675660179365949,2.7561117320944573
01-23,-0.322098680009073,-0.6811284046797403,2.8654647906019903
01-24,-0.43097047505139147,-0.6775832966601985,2.845048960220635
01-25,-0.5332911589825989,-0.7012292997517678,2.8337842409503895
01-26,-0.6614918429138059,-0.7041064139544482,2.7230528550134783
01-27,-0.754794749067235,-0.7267790837126841,2.669059246854345
01-28,-0.8714843218873309,-0.7213184201375866,2.661923416472989
01-29,-0.9697694502629822,-0.751279978784712,2.5947920305360777
01-30,-1.0524234675275226,-0.7616415374318368,2.5766828668213884
01-31,-1.1398063736809518,-0.7636030960789614,2.5903559253289217
02-01,-1.1978559465010477,-0.7554313213927525,2.5177756505031215
02-02,-1.2756121859878098,-0.7146639911509887,2.4980931534550987
02-03,-1.3500484254745722,-0.7246788831314463,2.3478462119626324
02-04,-1.415955776072446,-0.7157559973341265,2.262754826025721
02-05,-1.478698682225875,-0.7412153337590291,2.1911434400888097
02-06,-1.508681588379304,-0.7292213368505986,2.2077809430407878
02-07,-1.568464494532733,-0.7397340066088345,2.1599562237705427
02-08,-1.5695051784639404,-0.7529000097004037,2.1398470600558537
02-09,-1.5810391957284804,-0.7090926794586397,2.35553345189672
02-10,-1.5956176574374652,-0.6899475714390976,2.503597621515364
02-11,-1.6116672302575616,-0.6720557967528894,2.6210129022451194
02-12,-1.593001247522102,-0.7139684665111251,2.7045526274193192
02-13,-1.6268419314533094,-0.7299611362693613,2.845705685926853
02-14,-1.6607048376067384,-0.7432026949164859,2.9474765222121637
02-15,-1.6798210770935007,-0.7973909202302774,3.027434025164141
02-16,-1.7044839832469305,-0.8298058122107357,3.1503648614494524
02-17,-1.705915778289249,-0.8696429264134162,3.1744601421792074
02-18,-1.6732764622204555,-0.8856711517272079,3.210915422908963
02-19,-1.6612371461516617,-0.8800904881521103,3.2902951480831617
02-20,-1.674500052305091,-0.867278713465902,3.4553904288129176
02-21,-1.68436295845852,-0.8922402721130267,3.4801390428760057
02-22,-1.67545697572306,-0.9344373863157073,3.493198768050206
02-23,-1.6588665485431555,-0.9889633894072766,3.534298493224406
02-24,-1.6080272324743627,-1.1035960591655125,3.2436559961763836
02-25,-1.579543471961125,-1.191424284479304,3.1192134991283615
02-26,-1.5413930447812205,-1.2171991764597623,2.972379890969228
02-27,-1.547789284267983,-1.2624274017735537,2.903977393921205
02-28,-1.5141633015325229,-1.2965889604206786,2.825157119095404
03-01,-1.4820396778055274,-1.3224939419083397,2.74953634486
03-02,-1.4606803617367348,-1.2809755005554644,2.5828271811453116
03-03,-1.4352810456679421,-1.3203770592025894,2.5606913507639555
03-04,-1.435663951821371,-1.3156186178497145,2.5584799648270438
03-05,-1.4295801913081334,-1.3119535098301722,2.594041912223466
03-06,-1.41318976412823,-1.351132846255075,2.490554970730999
03-07,-1.3851282258372144,-1.3909032937910886,2.4320458070163093
