month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.34022468738341843,0.026686351953448057,2.8353440028110266,2.2628633058218104,3.371926713701934,1.4021810751231345,0.9968604645715722,7.95955273794872,1.0686433451892998,1.7109602597524924
01-02,-0.35807809288562575,0.005418456754080053,2.847924710893738,2.269157744435786,3.375119751931885,1.4360927845410671,1.036464985202627,7.928554158358118,1.1315334399736998,1.7108732345098563
01-03,-0.39027379277892926,-0.041576592903915216,2.8661513122443476,2.2874092330888325,3.381207333257933,1.4815027703067105,1.08340348901086,7.960757616806802,1.1860983876890128,1.7226808019594375
01-04,-0.4238339371166772,-0.09307312404339192,2.8715260617431047,2.312082421922461,3.3857975558218807,1.5516279514315645,1.134418639120186,7.958408466991889,1.2285548780416575,1.7232557027797752
01-05,-0.45460519256553616,-0.1477852107384242,2.8839734038344544,2.3451231471456584,3.396038020180985,1.6175725988142444,1.2014246171483105,7.906803983272238,1.2851927380209247,1.710844948108991
01-06,-0.487683114681062,-0.1911306307667898,2.9374785237035823,2.3776802802539345,3.4122925122591514,1.671145875788068,1.2653453028464434,7.798016338102203,1.3301960942100512,1.6844190920620574
01-07,-0.518746221981773,-0.23324345820256287,3.0115177176467838,2.4168980784184453,3.437851834835758,1.718693101989808,1.3233610345261178,7.786268530844706,1.3839948963661635,1.6925191173951382
01-08,-0.5455908107639654,-0.27565998934203967,3.0952739486270224,2.4551314839255878,3.4648131448477337,1.780880247212701,1.4025026502195097,7.764079940583864,1.4567274549388813,1.6843218542967546
01-09,-0.5745665020976335,-0.2557488486941901,3.027473197286747,2.5145150456064367,3.4848891482307742,1.829328547308625,1.4751969290285456,7.757821904846306,1.5207615959340623,1.6808612136606618
01-10,-0.5966281662837507,-0.24056601709747816,2.9598609772942424,2.5640825718119813,3.504062556767739,1.8100084807260874,1.7311837170609539,7.713912936706989,1.5253429798690745,1.6338842426776485
