month_day,east,north,up,east_sd,north_sd,up_sd
01-01,0.42581451693986616,0.4075500927928029,0.7863287879612425,1.7605189562763965,1.0891852356505334,3.391062270110276
01-02,-0.16368787752593103,-0.0359432015248114,0.6009001376665386,1.6692960963799994,1.0584629653081306,3.378415045136517
01-03,0.4039949501426115,0.3395311575042925,0.8566974454686328,1.728259860890653,1.1619333206859608,3.653448255694264
01-04,0.4198116921722713,0.32941365589387933,0.8738419792408539,1.6491531572600597,1.2169117054363316,3.7167133606474985
01-05,0.3814284342019308,0.2929749421622539,0.8872410584676206,1.5758023243515598,1.2257389926247024,3.56578202295335
01-06,0.32748153986795403,0.2436635011579011,1.1073068043610539,1.498822678208638,1.257232088783217,3.4037432097796545
01-07,0.28555888795822043,0.19367327227475958,1.3614573987393355,1.4192459285781087,1.2676571009920425,3.3974564571941364
01-08,0.2630847208969713,0.188955770664346,1.2932322355418586,1.3575255318449313,1.2159085474750368,3.423275074415297
01-09,0.25029540232057085,0.14005039026605312,1.3645949511322615,1.2825269443095508,1.1848220280996569,3.503267814461357
01-10,0.20946365950174578,0.09638743411018376,1.3683758485408464,1.2074911246966387,1.1614491586147515,3.528107001935807
01-11,0.211037977288982,0.02654872037855761,1.3782840186767038,1.1944362141490243,1.1241417679872063,3.6122203695291004
01-12,0.19025471931864227,-0.03761726608034182,1.5071800676004399,1.215549788412841,1.108862675744499,3.490133830735826
01-13,0.2323623704392114,-0.10442567678166553,1.5813124801605392,1.1847896438957306,1.126383453806967,3.4585408166550953
01-14,0.3165488094385689,-0.12154317839207915,1.697705498781245,1.1647332494974285,1.1053797249537207,3.385128309428148
01-15,0.3936625211651993,-0.15341219515400878,1.7836560931595267,1.1959377380227754,1.0997124967317975,3.251761611708754
01-16,0.4834489601645562,-0.16172363615836272,1.68522486935599,1.3111530744290203,1.1345300793682673,3.275660508872508
01-17,0.5717505506790649,-0.18387144079907955,1.617072433431241,1.3764578063976232,1.0915017494874977,3.14464237186015
01-18,0.6675915351329675,-0.2411404575610094,1.5990472702337646,1.3896814720899375,1.0941648505185178,3.0302057341898347
01-19,0.7424082771626275,-0.24893068644415092,1.6108342282484096,1.429507019783969,1.0802227095217756,2.9260648964730467
01-20,0.7999765343438024,-0.2324784910848681,1.649463610505479,1.4798772491587888,1.0959023073990748,2.862566166602268
01-21,0.8617569127370985,-0.20220811390740315,1.5214869321564881,1.5493674423699302,1.0901443347460853,2.752179856599334
01-22,0.8862221396152434,-0.20257410036630089,1.402031465928709,1.624542440408272,1.0981227729687995,2.7584658053224906
01-23,0.9254994877055096,-0.3020128140979271,1.3573396360645666,1.7121216586419807,1.1129189363877487,2.6467006555372503
01-24,0.9585465327654724,-0.33150001267803825,1.2362659880186064,1.790713104339058,1.1211282921773253,2.495993460218181
01-25,0.998169335401193,-0.3382478173187545,1.2360468854271909,1.8870660851186507,1.1193662866668386,2.425499379044726
01-26,1.0375436531884288,-0.3093653189291686,1.06267626768426,1.9334626781609257,1.1503162190131075,2.381574858833956
01-27,1.0831785770362705,-0.30277372963049193,0.9077723166079963,1.9439939576043004,1.1601800750167595,2.4470531044600086
01-28,1.1170438039144155,-0.2810124433621181,0.7109592746226414,1.9382183743921038,1.1399843774890717,2.6471562110622595
01-29,1.0849029701864998,-0.27845115709374474,0.45299471748577136,1.8934347239655738,1.110403373869501,2.8372959141637164
01-30,1.044210621307069,-0.296326234461734,0.36737561489435594,1.85148527169516,1.0827188285705,2.987296269786948
01-31,1.006415242124608,-0.3071891906176025,0.23111408806051628,1.7933210507560164,1.0250072254114417,3.155289702958267
02-01,0.9489592568815407,-0.34403396495528954,0.21136771274182814,1.7704324621259744,1.052333256125589,3.5548358050485667
02-02,0.900230544365746,-0.4096605574747945,0.13875467075647324,1.765626429893367,1.0258941657229204,3.7460655709752255
02-03,0.8218654682135884,-0.44477199847914844,0.021438598468087863,1.7286863324842818,1.0211603735061472,3.7701830383116843
02-04,0.7919731193341583,-0.4949561667562296,-0.3380108071536304,1.7290953195449255,1.0521422118496353,3.804485509117758
02-05,0.7602504674244247,-0.5462979107908863,-0.4340844551995915,1.7396942704695593,1.0789383445196574,3.9753346462794887
02-06,0.7332853912722666,-0.5613426851285734,-0.5502974971849462,1.7564435092025108,1.0723938907791988,3.94508496031673
02-07,0.7379445575443508,-0.5367995806783811,-0.597680236139998,1.7347783598895192,1.0738542365502752,3.9874439329255185
