month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.400192690813881,0.2837976402301665,1.2906576676854127,1.9729165855459874,2.81140152506751,1.4205373902663674,0.9751168120333426,3.1691509291688327,0.7555330630905426,0.33972130133708994
01-02,0.3896616173842666,0.282749849020919,1.311984530531119,1.9674843066762715,2.803545627145814,1.4289001763443459,0.9770000308894214,3.1927933917886486,0.7605246874846696,0.3713715550848763
01-03,0.38032109951020776,0.2762123355894491,1.32697833782127,1.9655880763310567,2.7937944124464833,1.4363051899069155,0.9876252511254757,3.0959111341853847,0.770765194854545,0.3720282539494869
01-04,0.36233450820653457,0.269420364282065,1.374399007957127,1.965234986151804,2.7839966649480816,1.4506074900574641,0.9816468786681096,3.0067505975770423,0.7752603438391888,0.37852083407673204
01-05,0.3515179169028613,0.2629850596413476,1.4211830114263178,1.969448269558073,2.781749043724269,1.4824739535877007,0.9947250364456685,2.9620501714760987,0.7731820371686609,0.38210602693497325
01-06,0.3539421589325215,0.26168392166729687,1.4724711815621752,1.9826203696812923,2.7848856248802725,1.4874465560393437,1.0319094255884007,2.9937227421117374,0.778340770553491,0.3580468362418618
01-07,0.37202973429551506,0.2619902836932462,1.5405751850313654,2.0080171588781677,2.794737127107977,1.502256457339623,1.0297368006330507,2.9576320793161517,0.7806673504753506,0.35543358038308864
01-08,0.40627897632517523,0.2573441457191955,1.5956125218338895,2.042205520519993,2.8036776147002627,1.532861200378211,1.0363665577491932,2.9220800545334336,0.7927751713641331,0.37735770243997585
01-09,0.4486557183548354,0.24577967441181145,1.6352823586364134,2.0798704977502576,2.8035676451285427,1.5598876567459883,1.049948730037468,2.810181492335334,0.7863025570323096,0.36106679420177623
01-10,0.4966275227902917,0.2238777211935618,1.6645810602262674,2.120406471405239,2.8074759836436636,1.5841706942248341,1.055570119939215,2.7221967813328924,0.7885875932496113,0.34278181899541343
01-11,0.5431419520373404,0.2020074708202475,1.6739274913907822,2.1494349551608094,2.8114386508295928,1.5881040339539692,1.0565140662552281,2.6872413103936674,0.7672148894565567,0.33562260445870085
01-12,0.5793648394293149,0.17981892329186838,1.6855124854632901,2.168101681113969,2.8086692477772672,1.5559831100762562,1.0616416817546954,2.6701022229035716,0.7245711151179262,0.34820960718630184
01-13,0.6019420182995485,0.16004124527509123,1.713887709110459,2.180266604727017,2.806686669580337,1.5533802260651797,1.0873549747815232,2.5427107013503902,0.7208653944878436,0.3483770415807128
01-14,0.6084234262422451,0.1382535853474483,1.7405101308782909,2.183204101695851,2.801693534772113,1.551315429079588,1.1092291324162704,2.474268884191787,0.7152896088264344,0.334638855170644
01-15,0.6040748341849417,0.1089792587531387,1.7669033859794565,2.185043967016386,2.79696672609271,1.5563023553243365,1.1073478132368102,2.5442256801554564,0.702842852344508,0.3330283844543655
01-16,0.5956037421276384,0.075049932158829,1.766506641080622,2.1824038309271843,2.7919985625537254,1.567637298383426,1.091747971107942,2.4798676666282935,0.7052942557451843,0.33124147183167607
01-17,0.5867155043312056,0.039048920808718274,1.7487043647277905,2.1781474875941242,2.7841856897924666,1.5689575465920678,1.0606571412019365,2.41817025151271,0.6977708114162018,0.31206383332927046
01-18,0.5847388083898469,0.004855373280339026,1.7050276921336323,2.176374814474696,2.772473552763106,1.5753893753084465,1.0495104430160707,2.4368476564537214,0.6913849133504731,0.29409308481230795
01-19,0.585581987636896,-0.02380571042630882,1.6526324566314798,2.1745793490995045,2.7561994590951824,1.5877427109634323,1.0638398344159055,2.5412093110729197,0.6878289185864929,0.30787762153861
01-20,0.5990208754056856,-0.04710266364455848,1.6034303248880006,2.1748040994925395,2.7455551369956,1.5935964692280482,1.0594050895760005,2.5629167754873885,0.6842668644053568,0.3115125943727088
01-21,0.6207176174353457,-0.06417630161860906,1.5494093283571913,2.1687543376997307,2.7369476150585035,1.578378922665325,1.05593310471131,2.611065392077863,0.670068502376362,0.30739948443778314
01-22,0.6409268594650059,-0.08152743959265962,1.5297749984930484,2.1619984639289833,2.729704733841769,1.5512933742680697,1.0351027425815806,2.6019907315893827,0.6355827185641695,0.3103093884876166
01-23,0.6641569348279994,-0.0924860775667101,1.4979698352955726,2.1593703983051187,2.724713586687579,1.5489259800273787,1.0313409643279035,2.4702198779415783,0.6140267209653316,0.31970418133657486
01-24,0.682234510190993,-0.10606971554076053,1.474248838764763,2.162878283595756,2.7253816088058223,1.5691911265846503,1.0151596922143353,2.473175157266922,0.5894507752444917,0.29124413409559663
01-25,0.7033512522206531,-0.13346002018147768,1.4515603422339536,2.1805130564571615,2.7271938384361,1.5848878244804596,1.007008089370324,2.5535266895322914,0.5912790525612809,0.28952788453327627
01-26,0.7238929942503132,-0.1603444914888616,1.4090326790364776,2.1967362743584977,2.7281139702237693,1.5950941221198314,0.9891835893485722,2.564459104606368,0.5940751017641486,0.30294468711289585
01-27,0.74625390294664,-0.18954396279624558,1.3513883491723346,2.2147256009525282,2.735298642912302,1.6017171128896148,0.973372489323212,2.5107354119562144,0.571917455721632,0.3088741440540431
01-28,0.7716939783096335,-0.21211843410362954,1.2767465193081922,2.232873877144483,2.7356705193744846,1.638051439361949,0.967968571035905,2.5649525243642857,0.5911729383966497,0.30976378586340475
01-29,0.792354053672627,-0.22052123874434665,1.1796105227773825,2.2510418033491746,2.7364539111909276,1.6839161678823542,0.9444650713159828,2.620073178545207,0.596986085856491,0.31110986220480075
01-30,0.8211441290356205,-0.231024876718397,1.0845720262465732,2.2712702550132207,2.7339852813779784,1.7182857045111681,0.9279332755390874,2.6210506490385668,0.5979782378318066,0.3097039173131374
