month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.6262041114784346,-0.3343664662193506,0.8646145728783303,0.6382958387301791,0.4273199720618284,4.115476432882077
01-02,-0.508995859034515,-0.386047134721957,1.0978164571966533,0.7117011886919592,0.40254783297559693,4.29216807259761
01-03,-0.6165922417155894,-0.41744659623557046,0.9781069978433375,0.6623972987948313,0.4527604655814317,4.1967366111701985
01-04,-0.6248319407205126,-0.4724151563566034,0.9007850684371143,0.6953089588648592,0.4611608518633461,4.333762452835963
01-05,-0.6049625488163453,-0.48561401950793925,0.9629419269096796,0.729060159687996,0.49136820526949004,4.368640054571752
01-06,-0.5803901266091468,-0.5083704584168515,0.9898563611398198,0.7255709968289382,0.5278503306491394,4.423034600960868
01-07,-0.5525934619777066,-0.534932957931824,1.0108677650669293,0.7482486397443412,0.5592522507953915,4.429278100507809
01-08,-0.5584513428008121,-0.5603984877498266,0.9068973508122202,0.7610643837724205,0.6015645284287126,4.453169290587223
01-09,-0.570145587260281,-0.5936215933254051,0.806320875951451,0.7786046858458077,0.6492580827114881,4.577359716184495
01-10,-0.5928580135379314,-0.5769659110221957,0.667853491999773,0.7597102312266616,0.7241338160946991,4.596252103242077
01-11,-0.570576500421642,-0.5998738650826234,0.665998229260217,0.721571169047505,0.6637329424731182,4.6392050394884
01-12,-0.5575677145780815,-0.6342787888400203,0.7853914513691452,0.6710189012585921,0.6375779025112062,4.523465125588469
01-13,-0.5208437772193686,-0.6688049247186291,0.8007119462053462,0.6751430290598947,0.6580179216019001,4.528755642578196
01-14,-0.4768592338000497,-0.6434462121123894,0.8204081986173044,0.6521208720093565,0.6316975461855866,4.475592234153611
01-15,-0.42528681159285225,-0.6263784085970592,0.8883953601201707,0.6389360886835375,0.6302666494895031,4.436629028236593
01-16,-0.398526510597776,-0.5868863626574864,0.9345097943503103,0.629278237672784,0.6605191682224965,4.4012505348973
01-17,-0.3838086338451234,-0.5495397712633684,0.9490666528228751,0.6315108100000631,0.6467654982029748,4.372436648348027
01-18,-0.33158772678944026,-0.5486901495662194,1.0696780567499855,0.6371247303417881,0.6639157387601753,4.363336641779206
01-19,-0.3184880318549699,-0.5339193157478586,1.0794530970407321,0.6186612969697491,0.6899900268597071,4.307419654965106
01-20,-0.3357277308598938,-0.536245451626468,1.003082682786023,0.6371346531659715,0.6813919672708668,4.228879817987328
01-21,-0.3521553086526963,-0.49134128447477415,1.1108637836828292,0.6393170376973334,0.6723855466883982,4.166806716435894
01-22,-0.3691707652333775,-0.47612802641398927,1.1115721573069084,0.6681663410640304,0.6637854085151343,4.12909308102698
01-23,-0.32135591878375475,-0.4735996168380524,1.1636684097188672,0.68581316390597,0.6571420467114967,4.169135333171175
01-24,-0.3012986480917081,-0.4564772678681765,1.183019207585371,0.6944380286732799,0.6789130728213936,4.152589974083209
01-25,-0.3145504683087526,-0.503306434049816,1.109788187270057,0.7065927395742839,0.7179200125376124,3.992113754187727
01-26,-0.32207501579852454,-0.4823113578072126,1.1373571669547429,0.6880087653261955,0.7804702944985021,3.9120879016147856
01-27,-0.3323328966216294,-0.47442537247370037,0.9993140254273072,0.7137233069355899,0.8010995788678775,3.797686070736134
01-28,-0.3746028986568568,-0.4207272659280666,0.9193193687483556,0.7460572740671813,0.7189623562982647,3.696533012263338
01-29,-0.41512744614662866,-0.42175037150364525,0.9258459241906171,0.7406960978877307,0.7155880307562142,3.7482301364543287
01-30,-0.425627751212158,-0.43450074980649694,0.8700997523601511,0.7467226797991198,0.6947072416976997,3.8825922419720467
01-31,-0.4579219956716268,-0.4094753705335908,0.8643778229539278,0.7785949155980598,0.6572908894509523,3.97138722980541
02-01,-0.46330108861594466,-0.4183469609576541,0.8778377117295229,0.7589828828028546,0.6441132049557792,4.216915756303786
02-02,-0.5007589694390507,-0.4468185513817174,0.76752790353542,0.7500173093912216,0.6245333591957433,4.338279781280141
02-03,-0.520944122989428,-0.47952650544214476,0.6647393074625287,0.7529321798372127,0.6440766761061825,4.427087128092708
