month_day,east,north,up
01-01,-0.45708289935722296,-0.5211664662193485,1.7320509365146934
01-02,-0.4037791923678533,-0.7258388013886208,2.979291457196654
01-03,-0.598083150806501,-0.6542102325992054,0.05155548269181442
01-04,-0.6924804255689917,-0.11358485332630024,-0.14037250732046402
01-05,-0.7993322457860369,-0.5052322013261251,0.5473358663036213
01-06,-0.6275477023667225,-0.7276068220532136,0.699498785382244
01-07,-0.6534904316746729,-0.6999814427803034,-0.3491564773573014
01-08,-0.43688770643717717,-1.2007196998710397,0.2768246235394956
01-09,-0.40219407210876634,-0.7116397751435877,0.447532997163567
01-10,-0.6725913468712719,-0.25301439587068586,0.7760595526058296
01-11,-0.5927158943610364,-0.702843562052318,0.9470406535026424
01-12,-0.35611316912352914,-0.3334000009612255,2.315021754399453
01-13,-0.2706013529769432,-0.8040473489610556,1.4169119462053459
01-14,-0.31290771864853056,-0.4800583333245143,1.5986203198294247
01-15,-0.8662140843201304,-0.3967056813243339,0.4030559661807703
01-16,-0.7754295409008087,-0.7529893929605133,0.8997643398048532
01-17,-0.8362813611178527,-0.3184549227785147,0.12810907706529726
01-18,-0.26386045406215947,-0.9978295435056194,0.023726541598475395
01-19,-0.49734863791558387,-0.629658709687255,1.6505258243134606
01-20,-0.24847318540534372,-1.0231242395052569,0.7771432888466372
01-21,0.032220448923060925,-0.3472261329596187,0.9949425715616139
01-22,0.12009590143328937,-0.4439643900503489,0.6706509451856949
01-23,-0.03548319151103385,-0.6083390107774478,0.9685411369915897
01-24,-0.18142592081897843,-0.15144090423181727,0.6658858742520369
01-25,0.11072225896397599,-0.24027007041345172,2.585230611512486
01-26,-0.39622047034398056,-0.4812810547769043,1.0936662578638396
01-27,-0.6147086541973876,-0.368292039140368,1.1694655405788204
01-28,-0.5170150198689808,-0.13048484168564817,3.0336284596574385
01-29,-0.5681395673587482,-0.2518594624127395,1.6092459241906119
01-30,-0.14899138757578936,-0.3587795376852828,1.1844997523601535
01-31,-0.47457048052010914,-0.4961541584123743,1.1900263078024098
02-01,-1.03505866437352,-1.0208924155031063,-0.9703562276644132
02-02,-0.3767286664087392,-0.6829033998665692,0.43726123686876145
02-03,-0.6512168502621566,-0.5113689296845714,-0.4201212985980734
02-04,-0.8825232159337549,-0.21765264132075013,-0.4227765613376355
02-05,-0.5756477634235169,-0.36257271659329926,1.0928409031955355
02-06,-0.037408674549650106,-0.6352200645931237,-0.16554163227129431
02-07,-0.5198968584030659,-0.2329583216838561,0.8827121958982399
02-08,-0.3624527369988527,-0.242098843587398,2.3518063305076398
02-09,-0.4358205812967694,-0.5701693744768955,0.8282794215772704
02-10,-0.7608542196956165,-1.0490894497494485,-0.4412849320713858
02-11,-0.6487060399126663,-1.0635549795674537,-3.0915765584472967
02-12,-0.17228513285698066,-0.5407477821127309,0.5100409060858714
02-13,-0.5301369530740345,-0.527031493748914,0.07965837061904453
02-14,-0.5373524096547132,0.1656847946149062,0.5740940169703983
02-15,-0.3378405935081242,0.5260374466150831,0.01980239059447797
02-16,-0.033874231906970274,-0.06751899229383375,0.6314198551276488
02-17,-0.3387260521240243,-0.10598452211183682,0.2746736832971741
02-18,-0.4133051450683315,-0.18526823374801635,1.2272002387394332
02-19,-0.40633878346720304,-0.447551945384197,1.6246358850907903
02-20,-0.8759178764115153,-0.15883565702039187,-0.17683755946694776
02-21,-0.5836787875376604,0.10678972225251471,1.761961723248043
02-22,-0.5953487895728891,-0.9033121712018484,1.1222155514175747
02-23,-0.43238242797173787,-0.5075049737471233,0.3707421068598377
02-24,0.06431120635666848,-0.18424323083785313,1.1912686623020958
02-25,0.01055029523052879,-0.3090723970194941,0.5297952177443583
02-26,-0.16284697953197477,0.0015529822534122413,0.039503591368441254
02-27,-0.02760789065810343,0.10190563425359174,0.6831210559016111
02-28,-0.10764152905696794,-0.15065080465531497,1.1611930658893306
03-01,-0.04256037462247326,-0.2742763550021979,-0.7481863594155633
03-02,0.09667871425139522,0.20453084245252418,-0.33011434942785134
03-03,-0.10824560260144551,-0.8973365974377743,-0.7000612913240403
03-04,-0.577024695545768,-0.3529566727103187,-1.5909165540635954
03-05,-0.7738037884900806,-0.3986767479828671,-0.6215718168031458
03-06,-0.3079828814343998,-0.6727968232554218,-0.9944270795427016
03-07,-0.3235619743787083,-0.5720168985279692,0.4912176577177476
03-08,-0.59964106732304,-0.36213697380051924,0.5780623949781785
03-09,-0.21962016026734119,-0.1852570490730578,1.4314071322386184
03-10,-0.28299925321167907,-0.7389771243456096,0.9900518694990638
03-11,-0.42847834615597835,-0.7617971996181652,1.5477966067595177
03-12,-0.5564574391002978,-0.5556172748907102,0.8633413440199519
03-13,-0.28843653204462216,-0.8346373501632562,0.885186081280392
03-14,-0.3262156249889358,-1.062357425435804,2.594430818540836
03-15,-0.1781947179332505,-0.8302775007083533,0.7945755558012764
03-16,0.09312618912243664,-0.6411975759809018,-0.3382797069382775
03-17,-0.2718529038218932,-0.33271765125345426,-1.6046349696778308
03-18,-0.5256319967662065,-0.8116377265259984,-0.3448902324173829
03-19,-0.547211089710531,-0.8330578017985438,-0.7653454951569415
03-20,-0.6114901826548447,-0.9399778770710967,-0.9079007578964962
03-21,-0.8150692755991514,-0.8509979523436464,0.18654397936394104
03-22,-0.8331483685434791,-1.021118027616191,-1.09631128337562
03-23,-0.733127461487797,-1.2021381028887377,-2.0639665461151777
03-24,-0.9230065544321036,-0.8796581781612822,0.18367819114527037
03-25,-1.0568856473764356,-1.15097825343384,0.784522928405714
03-26,-0.5209647403207456,-0.7841983287063876,-0.44803233433384404
03-27,-0.4326438332650696,-0.568018403978936,0.06301240292659856
03-28,-0.6231049231627811,-0.9612188670753035,-1.3674806341419865
03-29,-1.1362328109822437,-1.1739514222140803,-1.047346983121451
03-30,-0.9452811120980158,-0.6190786297965808,-0.9736533852920743
03-31,-0.41546020504233494,-1.0085987050691323,-2.4261086480316223
04-01,-0.2281392979866439,-0.7694187803416739,-2.4979639107711806
04-02,-0.5751183909309617,-0.4087388556142223,-2.7843191735107395
04-03,-0.800497483875283,-0.1943589308867722,-0.8407744362502996
04-04,-0.4815765768196044,-0.5215790061593225,-1.1849296989898606
04-05,-0.26645566976391566,-0.48849908143187265,-2.3733849617294154
04-06,-0.1052347627082412,-0.39471915670441504,-2.3059402244689666
04-07,-0.4589138556525555,-0.4872392319769617,-1.0017954872085255
04-08,-0.6188929485968714,-0.05035930724951783,-1.7081507499480835
04-09,-0.21427204154118726,-0.40517938252206703,-1.8437060126876417
04-10,-0.034151134485500736,-0.20179945779461264,-0.49676127542720677
04-11,-0.15133022742982122,-0.018619533067153783,-1.3688165381667532
04-12,-0.15250932037414344,-0.7073396083397036,-2.2406718009063127
04-13,-0.31078841331845697,-0.8104596836122575,-2.670127063645862
04-14,-0.5130675062627674,-0.28027975888480655,-3.5142823263854153
04-15,-0.6117465992070933,-0.8797998341573517,-4.407237589124979
04-16,-0.840725692151419,-1.138819909429897,-3.474392851864539
04-17,-0.49170478509572746,-0.3804399847024456,-3.1422481146040995
