month_day,east,north,up
01-01,-0.9671364441367465,0.9690053465519965,3.768543878127561
01-02,0.27388550742100226,0.5394651047446278,-0.23606193270150122
01-03,-0.9338546454974151,0.931327342976581,3.962562673825102
01-04,-0.8559966774249271,0.8720383186091109,4.075771729021404
01-05,-0.7777275982413286,0.8265159609083067,4.147780784217708
01-06,-0.6823807412799517,0.79788249209639,4.144945394969565
01-07,-0.6522338843185753,0.7253045788400296,4.334576672388091
01-08,-0.6125314718016435,0.6818933322503372,4.249030172028838
01-09,-0.6183290592847109,0.6436709745495325,4.197394782780695
01-10,-0.6402933134344457,0.6756708390709497,4.323103837976998
01-11,-0.6349353453619578,0.6550929258145888,4.192635115395523
01-12,-0.6408440439561381,0.6127927903360058,4.148744170591825
01-13,-0.5534082981058721,0.5926704326352011,4.060086559121461
01-14,-0.4171836633667174,0.5656036304899529,4.086140058762208
01-15,-0.33220347307200765,0.5331701616780365,3.8531380028473996
01-16,-0.21322328277729752,0.5509033595327869,3.7795915024881457
01-17,-0.06549864803814343,0.5031810018319808,3.6020227799066706
01-18,0.11585932003434467,0.49193642190895354,3.3985318351029736
01-19,0.1886172881068314,0.5221473975414821,3.1539075569659425
01-20,0.25380858951265267,0.5126805953962338,2.9647277232733558
01-21,0.3358554464740295,0.5260693488065401,2.896025667358547
01-22,0.4504467478798498,0.48713587999462377,2.5915569447770714
01-23,0.5348047159523377,0.4068468556271505,2.5496437777511516
01-24,0.6687849062470471,0.3322911645930118,2.468086166280788
01-25,0.7802428743195353,0.29075769578109695,2.262339665921535
01-26,0.9150341757253558,0.24503533808029312,1.9584376100067262
01-27,1.0132032549089558,0.16292409149059872,1.5169466652030288
01-28,1.0509501118703326,0.1564461782342382,0.975911275954887
01-29,1.0621858577205974,0.1696349316445438,0.4056758867067453
01-30,1.0981216035708625,0.15196812949929434,0.10908494190304789
01-31,1.1218573494211277,0.1472902162429335,-0.3302060029006498
02-01,1.0955264286047264,0.15056785854212998,-0.5708525032599031
02-02,1.028362174454991,0.14422327861910308,-0.8699212258413785
02-03,1.020342364749701,0.10312314314052047,-1.0589788373117428
02-04,1.0337781105999664,0.08247856321749263,-1.486080893226551
02-05,1.0083471897835643,0.05898953885002184,-1.8054940602524716
02-06,0.9649829356338301,0.10834495892699468,-1.865985005056169
02-07,0.9959742370396508,0.18561149011507927,-2.221887060970978
02-08,1.039587760667694,0.27441135463649674,-2.5320557835524533
02-09,1.0555123954068473,0.3076223302690248,-2.5088133950228175
02-10,1.002359252368224,0.3655444170126647,-2.54805989538207
02-11,1.0051394426629336,0.4588442815340825,-2.461439729074657
02-12,1.0263640774020877,0.4776997016110556,-2.0383084516561323
02-13,1.063155378807909,0.45919956613247387,-1.8132216186820524
02-14,1.1286022357692855,0.5029105417650022,-1.6849903412635274
02-15,1.195049092730662,0.5193215173975302,-1.4741479527338914
02-16,1.2169292830253713,0.5786547152522812,-1.2716277864264771
02-17,1.318287251097859,0.606643468662588,-0.9985076201190637
02-18,1.4520896636147915,0.6247099998506715,-1.0534541204783163
02-19,1.571536520576167,0.6510987532609777,-0.9726783986153472
02-20,1.737350044204211,0.6557541733379496,-0.9376693434190445
02-21,1.870730234498921,0.6615207045260338,-0.9872380660005197
02-22,1.8901215359047423,0.6225316801585633,-0.9813178996931061
02-23,1.8602017261994517,0.5918537669022049,-0.9704644000523595
02-24,1.8925265567209255,0.5649687220785831,-1.1224393005139497
02-25,1.9279031576941694,0.5253859971572807,-1.0139527846141239
02-26,1.9426639161765706,0.4718117276694347,-1.2210589427069725
02-27,1.9244843094686066,0.4320744822686129,-1.4059274939622142
02-28,1.857915561346501,0.42894759040314373,-1.5848404896618995
03-01,1.7820108733690248,0.385937525329623,-0.7584971944587503
03-02,1.7411266192192905,0.36392405651770715,-0.782685917040226
03-03,1.6598023650695566,0.3178572543724578,-0.7229413062883676
03-04,1.566651444253155,0.2718971188938747,-0.5940633622031765
03-05,1.4367671901034202,0.18969698341529195,-0.6785987514513183
03-06,1.2904829359536858,0.09117684793670947,-0.550920807366127
03-07,1.1057320151372838,0.07943004579146119,-0.49126952994760203
