month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-1.3452170464674116,2.5602988260577773,0.1750534343256609,4.865080402472193,3.6768351098956993,2.613843553998503,3.251568914942721,4.5554474255694775,2.7575745098810716,1.1377937277876242
01-02,-1.3334801548696629,2.5753724076206845,0.25285716681302817,4.879086143078495,3.6946192031795655,2.7896018036509576,3.2711999647229275,4.625246446216185,2.7724417546331943,1.1398118712908778
01-03,-1.3097597050074998,2.581141792968721,0.3421801873433183,4.883916542477224,3.7171802680700377,2.9045183118765077,3.227046293810072,4.699464873343023,2.6966173554316804,1.1354446987627773
01-04,-1.2729925884786697,2.586875622761202,0.41477431898471934,4.866788603552362,3.7280225767598183,3.016541930317619,3.156679963516375,4.723786489356185,2.56032927123365,1.1025060837174205
01-05,-1.2390365830609507,2.577333896998127,0.4290773395150092,4.844961422503863,3.730941172429405,3.1155095938666264,3.112517297809935,4.75128863480616,2.4827658766005727,1.1077344462016694
01-06,-1.1918539109765651,2.576378837901719,0.44766036004529924,4.8496254606190226,3.7399761591229193,3.2575920249246586,3.1031804859641747,4.825935522693435,2.4322576106092746,1.0877282987452217
01-07,-1.1238267944477351,2.5656371121386443,0.4161278250200337,4.840993274608228,3.740846871176958,3.3559189720921045,3.064050765027547,4.801205067017018,2.3900455472662077,1.0641007400822333
01-08,-1.0385219001411274,2.5568509419311254,0.41078640110587944,4.821725027961196,3.7242900935267422,3.3496264239806584,2.933760901617476,4.7045110557049075,2.274719318510432,1.03362923071492
01-09,-0.9518881169456308,2.5508492161680505,0.4460294216361694,4.789832940315994,3.6978822152816995,3.32252108164933,2.9360106493496323,4.6104944043959035,2.22402069124104,0.9915445783535033
01-10,-0.8669127199350131,2.538590867079511,0.5323384996517009,4.754080755631673,3.67555039035107,3.342624401792507,2.859029943963617,4.52357967267058,2.1988840496603395,0.9868211979158372
01-11,-0.7775940952941532,2.5080837157844864,0.6666796926377146,4.698250822127901,3.656284433538971,3.310806378837878,2.715736683361217,4.5814190576269755,2.1225467715333735,0.9921111598472797
01-12,-0.6996322430230508,2.4693722067274213,0.8206441117053224,4.610669721177866,3.6321166302473373,3.250821735457288,2.58277167487537,4.4842176064931545,2.0385452438438945,0.9716549995247965
01-13,-0.6444532213812719,2.4288907410115583,0.9703079215915048,4.513562454803723,3.602300704591674,3.155247088278189,2.4889163914034187,4.3641297554775615,1.9924317142082903,0.965810982205133
01-14,-0.6195386441839373,2.397393719740139,1.0926539536999094,4.422436594033147,3.5770641051223184,3.104227407278373,2.4189694550395164,4.423250601277694,1.9582505593506403,0.9724905702559918
01-15,-0.5874462892088251,2.3550989206909425,1.2022355413638695,4.343533118503273,3.557290778134266,3.0463317036120765,2.346615461723044,4.414457939256332,1.9169880051938377,0.9882407778834951
01-16,-0.5414028231226019,2.32508856608619,1.3395704623611628,4.277822888726612,3.534721726972428,3.040044868147447,2.2671667755637306,4.45404734262595,1.871686810928145,0.9898417662810963
01-17,-0.4850287486292775,2.290929279251347,1.5089648814287708,4.212426416641262,3.5107858689951237,3.039896723449342,2.1724701207671755,4.31253156750017,1.8044371967776776,1.0054339855832826
01-18,-0.42941790176619515,2.2565321279563224,1.6826027410814512,4.134894630164498,3.4876762309868212,3.025501716984762,2.070782281467236,4.328317080808632,1.7577001583083702,1.0609986715865902
01-19,-0.37111028253335515,2.2082815566455607,1.8638307079858716,4.041275283524153,3.473193880463025,2.98322130219951,1.9291227678994194,4.397597345170829,1.6656455503143754,1.0687317085056762
01-20,-0.2836276104489696,2.1591442753269305,1.9853381729606057,3.9396316924139323,3.4653523539971722,2.917263584437554,1.8066637006576316,4.406192329997739,1.5570990145961494,1.0882338217139553
01-21,-0.1931671605868063,2.1163292162305223,2.096950082379785,3.8571416690486373,3.445071187693715,2.8609614598838666,1.7081566127928465,4.499463397241591,1.4692744943728089,1.0669413627477857
01-22,-0.10218671072464304,2.0619186015785584,2.1618264362434085,3.7846183731757073,3.4114829392145984,2.817379817324852,1.566050078712318,4.441586568798666,1.4036554263335648,1.0593170833986965
01-23,-0.02783070530692419,1.9936879869265949,2.1948072345514764,3.7011309840120252,3.36022786425584,2.690707162343328,1.4133485388633444,4.440788585937483,1.3464876394515748,1.0288634364059912
01-24,0.035247522333016854,1.9087618167190756,2.1788635884150995,3.5887324891505705,3.322674173594542,2.5314487661081144,1.2628038436678266,4.413798839472852,1.3134407083167394,1.0007569363847164
01-25,0.11912130552851351,1.8203000909560008,2.138811053389834,3.4734056212118687,3.29609042948927,2.384614898690242,1.1584364768290123,4.457773871571194,1.2615504268205686,0.9746344955980677
01-26,0.21951731094623236,1.7449116985262598,2.1275607405867905,3.372232736711982,3.276028089196682,2.30962054899,1.0386143435928383,4.530656122475843,1.2093041530579662,0.9474643054988054
01-27,0.35919553858617354,1.6723610838742962,2.092954872228191,3.2925626131153094,3.252106407126831,2.2131701078597565,0.8904340886929871,4.529669735534093,1.1329631246958523,0.9322250953488241
01-28,0.4968759884483367,1.592994913666777,2.0049201149807034,3.215170022727745,3.2268120474612236,2.100855187287242,0.7915860666187449,4.472694028079198,1.0775013291783706,0.8962537004649825
01-29,0.6234497716438333,1.4933065212370356,1.8495209132887716,3.1278942416802096,3.203915005680406,2.017798473386651,0.6768016717010102,4.480705947129108,1.0253855788328208,0.8276534414834799
01-30,0.7158791103948854,1.3845092399184054,1.7043728227079502,3.0267011208140144,3.185416918757481,1.9040594814055818,0.5665139183846439,4.5343732785895625,1.0190288751181846,0.8016934062597757
01-31,0.7841262269237155,1.2770475141553304,1.5349225099049069,2.9201470158729883,3.1638099844663032,1.8121440470874948,0.5072767156109409,4.655561909556356,0.9750601192298071,0.7782951557529791
02-01,0.8407000101192118,1.1559124550589222,1.332714419324086,2.841773379100783,3.140854582686529,1.7297935656602634,0.5308735609399658,4.670709243004842,0.9735237206031211,0.7540472159842345
02-02,0.8835960155369307,1.0393240626291809,1.1415218842988206,2.8039525327798347,3.117111712044481,1.7836752798254325,0.6297176936213988,4.550853637359616,1.059932251100699,0.7356215979826486
02-03,0.9186209098435382,0.9147156701994396,0.9806849048291103,2.7996952505235924,3.09645370684818,1.8695879425875588,0.7148532532504723,4.473592491553901,1.1888998906681056,0.7421106545249936
02-04,0.9409702485945903,0.7974872777696981,0.8882390364705114,2.7939745634311883,3.0837665044715528,1.9263762398066626,0.8141011852387455,4.373006771087656,1.2836270465899207,0.7111036031863538
02-05,0.9618595873456425,0.681923329784401,0.8044731681119123,2.781281260170767,3.073366331470664,1.9322564515449074,0.9098990175116402,4.317236993761853,1.348579715234723,0.697823903834754
02-06,0.9752711483189169,0.5811771595768819,0.7557895219755357,2.767658910084645,3.07562239537655,1.9403521682910905,1.0161931551465628,4.329227703188086,1.3940424718826059,0.6961576901893699
02-07,0.9881471537366356,0.49976654492491807,0.6977169869502701,2.7660358269875136,3.0891996210063284,2.0018986440075968,1.1398444435310833,4.328338892286626,1.517627478019912,0.6983517754271149
02-08,1.0040698258210212,0.4207359302729545,0.6085333408138932,2.7747290323222025,3.1109850131662498,2.0658147284321604,1.2497239701262832,4.35065362227568,1.5783730507251543,0.6816011403919868
02-09,1.0139480534609622,0.34884087117654633,0.47835636134418325,2.786052935926474,3.131733680047706,2.1168298483226757,1.3845528427011073,4.328952637814608,1.6362338876417974,0.6468266765309001
02-10,1.021904058878681,0.28825914541347153,0.3234149374300287,2.81195511009771,3.1551152283276083,2.1687198640174343,1.502954293556866,4.229380539564513,1.7015164594817755,0.5903820410473074
02-11,1.0345556198519554,0.24155075298372994,0.174520180182541,2.852516882000746,3.172846664143181,2.245123476027795,1.5706319737016057,4.3319218952403356,1.758094448978575,0.601889247736657
02-12,1.0661760697141185,0.19060902722065512,0.046847645157275436,2.8987063038191514,3.1909137952943123,2.3144431290384295,1.6602263651987843,4.255834138960514,1.7998198886950003,0.5853073889233054
02-13,1.1209009640207261,0.11680063479091361,-0.06114266764576784,2.9385815818994203,3.199146124561136,2.399070462423042,1.750347514022304,4.226884090202135,1.8677909122412228,0.5715318929827
02-14,1.1787547472162228,0.02725224236117212,-0.15558409155992237,2.968207901348203,3.202216481326916,2.4679074353043426,1.8652707390111904,4.159420893165607,1.9287686307362324,0.5448204865201302
02-15,1.2449351970783862,-0.06240503895745814,-0.2512366265851878,3.0057230021120396,3.2018991414766345,2.5446265403727306,1.9674580103255421,4.134877912121152,1.9968362973110991,0.5778330363896116
02-16,1.3112267580516603,-0.14530676472053283,-0.3802513838326756,3.054229055807109,3.1975137764278423,2.6560718514906974,2.0338629036390112,4.1674398228005165,2.0907051477933227,0.601558286936575
02-17,1.3775938745804905,-0.21753515715027408,-0.5120483633023857,3.1170172091146893,3.1940416994736047,2.731081911363773,2.155450406591698,3.997851773423788,2.186365305502361,0.5947932318530074
02-18,1.44090099110932,-0.28304577180223767,-0.6656297872165403,3.1817689126636366,3.177111902547953,2.85021442626154,2.2355265109037075,3.9636433941298117,2.3119992350474083,0.6526877169928482
02-19,1.4978903298603725,-0.33478971978753447,-0.7404556555751393,3.25120300155098,3.1643760355003665,2.939249708480595,2.343639763636704,3.910676836601744,2.4052499473413476,0.6693509347961185
02-20,1.574813001944758,-0.39059811221727586,-0.8079970794892937,3.3209342108885997,3.1683740301481476,3.0066014728452832,2.410090561641251,3.9364269020112506,2.496252855969948,0.7170210628611803
02-21,1.6643801184735878,-0.44747094909146173,-0.842527392292337,3.394120965117638,3.198601175268916,3.028970962827323,2.4730761350874193,4.0895060723671985,2.5648887678990318,0.7401821425349551
02-22,1.759871679446862,-0.49830600818786985,-0.9098110384287135,3.4614181156008095,3.23706663385914,3.0430452285772107,2.5024506545590928,4.17150170372683,2.6310580859519126,0.7602770584986034
