month_day,east,north,up
01-01,0.5273984674310283,-0.5988283754452006,2.5340843470097765
01-02,0.1730713722359515,-0.6851321877353878,3.129444783725307
01-03,0.3827078045082093,-0.6241367969951379,2.4361745254643585
01-04,0.38393123251301975,-0.6562965370631241,2.2916471487163728
01-05,0.3595182968814678,-0.6631168831917161,2.239919771968388
01-06,0.3120023309468859,-0.638125108108187,2.156689364917372
01-07,0.29025606198200116,-0.6532363633276886,2.1313013821087803
01-08,0.24820676271408582,-0.6861536791532503,2.0845679447547343
01-09,0.18418170587041327,-0.7045497828576007,1.9329314770976576
01-10,0.07922331569340652,-0.6896974017134663,1.9658404639860358
01-11,0.010792198243672476,-0.7148571417814522,2.0568342993592625
01-12,0.017567141399999,-0.7027502151827714,2.0910705589749132
01-13,-0.003700339686098377,-0.7585038946446973,1.98656136404511
01-14,-0.02066479046916503,-0.7661181801672292,2.071621866085003
01-15,-0.05071408973708043,-0.771350647507942,2.195524792367321
01-16,-0.061405813247420345,-0.7226194784850187,2.1685125671344867
01-17,-0.04423693069715442,-0.7133186124923988,2.1993548873561988
01-18,0.065847103368263,-0.6805571404391727,2.145215389396092
01-19,0.07455537985792376,-0.704680516870795,2.057094073254167
01-20,0.08541517149909944,-0.716870559969084,2.1154576055970904
01-21,0.10192344798875969,-0.7013636333704036,2.1166029561218322
01-22,0.05766202750872322,-0.697074888589905,2.046069518767786
01-23,0.07022484945292883,-0.729264931688194,1.9677057783834366
01-24,0.0787513077607699,-0.7296246717561794,1.946220825877876
01-25,0.11244140243224815,-0.7733359269756804,1.758154055190497
01-26,0.1520708910431205,-0.7444229397709392,1.5874872845031172
01-27,0.1551912887449025,-0.7477948010510467,1.2571356653308892
01-28,0.1884025955375937,-0.7200454502099416,1.0702931370677524
01-29,0.13964420536058783,-0.6962900387627758,0.9786869724409791
01-30,0.10943126972903587,-0.6590012939822775,0.8944262623596604
01-31,0.06272742500657423,-0.6385973976866273,0.8606685825813719
02-01,0.02423570149623444,-0.6293025923000679,0.8279048421970228
02-02,-0.06508026443834741,-0.6462502111559334,0.797813829085401
02-03,-0.17285683643353564,-0.6029554057693743,0.8792076644586274
02-04,-0.24555462054993604,-0.581169691291906,0.7489469543773086
02-05,-0.3524160410299724,-0.5403233707538317,0.7725347291444749
02-06,-0.44761079484334304,-0.4965800805187873,0.7503346251237624
02-07,-0.5018297910809562,-0.4349458811928342,0.6549527029212318
02-08,-0.47909121156099366,-0.39299046974566915,0.6869222958702157
02-09,-0.4740253593137576,-0.33716839163183737,0.7799100706373817
02-10,-0.4993898100968243,-0.34275843473012685,0.912861481768184
02-11,-0.45387547300110337,-0.3604575687375069,1.032455317141411
02-12,-0.47024598439023085,-0.3762354906236752,1.2287158191813043
02-13,-0.44463467759754105,-0.4133164428128737,1.203970260615137
02-14,-0.4411385223200026,-0.4239670919717689,1.1807034899277575
02-15,-0.3854363064364028,-0.3848844077973311,0.980794294997954
02-16,-0.34477045418916663,-0.2763835418047111,0.9127638879469383
