month_day,east,north,up
01-01,0.7852833159158789,-0.6644162542330734,2.273908589434019
01-02,0.4410380389026187,-0.7606738544020484,2.011011450391973
01-03,0.4885259863263914,-0.5990458879042341,1.650313919403753
01-04,-0.6340081614263743,-0.9817692643358565,3.855883512352736
01-05,-0.17208776372459444,0.05750735923252974,3.9210894689380864
01-06,0.48765081579536745,-0.5142160171990934,1.3552045164325213
01-07,0.8940257589516989,-0.7825757572670863,0.8073195639269638
01-08,0.6458552475625768,-1.3815718609714351,2.8362527932395802
01-09,0.315684736173443,-0.7958406919485064,1.0925496589158386
01-10,-0.8586675933975013,-0.5774731592892227,1.7863919791375507
01-11,0.3027073497588152,-0.6971965357208476,2.2127797539047176
01-12,0.05735502018787548,-0.6319199121524677,1.48589480139916
01-13,0.18345723607147849,-0.8862796522204532,1.1836462125299578
01-14,0.4411958155914432,-0.9437303013793493,2.7003976236607614
01-15,-0.037065604888593645,-0.5078173141746073,1.6026944893370159
01-16,-0.1410542980958925,-0.6663588724244185,0.897264082286002
01-17,-0.785224809485036,-0.4371731579469466,2.0999245843258936
01-18,-0.5379407754196189,-0.976441988924023,3.015221450002154
01-19,-0.5323840140814763,-0.8001653653556441,4.3694274065875005
01-20,-0.4910999800160557,-0.7787978326963593,2.353451544991031
01-21,0.2331840540493679,-0.6284303000370722,2.6311120470309213
01-22,0.44328626993296766,-0.8610627673777781,2.6658634581617267
01-23,0.48547939490747827,-0.6506043256275844,2.431069414747073
01-24,0.5732179744274323,-0.6563277020592089,1.5551844622415123
01-25,0.7925929175837596,-0.08605107849083088,0.974299509735951
01-26,0.4333314971037264,-1.0590471821951815,0.8909600117758445
01-27,0.22025189480551044,-0.8147705586268033,2.3613477865430115
01-28,0.4310813834163825,-0.6536757532402465,1.2008264704010834
01-29,-0.22272549160910352,-0.8793991296718698,1.6423960633500698
01-30,0.15137672427448995,-0.9906679606489438,0.4272383835717806
01-31,-0.013157423478276087,-0.6717549734441998,0.5749897947025867
02-01,-0.27987338941286244,-1.092841986239462,-0.7210769759847938
02-02,0.05650155374346675,-0.5427471808529031,0.4552198896914606
02-03,-0.4855780485547466,-0.8507432845572551,-0.5858468809959189
02-04,0.007069621874311916,-0.3625575700797841,-0.44918637895602453
02-05,-0.49819179860571955,-0.2720991283295872,1.2570195776293247
02-06,-0.009907764540311736,-0.3017315956703018,1.4019528069419442
02-07,-0.21507827592944684,-0.34454588119283164,1.9247042180727463
02-08,-0.004157878227663952,-0.5169056212608183,1.0637283564762747
02-09,-0.5471465714349687,-0.34026536132881285,0.5229343130616247
02-10,-1.183317082824096,-0.40962510139679476,2.1118675423742417
02-11,-0.8702148669404967,-0.48798484146477833,0.4074371353232303
02-12,-1.1718399237841624,-0.04098094516913358,1.5546430919085772
02-13,-1.650646798809664,-0.22324977614620292,1.3093945030393805
02-14,-0.6619082192897061,-0.06615497075964848,-1.003490449466181
02-15,0.327921269321161,-0.042423801736722506,1.0545336889373482
02-16,-0.20388560570432127,-0.2555108145319865,0.6737396455226959
02-17,-0.3239652080025337,-0.6265978273272452,2.4494910566534966
02-18,0.19713700788106792,-1.1162302946679548,1.2080606496024826
02-19,-0.2384880489626007,-0.5992263983723092,2.4947211516423766
02-20,-0.114022196715373,-0.8283134111675655,0.8858361991368171
02-21,0.04253456462276584,-0.46149133305372914,1.0529512466312518
02-22,0.6204549623245493,0.24169438142373617,-1.073933705874306
02-23,0.6058299054808794,1.1106073686284814,0.04327225071104027
02-24,0.9025684850008443,0.8011567194695821,-1.2835217927036113
02-25,0.9155797917935448,0.5751606157652379,-0.02995219975462795
02-26,0.7484092804044089,0.2743463302427048,-0.8587462431692795
02-27,0.7407842235607363,-0.30401340982528136,-2.624085741129384
02-28,-0.2417499241920418,-0.5401913317114562,-1.171516148180403
03-01,-0.7472314014972041,-0.604004554607901,-2.6321217902122735
03-02,-0.4905837310681446,0.320817523505932,-1.9649158336269272
03-03,-1.442384254847785,-0.18712644284137384,-2.656072314420682
03-04,-1.6081911298732734,-0.35942254654573275,-2.5637481760171523
03-05,-1.4419980048987597,-0.061618650250078136,-3.8718240376136235
03-06,-1.121404879924259,0.11978524604557209,-2.5335998992100945
03-07,-1.5106117549497597,-0.032610857658777095,-1.7631757608065648
03-08,-1.6810186299752459,-0.18760696136312588,-1.4121516224030355
03-09,-1.2365255050007307,-0.024303065067473994,-3.392427483999506
03-10,-1.0037323800262172,-0.7018991687718283,-2.724903345595974
03-11,-1.0392392550517102,-0.6613952724761745,-3.244979207192446
03-12,-1.3531461300772079,-0.7827913761805221,-3.0951550687889124
03-13,-0.6365530051027022,-0.2474874798848788,-3.108530930385387
03-14,-0.7173598801281968,-0.2249835835892256,-2.6373067919818562
03-15,-0.5641667551536784,-0.12327968729357223,-3.719482653578327
03-16,-0.20307363017917054,0.7396242090020777,-4.410358515174796
03-17,-0.7658805052046631,0.35872810529772464,-3.982434376771265
03-18,-1.5584873802301402,0.49503200159337696,-4.277810238367738
03-19,-1.3323942552556531,0.13453589788902603,-4.175886099964207
03-20,-1.6347011302811496,-0.39846020581532715,-3.9205619615606784
03-21,-1.636508005306632,0.03714369048032466,-3.2213378231571497
03-22,-1.87031488033212,0.10354758677597146,-3.7205136847536187
03-23,-2.4154217553576105,0.41225148307163123,-3.3520895463500864
03-24,-2.1110286303830987,0.43845537936728507,-3.4839654079465587
03-25,-2.2084355054085902,-0.07724072433707647,-3.638341269543028
03-26,-2.1128423804340883,0.603363171958577,-3.6963171311395016
03-27,-2.207149255459582,0.6942670682542271,-4.781392992735969
03-28,-2.9546561304850725,1.2959709645498805,-5.043068854332438
03-29,-2.7323630055105625,0.7767748608455278,-4.813344715928909
03-30,-2.689969880536043,1.5804787571411723,-4.2741205775253786
03-31,-2.6405767555615385,0.7911826534368345,-5.187996439121852
