month_day,east,north,up
01-01,-0.3011336715147047,0.2098974052498675,1.8817344273437764
01-02,-0.47292780925408673,-0.012794652264722447,1.3082918749618413
01-03,-0.2769241359664521,0.1899482975184903,1.7942566020308703
01-04,-0.26347047279602204,0.17312142643389403,1.7203817732806383
01-05,-0.23632514295892526,0.14214455534929762,1.6867819445304064
01-06,-0.21151314645516173,0.08245518426470091,1.5103904491135078
01-07,-0.20449281661806487,0.05711164651343824,1.438428120363276
01-08,-0.1848391534476347,0.06855144209550885,1.473174124946377
01-09,-0.12249382361053804,0.05406623767757938,1.5708201295294784
01-10,-0.11834432710677426,0.038631033259649186,1.6651828007792466
01-11,-0.04695316393634401,-0.0040750044916143795,1.7139913053623477
01-12,0.021071332567419526,-0.00043937557621110887,1.7041373099454493
01-13,0.0988291624045162,-0.024187079994140805,1.7284874811952173
01-14,0.19018282557494637,-0.028226451078737873,1.6808126524449851
01-15,0.25182815541204284,-0.05595332216333353,1.7469336570280867
01-16,0.3020401519158066,-0.0662426932479298,1.8115379949445214
01-17,0.35421464841956973,-0.06616123099919279,1.787829832860956
01-18,0.42710164492333325,-0.06917560208378964,1.941530004110724
01-19,0.5037136414270968,-0.08831913983505307,1.9726676753604924
01-20,0.5157173045975273,-0.08904601091964984,2.027172013276927
01-21,0.5623376344346237,-0.06426038200424622,2.0791221845266947
01-22,0.5959996309383874,-0.07761225308884297,2.185247355776463
01-23,0.6804449607754841,-0.1468682908401061,2.124864193692898
01-24,0.7080152906125811,-0.18115766192470323,2.0193935316093325
01-25,0.7424647871163443,-0.23058869967596646,1.9630353695257672
01-26,0.7646142836201081,-0.2455447374272298,1.996923040775535
01-27,0.7730179467905383,-0.28784244184515934,1.9751065453586367
01-28,0.8163382766276355,-0.2895484795964225,1.914715049941738
01-29,0.8091002731313985,-0.30633368401435196,1.867877721191506
01-30,0.8393747696351623,-0.3285063884322823,1.6815820591079407
01-31,0.853436766138926,-0.3333790928502119,1.6132988970243753
02-01,0.8766320959760232,-0.3655392972681421,1.5562782349408102
02-02,0.8788232591464531,-0.4141120016860719,1.4002034061905781
02-03,0.8573019223168832,-0.42908887277066854,1.3207244107736793
02-04,0.9101597521539798,-0.45529074385526513,1.1867454153567807
02-05,0.916292581991077,-0.4881842816065281,1.0544497532732158
02-06,0.9420754118281736,-0.5143903193577912,0.8646374245229834
02-07,0.9194415749986037,-0.5072130237757213,0.6479875957727516
02-08,0.961228571502367,-0.5101065615269841,0.5927586003558529
02-09,1.009007234672797,-0.48857509927824744,0.5628754382722877
02-10,0.9851150645098936,-0.5031519703628436,0.4537881095220557
02-11,0.9987187276803237,-0.5170705081141074,0.4716882807718238
02-12,0.9843598908507536,-0.5371390458653706,0.47886761868825867
02-13,1.0141843873545173,-0.5697909169499674,0.5240511232713598
02-14,1.0283880505249468,-0.5716344547012304,0.6202971278544612
02-15,1.0645583803620435,-0.6045321591191606,0.640797299104229
02-16,1.0689662101991404,-0.6093923635370898,0.6425141370206641
02-17,1.1177157067029038,-0.626481734621686,0.6284601416037652
02-18,1.194077703206667,-0.6407127723729491,0.6081394795202
02-19,1.2574271997104305,-0.6332854767908789,0.6110063174366345
02-20,1.2967141962141937,-0.6513873478754763,0.4770898220197359
02-21,1.3417095260512908,-0.6754142189600728,0.44543165993617084
02-22,1.3770548558883877,-0.7039035900446693,0.47492349785260524
02-23,1.3844626857254847,-0.7071971277959326,0.42039450243570664
02-24,1.4093707917135057,-0.7353342826710398,0.2672142925898717
02-25,1.4428096669322954,-0.7632854485351588,0.13877121644367066
02-26,1.458772420356214,-0.7461853781355412,-0.0318098175779884
02-27,1.4771473824048407,-0.7485860070366226,-0.10467704041083614
02-28,1.489419882332255,-0.7606671283619466,-0.06702380869822921
03-01,1.518431321614705,-0.7494763910634841,0.08122118324743913
03-02,1.5251158181184683,-0.744350484370303,0.0074194100527625205
03-03,1.513640314622232,-0.7668734665660113,-0.05002680758635815
03-04,1.5098181444593284,-0.805543115428385,-0.0033041363365899404
03-05,1.5031604187408696,-0.8157060976240927,-0.06283924286459988
03-06,1.475333804133522,-0.817584635375356,-0.1555521271703872
03-07,1.4537294117483965,-0.8086187286821747,-0.027860567031730336
03-08,1.4844805749188266,-0.8049905997667709,0.008817659773593183
03-09,1.5338939603114787,-0.8473091375180343,0.01169144213447247
03-10,1.5257740123707977,-0.8702721197137421,0.07855633560646273
03-11,1.5333029533190055,-0.8781995463538949,0.039816784634008416
03-12,1.5550718942672133,-0.8686780841051576,0.08353056699488758
03-13,1.5721119463265323,-0.9150499551897542,0.02439101602243349
03-14,1.6009208872747402,-0.9223907151632397,-0.04286853495002087
03-15,1.6130053837785039,-0.9337536973589476,-0.25193697481136385
03-16,1.6028276580600447,-0.9644011239990997,-0.5196098591171512
03-17,1.601898821230475,-0.9585418839725851,-0.7051849656451612
03-18,1.6240810955120166,-0.9501359772794038,-0.8180934055065043
03-19,1.619036703126891,-0.9227700705862227,-0.9968818453678473
03-20,1.604103421852877,-0.9057774972263737,-1.1544036185625235
03-21,1.5864590294677514,-0.8753493683109703,-1.2613209473127556
03-22,1.5591124148604036,-0.8829879060622334,-1.534651609396321
03-23,1.538245800253056,-0.8697908882579414,-1.6668622714798862
03-24,1.499845852312375,-0.8463894260092044,-1.7532418224523405
03-25,1.492845904371694,-0.8357879637604683,-1.9046035956470169
03-26,1.4915837342087908,-0.7943198348450641,-2.0110987021750266
03-27,1.4807971196014433,-0.7455805948185495,-2.0145982531474806
03-28,1.486699393882984,-0.7107969103475906,-2.1784222485643796
03-29,1.4870372237200808,-0.6877510036544098,-2.285801799536834
03-30,1.4994372757794001,-0.6592650969612286,-2.307834683842621
03-31,1.5074328833942745,-0.6126058569347143,-2.2341875681484082
04-01,1.5104418243424822,-0.5907110613526441,-2.256042674676418
04-02,1.5295974319573562,-0.5431184879927958,-2.367608892315539
