month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.12927789775877457,0.1728974221129452,2.193837427554686,1.938152000678819,3.1838439486677528,1.5367041589579244,0.6186562151235226,5.561232997127708,0.5211895267249562,0.9004541013580781
01-02,-0.1274060100585637,0.168690210871852,2.20726391576707,1.931156787181399,3.170139118219191,1.5219555294951408,0.6327128809689146,5.500295032009093,0.5207268159874249,0.9040121598634073
01-03,-0.11159112354703087,0.1590180106118878,2.2365709662659126,1.9246975193489646,3.1426906290374235,1.5091411063151166,0.6198978432934572,5.390640636454537,0.5265284763092871,0.9031761757479652
01-04,-0.08627549629475727,0.14960655109266432,2.244084683431422,1.9180096048128348,3.1098074316208795,1.5139139321236774,0.6267890035619401,5.226005410025035,0.530232979672538,0.8926347791599444
01-05,-0.05079616533877995,0.13772768416603343,2.2313369191154497,1.9211500319233838,3.08392651693091,1.514369408592522,0.5988400847767191,5.152374850928733,0.5313432288808747,0.8866180001798555
01-06,-0.012039056605024833,0.13360585427643953,2.186826932577256,1.9275160281160637,3.0642403309244686,1.520471495242063,0.6030905684239208,5.093455842123524,0.5333599473176855,0.8745474707277473
01-07,0.02564471879539697,0.12802032068314217,2.163579168261283,1.9436177562995613,3.059353438727699,1.5346757873817172,0.6080264051552075,5.025526541372415,0.53924297069314,0.8623639049004163
01-08,0.06916256826989282,0.12127552783058554,2.1566254780193854,1.9653015514697565,3.0643878244787337,1.5571840046516725,0.6020990212183901,5.063431162991603,0.5591070666342388,0.8629109709340951
01-09,0.10924634367031456,0.10847814238543634,2.1705903062960057,1.987758609012477,3.078295715837175,1.5908721380020692,0.621790023101015,5.062282832906227,0.5959708543415183,0.8590280587083348
01-10,0.1513590177783247,0.09739799976001058,2.1780262130860524,2.0020194139963166,3.0870840785111877,1.6038481281082575,0.6423456334109519,5.076066265130433,0.6158366683459999,0.8670663227792211
01-11,0.19231985967188203,0.08617826869995802,2.177333906532581,2.012814486080732,3.0904031487715735,1.6013255837129927,0.6440423714507769,5.074170955034891,0.6259351595892867,0.8642277399836225
01-12,0.2284251656472829,0.07160561587194526,2.1782356088578134,2.0216311314320237,3.0908128118774303,1.6008001299731223,0.6409827988549567,5.04589517222901,0.635157919001991,0.8578059517930825
01-13,0.25974011107101297,0.04756131697476728,2.1507446859927692,2.0358906069735156,3.0855742509644077,1.6114687327685244,0.6476131364385794,5.047240597087604,0.6580735175317483,0.860562832138563
01-14,0.2811157972354838,0.024121462522033812,2.1263048742388353,2.0443100250937345,3.0791615732926907,1.6155275561026639,0.6565882735879498,5.041273999262209,0.6625916700796414,0.8646779401214524
01-15,0.3105877796962508,-0.0035850585973661426,2.09803321063305,2.0535935498089706,3.0690600940724675,1.6248515773383418,0.6504843378863477,5.058161325393012,0.6699737368623667,0.8854947021632332
01-16,0.33959605845331414,-0.029518987124173654,2.0869956211013387,2.055675542808785,3.061776072741729,1.6344576534518038,0.6479921313687522,5.043323485720549,0.681667755259662,0.9023546686041993
01-17,0.3686787685632226,-0.05856479496616832,2.084569433057898,2.05242551470138,3.0505962838096914,1.6364270565326906,0.6341315070135235,5.033022639815686,0.6884221380459605,0.9056769732684078
01-18,0.3963251561936361,-0.08541880588298172,2.098638640583593,2.050009260711096,3.04878914255757,1.6210172477746223,0.6192115887955351,4.949665000239619,0.6807441622877255,0.9012182186800701
01-19,0.42723670282603615,-0.1094417606153542,2.1050662066413866,2.052911213283395,3.0479068986742988,1.6380377436937703,0.617478533845036,4.923280348563983,0.7056910156261161,0.892287045232941
01-20,0.47340119932979974,-0.12745881688513586,2.0980488778911544,2.0658815995424837,3.0586768785596434,1.6625402156801665,0.6250238323917036,4.891847796722335,0.7279010514311751,0.8842906544071923
01-21,0.5180338439817113,-0.14018550278454714,2.0641604380298113,2.0756558754234695,3.0609726092672545,1.6951068162663432,0.6288421407111853,4.934836813049415,0.762820853419093,0.89163521504141
01-22,0.5626272293743636,-0.15729367016543994,2.026351257427727,2.0844496387092772,3.059842604603072,1.7085713622502394,0.6202289693275821,4.902484577411629,0.7871668633891771,0.8794772913104829
01-23,0.5945072814336827,-0.17313591162040667,1.9972450397886066,2.089636349553919,3.0505505783968734,1.7270992553309523,0.6222260925458912,4.856792078625174,0.821955909271079,0.8717160262172564
01-24,0.6259473334930018,-0.1911988938161142,1.9708699332605966,2.0983755285525425,3.048837572863057,1.7300310842867934,0.6203496035093713,4.851914637081164,0.8324467457993572,0.8781316980171163
01-25,0.6576340522189875,-0.20743520934515522,1.9651740859918465,2.106782424751063,3.050541828605935,1.7360494680319363,0.6236397854458108,4.935945315589917,0.8435788939773275,0.8843326641937658
01-26,0.6912741042783067,-0.22613374709641862,1.9538412016860587,2.1183805363517827,3.057124742590331,1.7385968817858135,0.6348205821801708,4.945946644177262,0.8621097525219322,0.8831796471507121
01-27,0.7255215637450331,-0.24286709966249678,1.947197947009901,2.130486156236127,3.058755341521703,1.7423139784449733,0.6497835217021044,4.988788277660121,0.8727359986515637,0.8900156332267015
01-28,0.7577979121006484,-0.2505789707470933,1.9319072849263357,2.138260896996556,3.0616816966480678,1.7436908190649518,0.6766018928324583,5.026289979547073,0.877912550966995,0.8938685106975914
01-29,0.7923638900858934,-0.25850269368354173,1.9113706969168442,2.1472383531657777,3.065641813917408,1.7595949499340309,0.6900634081113035,5.099283676709526,0.8955200376244578,0.9058908447455212
01-30,0.8261506088118792,-0.2728775277311013,1.852660034833279,2.1533999331149754,3.0755933310452197,1.7731886543673436,0.6906726321418286,5.176510620143285,0.9136334094917808,0.9072320174830053
01-31,0.8626047349452722,-0.2937923617786609,1.777848632008973,2.1701267765095906,3.0900667949512717,1.7770086786143788,0.6809703605274832,5.274013427433953,0.9158724192257384,0.9027116712318872
02-01,0.9013358981157021,-0.3124953439743687,1.6985498217772597,2.187849734399929,3.111434122831478,1.788944892721063,0.704236603314994,5.373574372180481,0.9278905362138464,0.8940096359074787
02-02,0.9298515057305767,-0.3251998076515578,1.6494984189529536,2.2061790785235726,3.138053532231661,1.7953551706328734,0.7151118682380605,5.457442251535867,0.9479584978171218,0.8974339781197654
02-03,0.9488256318639697,-0.34198945651393214,1.6208707198323513,2.2188264328346823,3.1641253675913936,1.8025292332211282,0.7433677047508862,5.60372975112675,0.9718152665844447,0.9221650182895405
02-04,0.9587071654047703,-0.3591042905614917,1.5948126503413789,2.2257933277773354,3.1859503123762245,1.8124174623791116,0.7930358566225112,5.664594967452611,0.9812295519659276,0.9280820646328093
02-05,0.9711375878344596,-0.3809428283127549,1.5819019882578136,2.2351664794279897,3.2082803334772194,1.7992793273850036,0.8090631951262026,5.75295302151361,0.979747664186681,0.9363052012270444
02-06,0.9871398621160008,-0.397762106804759,1.5574268817298036,2.2402204370048087,3.2279977090264573,1.78052529763393,0.8354784226045073,5.873423471983151,0.9600831258608961,0.9452916345781333
