month_day,east,north,up
01-01,-0.275508925730475,0.09869788420066668,1.213880308347944
01-02,-0.4585955514188782,-0.21322612864756027,1.0279560818336262
01-03,-0.23454775985291273,0.057121945434320524,1.1804918153395325
01-04,-0.22780309763033646,0.04163316429846106,1.1416209653203089
01-05,-0.2292826778320034,0.017423171041389865,1.326119812270782
01-06,-0.23515619742760885,-0.034750458579318216,1.4254974471000434
01-07,-0.2174478988413963,-0.09322711850305626,1.4069356879899109
01-08,-0.2239517214673055,-0.12291589963891654,1.3280224137282626
01-09,-0.2301464531841232,-0.16615013532023035,1.2641879273454022
01-10,-0.24495936671912313,-0.15654800736518112,1.419753440962542
01-11,-0.21832379540563884,-0.15620042486467695,1.4559795606402879
01-12,-0.21053064833457863,-0.1707619332732636,1.5119874984998523
01-13,-0.17852538005139718,-0.1821052598636686,1.569698466662446
01-14,-0.09262920267730643,-0.16420010160558865,1.6423609499765555
01-15,-0.04559969196988231,-0.1533676706202358,1.7384052514724835
01-16,-0.010673211565488384,-0.12420796690761086,1.7909040984229565
01-17,0.029756299141935935,-0.07041796016468202,1.8786090059794902
01-18,0.0985797492432998,-0.05248855948236008,1.8718533074754182
01-19,0.14039713873860304,-0.027328855769734903,1.6568430635168
01-20,0.15537816459754247,-0.014702485390443469,1.5678449407703037
01-21,0.19607434197163334,0.03376630923127284,1.4146225755995647
01-22,0.20558264055784548,0.061562376580261764,1.3257577861864016
01-23,0.2610303330834522,0.04808571665652342,1.32051117859142
01-24,0.29393257106360343,0.06749390521763349,1.1836282073600752
01-25,0.30088935449830007,0.05733845741510752,0.9252664482499426
01-26,0.3133552288420882,0.0786557368853092,0.7286986285337491
01-27,0.3209968607616338,0.07423968302217715,0.5768156573024045
01-28,0.29821425025693676,0.11095090188631787,0.44876298910136253
01-29,0.23943163975224024,0.14121969650803382,0.3482557754457753
01-30,0.2109459989445133,0.14239152143278033,0.25871219815382446
01-31,0.20892702480345227,0.1747997099938907,0.3644595299527824
02-01,0.19899289914724036,0.14274123188833407,0.37566140720628577
02-02,0.13942847046072507,0.10822820832823221,0.27979055718706186
02-03,0.0913307084408769,0.10830912416207,0.4467378889860197
02-04,0.08499052217860398,0.08308700969287736,0.305097341997099
02-05,0.07122609349208874,0.04192550128429071,0.27399618894757194
02-06,0.061467725411634526,0.04887308378479453,0.21225867226168182
02-07,0.06787299369481627,0.08223884810348119,-0.017290965636329956
02-08,0.10280553470527129,0.12213188514943972,-0.08323454292828095
02-09,0.15251383329148382,0.1492915888620655,0.06452491008279852
02-10,0.13948879854436289,0.16274220166559958,0.1424419388514533
02-11,0.17042740016087754,0.17747766295398246,0.23899533125647185
02-12,0.19275994117133244,0.19060100303024424,0.30146993578270287
02-13,0.19035914884845348,0.1626637370459003,0.4104899948543879
02-14,0.1928371444043625,0.18152647106155637,0.3774312660472851
02-15,0.19683635208148403,0.16020738689539413,0.16051193117957688
02-16,0.19498707491012054,0.15946406030498947,0.06944714176641374
02-17,0.24738022198118087,0.23610255189640314,0.13017629174719003
02-18,0.29296124784012006,0.29400164954842234,0.008838775061299648
02-19,0.32888166763845417,0.3616158987155934,-0.061777529503378587
02-20,0.3575354207701204,0.4356240872767037,-0.1951514098256328
02-21,0.3994134163260291,0.4441050031105415,-0.220398017420614
02-22,0.3915338361243629,0.39762834318680335,-0.07757189774286816
02-23,0.3539330438014838,0.38538804689942874,0.026005737086392946
02-24,0.33188116588761446,0.3569845291327907,-0.10317334466159131
02-25,0.3266730442175017,0.34812120450634587,-0.1819035419606906
02-26,0.3203468905793566,0.37784675766877923,-0.2843347549108055
02-27,0.31693056953286236,0.345272755840748,-0.3203242853010566
02-28,0.34716369752218074,0.34488993858572004,-0.3369662950301505
03-01,0.14448363941590564,0.4134928884241674,-0.1396270408880941
03-02,0.16501799860817878,0.4074713800155805,-0.20482879999822687
03-03,0.17389235780045179,0.40698320494032697,-0.301303892441693
03-04,0.15596671699272488,0.3547150298650732,-0.17369231821849232
03-05,0.13648774285166437,0.3044335214564865,-0.1947607439952917
03-06,0.11351543537727042,0.2737986797145668,-0.0545691697720911
03-07,0.09888979456954332,0.25777050463931356,-0.032917595548890774
03-08,0.10833748709514965,0.28238899623072694,0.09998731200764302
03-09,0.15155851295408893,0.3350674878221403,0.11521221956417671
03-10,0.14495287214636127,0.32902597941355377,-0.07893620621262257
03-11,0.14662723133863448,0.3440911376716339,-0.09587796532275542
03-12,0.14978159053090734,0.32640296259638035,-0.09831305776622186
03-13,0.13522928305651324,0.2795147875211273,-0.13829481687635448
03-14,0.12298364224878573,0.27856661244587394,-0.22524324265315387
03-15,0.09427800144105838,0.26179843737062036,-0.36103833509662
03-16,0.09083902729999827,0.1988702622953668,-0.35190676087341943
03-17,0.05882671982560406,0.1962020872201137,-0.26832185331688563
03-18,0.00825441235121067,0.1817272454781937,-0.356336945760352
03-19,-0.005764561789849824,0.19368573706960746,-0.49509203820381853
03-20,-0.004970202597577028,0.22083089532768732,-0.506360463980618
03-21,-0.04630917673863782,0.19401605358576707,-0.6912822230907508
03-22,-0.11142148421303158,0.174501211843847,-0.8431506488675501
03-23,-0.18964712502075892,0.1616530367685936,-0.9555657413110163
03-24,-0.25131943249515354,0.1150981950266738,-1.115107500421149
03-25,-0.2601050733028809,0.09011001995142104,-1.0525959261979487
03-26,-0.2808240474439419,0.10219517820950064,-1.1216243519747482
03-27,-0.3150296882516694,0.11127366980091417,-1.1949327777515477
03-28,-0.3162486623927303,0.10953882805899422,-1.2900278701950139
03-29,-0.3298076365337903,0.10174398631707456,-1.37014296263848
03-30,-0.31371327734151705,0.10080247790848791,-1.3630447217486128
03-31,-0.3206389181492441,0.1355943028332351,-1.3538931475254128
04-01,-0.33039122562363776,0.15597279442464868,-1.5102749066355454
04-02,-0.3219368664313649,0.20419795268272906,-1.4900899990790113
04-03,-0.3285291739057591,0.21488977760747607,-1.5844184248558106
04-04,-0.3372348147134861,0.24659493586555606,-1.7006068506326102
04-05,-0.3182404555212125,0.2685000941236362,-1.7982019430760765
04-06,-0.2958794296622725,0.29631858571504954,-1.853877035519543
04-07,-0.28215173713666625,0.32887707730646254,-2.045945461296342
04-08,-0.2808507112777261,0.37168890223120893,-2.1211405537398087
04-09,-0.3185763520854532,0.369127393822622,-2.291155646183275
04-10,-0.3189086595598469,0.3975458854140349,-2.396077405293408
04-11,-0.2985943003675736,0.42023771033878193,-2.471479164403541
04-12,-0.32698660784196704,0.4640428685968622,-2.563174256847007
04-13,-0.3468989153163608,0.5083413601882757,-2.77293601595714
04-14,-0.381344556124088,0.5348465184463557,-3.0836977750672725
04-15,-0.4052301969318156,0.5529983433711024,-3.2929262008440725
04-16,-0.42858250440620926,0.5081968349625157,-3.4435612932875386
04-17,-0.4477548118806031,0.46488865988726247,-3.674749719064338
04-18,-0.4606671193549966,0.41895381814534216,-3.8253381448411377
04-19,-0.49885942682939033,0.36271897640342254,-3.7830465706179366
04-20,-0.5187117343037843,0.35703746799483593,-3.7325883297280695
04-21,-0.523684041778178,0.3662292929195828,-3.633930088838202
04-22,-0.5041963492525721,0.3186211178443301,-3.645991847948335
04-23,-0.5157353233936328,0.2807996094357431,-3.591873607058468
04-24,-0.47788096420135967,0.2614847676938231,-3.5975820328352675
04-25,-0.47935993834242013,0.2412832592852369,-3.4922237919454004
04-26,-0.4816322458168135,0.2244084175433166,-3.5503655510555334
04-27,-0.47046455329120745,0.23262690913472944,-3.5437806434989993
04-28,-0.46835019409893447,0.21504540072614264,-3.4678690692757987
04-29,-0.4509358349066617,0.17688389231755566,-3.402750828385932
04-30,-0.42592814238105514,0.15440905057563525,-3.4593659208293976
05-01,-0.41306711652211553,0.1603742088337148,-3.447294346606197
05-02,-0.409532757329843,0.15364603375846161,-3.4355827723829977
05-03,-0.40668506480423733,0.22476452534987468,-3.3748911981597964
05-04,-0.3712440389452981,0.2682763502746215,-3.485512957269929
05-05,-0.36241634641969256,0.2770615085327013,-3.604888049713396
05-06,-0.36663532056075304,0.2981066667907814,-3.7983898088235284
05-07,-0.3928676280351467,0.3184518250488607,-3.9107849012669944
05-08,-0.3775532688428739,0.35441698330694116,-3.9511666603771274
05-09,-0.40746557631726804,0.37378214156502126,-4.017588419487261
05-10,-0.4057712171249956,0.3850606331564352,-4.017636845264059
05-11,-0.40741019126605654,0.41014579141451524,-3.9074986043741924
05-12,-0.38168249874045024,0.40789094967259565,-3.988647030150992
05-13,-0.37298147288151096,0.4379827745973423,-4.097075455927792
05-14,-0.3838737803559048,0.4602812661887562,-4.1658038817045915
05-15,-0.39867275449696515,0.45103309111350287,-4.086885640814724
05-16,-0.3945383953046927,0.4626582493715832,-4.0453873999248575
05-17,-0.36735070277908644,0.47504340762966296,-4.059595825701656
05-18,-0.3550030102534805,0.44231523255440985,-4.210197584811789
05-19,-0.3561553177278741,0.4322737241458231,-4.268639343921923
05-20,-0.35740095853560166,0.42711221573723623,-4.369447769698722
05-21,-0.35570659934332916,0.40671737399531616,-4.345436195475522
05-22,-0.3635322401510561,0.38932919892006324,-4.318431287918988
05-23,-0.3693245476254496,0.3521210238448103,-4.4911597136957875
05-24,-0.3775835217665099,0.3522528487695566,-4.57408147280592
05-25,-0.3965091625742372,0.3210580070276364,-4.7219298985827205
05-26,-0.3832548033819643,0.2677098319523825,-4.814478324359519
05-27,-0.4144737775230247,0.20211499021046225,-4.731533416802987
05-28,-0.4119727516640855,0.12705348180187523,-4.631868509246452
05-29,-0.39915839247181256,0.07837197339328827,-4.502103601689918
05-30,-0.38139069994620645,0.06158379831803442,-4.481658694133385
05-31,-0.35534967408726736,0.0302156232427807,-4.4902137865768506
06-01,-0.32410198156166053,0.002307448167526893,-4.501675545686983
06-02,-0.28259428903605494,-0.03331406024105994,-4.449977304797116
06-03,-0.2570599298437825,-0.06416890198297978,-4.502352397240582
06-04,-0.23202557065150878,-0.06330374372489968,-4.251280823017382
06-05,-0.22434454479256943,-0.09333858546681975,-4.319002582127515
06-06,-0.1900968522669629,-0.10134676054207373,-4.389857674570981
06-07,-0.17294249307469017,-0.12880160228399412,-4.417652767014447
06-08,-0.16389480054908376,-0.1594697773592474,-4.346341192791247
06-09,-0.12470710802347695,-0.1679379524345012,-4.289056285234713
06-10,-0.14207941549787004,-0.15268612750975438,-4.2970647110115125
06-11,-0.08821172297226393,-0.09336096925167454,-4.223519803454979
06-12,-0.05654403044665751,-0.030929144326927577,-4.240528229231778
06-13,-0.030589671254385553,0.019982680597819283,-4.347629988341911
06-14,-0.018015312062112328,0.039881172189232934,-4.477518414118711
06-15,-0.018107619536505415,0.10123299711398007,-4.475353506562176
06-16,-0.047279927010899406,0.15173148870539363,-4.432741932338976
06-17,-0.10556556781862565,0.1810833136301405,-4.298043691449109
06-18,-0.12399787529301884,0.1413151385548868,-4.224838783892575
06-19,-0.13625018276741277,0.12030029681296694,-4.447807209669374
06-20,-0.10382249024180634,0.13382545507104698,-4.341922302112841
06-21,-0.07346146438286667,0.0853039466624612,-4.180484061222974
06-22,-0.06177377185726092,0.08609577158720791,-3.977912486999773
06-23,-0.03583941266498831,0.10641426317862161,-3.806660912776573
06-24,-0.06083172013938243,0.09185942143670171,-3.7314493385533725
06-25,-0.0648706942804434,0.05113791302811525,-3.6916310976635054
06-26,-0.07976300175483725,0.00017640461952859177,-3.926386190106972
06-27,-0.10710197589589714,-0.05260510378905847,-3.870907949217105
06-28,-0.12508761670362406,-0.10471994553097856,-3.6867497083272376
06-29,-0.12193325751135206,-0.12401478727289868,-3.5987981341040376
06-30,-0.12113889831907962,-0.193169629014819,-3.4872932265475036
07-01,-0.0854112057934741,-0.23153113742340548,-3.326614985657636
07-02,-0.09232351326786822,-0.2728593124986592,-3.3666300781011023
07-03,-0.07982915407559564,-0.23496082090724552,-3.2738918372112353
07-04,-0.09089479488332311,-0.23160899598249918,-3.0402669296547016
07-05,-0.09650043569105057,-0.22492383772441923,-2.826448688764834
07-06,-0.10559274316544483,-0.16753867946633977,-2.626070447874967
07-07,-0.11787838397317167,-0.11254018787492659,-2.5063722069850995
07-08,-0.10755735811423221,-0.05284836295018058,-2.314653966095233
07-09,-0.04820299892195955,-0.028003204692100325,-2.2625490585386987
07-10,0.014718026936979722,-0.028138046434020514,-2.1010574843154983
07-11,0.04457905279591938,-0.018666221509273738,-1.7301859100922983
07-12,0.06442674532152486,-0.02748772991786011,-1.6022743358690974
07-13,0.074314437847131,0.035890761673553394,-1.4756494283125634
07-14,0.062468797039403626,0.03996258659830022,-1.2820045207560296
07-15,0.05587648956501018,0.060314411523046965,-1.1685996131994956
07-16,0.03697751542395017,0.05533290311446013,-1.2611213723096284
07-17,0.06741187461622314,0.06267806137253985,-0.9950497980864277
07-18,0.05711956714182929,0.08444988629728663,-0.7060448905298943
07-19,0.08718059300076857,0.10364837788869999,-0.6522733163066939
07-20,0.07984161885970813,0.06909353614678006,-0.5240750754168269
07-21,0.05846931138531477,0.01081202773819297,-0.4389635011936265
07-22,0.033077003910920555,-0.03437614733705992,-0.2685385936370924
07-23,-0.010361970230139924,-0.09055765574564646,-0.17152701941389176
07-24,-0.020647611037867268,-0.08583249748756668,0.07815122147597534
07-25,0.04322108675900533,-0.01507153758977565,0.0032771080058477
07-26,-0.3431609256920073,0.024881894602350012,0.42934512583448786
07-27,-0.07885217455206385,-0.012975236857417093,0.3088944718786165
07-28,-0.06801114869312405,-0.06261007859933747,0.46004604610181704
07-29,-0.058136789500851105,-0.12747825367459079,0.4982242869916843
07-30,-0.03331576364191212,-0.16666642874984394,0.5504225278815514
07-31,-0.044008071116306176,-0.15416793715843075,0.7621941021047519
08-01,-0.04239371192403316,-0.15306944556701704,0.8725190096612856
08-02,-0.03812601939842618,-0.194304287308937,0.8467972505511527
08-03,-0.057091660206153264,-0.2632324623841905,0.97895549144102
08-04,-0.031683967680547306,-0.3016606374594436,1.0437937323308872
08-05,-0.01071627515494138,-0.2601754792013632,1.1498453065540881
08-06,0.007291417370664627,-0.26237698760994993,1.3114835474439555
08-07,0.04093244322960412,-0.27747182935187026,1.4109017883338224
08-08,0.06274680242187694,-0.2886466710937897,1.5872000292236894
08-09,0.07874782828081626,-0.32452817950237633,1.6722316034468903
08-10,0.09838885413975616,-0.3788830212442965,1.8057165110034241
08-11,0.0999165466653625,-0.40275119631955014,1.959901418559958
08-12,0.11577090585763508,-0.39983270472813637,1.7908796594498249
08-13,0.1593585983832416,-0.36538754647005617,1.8805179003396923
08-14,0.09098953293069549,-0.29994608101058606,1.8778022815956252
08-15,0.22030254751522635,-0.3411144124463705,1.8409438913637732
08-16,0.2251035733741653,-0.3074959208549569,1.8177087989203073
08-17,0.2344245992331045,-0.2765107625968773,1.9639070398101743
