month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.5828528972930402,-0.23315171515147853,1.5707152022271929,2.151789885396548,2.7216067497749847,5.140070911545432
01-02,-0.5711370375868533,-0.9279977908066646,1.8061558123458188,2.2424701685741124,3.226516788781406,5.787262151827574
01-03,-0.6419989093477979,-0.3554209267746754,0.1185456378176803,2.1274772966159596,2.962889453510965,5.718869299199168
01-04,-0.6508742334873805,-0.395666719656914,-0.8079191280979636,2.172893303416575,2.9027862300875307,6.022517812166868
01-05,-0.6318213524987579,-0.35526123048787067,-1.7749787658084797,2.1302574562670937,2.540134919391521,6.486066983714632
01-06,-0.643599240740905,-0.41492240798549396,-2.584474300954893,2.0881719070996985,2.4586701869741314,6.97274349450402
01-07,-0.6838181546240777,-0.44063999573952756,-3.388569836101307,2.032206758481783,2.3460235022940887,7.546296334242122
01-08,-0.7396729659431481,-0.4776037373397146,-4.229260243042592,1.9811464754744772,2.205460352384597,7.886754046787215
01-09,-0.7636662388006795,-0.4826751712475946,-4.2102275730608,1.9173331347848646,2.0804806721855837,8.04215660038374
01-10,-0.7413159219146211,-0.48928506669393573,-4.210292338976445,1.91255029990922,1.9898716870402853,8.215212438022139
01-11,-0.6633143229772807,-0.49306419290950765,-4.178618643353628,1.8791071470979799,1.8429907791431532,8.251353933132712
01-12,-0.6495588778860946,-0.48984331912507967,-4.100073152859016,1.8315322955743696,1.7562048671826287,8.423300488001958
01-13,-0.7377344346459237,-0.29762276368065926,-3.8399377843557705,1.8190909217914588,1.7148325750470295,8.798748647880382
01-14,-0.5274468036236509,-0.4666504087255805,-4.149498173769663,1.6873290085462391,1.6239734335972413,8.08473171424375
01-15,-0.5861694656894584,-0.33972941572051363,-3.85029309163159,1.6875876351029941,1.6443048623772927,8.34698897718666
01-16,-0.5620088923931437,-0.3324777727053163,-3.882993754983132,1.6401111796807506,1.656332024192812,8.316744053184701
01-17,-0.5331713960199062,-0.3218004886644785,-3.80921749525775,1.5921551582920983,1.591263851754883,8.308777639522903
01-18,-0.4925954381082068,-0.30646166616210146,-3.6634412355323693,1.6142742860089072,1.5708403495347016,8.251521869142069
01-19,-0.4697784545554822,-0.2542202795571607,-3.530936770678782,1.6588349049996187,1.6014782798026304,8.095345925787818
01-20,-0.5157819838232705,-0.21586607243939923,-3.3093092289021184,1.6495424284556843,1.626207501637672,7.974529895897576
01-21,-0.5388829489884941,-0.12668622429599716,-3.2697380973818655,1.6527598044000464,1.6454681391281045,7.788816258771558
01-22,-0.5066198115896154,-0.09634740179362049,-3.247274658169305,1.635866777407671,1.6777002834271686,7.738315768007622
01-23,-0.4152746229086853,-0.05113678441944962,-3.1657701933157183,1.621693403493563,1.7902872948801998,7.764794496514823
01-24,-0.40497558807390904,0.007889217570106624,-3.087383677180081,1.5661869156019321,1.9188857466500095,7.751965228985593
01-25,-0.45434321990579934,-0.03583349838905562,-3.178827930275212,1.483832260812112,2.025851994979059,7.6739231579455405
01-26,-0.5140800825069207,-0.02345365024565325,-3.1621952602934207,1.4498671636033522,2.147429415938326,7.589902590796618
01-27,-0.5392272015182985,-0.013207135435584801,-3.2731061800552195,1.4083201122038844,2.2497060184489355,7.5266436221632045
01-28,-0.568492269247625,-0.03859651806141347,-3.359052997252914,1.3774331957312316,2.298711486920755,7.365277893746793
01-29,-0.5692752856948999,-0.08486282376416517,-3.3112100708608665,1.3731546350117987,2.3590152822726806,7.466513499689325
01-30,-0.5293916354755084,-0.11984707818486542,-3.4025466316483057,1.4152829568068117,2.4061328786831737,7.501960063371423
01-31,-0.5165900365381682,-0.09724671722095056,-3.430729346281898,1.451630194587416,2.4156733507452555,7.421471918783519
02-01,-0.4853935658059557,-0.07523097164165111,-3.5119274455308758,1.5010039262521901,2.4505747515761396,7.39783157033547
02-02,-0.4902483771250259,-0.08725112349824901,-3.605156314010623,1.5113084159646328,2.543247172544474,7.3409558948691
02-03,-0.4875544704953777,-0.1281225574061292,-3.745759541464729,1.5929556413762396,2.611008967336149,7.272110930269356
02-04,-0.4437938971990629,-0.13957860669862474,-3.8415422560983226,1.684905177897735,2.630169507755933,7.271901370009843
02-05,-0.42285383672326127,-0.18601414317060733,-3.8260993297062744,1.7995951874559497,2.666827524722334,7.259653438520001
02-06,-0.4207291608628444,-0.1826958334887437,-3.805994864852688,1.8852783658717684,2.688650919299573,7.134717732196094
02-07,-0.4504096132075554,-0.17097752380687978,-3.9232647589734597,1.9316876861860781,2.7188488649438702,7.252432884924466
