month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.5630076350746325,-0.4113528033331678,1.9472383331151901,2.940163881752936,4.3331293501335075,1.8500998933867137,1.813040286160029,5.181576252154053,1.5469942486150263,0.6181251814927237
01-02,-0.5700350763467029,-0.42238314279423017,1.7340695897585074,2.9508673288069125,4.331917206591154,1.8492874368966026,1.8083260070148133,5.351565490304248,1.53147406412113,0.6114008526182845
01-03,-0.5804603292612144,-0.43768641430894745,1.3086802511932907,2.9689231789036685,4.327624860158982,1.8761553160688567,1.8132834907374522,5.532723095344916,1.5418902609657505,0.6086608940593501
01-04,-0.590021693286837,-0.44486190804588704,0.8932603570725179,2.987423810579419,4.324717918639913,1.878491412999784,1.8109843283528841,5.729504366900958,1.5382696836132177,0.6077432897422439
01-05,-0.5984237980532002,-0.44580314252356734,0.468556203692486,3.0048937850397732,4.318272584815076,1.8554147325781662,1.8373472206850614,5.947065742584993,1.5119555770494035,0.6161398452529935
01-06,-0.6105555324491934,-0.4388758584827292,0.034488161423565256,3.021898519855112,4.317265548627655,1.827770213012763,1.854517805316166,6.197311263525273,1.5105494660747585,0.6554754006510038
01-07,-0.620516896474816,-0.42882542629374293,-0.3927530289935037,3.038495050875801,4.311600423677586,1.7954073114531193,1.8494896437202737,6.334489480509853,1.5055669408843582,0.6635439872401934
01-08,-0.6274578901300684,-0.42496666077142314,-0.8182673675587205,3.048173100763228,4.307496511220934,1.7438200352865616,1.898475351924689,6.531726426977121,1.502245275036025,0.7152488371072622
01-09,-0.6360849948964319,-0.4376569693231776,-1.2270085579757892,3.0459450615312798,4.296557124146417,1.7003264000041451,1.928518794113899,6.778760853058083,1.4825063685038393,0.7670799201309199
01-10,-0.6369167315131712,-0.4599503481768406,-1.6559952068732458,3.0347688232008743,4.2856182801241935,1.661295288038854,1.934880555078145,7.013291731726466,1.4649040095852475,0.8233408886441358
01-11,-0.6278234725714033,-0.47243690467135774,-2.0873357356944413,3.0203884652839537,4.267165535909856,1.6441649665549172,1.947822760364498,7.158403838818251,1.4556881989756307,0.859099913236755
01-12,-0.6156033662192761,-0.45496663880672905,-2.5173755148097454,2.9940555032967695,4.24150904002338,1.6535420915054153,1.9173998476256742,7.254541322424482,1.4239711019264172,0.8880415541656763
01-13,-0.6121082620878953,-0.4225216654662311,-2.956776493146178,2.965903548812514,4.213418683208263,1.593801872557947,1.7913767931473172,7.408575898692519,1.2352018013891044,0.9462667771856363
01-14,-0.62019371351207,-0.38983039582943685,-3.3796941381492775,2.9331327839127552,4.18972019867797,1.5514602573685,1.7720467560037418,7.562551385694871,1.1800401816214916,0.9922156722540195
01-15,-0.6183550908621707,-0.3716289410074575,-3.766384005374599,2.9122304127584813,4.172115013452237,1.5100985910326619,1.7348390061360581,7.814802345778477,1.1040464240077703,1.0578575059231758
01-16,-0.6158535052493083,-0.3468635972965893,-3.9835738725999206,2.8872082588637293,4.156958753126868,1.465422910284095,1.7238379191410484,7.921590216397596,1.0555476919066715,1.0896823555741058
01-17,-0.6154824729712552,-0.3244336092097384,-4.07551920727078,2.8662374908585817,4.15198808577544,1.4412750165317783,1.744054840423356,7.983687788806135,1.04979803255722,1.1138874276908148
01-18,-0.6193456955109685,-0.3005484064449963,-4.0633569583141975,2.848660445400396,4.146648331170761,1.4088064626673764,1.7746168786863386,8.017648725868467,1.0674225634437584,1.1213893929137222
