month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.2651573624576016,-1.316639399804414,1.4105869409892966,2.413618923704105,2.514432087291463,0.33653942073043686,1.193135989921926,1.9412408217633363,0.4190280309116339,0.31336419778223634
01-02,0.22385199387640578,-1.2824342707758796,1.4292503827724392,2.4058793691859583,2.5097583212387273,0.4045015085421446,1.1458636302102687,1.9072213338601705,0.3773305191730852,0.30573056155467804
01-03,0.20304384751743226,-1.2651819195251233,1.4398054912222484,2.3987029486787392,2.5077660168945934,0.47197314272043633,1.0650086106800303,1.8099250444504535,0.3353226803244836,0.28221690962838625
01-04,0.16039977702170743,-1.234885550356944,1.5025962636774226,2.3853645186887396,2.5078446156357064,0.5447421469055279,1.017017258010245,1.8205972422930725,0.356742781060703,0.266636437149587
01-05,0.14220015097042704,-1.2166002922998758,1.5249925916881524,2.370272830678492,2.506105953206486,0.6464744667249637,0.8862973170164928,1.7272900740977926,0.2613901037867022,0.2087240144267977
01-06,0.15027830269692444,-1.2010317009094742,1.542602808587771,2.3493656003443757,2.5046649788986075,0.7073617916570476,0.6905738888356174,1.5692905890652855,0.09433600413056395,0.1398613462516765
01-07,0.16162312109008842,-1.182832553963517,1.549474136598501,2.3271009556915097,2.5036175100925693,0.7649591322710376,0.6064115156527851,1.5277372612462892,0.12343654773707115,0.13053349566469177
01-08,0.1770984950388079,-1.1605750736842262,1.494253797942564,2.309200551375842,2.506177770670493,0.7667810837427275,0.5815996555737718,1.4663389535708675,0.19644285329665073,0.1404578007762784
01-09,0.19173775787641628,-1.1523203711827135,1.4629001259532939,2.3106241532220704,2.51406263228155,0.7877585293459272,0.5532422535498432,1.6500344665641693,0.21228240823845934,0.11392172360420405
01-10,0.207160354047358,-1.1429962242367562,1.4202270095195793,2.315807839323105,2.53679102121606,0.8402566704025054,0.4844576116893439,1.6925781791455516,0.24601787137941702,0.10033620845065329
01-11,0.22148572799607752,-1.1278054106241324,1.3744427819747533,2.329586792377615,2.5641597652255355,0.9409778703870587,0.5591567593486411,1.974474617967076,0.26112691952401823,0.08554218768562409
01-12,0.2245073103351745,-1.1079210120672962,1.34918999043993,2.33745586341375,2.5863214568974544,1.0015029209617998,0.623204039305634,2.050049472130082,0.28331719191913673,0.08099923437465228
01-13,0.2205490872328041,-1.0833161102887017,1.3227861820362232,2.337796540524554,2.6082691105902382,1.0418684463060495,0.6695481341878267,2.1094634366921716,0.3355397212268505,0.09679034901327946
01-14,0.213352725355633,-1.0712073719550155,1.3110396900969659,2.342230156071253,2.620175178836996,1.0786629591863706,0.7059133920289257,2.2000208111871604,0.3568447540276399,0.12579245016031992
01-15,0.2093682247036612,-1.0671920192884599,1.3299949590666027,2.3433346053309396,2.631295529663302,1.1143609984817875,0.7232542357570741,2.1413509203475067,0.3490131953255356,0.1388786393148202
01-16,0.20502437688651134,-1.067105303899914,1.3488649973795754,2.345644489437311,2.639394783067374,1.0800559881014204,0.7312639006599988,2.1224912001962166,0.3376560969952356,0.17130027106379783
01-17,0.19794164018047258,-1.0713713662891462,1.3415433690258813,2.346421509172117,2.6440820572478403,1.0922680010846557,0.6998730826449956,2.147763215050568,0.37484033360245833,0.17209220334838207
