month_day,east,north,up
01-01,-0.024278065052668427,0.3431025738170193,0.920128443318143
01-02,-0.5402295181597818,-0.1988186241092098,-1.9716962090769092
01-03,-0.04383943397682411,0.3058249639980643,-0.09261473137061413
01-04,0.06106044334460395,0.8956929506579185,-0.8192076698267866
01-05,-0.004585133879421671,0.679015482772304,-0.4085278810102276
01-06,-0.02004889292163496,0.4328834694321389,-0.4533935467391259
01-07,0.3577600753088836,0.48966054700106165,0.16855896935015705
01-08,0.14475086172121818,0.13934671547908356,-0.7719430600151082
01-09,0.3418325572244589,0.30966924759347203,0.5290094560741782
01-10,0.0744597072731546,0.6123554160714856,0.0021437903452821354
01-11,0.03426867550367325,0.38840522091315033,0.7817326700709288
01-12,0.012350371006919854,0.2589095712093439,0.47659427706930174
01-13,-0.17893156985346986,-0.008676987585360507,2.0251831567949483
01-14,0.17569558019523093,-0.35053627365280443,2.5718629456115036
01-15,-0.13685908793789023,0.3989680766433901,2.1332700071553323
01-16,-0.26032284698009467,0.23319969966687443,2.2467679777900744
01-17,0.052940666704964716,-0.18538685912783912,2.770447766606629
01-18,0.24493145311729528,-0.37860978155890346,1.9552184645140926
01-19,0.3011949668023639,0.04834911419184674,0.25217098060337667
01-20,0.6961857532146897,0.10294437357894992,-0.6019674123982461
01-21,0.9498129032633862,0.6170850875115264,2.563166921872854
01-22,1.0956218714939054,0.6567712559895423,1.2920285288712294
01-23,0.6837035669971541,0.21400287901301918,-0.6318371368576688
01-24,1.2476943534094858,0.20932541112739758,0.7780244701407071
01-25,1.1032305943672662,0.35728430687815016,-0.3866593774063725
01-26,0.5110395625977912,0.46087956626526894,-0.4234341340443628
01-27,0.5170303490101262,0.5385657347432816,2.0532456547721947
01-28,0.3427484081497299,0.5434337214031241,2.682652716316024
01-29,0.08683010365297408,0.5100289807902256,0.6516961414962171
01-30,0.12782089006531097,-0.0681030325499266,-1.0323513424145006
01-31,0.337448040114008,-0.29478050043555276,-0.8411260990524877
02-01,-0.0421066280191114,-0.23691251377570796,0.3396445988549795
02-02,0.5150659765750486,0.09013729106594584,-0.9953119759648327
02-03,0.7736022175328388,-0.5029038131833142,0.43718599466990715
02-04,0.5952293675815344,0.7722369007492514,-0.4102251256044473
02-05,0.32867469944841593,0.19383216013636168,-2.5349998822424356
02-06,0.5491200313152947,-0.09966348956743848,0.9804980883923039
02-07,0.6496562722730798,-0.22915913927122294,-0.2434584864275041
02-08,0.5384652405035979,-0.7077456980659336,1.1122213023890521
02-09,0.20727420873411584,-0.3426049841333723,-0.5711898178852995
02-10,-0.455916823035365,-0.2300097247462596,-1.419782756341471
02-11,-0.10728967298667219,-0.20295991990460038,-3.2739211493430957
02-12,-0.14093525021069875,-0.162091933244767,-1.1265140877992665
02-13,-0.09258082743472523,-0.12858758294855607,-2.3831979353463466
02-14,0.4220463226139618,0.20018949462036967,-1.0750636010752417
02-15,0.650400745389937,0.9138756630983859,-1.8940201758950521
02-16,0.7039369863477315,0.47819819521277457,1.3502959765578704
02-17,0.26320050003279116,-0.10702472721830247,-0.7511151437164844
02-18,0.5750094682633111,-0.0636112860130011,1.001201008736438
02-19,0.46827298194836103,0.18116579155592402,1.8853353430075375
02-20,0.5499910410879817,0.5386701418521305,1.3141060409150027
02-21,0.6094363729548552,0.47871994669377343,0.43187673882246486
02-22,0.9007907957308315,0.8053152060808874,0.07882925491175156
02-23,0.8829634003249809,0.08663773819526455,-2.2193091380898733
02-24,1.362681459464595,0.07886936121875139,-1.9387202583642258
02-25,1.1728540640587501,0.3709191660604008,-2.07613137863858
02-26,1.126299395925624,0.30833260726569217,-1.6980879534583873
02-27,0.9322901823379678,0.2465642302891692,-1.4207718010054662
02-28,0.6847355142048444,0.12206858058537375,-0.13254655764345588
03-01,0.37608742418417246,-0.1403225768888774,-0.30930947105048223
03-02,0.6907145742328709,-0.2035454993199566,-2.404720591324835
03-03,-0.124576544689873,-0.5522409818489862,-2.122612536762014
03-04,0.1171142417224658,-0.19809117700733908,-0.8484691115818219
03-05,-0.28949497186519724,0.14355862783433224,-1.8966256864016302
03-06,0.17249581454713195,-0.19429156732401792,-1.7283822612214341
03-07,0.3615866009594669,-0.19634176248236201,-0.013538836041244196
03-08,0.330477387371802,0.037008042359290984,-1.7354954108610516
03-09,0.3306681737841373,0.024157847200950756,-1.3636519856808569
03-10,0.23285896019647367,-0.3017923479573881,0.17699143949933713
03-11,0.8502497466088073,-0.6577425431157394,1.6185348646795277
03-12,0.9098405330211434,-0.4942927382740848,0.6161782898597196
03-13,0.8031313194334843,-0.4253429334324309,0.05292171503991128
03-14,1.0316221058458155,-0.8314931285907733,1.736965140220106
03-15,0.8938128922581512,-0.24014332374911476,0.36070856540029544
03-16,0.6204036786704847,-0.39969351890746196,-2.475448009419511
03-17,0.3160944650828199,0.10705628593419761,-2.972904584239317
03-18,0.31798525149515766,-0.3797939092241506,-1.4276611590591244
03-19,0.48057603790748404,-0.6522441043824869,0.3266822661210703
03-20,0.10346682431981975,-0.6214942995408294,-1.9181743086987368
03-21,0.16195761073216347,-0.622644494699179,0.5326691164814534
03-22,-0.04735160285550251,-0.49909468985751176,0.7000125416616484
03-23,-0.005260816443175997,-0.3921448850158612,-0.12114403315815885
03-24,-0.2814700300308431,-0.31559508017419946,0.1434993920220368
03-25,-0.2346792436185055,-0.32554527533254574,-1.6831571827977758
03-26,0.010211542793835803,-0.05709547049089281,-0.928213757617581
03-27,0.022402329206168758,-0.6174456656492353,-2.0553703324373878
03-28,-0.17050688438149847,-0.5522958608075867,-3.2589269072571936
03-29,-0.632716097969167,-0.24374605596591153,-2.7352834820770013
03-30,-0.5076253115568321,-0.3332962511242698,-2.091240056896811
03-31,-0.22253452514449493,-0.43914644628261357,-3.853996631716619
04-01,-0.19684373873215577,-0.4923966414409634,-0.8643532065364251
04-02,-0.41685295231982167,0.47135316340069977,-3.2361097813562325
04-03,0.035537834092507124,-0.2042970317576433,-1.0595663561760378
04-04,-0.15837137949515068,-0.9789472269159887,-2.403322930995849
04-05,-0.1764805930828217,-0.6086974220743386,-2.7241795058156533
04-06,0.0275101933295133,-0.5164476172326701,-2.36923608063546
04-07,-0.20959902025814614,-0.11789781239102126,-2.252292655455268
04-08,-0.03560823384581653,0.24245199245064697,-0.08974923027507486
04-09,0.13958255256651597,-0.0261982027077039,-2.1359058050948825
04-10,0.14007333897885274,-0.08524839786604729,-2.9007623799146893
04-11,0.3311641253911873,0.48780140697561053,-3.6953189547344962
04-12,-0.003545088196477764,-0.3040487881827289,-3.245375529554303
04-13,-0.04045430178414335,-0.07059898334107544,-3.8080321043741088
04-14,-0.10656351537181194,0.4091508215005703,-4.7750886791939156
04-15,0.08272727104052394,-0.0438993736577558,-4.730745254013725
04-16,-0.5817819425471399,-0.34624956881611696,-5.780801828833534
04-17,0.008708843865193217,0.24780023602555445,-5.0400584036533385
04-18,0.28529963027752103,-0.11294995913278996,-2.8526149784731447
