month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.3879305854863674,0.17909870969064767,1.0521093980848089,0.5766154074177913,1.4022373188742754,2.9206375677773266
01-02,-0.35828242130781984,-0.23669736546228937,1.502550214592618,0.5994947850635879,1.0055142377321327,2.4275867265892392
01-03,-0.4090382947852424,0.11071909368755962,1.0493658204238432,0.6252959281726352,1.459242077178574,3.049155768139339
01-04,-0.4145143689088327,0.09857969877668094,1.0529627603107163,0.6997247941501084,1.4944877321941155,3.1677516190634254
01-05,-0.4320207460627268,0.05680394022943873,1.2213051547430445,0.7201559509014899,1.4899815624804402,3.2134156487839562
01-06,-0.44092106261056063,-0.02369303043901525,1.2840960340238572,0.7353705454878439,1.4825962141930888,3.363105593213659
01-07,-0.4271122882493028,-0.08099000110746991,1.3775111557289124,0.7375597211920696,1.4898582033315995,3.4562343889661697
01-08,-0.4454126047971357,-0.12614757783653088,1.406005065312755,0.7297884255847406,1.4586639102807901,3.5219394575407468
01-09,-0.4517311031631505,-0.16355363941407614,1.5516626112602345,0.7601236636943388,1.4254358162904488,3.601817591587476
01-10,-0.46655263183219603,-0.1802081858401061,1.699132278419835,0.759381099958792,1.438636078405537,3.691579397328375
01-11,-0.45792567565275616,-0.21390515650856023,1.7282140667915569,0.7854432881487665,1.4943252558279834,3.757386627467718
01-12,-0.43954720432180133,-0.23892939990428752,1.8018170672844909,0.8040035540359817,1.5218949275362355,3.8809434153560125
01-13,-0.38061115723327066,-0.2491172796636514,1.9006503708077276,0.8389626136771453,1.5303938394657428,3.9329479976280424
01-14,-0.30551753438716445,-0.18717788669574234,2.01913821978551,0.8607140445882792,1.5090327934588412,3.96200918202149
01-15,-0.23750269941984642,-0.14706273615207613,2.1792381899754134,0.9070874977910988,1.4484581791143236,4.149287295294028
01-16,-0.18345150081616432,-0.0757051613659856,2.3080290692562255,0.9679230987882804,1.4384607580912667,4.3183369589624325
01-17,-0.09572151433369469,0.007325140692832552,2.4919957061127964,0.9855629823829409,1.3982387137023675,4.336665739928514
01-18,-0.0012218308815274768,0.038349382145589965,2.5550471914542148,0.979092185494299,1.3727455855387953,4.419031240050232
01-19,0.06195057984336582,0.08314332056804478,2.4655956464926034,0.9929892566894117,1.3706131837275657,4.384866960889838
01-20,0.11964420268947289,0.11939786505110533,2.3458774348643248,1.0079457005827959,1.3694808187443226,4.2678794317597095
01-21,0.1623014618992159,0.2123008943826507,2.2857167989936227,1.0063518579231698,1.3898361869813944,4.060736711168453
01-22,0.17683750898774667,0.2647675600778319,2.332295557062314,1.019293554553753,1.3842898117331037,3.9787677051127335
01-23,0.239943253045974,0.2656099833487721,2.243807648464339,1.0103073102176356,1.3807475119964117,3.9288608948818813
01-24,0.2687156637708684,0.289985739953045,2.0391621641087876,1.0210021199233146,1.4085928768154057,3.8625057561583627
01-25,0.2821365593442468,0.3190221026179234,1.7634378918744489,1.0110357818732254,1.3892532624575828,3.7417496588059445
