month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.7784916879319375,0.13723038296746048,3.822455322550124,1.6386335461631898,0.6900178370496841,8.52785754253167
01-02,-0.9031890512103082,-0.07918743317597486,3.6009190809161016,1.629752626226017,0.7271315353540851,9.052781298592278
01-03,-0.688068846016985,0.0957924723937716,3.118358512504419,1.6874883263679252,0.8105697634096318,8.742537586283701
01-04,-0.7873586931682446,-0.03101243510919233,3.004715788853656,1.640935496062594,0.878797418297559,8.332445206078681
01-05,-0.7414184556770941,0.13365608917973423,3.4412167365057966,1.6166928004588312,0.9109917658403778,8.463979768654843
01-06,-0.8120407460080195,0.01619920704991738,3.436088856003219,1.572597859241976,0.9688651027492154,8.07298510353561
01-07,-0.7934051334916967,-0.012566619403031248,3.5207801095120836,1.5650942681371147,1.0302088234427311,8.08436351623034
01-08,-0.5065646395349289,0.02597236479000941,2.17883809015614,1.7984680257150278,1.0237245359581517,9.00414664468159
01-09,-0.512544091369466,0.001445608585251215,2.006778262042092,1.838972901173539,1.0430217460128068,9.00439997953124
01-10,-0.438970675593072,0.008655066012819476,1.7845509076347004,1.9324569419146342,1.0796554693624012,9.485791619106514
01-11,-0.4511220963061581,-0.006474339264768105,2.024321734541154,1.8863869097244161,1.0503806266240827,9.193258188310928
01-12,-0.40858516964739483,-0.0034436990198218886,2.137319835677343,1.8911499712611821,1.0660377577133784,9.147409732465466
01-13,-0.3082801392974506,-0.043103788557913525,2.2414396612429495,1.8832599790932398,1.1294520645006696,8.979960091558898
01-14,-0.24080478319138374,-0.02057858936983644,2.198059547230447,1.8741607480542364,1.1447473400844268,8.86640276453663
01-15,-0.18938070913659866,-0.03551492864329798,2.1614589203974304,1.812098323452535,1.1756767380812154,8.749657795194198
01-16,-0.13928996841514765,-0.06784101150650286,2.0207608576669793,1.8042451134290223,1.1750188107471422,8.996620118052686
01-17,-0.10112743282190102,-0.06891068411329747,2.161165359039092,1.7814650338158873,1.1786965526693263,9.00843212836119
01-18,-0.060477717741475256,-0.11680086954060519,2.2212262706676147,1.7460419968098708,1.1750251767849214,8.961254267056523
01-19,-0.03482800266104986,-0.12868592676278476,2.32413846434742,1.7264104820521464,1.146364238573178,8.839363196824069
01-20,-0.008973159375495383,-0.09852995834393888,2.407153222129789,1.7098413257578888,1.1606447949843608,8.788881418730298
01-21,0.02010732493570007,-0.04563040018150232,2.5162295183736965,1.6536412958598414,1.1690836102723663,8.756041799354138
01-22,0.060095501554587955,-0.0430385343267584,2.6902083787201687,1.705286022067852,1.139720472930952,8.728312486821007
01-23,0.09722726791706518,-0.07856461718996315,2.8823667262461266,1.749042076387292,1.1188352701841813,8.578309445179672
