month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.780422275299978,0.03390329283944782,4.172398247288797,3.7029632527133765,6.476753707658119,3.736835356627024,1.1365963741608123,20.34187468221769,1.6987855759405455,2.82499980385023
01-02,-0.7769172466636179,0.036570458091475154,4.177195826926248,3.7056440295382256,6.46542539314708,3.7367716727191946,1.1473350036822236,20.31087798235023,1.6922832189461607,2.827922477078164
01-03,-0.7677049671686756,0.04662849229923355,4.180376912127073,3.7089347958894714,6.448298439878232,3.73523652638765,1.158128332779148,20.197202270936593,1.6756002893841553,2.8243445188670075
01-04,-0.7507089839700297,0.05753985984032533,4.192935034364937,3.701099785930691,6.430291334741578,3.717746289651069,1.1727873589448694,20.18199656988281,1.6604113801299971,2.8295997461055102
01-05,-0.7255344822528652,0.06123641256660228,4.17772352697317,3.6859675242702914,6.409771567262951,3.6799496497394046,1.203515022412853,20.137177435754037,1.6438088671350632,2.8296943351769457
01-06,-0.6974207212764414,0.06397889121880514,4.1450675751369594,3.669379497305691,6.391937800141491,3.6589516894038514,1.2378072637484085,19.993822893981747,1.6227034405199252,2.8225297953255066
01-07,-0.6698017751148324,0.06357470320434132,4.078793104782229,3.664399401857343,6.378320417855835,3.646176959867349,1.2457310947778328,19.934197942893935,1.5982301959411862,2.801993623733432
01-08,-0.6451724585828531,0.0680179225972849,4.035612708501574,3.6655964167212924,6.371546104811437,3.6334093408299886,1.2702628613702658,19.951067004492185,1.5570076026276147,2.8071278393725434
01-09,-0.6752967003681194,0.051549679833199025,4.437906619977202,3.6572451706048494,6.409008910748713,3.618763560362841,1.303291537293818,19.899884342001066,1.5273062655691434,2.809912553882359
01-10,-0.7061328056270284,0.029954887968113988,4.840702739490854,3.6424337780300795,6.450678938963858,3.5187350753293125,1.2706147300860757,19.921311171328654,1.4485833746884291,2.776917674858412
01-11,-0.7365028191548877,0.003891311969568286,5.244958505535673,3.62735519055761,6.499168914248426,3.4995996360546613,1.2652397530362824,20.003307864802114,1.4209278283283224,2.787199148689675
01-12,-0.7161429760533253,-0.009821462104222014,5.214733714633236,3.6237218295165134,6.5060506666954305,3.495450445288167,1.2751541964929245,20.057910220273364,1.3982647229420984,2.799537941377833
01-13,-0.6929092204156008,-0.01639589458666683,5.206518227431105,3.624307593099559,6.510912125070099,3.4963866157326877,1.272120250545927,20.11426340380845,1.3851988155674377,2.8103754145330044
01-14,-0.6695727839128929,-0.016557212212508558,5.220616916320392,3.625655067914781,6.521627692360933,3.489474794351412,1.2631440735168133,20.128920173853402,1.3745696243658798,2.808739316440861
01-15,-0.6413220117609796,-0.018904312343787536,5.249810469782027,3.6282532366262656,6.534331025967455,3.475298175816677,1.2645637182069263,20.222022458285792,1.35238553442025,2.814159393744422
01-16,-0.6170376901447903,-0.018456942144982124,5.296634949884897,3.6337056318032652,6.543341510169149,3.4711131560309014,1.2587467507261159,20.294318769145708,1.3160175884500074,2.829371084556146
01-17,-0.5976361479709682,-0.02245381696187154,5.332150450544153,3.636848005865943,6.545086242292779,3.464777311403919,1.2732815722351656,20.28482292673214,1.293423967040948,2.840421665177264
01-18,-0.5785126141062406,-0.020966800501204735,5.376225765659961,3.635692931166479,6.542657976029715,3.4320154900690683,1.2869597044377246,20.28780350148595,1.2612240490005031,2.8410433618162982
01-19,-0.5561567863581424,-0.038590170673911496,5.371449524633839,3.634829769082126,6.534651353242254,3.413149775542431,1.2956417313318718,20.254043032116847,1.2474433381563694,2.8354717434769214
01-20,-0.530599394447516,-0.06164520234942617,5.3195925158068205,3.634843935215827,6.530796542816561,3.399430280338582,1.2986495125943636,20.215032985292932,1.225749201397868,2.8482854469795638
01-21,-0.5088919430039912,-0.08861731219441536,5.2240664289937255,3.6310546112501156,6.521153111187644,3.3903007319436713,1.2927987309417046,20.31858377233304,1.202487128228632,2.860182463880467
01-22,-0.48598830989655856,-0.10044478896720238,5.149541473831886,3.6204234413000607,6.522736239284547,3.3804883226248235,1.2634772496273905,20.292760383570062,1.2001683771039477,2.871369443992677
01-23,-0.46310348410532015,-0.10423467142611063,5.089295498847527,3.6022251483811267,6.513854590414808,3.3536101132930525,1.276110478392591,20.339270509769875,1.1689598754680497,2.8717398951053648
01-24,-0.44140129720297056,-0.11381066499613006,5.0540203571965,3.5872653275000435,6.514952853470935,3.328311281429501,1.275237382895833,20.239191937986327,1.1650562065647594,2.858393621598335
01-25,-0.42481542974506525,-0.1389597488439273,5.015701465545475,3.572406848682339,6.5184798596104025,3.3150131418666438,1.2556420104594657,20.27402743710343,1.1639469312028932,2.856767912459666
01-26,-0.4113948400649378,-0.17544251324728002,4.987802712783338,3.5632930102698404,6.528616999855483,3.3093028542699257,1.242175707649155,20.397168132890425,1.1595505215410569,2.8744137489644723
01-27,-0.3891239031625882,-0.20602406237285498,4.938439376687868,3.5561801913690636,6.535463606138073,3.30717682948386,1.2346966047042534,20.44811774037329,1.164513016317654,2.8913495441586075
