month_day,east,north,up
01-01,-0.4478977485380023,0.17918795872503843,4.232794716489517
01-02,-1.323729791951043,0.10967923349069114,2.878652414249432
01-03,-0.7553488460169959,-0.1778475276062302,1.941578512504421
01-04,-1.1607950568046022,0.036314837618074976,3.3675400312778936
01-05,-1.261976031434672,0.26530457402822094,3.6432288577179124
01-06,-0.8100677131284055,-0.27925063106313913,3.1925899574636323
01-07,-0.5184231262531076,-0.21534594469557952,1.8733021511434356
01-08,-0.5442400778393466,0.33786643397967653,4.3303989602078525
01-09,-0.1992877986563625,-0.049228879652754534,1.480418846195351
01-10,-0.39827859937982996,0.8471334332083309,2.0016693620572084
01-11,-0.27230264638137996,-0.10993880231867993,1.1386819405500073
01-12,-0.30865805950608005,-0.07388026979727212,1.823624903460579
01-13,-0.38839808801540426,-0.3522832757374045,1.9259524817557696
01-14,-0.38059965498625775,-0.3103785893698384,1.6049723677432675
01-15,-0.47033968349557614,0.06860302007464998,1.6116076383461542
01-16,-0.4646181735433512,-0.23556921663470612,2.0518582935644107
01-17,-0.3888966635911281,-0.09374145334406811,1.3840320257057521
01-18,0.30251715405340135,0.30493246379272637,2.2306672963086416
01-19,0.25808481785176807,0.020529457852601986,3.2664564130653693
01-20,0.21772940472706417,-0.4578735480875261,2.990399375975941
01-21,0.08552783775621228,0.2673388305877303,1.5289577235019016
01-22,0.12540319386228524,-0.501910329198557,2.9398237633355504
01-23,0.28374008842988235,-0.35323641206176093,2.5505359570153625
01-24,0.2717692906897977,0.12066827430580947,3.4151712276182384
01-25,0.22187541602663757,-0.045273193172782555,2.8556526520672754
01-26,0.1124430798250011,-0.28821466065137386,2.6823648457470837
01-27,0.1300768133976682,-0.35943561649180467,2.116315116152349
01-28,0.20777909258065463,0.13531522372192248,2.8790785918834367
01-29,0.4650647050969816,0.07339939726897231,4.249342067614523
01-30,0.7658503176132948,-0.09759976251730802,3.5166055433456123
01-31,0.15805259679628372,-0.2402655889702577,2.8189523524100353
02-01,0.06702126292949319,0.08738621131796319,1.6490623120319003
02-02,0.373435080574023,0.10959858999321935,1.588851428788634
02-03,0.24992582129546184,-1.4294198005622905,-0.9250517621469476
02-04,-0.21158343798307355,-0.5335151141947235,0.7685065853790062
02-05,0.06790730273837543,-0.3928411970579262,-0.08385814401810876
02-06,1.050432938560909,-0.3337605476879535,0.7027832067965546
02-07,0.6623539934748882,0.2865258033530569,1.1457895657211639
02-08,0.4446139649655757,-0.46926181797167743,1.387424836324044
02-09,0.32928977610986604,-0.04842469371345951,1.889823633989817
02-10,0.22649205529285807,-0.7824238534997434,0.5192537763875779
02-11,0.7110276678091813,0.06249365338063958,-0.482732747881343
02-12,0.5145879403476216,-0.9644317279353612,0.543635885874555
02-13,0.06884791183828955,-0.6602962723370234,1.6569634641697415
02-14,0.21041557563668134,0.44945456787669585,1.1952910424649281
02-15,0.7830867845411346,-0.17208631909782093,-0.8790121782903313
02-16,0.46547765098857496,0.08459079905692317,2.0712464445118863
02-17,0.7550453147869476,0.1647262546552541,0.7578047920378551
02-18,0.4126899016622512,-0.198984443592562,0.7277477549484322
02-19,0.4217960269990793,-0.7711566803019247,0.39430610247439163
02-20,0.012681513789422874,-0.11649878469589996,0.308055200365106
02-21,0.5628581023509833,-0.12571275681400407,-0.35143080317096154
02-22,0.7724257661493681,-0.578115762754137,-0.08225707102961402
02-23,0.8218395837938886,-0.29628799946349405,1.291608968804037
02-24,1.2649457091307295,-0.6862294669420816,1.8865519317146078
02-25,1.263359526775249,-0.06370939595912753,3.3302641253944163
02-26,1.328388729035173,-0.009804709591566488,-0.21148521938731774
02-27,1.0298025466796934,0.15671536139138126,0.6719962050617246
02-28,0.9908317489396126,0.07469697083586734,2.468323783356906
03-01,0.9221576310109852,-0.20814814890109218,0.02636600989773486
03-02,1.0038791409632069,-0.40893577022584265,0.3098474343467643
03-03,0.5024559716141148,-0.7485846143911381,-0.6771023579382079
03-04,0.5681582507970955,-0.4216671075107558,-0.7982555488737854
03-05,0.5547771966467554,-0.6559996006303729,-1.0746587398093606
03-06,0.3364794758297525,-0.5463320937499864,0.03902140258839163
03-07,0.32976508834606716,-0.5876645868696055,1.9840348783194723
03-08,0.4862173675290566,-0.24008041332254434,0.013381687383898111
03-09,0.09208631337871982,-0.03199623977549789,0.31722849644832135
03-10,0.12828859256170588,-0.674828732895115,0.8762419721794069
03-11,0.8096575384113672,-0.7506612260147278,0.7135054479104888
03-12,0.6266931509276882,-0.4078270524676763,0.18410225697491356
03-13,0.4909787634440062,-0.8314928789206307,0.5280323993726661
03-14,0.5871810426269993,-1.0092420387069054,-0.3365374582295774
03-15,0.5907999884766552,-0.4052411984931889,-0.5554406491651586
03-16,1.0653356009929702,-0.44965702494613424,-1.4700938401007377
03-17,0.9343712135093097,-0.540406184732421,-2.727997031036322
03-18,0.5930734926922862,-0.48523867785203656,-2.3662335553052274
03-19,0.3747757718752851,-0.36665450430498464,-2.114470079574145
03-20,0.17439471772493675,-0.6021536640912691,-1.54962327050973
03-21,0.39459699690793687,-0.4018194905442112,-1.3843597947786368
03-22,0.27313260942425543,-0.7911519836638264,-2.1905129857142156
03-23,0.604001555273913,-0.5113178101167808,-2.4664161766497963
03-24,0.31528716779023114,-0.5574836365697244,-1.2658193675853753
03-25,0.3398046013571936,-0.7762299943922973,-0.46175854890328466
03-26,0.5379457028909584,-0.5658778594934285,-2.1090504835452406
03-27,0.48906464874062533,-0.5770436859463798,-3.618870341147483
03-28,0.22868359459028179,-0.3718761790660026,-3.0545235320830564
03-29,0.18563587377326604,-0.6448753388522803,-3.4846767230186395
03-30,0.3914750881812381,-0.5277485205964306,-4.709092685399361
03-31,0.3602944088739998,-0.32868622844265083,-5.036074505645167
04-01,0.36824668805697885,-0.4567687215622633,-4.85222769658075
04-02,0.4609489672399801,0.2928987853181149,-5.559630887516325
04-03,0.2849012464229664,0.45048295886517015,-4.862200745118576
04-04,0.13427019227262468,-0.01734953425444748,-3.7587706027208223
04-05,0.4538891381222818,0.007317972625938178,-4.116340460323067
04-06,0.2630080839719338,0.14773547950632349,-2.891576984591977
04-07,0.08937702982159716,0.10556965305337229,-2.1623968421942314
04-08,0.39891264233791784,0.09048715993376118,-2.9828000331298092
04-09,0.6012815881875765,0.21590466681414475,-4.388703224065387
04-10,0.9309005340372339,-0.15151115963880457,-3.601023081667632
04-11,0.8593528132202254,0.7691563472415766,-2.973926272603214
04-12,0.810555092403213,-0.11534281254470595,-5.257162796872126
04-13,0.39409070491953574,-0.053591972330983374,-5.0394826544743685
04-14,0.33254298410252403,0.08932553454940202,-6.628885845409944
04-15,0.2909119299521817,0.3927430414297864,-6.42678903634553
04-16,-0.2107191241981662,-0.11717278502316357,-7.024858893947781
04-17,-0.05476684501517326,0.19424472185721756,-5.047762084883353
04-18,0.34535210083448104,-0.16142110459572537,-6.044498609152272
04-19,0.03830438001747775,-0.18825359771534225,-5.676568466754517
04-20,0.4819233258671325,-0.0034194241682848534,-6.458971657690095
04-21,0.2644589383834604,0.19108141604542972,-6.159708181959
04-22,-0.14817211576689124,0.24449892292580996,-7.222528039561254
04-23,0.3731968300827653,-0.1785835701938042,-7.474847897163497
04-24,0.08456577593243371,0.3520839366865835,-7.401417754765748
04-25,0.8346013884487485,0.24925144356697318,-7.228154279034656
04-26,0.22172033429839408,0.349252283780683,-6.3887241366369
04-27,0.660089280148064,0.353003123994404,-6.769627327572484
04-28,0.528791559331046,0.3350039642081188,-7.110697185174736
04-29,0.7429938385140437,0.40083813775517524,-7.780683709443639
04-30,0.4419461176970323,0.3095889779688932,-7.528086900379226
