month_day,east,north,up
01-01,0.2951656768959144,0.6866831497635912,4.2741145884370315
01-02,0.2543822911301707,0.3362598587391952,4.15994507800078
01-03,0.3272965020949677,0.5402507326094056,4.563295492951149
01-04,0.31515756995343064,0.43635158200817853,4.548359397797441
01-05,0.28727924387250003,0.4341857647402845,4.342229363249792
01-06,0.2314797056703561,0.4307229777754214,4.004784177186992
01-07,0.2512135008015461,0.39758140293177,3.8051935365787375
01-08,0.28602002320546377,0.39044588869417923,3.665936229303817
01-09,0.29659624257907835,0.423807344153558,3.5272061947561695
01-10,0.2776876134678444,0.4114536480977856,3.2629307056630665
01-11,0.2760941358717627,0.3360332853753466,3.1197521862669335
01-12,0.32132490069992264,0.24917049841048317,2.9201979092950427
01-13,0.29030112007353653,0.16578649932440817,2.8654496929292135
01-14,0.3111500667198783,0.1639964396322717,2.8342348098967167
01-15,0.2957687103359174,0.19146698600074122,2.901347199591493
01-16,0.286047960012562,0.17351328994496892,2.8993989832256633
01-17,0.3225999369619341,0.1741535332831356,3.1066871304961965
01-18,0.3434246411840336,0.16763620086372685,3.183781338372791
01-19,0.36158873934552693,0.145579474504924,3.22712403109787
01-20,0.37770435265853486,0.15777123299460633,3.4447576329138587
01-21,0.4403108750624526,0.1646660217873188,3.505070022608635
01-22,0.43025073079970344,0.1632699014891218,3.6541824123034106
01-23,0.4527602835066513,0.11271620543334983,3.7628644989678834
01-24,0.4902940786378421,0.050792812407879945,3.9518981007838714
01-25,0.5329672677084258,-0.009045732132740625,3.91323473290289
01-26,0.5690162143547673,-0.0070963978854832795,4.013638031688576
01-27,0.5163863731223209,-0.07781979091095236,4.0202595122924425
01-28,0.5354838046171478,-0.061761365754604274,4.05708099289631
01-29,0.5616842664150052,-0.10435142544673956,4.000199443197146
01-30,0.6095998797280134,-0.14060815180554265,4.019723954104044
01-31,0.6370064021319309,-0.1015800296794965,3.947654525617001
02-01,0.6226189851419089,-0.09509736209890543,3.7580275213723837
02-02,0.5824194469397658,-0.18271772482134432,3.6196974868247356
02-03,0.552516878434593,-0.1561744511801474,3.5599553310649665
02-04,0.55821430992942,-0.19740693511470758,3.3156616601536815
02-05,0.5359844686969738,-0.1786697220795714,3.232525564999973
02-06,0.595827354737255,-0.14386584237776778,3.037098560755355
02-07,0.6357550892623848,-0.1635165081305102,2.882047314086495
02-08,0.7366282783329683,-0.13233687085294907,2.6622687946903625
02-09,0.8199135886156735,-0.08467238509054008,2.603702396506351
02-10,0.8282595049589848,-0.07934729326752464,2.596978422564763
