month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.6125052458266217,0.047196791203516233,3.2608869748462896,3.3062364064989764,3.8183978019218587,1.1396155357870486,3.0514862263829463,6.277496094570542,1.644073209626475,1.122030505277618
01-02,0.5994410893918858,0.06055350607099908,3.2353637007638802,3.320464759688845,3.8217238801533546,1.155036238319316,3.127704880720654,6.23233562928327,1.7223023130269441,1.130888762864744
01-03,0.586181323593679,0.0685698031271611,3.1990656156918242,3.3230863317437698,3.8179106548054644,1.140844802583959,3.1729491793247924,6.294511418798358,1.7721503528055766,1.1444071791064068
01-04,0.5663549013607364,0.08483448171747257,3.127353423204026,3.325938368591519,3.8073702216689824,1.0650157604689023,3.153686969084966,6.326694331040599,1.7023905191392916,1.151554599552737
01-05,0.542225817704048,0.08476374020715469,3.0525951310806203,3.319145623019509,3.7939933884961112,1.0105547544873608,3.132318484120363,6.380300339279474,1.6242395479679401,1.1594243614726176
01-06,0.5148192340473594,0.07360966536350337,2.9969360056238807,3.295473521406387,3.779759938937485,0.8803808693923666,3.0935546372024874,6.326847212474173,1.525557197999999,1.1330468113018362
01-07,0.48995181705733754,0.05489892385318533,2.9697935468338086,3.272052057330582,3.769376910376815,0.7786332011562206,3.047602260487171,6.4733079445342545,1.4283707294803119,1.1505594840988689
01-08,0.46260273340064906,0.02431901567620065,2.9661019213770694,3.2567180416806916,3.759989280998119,0.7147319954400119,2.9985902689207067,6.526112403932364,1.3475548462262088,1.1535972691967606
01-09,0.4440678164106272,-0.009628392500784021,3.01426779592033,3.251078878636717,3.75584424481531,0.6879744577152143,2.97128283369952,6.4676239258189,1.302363356087812,1.1521176673141713
01-10,0.43585588369184297,-0.0440120403758808,3.0827294693704124,3.2459941762766387,3.7454812298719253,0.7034973620546604,2.977926014487924,6.452701513181027,1.2945126159488172,1.167910534331724
01-11,0.4312040861822004,-0.08652816764720178,3.1443419073008023,3.239350399971403,3.73757798116564,0.6793833286329505,2.944675643921046,6.352643869200854,1.2659853394379188,1.1492758386304698
01-12,0.43131921816982655,-0.1122963593650617,3.200324559893698,3.2321047758504315,3.7352772604704247,0.6718916813215945,2.911803811274535,6.41197550358054,1.213840637451286,1.1520492439430323
01-13,0.42868724060951524,-0.13035203391310846,3.182545210664628,3.2149618617283777,3.722259887408838,0.6665407970783223,2.95570749939864,6.385427406999047,1.2201268355411112,1.1377729079196113
01-14,0.42563491398710807,-0.14673144815926725,3.131620827009046,3.209081212475391,3.703644401465698,0.7062979279176832,2.921246370498917,6.150097576177179,1.1660999712699054,1.0728519219352977
01-15,0.4273567540313677,-0.16077419573875942,3.0859064433534638,3.2098689396739686,3.67992840816203,0.7284615881962019,2.932160648877244,6.01315056925501,1.176225290965041,1.0729999733283302
01-16,0.4242601331208336,-0.18490819160127026,3.0421834428490184,3.213623184673927,3.6455772420333403,0.7583555010625501,2.924215000205299,5.94546633625997,1.1492239404974947,1.0774173982654833
01-17,0.4228611060294745,-0.21376802766503966,3.0041390764066924,3.217631282075148,3.608767408898125,0.7814642086308008,2.9376801233920955,5.75952097556931,1.1508384154109572,1.057406704023756
01-18,0.42174361039564034,-0.24675455099925153,2.972733945484058,3.2135684794521717,3.5743064082357523,0.848377987902705,2.905515963284128,5.618309975842048,1.1355499351542413,1.0451023766414145
01-19,0.4132876462193311,-0.28495776160390585,2.910914716747782,3.2104696428765425,3.538874537533817,0.8533860807527068,2.8779809826485545,5.527296118222905,1.124535175796932,1.0338873485391376
01-20,0.4051532135005467,-0.3233768261456692,2.8530063901978635,3.2061370938187226,3.5110080983568475,0.8951280190670609,2.824365446412113,5.444245091009612,1.0671086827838687,0.9990690282021787
01-21,0.4011691298438582,-0.3591259009893205,2.8192605980744583,3.2038188723630814,3.4934005488800564,0.932272638581865,2.8581470535135702,5.3825643929694005,1.0939529974205384,1.0071813511444998
01-22,0.39980921285383636,-0.3879491424996385,2.8045223059510525,3.2080126744808175,3.4812268114071205,0.9238867875914268,2.840960892159523,5.277125754121804,1.079995616333147,0.985958968736732
01-23,0.4030217958638145,-0.39648821734328976,2.8088190138276468,3.214767430064933,3.468831923328352,0.9517010335258388,2.8281678625033013,5.194377725069143,1.0692313990145497,0.9654370128062123
01-24,0.41333437887379254,-0.3987347921869411,2.8193957217042414,3.2211954389182056,3.4546901013713267,0.9963607310629929,2.8423228641298928,5.131645165463402,1.0565179576896946,0.9669262115897658
01-25,0.41780196188377067,-0.40778386703059233,2.8412149295808353,3.240176626164695,3.4450094481380167,1.103265444940404,2.788798944326064,5.026254352579282,1.0470577091769444,0.9452709569128261
01-26,0.41938037822708213,-0.4140554418742436,2.8434941374574296,3.271512674341521,3.4365482213101277,1.1552128432360314,2.7828850207125857,5.055094182818125,1.0193448644519483,0.9556689227278237
01-27,0.42378546123706023,-0.42749201671789494,2.857607512000691,3.302729914738148,3.433502364692446,1.2443432318072587,2.795304591380017,5.1081165066177485,1.0126433173695943,0.9873357522675993
01-28,0.4301280442470383,-0.43880275822821285,2.867166719877285,3.3274598961707493,3.4364492390107273,1.2828674575539807,2.779446614109663,5.169973409291084,0.9805250555859046,0.9987495814192869
01-29,0.4434664605903499,-0.43725933307186415,2.878446761087213,3.3433572824271787,3.441751616029082,1.2998524908447366,2.757682073020346,5.279234363446123,0.9765553173634902,1.0213985393185245
01-30,0.4677882102669946,-0.44566340791551534,2.8932934689638072,3.3446628459012904,3.4547963771240675,1.3185811785194446,2.730865168408144,5.34266990110196,0.9656522638008244,1.0180412664173286
01-31,0.5082007932769725,-0.4524941494258332,2.908074343507068,3.348274591159877,3.4748450278450864,1.327727921962569,2.6933842293765298,5.545840901402315,0.9217587034064768,1.0354244302911537
02-01,0.5603883762869506,-0.46267822426948435,2.9122843847169957,3.357223880465382,3.488587059873003,1.3447956536349197,2.6317382024999922,5.615227542064727,0.8129981848869059,1.0276687278751064
02-02,0.6162509592969285,-0.4714022991131356,2.92878859259359,3.3650975265814713,3.501783047748979,1.3303705867742381,2.6056771448327223,5.5210256562936895,0.7938772994204996,1.0102656004959236
02-03,0.6671793756402398,-0.47174470729012014,2.943874467136851,3.3761348856498135,3.5084250450258443,1.3528926168835942,2.589746805648339,5.63380344988493,0.7564306901379498,1.042263217109474
02-04,0.7027219586502178,-0.467237948800438,2.9662386750134453,3.379156029808976,3.507687755973323,1.3663355888143054,2.5654751713994823,5.635405202558658,0.697524122676938,1.0428017927681603
02-05,0.7238420416601958,-0.46311619031075585,2.9898487162233733,3.3815869110490127,3.503102021712949,1.3658327330385613,2.5545368447991006,5.651612535946677,0.7010575162706355,1.0557347158343957
02-06,0.743519624670174,-0.46436276515440705,3.007477924099968,3.3834146856988365,3.4956744420103805,1.38895389540549,2.548195795730707,5.496281945593563,0.7127316116095521,1.0397084614600118
02-07,0.762359707680152,-0.45535600666472476,3.000112965309895,3.374518189377666,3.4898185519542286,1.375179114210465,2.5334127810564135,5.517616498228278,0.6972387828345158,1.0490660997793988
02-08,0.7750347906901301,-0.4476709148417093,2.9585463398531564,3.366270326543961,3.4844806307773823,1.3459054495986997,2.5194398507039577,5.662396394838838,0.701087123209704,1.0705583265980343
