month_day,east,north,up
01-01,-0.145662191003173,-0.9960618398100288,2.0746119583958844
01-02,-1.0160232654508812,-0.724852187956773,2.3776167030667525
01-03,-1.1845349783326498,-0.011209692732301515,-2.2861402317782398
01-04,-1.0457407900721576,-0.5904599641053782,-0.06599150051119348
01-05,-1.0008037446688114,-1.0972816640498853,-0.14898562638700344
01-06,-0.63215241355117,-0.5299605068515298,0.4094488191657512
01-07,-0.9716439395763911,-0.2549250639388907,1.1928832647185104
01-08,-0.6668497513158945,0.18839609325946238,3.2246034245569897
01-09,-0.8267698487696836,-0.8201398923993295,0.8378950129668864
01-10,-0.6718328033663309,-0.0332473066295474,-0.00038482719463571257
01-11,-0.6198957579629807,-0.45264043514548125,-0.04652181021330749
01-12,-1.0863872839882036,-0.5743192779471283,-1.1648016503748337
01-13,-0.684938226449693,-0.7232031160061013,0.2664422281082359
01-14,-1.1173583239034839,-0.7145605302363235,0.12134095937528144
01-15,-1.3776534213572758,-0.5167929444665408,2.563489690642328
01-16,-0.8290735188110654,-0.4879003586967584,3.6765134219093722
01-17,-0.44449361626485473,-0.6021327729269783,1.112537153176417
01-18,0.5014612862813501,-1.0481151871571943,0.5156858844434646
01-19,0.15229118882756287,-0.4730976013874165,1.3209596157105095
01-20,-0.13412890862622495,-0.4950800156176349,0.08560834697755393
01-21,0.023825993919980526,-0.3344374298478521,0.6677570782446018
01-22,0.466030896466191,-1.5181698440780682,1.4677808095116482
01-23,-0.040764200987600585,-0.9069022583082899,3.6198045407786887
01-24,-0.414684298441387,-0.13413467253851075,2.9352032720457357
01-25,0.01602060410481876,-1.3896170867687276,4.208977003312785
01-26,0.24985050665103214,-1.069224500998945,4.222375734579826
01-27,0.5011804091972416,-1.3502069152291634,3.470649465846874
01-28,1.0610103117434488,-0.3006893294593813,2.7670481971139225
01-29,0.6430902142896588,-0.8211717436896014,1.7581969283809658
01-30,1.1044201168358692,-0.5410291579198206,2.074720659648011
01-31,0.2875000193820827,-0.8522615721500358,0.3492443909150582
02-01,0.08757992192828823,-1.2307439863802596,0.17251812218210016
02-02,0.48228482447449705,-0.9221014006104766,2.2606668534491474
02-03,0.33923972702071037,-0.8358338148406966,3.5018155847161925
02-04,0.49644462956691493,-0.6365662290709129,3.4684643159832342
02-05,0.634774532113128,-0.8045486433011331,0.9376130472502844
02-06,0.0797294346593409,-0.6611560575313522,2.7602617785173287
02-07,-0.2238156627944532,-0.674763471761572,1.7575355097843737
02-08,-0.4347357602482451,-0.9522458859917907,3.1660592410514186
02-09,-0.24440585770203116,-1.1952283002220057,3.327082972318463
02-10,-0.6240759551558206,-1.077335714452226,1.836106703585508
02-11,0.16487894739038156,-1.0890681286824448,1.9687554348525511
02-12,-0.18379115006340951,-1.7276755429126636,2.1557791661195997
02-13,0.019163752482804775,-1.2541579571428805,1.575427897386641
02-14,0.5438686550290166,-1.682015371373102,0.7557016286536893
02-15,-0.08205144242478024,-0.5097477856033191,0.8826003599207324
02-16,0.007278460121431074,-0.6453551998335391,2.242874091187778
02-17,0.3289833626676453,-1.147337614063757,-0.004102177545174612
02-18,0.5771882652138505,-1.0919450282939747,0.8996715537218689
02-19,0.2938931677600607,-2.352552442524195,2.383445284988915
02-20,-0.37277692969372467,-1.2281598567544123,0.34534401625596356
02-21,-0.1835720271475174,-1.3023922709846352,0.08074274752300248
02-22,-0.6568671246013098,-2.099124685214847,1.3985164787900528
02-23,0.24633777794490364,-2.0519820994450706,2.2971652100570994
02-24,0.34366768049111496,-1.80758951367529,2.957563941324141
02-25,0.43737258303731963,-1.8576969279055078,0.7608376725911894
02-26,0.5585774855835299,-1.3114293421357255,0.004236403858236315
02-27,0.6929073881297456,-1.3936617563659435,0.6950101351252789
02-28,-0.11613770932404988,-2.0165191705961645,0.053908866392326615
