month_day,east,north,up
01-01,-0.7290604301311278,-0.6463289482055509,1.348163859515335
01-02,-0.7698815997812727,-0.8986135388106479,1.1763601030409565
01-03,-0.7370825441470987,-0.6990049577260653,1.3833009284077178
01-04,-0.7175786005869674,-0.7435488037483086,1.1832389762672635
01-05,-0.7144625358147146,-0.7419774982554003,1.1333649029146877
01-06,-0.7082495013454925,-0.7897758897321888,1.068890829562112
01-07,-0.6920304062702102,-0.8462470084817046,0.9742894834822636
01-08,-0.6957931293767459,-0.8887787332918271,0.8652032889175668
01-09,-0.7214649433923722,-0.9174862156777066,0.641365579201355
01-10,-0.7226700907413316,-0.9039997586696472,0.6689581725154455
01-11,-0.6921964502115036,-0.9501011804494663,0.7230416749204456
01-12,-0.678201597560463,-0.9991601779868611,0.7391191167193856
01-13,-0.6521825024851805,-1.0301828118878922,0.6943238312455977
01-14,-0.5894482558947459,-1.0221084760919534,0.6457406669839311
01-15,-0.5331443123346145,-0.9925614130232879,0.6621696239343854
01-16,-0.515264611198726,-0.9612022287425013,0.6215682778545372
01-17,-0.46049400097192805,-0.936873347492017,0.5899790529868102
01-18,-0.3943961180178573,-0.9401384056354722,0.6895716463009012
01-19,-0.36720126536681685,-0.93022770620317,0.8052127244634771
01-20,-0.35295792786729124,-0.9015654916193528,0.8082174389896898
01-21,-0.3338782267314025,-0.8484608527931115,0.8256342747280232
01-22,-0.33841670741369484,-0.8485925776032335,0.7604208074360534
01-23,-0.2779309456717449,-0.8489061205951736,0.7340558249925688
01-24,-0.22914821423282544,-0.8371954211628715,0.8000666001248414
01-25,-0.21960184643027028,-0.8691695702154179,0.6699804055601446
01-26,-0.20955850893074493,-0.8369679616922064,0.6960699685712054
01-27,-0.2072182017342498,-0.7882693834720255,0.6124019558246903
01-28,-0.19124153090139107,-0.6943708052518448,0.6251460642902964
01-29,-0.20688910249277442,-0.6479873785468153,0.6543992636649936
01-30,-0.18449424984173451,-0.6383312245690584,0.5596282206154485
01-31,-0.17456606385736065,-0.6329114342276653,0.5319420260507516
02-01,-0.15897121120632043,-0.6336552802499086,0.542831589061812
02-02,-0.17669151007043143,-0.6210839747570006,0.45297569752741845
02-03,-0.20328453620727005,-0.6051187298701532,0.388744048417267
02-04,-0.1868472593138052,-0.656165606195427,0.24880330839802475
02-05,-0.16727058848094692,-0.7001458158540339,0.08772923504544879
02-06,-0.15734846310263356,-0.6715563285429439,0.05439455563226726
02-07,-0.16169300439098744,-0.6240759321409451,0.03567805803726723
02-08,-0.15274057598237123,-0.5635591721025829,-0.019123288042581264
02-09,-0.11284875363436093,-0.49485453327634127,0.05274203254423717
02-10,-0.11716299189241174,-0.45154383384403884,-0.05781082868712595
02-11,-0.0657741998474324,-0.4266937404723425,-0.13200005355485314
02-12,-0.0852096502266947,-0.4622436471006464,-0.20393473296803533
02-13,-0.09686328242413955,-0.4555208264562228,-0.31398456389636825
02-14,-0.12825630856097783,-0.400791945205739,-0.37480409179439855
02-15,-0.12122509227357377,-0.40017821547040666,-0.515678165146974
02-16,-0.14052720931950294,-0.3799038796744681,-0.5513461778934888
02-17,-0.09316265969876562,-0.3529568166058024,-0.689583887609701
02-18,-0.030319322199240564,-0.2999976323250148,-0.830670082174398
02-19,0.031202803179072678,-0.2028505692563491,-0.8510896100724281
02-20,0.08799765583011321,-0.10506108194525926,-0.8602485319098523
02-21,0.158804629693275,-0.15771401887659356,-0.8281044234442461
02-22,0.2221570581018913,-0.2249487739897461,-0.8462815270998516
02-23,0.25819433499535605,-0.2520623169816858,-0.8201131762100033
02-24,0.27814070279791125,-0.2685213145190807,-0.86169634047167
02-25,0.301570382099406,-0.2777773548681369,-0.9249361535045989
02-26,0.28870222590306527,-0.2404389896227874,-1.01971382867539
02-27,0.32602389654655134,-0.25813337496018823,-1.1965198921245692
02-28,0.3729662283470629,-0.3032854208188862,-1.1939797169638735
03-01,0.3899139056364256,-0.3173495624246977,-1.2418819199351474
03-02,0.24782230246483578,-0.299435484547489,-0.7113053564164324
03-03,0.26763897329769437,-0.32742054269094456,-0.7236933691629475
03-04,0.2740556441305531,-0.3786189341677333,-0.5964680485761289
03-05,0.2608323149634116,-0.39409732564452205,-0.5945493946559776
03-06,0.2234156524629368,-0.40358905045464394,-0.6124574074024929
03-07,0.18135232329579498,-0.42395410859809896,-0.6403387534823409
03-08,0.17224232746198717,-0.31631250007488754,-0.6431267662288558
03-09,0.19003233162817898,-0.19379089155167578,-0.7643681123087042
03-10,0.19618900246103826,-0.20904261636179813,-0.9662027917218861
03-11,0.17929900662723,-0.18108100783858688,-0.9274374711350678
03-12,0.19574234412675565,-0.23001273264870853,-1.018418817214916
03-13,0.21143234829294782,-0.22288445745883084,-0.8431068299614312
03-14,0.2075023524591396,-0.24257618226895322,-0.8424548427079459
03-15,0.18505902329199764,-0.23562790707907516,-0.9192361887877947
03-16,0.16825569412485616,-0.24323296522253054,-0.8685642015343096
03-17,0.13420569829104806,-0.26578469003265237,-0.8136988809474911
03-18,0.10494236912390756,-0.30537641484277417,-0.8837335603606729
03-19,0.09631903995676527,-0.2634614729862292,-0.9956615731071878
03-20,0.1083957107896241,-0.26593986446301804,-1.1125829191870362
03-21,0.1002990482891494,-0.2544315892731407,-1.1273309319335512
03-22,0.0629090524553417,-0.23548331408326278,-1.1678522780133997
03-23,0.011659056621533543,-0.21612170556005156,-1.3479469574265814
03-24,-0.04227760587894096,-0.2554000970368403,-1.4470949701730962
03-25,-0.07812093504608211,-0.2440318218469626,-1.4765563162529447
03-26,-0.05635759754655669,-0.21827021332375152,-1.617597662332793
03-27,-0.08862092671369784,-0.1492552714672068,-1.6811523417459746
03-28,-0.09519758921417251,-0.113253662943996,-1.8852470211591565
03-29,-0.08718091838131369,-0.0568053877541181,-2.026801700572338
03-30,-0.029990914215121504,-0.041497112564240254,-2.0981563799855203
03-31,-0.005354243382263063,-0.04006217070769543,-2.2519643927320354
04-01,0.017775760783928736,-0.0006405621844843279,-2.357459072145217
04-02,0.04679909828345406,0.15270104633872666,-2.3463004182250655
04-03,0.04182243578297924,0.2009426548619377,-2.360975097638247
04-04,0.05077243994917181,0.2696842633851489,-2.388863110384762
04-05,0.05431577744869702,0.16442587190836,-2.5152044564646108
04-06,0.07814578161488914,0.161307480431571,-2.6085524692111255
04-07,0.12442911911441405,0.17535575562144876,-2.586993815290974
04-08,0.11411912328060594,0.1789840308113269,-2.617995161370822
04-09,0.0866691274467977,0.1501789726678718,-2.732549840784004
04-10,0.08253246494632331,0.1443072478577498,-2.7023711868638522
04-11,0.10563580244584832,0.12708218971429433,-2.743152532943701
04-12,0.09543913994537376,0.1271637982375053,-2.7740272123568825
04-13,0.06798666020173288,0.3054888185653845,-2.2389051640514
04-14,0.05812148119447236,0.13656018776494044,-3.0019697699085945
04-15,0.0525848186939976,0.11804846295481819,-3.269331115988443
04-16,0.0340881561935233,0.0987500714780297,-3.3490591287349574
04-17,0.012391493693048506,0.024225013334574542,-3.62121380814814
04-18,0.015581497859240557,-0.05628671147554769,-3.9637151542279874
04-19,-0.021401831307900465,-0.13986510295233662,-4.10316983364117
04-20,-0.014438493808375297,-0.05112349442912527,-4.201964513054351
04-21,0.01887817702448342,0.04302478076075287,-4.328599192467533
04-22,0.026501514524008684,0.0014463892839645886,-4.534767205214047
04-23,0.05986485202353329,0.012267997807175645,-4.599408551293896
04-24,0.1326615228563919,0.08260293966372026,-4.596356564040411
04-25,0.14546486035591716,0.08043121485359798,-4.684471243453594
04-26,0.16106153118877584,0.12092615671014224,-4.733959256200109
04-27,0.19655153535496778,0.18796109856668738,-4.65989393561329
04-28,0.21608153952115988,0.17835604042323197,-4.692461948359805
04-29,0.2448782103540184,0.24011098227977676,-4.631583294439653
04-30,0.28341488118687685,0.3205325908029882,-4.478451307186168
05-01,0.3264915520197356,0.3645608659928655,-4.527119319932684
05-02,0.332594889519261,0.40168914118274357,-4.522133999345866
05-03,0.334218227018786,0.5175640830392881,-4.498495345425714
05-04,0.37018156451831064,0.5920990248958328,-4.459323358172229
05-05,0.37049156868450284,0.6124606334190442,-4.49901803758541
05-06,0.343208239517362,0.620828908608922,-4.480239383665259
05-07,0.34291157701688707,0.6355171837987997,-4.479480729745107
05-08,0.33996158118307995,0.6422254589886773,-4.448868742491622
05-09,0.2894715853492719,0.6032737341785547,-4.532243421904804
05-10,0.2828415895154638,0.6237153427017661,-4.538824767984652
05-11,0.284911593681656,0.6287369512249775,-4.5414261140645005
05-12,0.29756159784784797,0.5947985597481885,-4.641060793477682
05-13,0.2914182686807066,0.5931935016047332,-4.719702139557531
05-14,0.27391493951356544,0.615141776794611,-4.6353568189707115
05-15,0.24645161034642443,0.5767633853178223,-4.72937816505056
05-16,0.22245494784594957,0.5176983271743667,-4.684972844463742
05-17,0.23583828534547518,0.48648660236424474,-4.659034190543591
05-18,0.23902162284500114,0.4346215442207891,-4.5990422032901055
05-19,0.2439116270111931,0.3884764860773339,-4.609370216036621
05-20,0.24709496451071827,0.3663247612672117,-4.638091562116469
05-21,0.2618316353435769,0.38721970312375625,-4.63012624152965
05-22,0.2350483061764359,0.38260797831363447,-4.646080920942833
05-23,0.2422183103426277,0.3821962535035125,-4.662135600356015
05-24,0.2613549811754862,0.3697445286933904,-4.693976946435862
05-25,0.25548498534167857,0.3114061372166015,-4.883711625849044
05-26,0.27442832284120394,0.3193210790731459,-4.9310929719288925
05-27,0.273551660340729,0.328569354263024,-4.966927651342074
05-28,0.2896616645069207,0.2898842961195687,-5.078868997421923
05-29,0.3281516686731127,0.2924792379761133,-5.229410343501771
05-30,0.3882550061726374,0.24160751316599088,-5.261245022914953
05-31,0.43217167700549597,0.27298245502253576,-5.279719702328135
06-01,0.4814550145050213,0.28848406354574674,-5.34608771507465
06-02,0.5257983520045465,0.2889190054022913,-5.3030623944878315
06-03,0.573868356170739,0.3114672805921691,-5.409057073901013
06-04,0.6146783603369307,0.3440822224487139,-5.292165086647528
06-05,0.6502816978364561,0.281423830971925,-5.363426432727376
06-06,0.7041183686693144,0.2778654394951361,-5.348941112140558
06-07,0.7306683728355065,0.25465371468501385,-5.435142458220406
06-08,0.7699450436683649,0.2548953232082255,-5.4394704709669215
06-09,0.81552838116789,0.2776569317314368,-5.323305150380103
06-10,0.7880717186674153,0.27256520692131486,-5.349953163126618
06-11,0.8078817228336073,0.275666815444526,-5.2620478425398005
06-12,0.838038393666466,0.28000175730107035,-5.102575855286315
06-13,0.8384683978326579,0.2739966991576147,-5.10652386803283
06-14,0.8426050686655169,0.3416716410141591,-5.039925214112678
06-15,0.8548684061650418,0.38021991620403717,-4.963673226859193
06-16,0.8618850769978996,0.37970819139391504,-4.864327906272375
06-17,0.8340722322731803,0.40294139347749097,-5.25479768481278
06-18,0.8044830213739664,0.3620498159383527,-5.210123212131423
06-19,0.7968595129540915,0.3843141612642281,-5.273345709147036
