month_day,east,north,up
01-01,-0.4169028543735516,-0.6462925845691871,2.05171537466685
01-02,-0.8376732664479416,-0.9829052054773086,0.5592851030409567
01-03,-0.6506461805107322,-0.4887867759078843,0.060064564771353475
01-04,-0.7775119339203009,-0.8596518340513394,0.437711703539992
01-05,-0.7331958691480506,-0.9499714376493419,1.4077224786722642
01-06,-1.0235161680121612,-0.8756546776109757,0.8478241628954443
01-07,-0.9173819214217257,-1.1798833721180642,1.2303803925731736
01-08,-0.505520402104015,-1.2056575211706146,2.249572985887265
01-09,-0.6923861555135834,-0.8484316702231645,1.5954928519286276
01-10,-0.7127064543776928,-0.7684785465484348,0.2299581725154457
01-11,-0.5182085714236241,-0.9355254228737134,-0.046667415988646516
01-12,-0.6797106884695552,-0.933935935562621,0.9206160864163551
01-13,-0.5239400782427542,-1.4382555391606173,0.002445043366809265
01-14,-0.5038967407432385,-1.0523933245767985,0.2122740003172642
01-15,-1.0720352214255242,-0.7323492918111676,0.5191029572677184
01-16,-0.8567191566532751,-0.9149416226818949,-0.9287953585090988
01-17,-0.6726758191537399,-0.3760794080980761,1.2966699620777191
01-18,-0.1935415725633127,-1.180308102605171,0.8713171008463565
01-19,-0.5675891441546939,-1.5955367971122625,0.6788733305240833
01-20,-0.3429094430188128,-1.4153109461648052,0.7357931965654465
01-21,-0.08250246915564219,-0.7545396406718962,0.11907669897044765
01-22,-0.0728227680197529,-0.7366774260880814,1.4768147468299921
01-23,-0.23732488506568797,-0.7352697569588151,1.6405527946895375
01-24,0.12917299788838543,-0.48349845146590104,1.1216544789127203
01-25,0.27876178993336836,-0.8174544187002627,1.7238470722268113
01-26,-0.11028578165801729,-0.7868649313891797,1.6879487564499938
01-27,-0.46606062597667053,-0.5040027168053617,0.9656868043095392
01-28,-0.23774456120442267,-0.6416859567669956,0.2636975794418124
01-29,-0.5719739509776244,-1.0543691967286306,-0.7659280090622794
01-30,-0.16474879529627498,-0.7370524366902713,0.12362822061544793
01-31,-0.1249781850694828,-0.739281131197362,0.061366268474994386
02-01,-0.5294803021154127,-0.855691643886273,-0.6546229563927338
02-02,-0.042891510070433014,-0.6972839747569999,1.2626605460122657
02-03,-0.5324845362072662,-0.8650581238095483,-0.5761468606736408
02-04,-0.10325938052593192,-0.006832272862092607,0.92695482354954
02-05,-0.3172160430263928,-0.058788240096456494,0.5578746895909036
02-06,0.263100021745846,-0.591835116421727,0.05524910108681282
02-07,-0.08840209530008022,-0.6539729018379177,1.2252598762190854
02-08,0.36309578765398826,-0.49465614179955186,1.284997924078631
02-09,0.012957306971703598,-0.6288848363066418,0.3760086992109039
02-10,-0.5091811737105961,-0.5473862580864697,0.7244740197977216
02-11,-0.21950147257469801,-1.2697058616844663,-1.1334242959790954
02-12,0.055905501288451245,-1.301389101646099,-2.1524135208468236
02-13,-0.4231420703029236,-0.6255268870622824,-1.2659482002600038
02-14,-0.22991691462158315,-0.024846490660289596,-0.15711924330955088
02-15,0.009308241059759904,0.1684702693780732,-0.7606539227227316
02-16,0.06889703310474199,0.17487793850735045,0.4233568524095423
02-17,-0.10760508394119483,-0.04762348327246325,-0.39563237245818555
02-18,0.23834734446742412,-0.4923067232341031,-1.68898523368955
02-19,-0.39479113621486694,-0.5400808722866508,-0.1520653676481852
02-20,-0.49202052598806484,0.04205406956989644,-1.092872774334095
02-21,-0.20779537030672915,0.2290981023355304,-0.8570438173836397
02-22,0.0170661490109813,-0.6447669558079319,-0.8878512240695489
02-23,0.07356403196504986,-0.19054110486047515,0.7499777328809057
02-24,0.723425551282764,-0.22467889027665613,-1.6975569465322762
02-25,0.43346888878227996,0.24700150612534538,-1.3918188986727305
02-26,0.7033304080999998,0.18750008434551935,-1.4397172144495476
02-27,0.9078282910540594,0.165453208020249,-2.2897973484081846
02-28,0.6389625376445038,-1.4153209410322973,-0.7837865732759132
03-01,0.6345631490075373,-1.015149196851248,-0.8969216198017801
03-02,0.5927883046888719,0.16780392682348896,0.12218006442140238
03-03,0.18746800582475617,-0.28142476768360064,-1.5999000695372352
