month_day,east,north,up
01-01,-0.5850764432199212,0.9450613190868364,1.8804979575143979
01-02,-0.6163409333559583,1.481786062735498,2.9554991348339636
01-03,-0.5191275912215791,1.0356917919931243,2.4161135501234927
01-04,-0.722920730921455,0.8793876221394241,1.1027075501330703
01-05,-0.6955472039546792,0.7660834522857274,0.7388015501426541
01-06,-0.6575070103212233,1.1794459490986948,1.592228883485565
01-07,-0.6601890389100028,1.1449195570227735,2.5083784390507007
01-08,-0.4304821786098836,0.7078376093912984,2.2636391057269494
01-09,-0.5475530960875434,0.9176445506487146,1.9809553279587524
01-10,-0.5415684580096531,0.9476737141283453,2.9289937724127757
01-11,-0.4526949310428725,0.6195362109413147,2.1375322168668003
01-12,-0.4929325151871965,0.7961764855320612,2.7296262168763814
01-13,-0.7242256548870771,0.7000389823450267,3.060942439108184
01-14,-1.0637965723647405,0.9200681458246633,2.4222031057844307
01-15,-1.1159230453979554,0.8742084204154122,2.56657488357179
01-16,-0.7814939628756152,1.0255153616728208,2.6750022169147036
01-17,-0.756453769242166,0.843100080708012,3.287929550257614
01-18,-0.2062469089420532,0.8352403552987625,3.013356883600532
01-19,-0.6557067153086025,0.8594917410006142,3.8378953280545534
01-20,-0.34144429945293,0.6578542378135837,3.06532266139747
01-21,-0.11318188359725785,0.9545500679598873,1.5527499947403802
01-22,-0.06791946774158471,0.8135236758839645,1.6044551058610708
01-23,-0.29321260744146804,0.7602195060302681,3.957493550315098
01-24,-0.5242835249191314,0.7439708917321248,4.0509764392135645
01-25,-0.049965553507898365,0.6092222774339786,4.368514883667591
01-26,-0.1752586932077817,0.30514032980250444,3.3048866614549492
01-27,-0.31238516624101137,0.48450282661547533,3.6915362170200856
01-28,-0.44512275038533045,0.279643101206218,3.120463550363001
01-29,-0.24730477897410996,0.24706115357474318,2.9968908837059143
01-30,0.14156874799268193,0.15431253927660352,2.9264293281599385
01-31,-0.3520577250405388,-0.13576940835487752,1.8590788837250725
02-01,-0.5379619758515415,-0.21674024487524024,1.4549506615124308
02-02,-0.15142178221807961,-0.06559997028449259,2.7882668837442335
02-03,-0.4273260330290851,-0.2285708068048636,3.7907497726427004
02-04,-0.4876747282845197,-0.2587083099918935,2.266732661541171
02-05,-0.6485789790955081,-0.09484581317892132,2.3136044393285307
02-06,-0.5525943410176231,-0.3394833163659563,2.391920661560332
