month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.05282334125250497,-0.22528609833387048,2.5304862674315833,3.127268673812134,3.6788046495910454,1.5514134706864458,2.691340154801341,6.301867387548165,0.7877584193576941,0.9328892729779242
01-02,-0.05973172009368411,-0.22511968157436246,2.552248741433573,3.122159664001453,3.681629711503676,1.5645680035710943,2.6809171065518904,6.32816142023215,0.7969867429031611,0.9254378239584872
01-03,-0.07041710522702278,-0.22214893955861423,2.575870421463696,3.114685120631558,3.6836941041235867,1.5730877130953542,2.660593495174646,6.319363963286289,0.7989189210690161,0.9305768558934838
01-04,-0.07778418970676669,-0.2203056485232582,2.585362036134342,3.1086160237042617,3.676273821193581,1.5682850019781607,2.6595008741550696,6.333219850389167,0.7828180803226509,0.9460083950521443
01-05,-0.07685584934990931,-0.2197956908212355,2.566422278255969,3.1027610638839307,3.663730042481665,1.5715767822560758,2.6634756971205813,6.3346626074210866,0.7909428652421694,0.9541720686801495
01-06,-0.06788241095383622,-0.21779226906692525,2.556098860246877,3.0883650871653665,3.651868875432871,1.5722258120276191,2.6518377397279504,6.295491196600514,0.7900038041784216,0.9463962273523248
01-07,-0.048450149028351354,-0.21859276888124238,2.548642108904451,3.0703464946370924,3.6434603549041475,1.558169908891706,2.628742916458485,6.286032272513041,0.800135854258889,0.9539938119240566
01-08,-0.022164945926395913,-0.21845013144065759,2.5444546386077764,3.0576612464797623,3.6426093860531794,1.5241239049387143,2.626401225596234,6.301857855265037,0.8056212543890366,0.9609312264464991
01-09,0.001175159136343863,-0.22302187308504018,2.5378906977228675,3.056857256761207,3.642867493581285,1.5104425349030728,2.6391805208564203,6.348911217554782,0.8261498460563198,0.9730235063897913
01-10,0.023853986100119597,-0.23046262049139896,2.54149791945656,3.059921151932864,3.6432715464681347,1.5048142975820058,2.647110951738794,6.300382496534033,0.8361041367219909,0.9659631900538599
