month_day,east,north,up
01-01,-0.3439064983217274,0.13789908992581307,3.5186690839759405
01-02,-0.5676275452422676,0.2699903074987589,2.2523630901706357
01-03,-0.3317527153469439,0.3237533852710279,1.8901525728586168
01-04,-0.6124949632253774,0.23090713382271696,1.81212327249658
01-05,-0.33595943332603695,0.13639421570775598,2.769816194356769
01-06,-0.40336834787114567,0.1321590753705563,3.212786893994739
01-07,-0.18688837352735405,0.04992393503336571,3.2793131491882566
01-08,-0.031686176961348296,-0.658422316414939,3.4417838488262253
01-09,0.008516019604656953,-0.2094907900854698,3.3821989929086356
01-10,-0.31028178382933347,-0.0778925970893285,3.7676696925466007
01-11,-0.23269069837443546,-0.14034995964873534,2.165251503295682
01-12,-0.07621072403064967,0.3045260111251747,1.1341666473780898
01-13,-0.3800085274646417,-0.19948690698979446,1.285026235904945
01-14,-0.12175077534308788,-0.018055380660315645,3.3862747133206943
01-15,-0.1814374676659616,0.2143761456691532,2.4922454129586527
01-16,-0.08990193776662093,-0.13291455022358598,3.790382779263295
01-17,-0.06353307453394434,-0.061038579449682634,2.630631256679031
01-18,0.16066912203206055,-0.1431626086757601,3.142268622983666
01-19,0.0630935408202877,-0.017731082346282574,3.3062393226216393
01-20,0.10535129294185322,-0.24574400046126327,2.373098911148488
01-21,0.5483312672856372,0.2090764147571099,2.8298473885642346
01-22,0.5679223527405358,-0.40104761446897386,2.954540310424423
01-23,0.31662454930654405,-0.46383831036172324,3.096788787840162
01-24,0.3739378569836591,-0.20690678403224924,2.745815043033691
01-25,0.6090844979941196,-0.3426419243694397,4.356674631560545
01-26,0.3366200278934543,-0.5323215091510765,4.465811997865176
01-27,0.12593333557057548,-0.32555664948827157,3.6851715863920336
01-28,0.29496886546992523,-0.08823623426991221,3.28953117491888
01-29,0.048393284258140296,-0.22930470794043833,3.4170018745568576
01-30,0.3470399252686021,-0.41431762605540745,2.3115836853059313
01-31,0.37390878850127635,-0.5113860997259372,3.702776607166118
02-01,0.05438876284505713,-0.5518990178408995,1.1145806401374208
02-02,0.39831318163329243,-0.5384119359558741,1.7703846731087185
02-03,0.18095982264374166,-0.3968692985152885,2.448744261635574
02-04,0.16143979698751953,-0.10777110551914396,1.5218816279402136
02-05,0.28108643799798894,0.01366042081031803,1.6406301053559464
02-06,0.41834419011954205,-0.45657471952686357,2.1726008049939187
02-07,0.18482416446332628,-0.21942097097517355,1.460571504631884
02-08,0.5025819165848997,-0.19915611131236696,0.4000977598254036
02-09,0.3618952242620115,-0.04816902942733517,1.3187906816856
02-10,-0.23429146806086726,-0.03390416976452368,1.2575947146568938
02-11,0.11485517294958604,0.10769402323160761,0.5104543031837481
02-12,-0.16649818603996527,-0.11020778377224241,-0.009130552733837326
02-13,-0.11685154502950547,0.1051681870016638,-1.2039931864292104
02-14,0.0760173182031634,0.01843304666447507,1.0360886243198744
02-15,0.2843306258802811,-0.05035764922827098,0.7464482128467279
02-16,0.1749772668907369,-0.08975945623213989,1.6142522458180248
02-17,0.11967946345673777,-0.13560570768043004,0.5850562787893295
02-18,0.27638166002274606,-0.038174181350962254,1.7320825339828472
02-19,0.03091718992208767,-0.22785376613259972,1.798108789176371
02-20,0.01889716426587018,-0.36431112869201465,1.6167461554810036
02-21,0.28104380527633044,-0.14937960236254144,1.3796612995634163
02-22,0.23763489073122251,-0.764392520477509,1.4731319992013838
02-23,0.45650375396389425,-0.4284609941480309,1.8234360321726821
02-24,0.7629837283076831,-0.4696961344852321,-0.08198215707824118
02-25,0.8405748137625797,-0.5988201637113124,0.1615996536708374
02-26,0.643721454773032,-0.44033308182627934,0.3481814644199141
02-27,0.6583125402279284,-0.16567933327458648,0.23970771961343176
02-28,0.4269036256828233,-0.19363669583399992,1.0908450859180665
03-01,0.0624119879616154,-0.2960297455241231,-0.03733741516181954
03-02,0.010947517860949841,0.09617955858313001,-0.11120004885717666
03-03,-0.0731065024807509,-0.4082598049263842,-1.2341907770652525
03-04,-0.18816901179709702,-0.30159298447927213,-1.9115305349436293
03-05,0.17888612594537595,-0.4916320463850828,-1.0169879398808206
03-06,0.05123538133492328,-0.5233769906438489,-0.10450416834743112
03-07,0.1042905190773948,-0.7560631113731996,0.36468548553889724
03-08,0.3113456568198702,-0.3919257026907779,-0.8132425076335894
03-09,0.5440478533858855,-0.5143177057730743,-1.6788763831590288
03-10,0.26051475583423733,-0.8204155912083033,-1.0641573175079821
03-11,0.10345224651789646,-0.6153958295847094,-1.1179676636216527
03-12,0.008860325436852627,-0.5428466561964209,-1.6208956567941493
03-13,0.18644487494402373,-0.6191798357492933,-2.0742354146725157
03-14,0.17679413033356858,-0.8572188976551206,-0.7587516431391264
03-15,0.10420220925252084,-0.820905018384474,-1.314738459841031
03-16,0.17531617052440088,-0.4934734920549848,-3.0013135118370484
03-17,0.13960660238453598,-0.441041965725523,-2.452241505009544
03-18,-0.27304414222592766,-0.5393751452783961,-3.2870518511232087
03-19,-0.0855772397775769,-0.39223773659597894,-3.2145092560604027
03-20,-0.23981621968214592,-1.096217974972399,-2.6145548962917204
03-21,-0.172761081939674,-0.4743746839370303,-2.7126005365230306
03-22,-0.4232353559619022,-0.29582551054873313,-2.7702932355778787
03-23,-0.45094492410177045,-0.2948645724545637,-2.840809464044488
03-24,-0.12918390400635726,-0.2629036343603737,-1.357384516040506
03-25,-0.3447758250874056,-0.529295637442674,-2.2866654503894686
03-26,-0.25060304028610536,-0.3657464640543731,-3.411416972973722
03-27,-0.15148907901422223,-0.28984434948959736,-2.220227319087392
03-28,-0.5750810000952579,0.10658717683986244,-2.8837435475540047
03-29,-0.5995552741174951,-0.2368048262424171,-3.1206715407264918
03-30,-0.4738530775514899,0.44786199420469913,-3.196423063310748
03-31,-0.6127979398090045,0.08694057935770004,-3.869233409424415
04-01,-0.16991927265476892,0.23854857627541987,-3.3974555202439642
04-02,-0.3222758996181705,0.01980363201664664,-3.800736454592928
04-03,-0.335926644228635,0.37135280540494653,-4.086252683059536
04-04,-0.361577388839096,0.5477843317344229,-4.372651264467316
04-05,-0.25481636874367175,0.5620393874756543,-3.2744027870515793
04-06,-0.0802906427659055,0.17129444321689818,-3.9286248978711256
04-07,-0.4800002109057788,0.23031420484049403,-3.382023479278914
