month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.4812108124776242,0.2592673707465293,5.631974532150943,2.089591744850419,3.788886799876048,1.571987622917406,0.6716598213425018,5.36743016155147,0.5847164311199522,1.078931182268986
01-02,-0.4825237219189682,0.26607101943663,5.640158080202632,2.0893687199551545,3.7954578805515133,1.5562520828251152,0.6430112691972245,5.306812588530578,0.563288816746686,1.0556030999613393
01-03,-0.4821818694555503,0.27221831892038145,5.639195199682892,2.0868642463371563,3.7954647909993438,1.566585288851945,0.6313051361360964,5.347282005089274,0.5551427116664341,1.0471551547156366
01-04,-0.4820850692906192,0.2824478385228051,5.624652771976747,2.076876513222896,3.7929682184308504,1.543959303626405,0.6357380203548026,5.39275716181032,0.5433976371407752,1.0539642243316192
01-05,-0.4697608881733073,0.294865453363324,5.596135344270601,2.0655702509135065,3.790408459832406,1.537708041196311,0.6588954410926606,5.427582854957304,0.5440190059947524,1.0476790760124166
01-06,-0.44347242134170956,0.3119747348705094,5.56972863085017,2.0530733212706003,3.788421296486691,1.5225518190343321,0.6581754230494662,5.506278255237777,0.5479126182484675,1.0241134418471263
01-07,-0.40208752593868324,0.3240566354253139,5.5425481079059296,2.0456023752750374,3.7955178125114912,1.5244497907991779,0.6362678403175313,5.636818544335107,0.531678401916158,1.041980022786141
01-08,-0.35663477339279964,0.3431349645515468,5.540079489723593,2.052642557495418,3.8087903612935157,1.5315287824987063,0.6332745025105277,5.770831273788083,0.5239009855140027,1.0389090622638848
01-09,-0.2739540387357978,0.2397952775266638,5.130777439840285,2.127967798189141,3.8338148968601544,1.563965907793676,0.6331583181585099,5.696882028790183,0.5150702932675237,1.0252693794271357
01-10,-0.1936099293257075,0.12216249988188985,4.719623569950739,2.205953072242587,3.856728323319924,1.5145221231956234,1.4253337722660577,7.074072204728207,0.8401273293700423,0.9497406923834885
01-11,-0.11774398752704736,-0.007431953976578684,4.31817892069255,2.2784192817564977,3.8756259768341064,1.5230409321790803,1.4477405601253597,7.129908557863375,0.8547369422234694,0.9701484540176061
01-12,-0.035069678770650196,-0.15339627824469848,3.911467413330514,2.3378643053108146,3.8947302584776815,1.5058601794764497,1.4425370129097341,7.228254545922056,0.8788532378082342,1.0031232751411543
01-13,0.012143585830512525,-0.19265043060072506,3.916844920244258,2.329242989956223,3.8974249569378245,1.4924161305885062,1.4484182748499645,7.284726502728121,0.905702798523758,1.0197772614813152
01-14,0.0465478518498133,-0.22706901426000314,3.9169449812857473,2.3198855752707153,3.89780538688648,1.4786575952366907,1.4535831482532886,7.294715113376493,0.9436424852229309,1.0317375108155407
01-15,0.06934810306938918,-0.2666212041396752,3.91598392732846,2.3117460608849596,3.894526484232691,1.4787992398008722,1.4805195438079077,7.26976159110247,0.970135106526547,1.032706451794487
01-16,0.07767891813310662,-0.3069777257094062,3.913705328778895,2.310098631962798,3.8881442497690335,1.5097482786738332,1.4788334261155014,7.279972892306496,1.0165719519218195,1.0503706928714007
01-17,0.07616675294775782,-0.3470207104538662,3.921033318142112,2.3162797796215067,3.882341131609779,1.5145583178402149,1.5022089745711584,7.273431271554746,1.0516139095321506,1.0632035706419518
01-18,0.08613587125192684,-0.39076241178089155,3.932748114189377,2.3200500828906314,3.8736259145866576,1.5559863692831306,1.550011350409641,7.305225852370484,1.113056122901874,1.0991783477923867
01-19,0.10445780186609077,-0.4180467656081078,3.9322268096953303,2.3258207059483693,3.8626869059001177,1.5577493858006186,1.5818725810521796,7.305376606920549,1.1402205662288394,1.1214208478609018
01-20,0.1394831577676921,-0.43433711417465504,3.939829145131535,2.328464748997915,3.844386427769591,1.5610107869709458,1.5726290904467235,7.270840316140962,1.138646637457193,1.121973530318163
01-21,0.18677760210095734,-0.44306434575844744,3.961725867036998,2.3210010862296877,3.822712572864779,1.5838839554733117,1.5631903332425843,7.139483921465004,1.1123320940331247,1.137864524068642
