month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.2343015578784477,0.6950817454136258,0.9178380046944314,1.941284321235926,2.859956277484716,0.9957257239379054,0.9175932292503651,3.6129778581286556,0.6708479228300915,0.429452772922163
01-02,0.23786040027413416,0.7055729043459532,0.9161042972004303,1.9393590264766758,2.868005854934467,1.033773280952005,0.8823767387584587,3.6779108799570683,0.6335949988865295,0.42219015902838586
01-03,0.2467532987407208,0.7197304358858219,0.8938761984517439,1.9359054582228792,2.871499120692583,1.0640752414999954,0.854309409764616,3.6563468347620827,0.6024535744550221,0.42688106067348913
01-04,0.2536923510534612,0.7240777110154341,0.8301797236346814,1.9304179929884728,2.8572032379251,1.095605089627173,0.8399449318555706,3.5863135146354925,0.5957819691640083,0.428622171546912
01-05,0.2657390956738939,0.7276523365723969,0.7360345308689009,1.932988869885244,2.8400855895629573,1.1353693579713926,0.8522160599252298,3.5189821160406254,0.5958018517908809,0.42857600180263367
01-06,0.2863063531148395,0.7393996117020091,0.6270013039150865,1.938650228608343,2.8259155478649376,1.1593501136320765,0.8906563135664379,3.464006852906227,0.5995835870609908,0.4266307546295353
01-07,0.3140257473079218,0.7431785107632454,0.5383424359356309,1.947882227438508,2.8151594341112083,1.1618016140812948,0.9220734827214978,3.411144928310423,0.6083161735451945,0.4230837605603874
01-08,0.3426750560309187,0.737506982474054,0.4966143371869444,1.956211086857496,2.8062759635999748,1.1697287602160946,0.9529394124644723,3.3681862058514582,0.6287817356991953,0.4346641790348168
01-09,0.3717200912496421,0.7230422917917004,0.49344948630150604,1.9693776963994256,2.8051465340226702,1.1610926056845827,1.0219483245879866,3.3418556806910784,0.6644169382125891,0.45252477588807466
01-10,0.4011282190705943,0.7070600750169715,0.5155269550254648,1.980190991923351,2.8124077049053824,1.1631467611325095,1.0535509625558093,3.386476603091645,0.667319071116451,0.4464210384970704
01-11,0.43784714748061965,0.6884735752882616,0.533537780916936,1.9895148664454456,2.819708673839438,1.1539441597756888,1.067229324300327,3.388849222628411,0.6653857836677062,0.44419803632828475
01-12,0.46839567989852177,0.6654075789303566,0.5845093144032703,1.9913900661487087,2.831527806600677,1.1375024717605895,1.0947493236720807,3.4030798804865614,0.6695380476870922,0.45837827471905207
01-13,0.49065687756822535,0.6374633727193927,0.626439406815241,1.9904791826889852,2.832933392201722,1.1362672398821028,1.124655402025637,3.380554560478023,0.6692969103217008,0.4469876407358421
01-14,0.5031949983148519,0.6090781408674032,0.6421370205947333,1.9877134189378278,2.8268175353154814,1.1362288824274185,1.137722236318173,3.388380387529601,0.652681828217384,0.43869567741111754
01-15,0.5246570506854101,0.5782963278188323,0.6351175403571315,1.9916091857985385,2.814894792336395,1.1273196190377928,1.1578554286051383,3.409130630877045,0.648714979426224,0.45071587565968557
01-16,0.5459584192952847,0.5534145147702615,0.6154100259314955,1.9967193546102955,2.793415993238867,1.1254401371092733,1.1734725121411884,3.4011202602369925,0.6514974091983671,0.4522649036534555
01-17,0.5662073790636141,0.5294643303781684,0.6139495081357786,1.9996176128865002,2.7711156126665553,1.1285154300874234,1.1947424136540161,3.3015983028445315,0.6646636761520733,0.43395989204727775
01-18,0.5814395553368875,0.5093380870597147,0.6292983682152841,2.0044642751760455,2.7412059853053257,1.116748542623187,1.2118899647194727,3.2484606289100793,0.6695110651239101,0.4224434072687197
01-19,0.5996122130723697,0.48506228054139605,0.6806241275375334,2.0049219093352426,2.7157207145067663,1.1102538124607844,1.241185838149721,3.2797348272180757,0.6723584982641683,0.39739447424846874
01-20,0.6263281884620332,0.4591326325940852,0.7411678236606419,1.9971441563510932,2.6884817215066437,1.1057756950599584,1.2499886067299257,3.2174038923173214,0.660860211375857,0.38444663018964453
01-21,0.6480732236807566,0.43198589062968035,0.7815610924333232,1.9744815724903322,2.660094686413698,1.1032960881725968,1.2282691112754998,3.1934727080040908,0.6566451314829539,0.3751717477497677
01-22,0.6673242418054629,0.40318273840886526,0.8110834210350643,1.9534182805575713,2.6404756001855625,1.091519596496117,1.2012285852297817,3.130531636785145,0.6384639958895038,0.361164219838038
01-23,0.6764231231780324,0.3818000990085629,0.821917715448771,1.9375307355853366,2.631335181544202,1.0887822226237354,1.185037605672758,3.0624024344398997,0.6108787043618761,0.3627333341162712
01-24,0.6802767054053027,0.36312087841167945,0.8277126936231616,1.9232565884917967,2.6246781155897754,1.0819010880293387,1.1662974604058856,3.093311337077336,0.5961385971277819,0.37130568924161717
01-25,0.6850012278035132,0.35058781166094993,0.8201128000026802,1.9084526803138029,2.615359290560819,1.0675384690376946,1.1459153277908847,3.0353107857436705,0.5735428828971482,0.38063969433160655
01-26,0.6917701946461682,0.3390709842264596,0.8263975217668144,1.8989786783278468,2.6077336850185624,1.0543433515413914,1.138324269155707,2.9030038142139047,0.5573589788819934,0.3653523240619268
01-27,0.710316939266601,0.3277917636295761,0.8168061751548802,1.9000943988791439,2.6037769167428046,1.0440406160704514,1.1329794026389484,2.844381596222923,0.5479719066938555,0.35649591354903876
01-28,0.735526077049427,0.3138253635455132,0.7889139738420914,1.9010652767103977,2.59678334092945,1.0410194812068898,1.1259658429508854,2.8084594641453284,0.5377923950597887,0.3556626990852274
01-29,0.7615189755160136,0.29641451901700583,0.7316046785122085,1.8962683446695257,2.5828372094844574,1.038303571438354,1.0932957594320285,2.795882344027712,0.5223757576329588,0.3457485579553923
