month_day,east,north,up
01-01,-0.15725212283597584,-0.3151430216455952,0.8590343975015124
01-02,-0.12542265233202776,-0.37127648554028075,0.7407349821197164
01-03,-0.15160645672664877,-0.32717009012870346,0.9144732646066479
01-04,-0.15770980949948846,-0.3272308491284533,0.8920169795565829
01-05,-0.1318279770871428,-0.3423656822022774,0.8870792130250368
01-06,-0.09853503356368616,-0.3823338486094346,0.9083155205675644
01-07,-0.08738653448467429,-0.3865168298314068,0.8142444207026845
01-08,-0.08900470207232855,-0.40338129253486055,0.7265362838007676
01-09,-0.07118212891924262,-0.4233198293123882,0.6877318506025549
01-10,-0.1000817779883787,-0.4433768846084345,0.7726681581450827
01-11,-0.10148883446492216,-0.46254505101559196,1.0063785397616845
01-12,-0.0974514464970211,-0.48098729149682345,1.1563222547116196
01-13,-0.05848813260319458,-0.47538508753361036,1.193640043735629
01-14,-0.027906300190849456,-0.4550458465333604,1.1791133883151936
01-15,0.01468664333260735,-0.4459325314590363,1.274645992154018
01-16,0.03806847574495216,-0.44119329045878625,1.2714156330298791
01-17,0.049668826675815764,-0.4335614568659436,1.343459347979814
01-18,0.0800691776066799,-0.42704814179161954,1.466177137003823
01-19,0.11477323224124758,-0.42254223412470304,1.4993615926944992
01-20,0.13759950909803775,-0.4427289190503789,1.4205349372740637
01-21,0.11509986002890188,-0.40180078916123985,1.4057786522239988
01-22,0.13321872947828417,-0.41754673334617487,1.4599297745813413
01-23,0.2095338952239625,-0.41288156641999874,1.4372290450868324
01-24,0.2649712831918635,-0.4087052883827116,1.3522690563330637
01-25,0.27913089338198677,-0.43086234367875775,1.188868326838554
01-26,0.3018979109795177,-0.41586384341924854,1.1078527825292304
01-27,0.32290937302149336,-0.4207875653819614,1.0550261271087948
01-28,0.3140541683968021,-0.42118906512245213,1.0054735457624338
01-29,0.29325822303136956,-0.44676093523331306,0.8925691125642206
01-30,0.2885215369251959,-0.46125502756639647,0.7235683830697117
01-31,0.27635892489309727,-0.4329787495291094,0.8154046906122396
02-01,0.2825259424906281,-0.42513950852885946,0.7511632203769893
02-02,0.2774077749029735,-0.4297410082693501,0.6249884168084058
02-03,0.26069331101902254,-0.4343610265283593,0.5232173169435264
02-04,0.2525418100980344,-0.4094143781207017,0.5463091800416099
02-05,0.28553475362149083,-0.41630847045378494,0.46404919128784133
02-06,0.2778276971449476,-0.3957025627868684,0.3997299432748136
02-07,0.22574656659433026,-0.3917336921569887,0.3228588434099337
02-08,0.19758395456223107,-0.3560314881937758,0.36071366947098
02-09,0.2129287499375395,-0.3205700249713033,0.4779018288653596
02-10,0.20301798975729232,-0.3225381913784606,0.46658628455603574
02-11,0.19741463698445183,-0.29703598741524756,0.47062629580226684
02-12,0.18858165458198242,-0.3245819316001826,0.5300959366781283
02-13,0.1681968203276617,-0.33887232022956215,0.5328211331095448
02-14,0.123145319406674,-0.33565159774783054,0.7266500332446649
02-15,0.0689123370042049,-0.33539013452535815,0.7016270815279334
02-16,0.03176453978692084,-0.33814718982140435,0.7675374631445354
02-17,0.01806118701408054,-0.35040424511745044,0.6748367336500265
02-18,0.02589116757457414,-0.3529390781912744,0.5782878560073692
02-19,0.03673225924617873,-0.33365539274657996,0.5606574968832303
02-20,0.031002980547412944,-0.3256865221167003,0.5436752859072395
02-21,0.029951479626425328,-0.3234102440794132,0.6003634453016189
02-22,0.04233701574247462,-0.3401747067828668,0.5718849380293322
02-23,0.06180032963630122,-0.35701694726409816,0.33686569001630434
02-24,0.0738609441876927,-0.3652969914709392,0.17260973387195103
02-25,0.055250252267777085,-0.362824817525562,0.04669907687289676
02-26,0.05969579762909917,-0.3646984820010232,-0.12772532656490343
02-27,0.06670214330122162,-0.33744732130165916,-0.18967193927491305
02-28,0.0950912330810872,-0.31745129528242977,-0.21595483144620214
03-01,0.06230192243541133,-0.3351050566875202,0.10954566294720024
03-02,0.09618005114405316,-0.33247409455437243,-0.11089362863881265
03-03,0.11535621906838119,-0.3302666618329895,-0.04362703787188401
03-04,0.12456375954172888,-0.35396511146454773,-0.08170554514417123
03-05,0.1053909078582136,-0.35221650227257667,-0.0940781700635173
03-06,0.0910298208805808,-0.3669816185708016,-0.18961550086521586
03-07,0.06296677311863375,-0.3883388917317716,-0.1609332238237775
03-08,0.07677431359198104,-0.40695106685352556,-0.1797607507039075
03-09,0.07300930504572078,-0.3985671635439072,-0.1421608266036454
03-10,0.06734233571514701,-0.4427440445480146,-0.15346286328769715
03-11,0.057393013443397,-0.4372424941795727,-0.16947862546194525
03-12,0.03610643626968565,-0.4321291791052487,-0.23022772096952657
03-13,0.04306299635087652,-0.47263155030543436,-0.2255179929476958
03-14,0.02959210545167535,-0.4603025489566004,-0.3581023825729242
03-15,0.005787881219141025,-0.48686766525482517,-0.6588514780805051
03-16,8.561777092018659e-05,-0.5025504286118739,-0.8089339069214199
03-17,-0.0032793907753402214,-0.49440574098853013,-0.8245222181152756
03-18,-0.017526752262776623,-0.4961316416004807,-0.908839941073837
03-19,-0.013503525514919778,-0.4710693069183134,-0.9337027620716144
03-20,0.01889617182117301,-0.4797559918439891,-1.1081851909125287
03-21,0.00845273190236396,-0.48159561794613537,-1.2782558550475605
03-22,0.0028014488462997757,-0.4673764205188701,-1.496981421143377
03-23,-0.040696893033293866,-0.42311800740533034,-1.5911148303764486
03-24,-0.04834425452073042,-0.43022037860551604,-1.7963580435310889
03-25,-0.05296416502777509,-0.38308353411942714,-1.8518914527641601
03-26,-0.06111348729952605,-0.35668394453529917,-1.9678366267031138
03-27,-0.07508633898304123,-0.33325690397077884,-1.9660014084852047
03-28,-0.0846238965489095,-0.25713574575919973,-2.043695602032001
03-29,-0.06469086587948321,-0.22661458754762084,-2.0217074426376223
03-30,-0.033185286190449054,-0.170685586198787,-1.9468565381452034
03-31,-0.04500911826612104,-0.133105604457796,-1.892954653260628
04-01,-0.06568000916532205,-0.11141189722660906,-1.9348488468074247
04-02,-0.06707246869197445,-0.0639574056816966,-2.016417550158143
04-03,-0.07345316351274483,-0.03578526707796049,-2.0594607633127833
04-04,-0.11342993676488726,0.02871236172185392,-2.0465471137223257
04-05,-0.10867729825232404,0.03290410816872712,-2.143398170014221
04-06,-0.11875995385740809,0.05203703108618843,-2.1620021674825867
04-07,-0.12072104083504089,0.05405230694482625,-2.2688963610293826
04-08,-0.15604291212639926,0.10411856319562103,-2.209967025164415
04-09,-0.20125105792756198,0.10329070179935704,-2.2206141598876825
04-10,-0.2316905762777435,0.12268244824623012,-2.260798549512911
04-11,-0.22809480051027795,0.1424702731244757,-2.351249605804806
04-12,-0.26217745611536153,0.1401129999635057,-2.4290065444496416
04-13,-0.2978718764263282,0.16213219739077095,-2.60879093407487
04-14,-0.34075845360003953,0.18085727717097738,-2.7202027746804904
04-15,-0.333621501361986,0.1840764745982426,-2.8656146152861104
04-16,-0.3191316079474621,0.18788782888825317,-3.0819676323623186
04-17,-0.3356926949250951,0.1837227125900282,-3.2484971200267636
04-18,-0.3343675073929232,0.1915497531545483,-3.3806305292598346
04-19,-0.32646192770388927,0.1691571858759312,-3.5471247228066316
04-20,-0.3264387009560319,0.22228618722476523,-3.4749600928240163
04-21,-0.3418193957768017,0.2724269532794816,-3.423909188331597
04-22,-0.2994589141269833,0.2883716409028253,-3.4622033818783944
04-23,-0.28486705992814537,0.3010496618595025,-3.600599536209505
04-24,-0.26293795082734617,0.33782572203186584,-3.6498937297563026
04-25,-0.25603629270694006,0.3711547233806998,-3.6336428252638835
04-26,-0.26292679144927905,0.37571117570992596,-3.6246272148891117
04-27,-0.26501336862299046,0.4007813535293482,-3.556129251573163
04-28,-0.2733783771692512,0.40525153134877057,-3.4353057980611363
04-29,-0.26560220924492345,0.3862119052466242,-3.367937246509894
04-30,-0.2723985903402036,0.4075879654189876,-3.374756930252769
05-01,-0.286712618494307,0.3958189275521352,-3.399027594387801
05-02,-0.27225409762880304,0.4048577328225378,-3.3969688467581274
05-03,-0.29412891009663217,0.45822594985764614,-3.4404277461872774
05-04,-0.31939980099583376,0.5014608335594213,-3.4295258613027015
05-05,-0.3411844173852312,0.5001741486337454,-3.5172396626926354
05-06,-0.35088668083345187,0.5175580519433636,-3.6422711111413935
05-07,-0.3947301207522609,0.5188870532921976,-3.704353539982308
05-08,-0.406581403808325,0.5317925252292667,-3.6935183217643988
05-09,-0.42227974568791904,0.5381960363820222,-3.6966438878602155
05-10,-0.430593773842022,0.5423211161622287,-3.6936282774854434
05-11,-0.43021368434906676,0.578755999864004,-3.709683255345966
05-12,-0.43947281054238596,0.6173163737618576,-3.6851617626182533
05-13,-0.45352801516707686,0.6313826300126523,-3.7220245836160304
05-14,-0.4444812590074546,0.670378298028153,-3.7498050516726313
05-15,-0.4211717577497933,0.6633347503573791,-3.727032578552762
05-16,-0.41352108002154353,0.697550026216017,-3.607742458374068
05-17,-0.4191723630776074,0.7227692236432826,-3.512268024469885
05-18,-0.41850207750622076,0.6928746955803519,-3.413381825859819
05-19,-0.42810630173875497,0.7051291871252641,-3.230695627249753
05-20,-0.4254085651869757,0.7249170120035098,-3.2381545266789025
05-21,-0.40822455412539294,0.7119793466856772,-3.302782053559033
05-22,-0.415169954828516,0.7314063872501972,-3.337891933380339
05-23,-0.40551535553163914,0.7553549964421685,-3.294041028887921
05-24,-0.4025470307445661,0.7733075272027672,-3.3824646341994233
05-25,-0.3925355687025913,0.7667424109045423,-3.44739020029524
05-26,-0.3823594007782629,0.7496439612729838,-3.4914647859988994
05-27,-0.3510263701088365,0.6925219822296609,-3.621115842290795
05-28,-0.30624628061588105,0.6909411796569263,-3.799398271131709
05-29,-0.2933916813190044,0.6849368476724268,-3.8470454058549763
05-30,-0.29957629770840216,0.7023403588251824,-3.8825827366566763
05-31,-0.297094247431133,0.716551713115193,-3.922288694909355
06-01,-0.27892200107543225,0.7165081654444191,-4.040559359044387
06-02,-0.25352230373933937,0.7134842256167824,-4.151041787885301
06-03,-0.20011084169736498,0.7223387171616947,-4.348355589275236
06-04,-0.17311898749852742,0.7068481106673916,-4.420461547527914
06-05,-0.16753889800557217,0.6762084845652451,-4.491343976368829
06-06,-0.13117841635575428,0.6480237604238831,-4.5396067973666065
06-07,-0.11486891509809344,0.6146821735374228,-4.648959814442814
06-08,-0.10119078638945146,0.563073919984296,-4.584222635440591
06-09,-0.1006616772886528,0.5313558625096007,-4.656881534869742
06-10,-0.10597962701138383,0.5023750599368662,-4.589701218612617
