month_day,east,north,up
01-01,-0.32326323394708933,-0.2756356142381865,1.4626269900941045
01-02,0.18414657843720672,-0.23759956246335917,1.1330170334017682
01-03,0.23216020994001538,-0.3874367567953684,-1.272189698356315
01-04,-0.11711721690689766,-0.1890345528321568,-1.1913682056286017
01-05,-0.28556131042047816,-0.512965682202277,0.1568421759880002
01-06,-0.12606095948960908,-0.41234125601684235,1.7243858909379355
01-07,-0.1252272752254121,-0.40110571872029666,0.11192960588786999
01-08,0.05843974237211672,-0.7878701814237492,0.5880844319489141
01-09,0.04966231552520354,-0.2820790885716472,0.4830170357877405
01-10,-0.0964484446550453,-0.3192324401639898,0.6895607507376764
01-11,-0.13805920483529308,-0.33571912508966434,1.8067155767987215
01-12,-0.07455885390442944,-0.46759469890423094,1.3456481806375455
01-13,0.1929970525819922,-0.8675258282743512,1.7075252289208125
01-14,-0.1508359298204792,-0.3415125132000283,0.3109578327596375
01-15,-0.32778002333405776,-0.34827697590348156,1.2219459921540163
01-16,-0.27689078351430574,-0.5798747719402676,1.6594897071039536
01-17,-0.31594598813900077,-0.41808367908816624,2.2474778664983344
01-18,0.21105436279186376,-0.6749592529027307,2.2334660258927124
01-19,-0.0565563973883822,-0.4656681600506285,1.0577875186204257
01-20,0.2988883979869199,-0.4289326227540815,0.7166090113481398
01-21,0.3326665266955673,-0.10725264101309283,1.506486059631407
01-22,0.5136668776264405,-0.26440599260543407,1.5449186634702303
01-23,0.4091672285572889,-0.7167815664199985,0.5396290450868322
01-24,0.2236675794881571,-0.16760158467900788,1.563672760036766
01-25,0.3595568193079173,-0.22153271404912947,2.5303275860978136
01-26,0.3825016146832219,-0.26813051008591615,2.3044824121588574
01-27,0.2678352989474228,-0.7703949727893687,0.16324834933101595
01-28,-0.14449768345504557,-0.25360387993726574,1.4861809531698416
01-29,0.12094711192025535,-0.5777016759740534,1.1232246681197762
01-30,0.8169474628511173,-0.27829947201083916,0.881435049736379
01-31,0.5546700360042094,-0.5172306013809607,0.3850898757974247
02-01,-0.10355183528715231,-0.7504395085288595,-0.20353307591930767
02-02,0.5525596267548284,-0.44998174901009175,1.0182328612528495
02-03,0.2586155332412521,-0.5395239894913213,0.2653876873138964
02-04,0.16606032861655176,-0.4349551188614431,-0.026679708847278032
02-05,0.02072734621407884,-0.4908306926760076,-0.187080438341786
02-06,0.4426165860338347,-0.4818173776016845,-0.9900922789474058
02-07,0.2267280480758101,-0.29263739586069254,1.9171736582247485
02-08,0.31617284345111935,-0.05001296967525762,0.6000507065080158
02-09,0.2827843054930985,-0.290555210156489,0.6377055325690608
02-10,0.1317846564239574,-0.3374307839710539,0.777915914185665
02-11,0.14556278513260093,-0.39619524667450523,0.5096262958022667
02-12,0.3503964693968008,-0.357015264933515,0.2522811218633141
02-13,0.005341264772106946,-0.26861306097030474,0.15843594792435922
02-14,0.035730504591857275,-0.2187664125626444,-0.2716314482368171
02-15,0.13223085552272165,0.018302458067233938,0.9529122667131179
02-16,0.1266200953424733,-0.2185175601917731,1.5542893149963866
02-17,0.40389822405112125,-0.47950424511745066,0.8484996966129896
02-18,0.17456524164864456,-0.15699093004312606,0.32598785600736885
02-19,0.03356559257951094,-0.8481442816354683,0.8653649042906382
02-20,-0.2850451676007322,-0.705186522116701,-0.1462024918705382
02-21,-0.2331559277809808,-0.4335065403757107,1.9173412230793963
02-22,-0.5867666879612263,-0.28871544752360717,1.5418293824737768
02-23,-0.24104411480814164,-0.09136879911594978,1.5887064307570467
02-24,0.07723401390049414,-0.4744110395971808,-0.752805409848573
02-25,0.24923436483136138,-0.37545328007841333,-0.6703172504541963
02-26,0.30817916020667,-0.1069399650040887,0.24517090894018423
02-27,0.26445728891531384,-0.2374822054853195,-0.0024520427765474372
02-28,-0.010431249042707227,-0.2344688904109975,1.008758338840052
03-01,0.32781302652944055,-0.5449611359641754,-1.4434049389708328
03-02,0.3470911552380811,-0.08267004311207297,-1.714416779576452
03-03,0.2724934739703415,-0.5894274461467139,-0.8463133123816862
03-04,0.2321833673848687,-0.49501217028807537,-1.250423192202995
03-05,0.05328502550527148,-0.2480086591353226,-1.3255918955537127
03-06,0.0934455071550888,-0.5298286773943298,0.17788645991909977
03-07,-0.07857048178333174,-0.31276634271216297,0.8378354036272039
03-08,-0.18929235307468814,-0.21623341979470065,-0.25145094678233837
03-09,-0.05307304789545508,-0.21393579099488735,-0.43667847366246865
03-10,0.07155802198965609,-0.4262852210186036,0.7935057641632831
03-11,0.02595379775712757,-0.6032228863364364,-0.48866293918743736
03-12,-0.19406219118129736,-0.3484546693013281,0.35993306334419917
03-13,0.07051005517440434,-0.35592174638386864,0.3894114188170106
03-14,-0.011329463175776034,-0.6915064705252268,0.9143015389957034
03-15,0.251066312591687,-0.42467942996070507,0.5680151885861611
03-16,0.2175797354179787,-0.42208768351383474,-0.3863299853527926
03-17,0.24838727589132964,-0.7637900547140222,-1.3573810416446879
03-18,0.12325363989409092,-0.5069041906200864,-1.0865497449954071
03-19,-0.08711529022080147,-0.418312444173215,-2.1616596248167137
03-20,0.15763342672313505,-0.8555442271381068,-1.2549459752262535
03-21,-0.10861785633292949,-0.34489365716182085,-1.810879384459324
03-22,-0.43563384527134646,-0.7112430871855354,-3.6734010289865133
03-23,-0.27482630479800046,-0.4514748701504302,-2.5026873793960576
03-24,-0.1035481760893609,-0.091765476644733,-0.6705031415703041
03-25,-0.1421524003218907,-0.4521737301978605,-0.47126008021514054
03-26,0.08630219897498052,-0.2272878661039268,-0.8616052541540931
03-27,0.29193326886009485,-0.4787549431864639,-2.2573033692695175
03-28,-0.08614154360773148,-0.38351613791606265,-2.1616485432084707
03-29,-0.09609870901673943,-0.47821850911624775,-2.366581952441544
03-30,-0.40140881560221703,0.2391967667423908,-0.8439859499099114
03-31,0.10286931310642998,-0.52862325151662,-3.4649781826723944
04-01,0.1790886182856596,-0.056737387422688426,-2.1903821801407566
04-02,0.0010138058178265402,-0.1109103468581669,-2.825727354079712
04-03,-0.2967080654735288,-0.06690683570540988,-2.1341313515480778
04-04,0.014570063235110715,0.2862731460355792,-2.4203588784282073
04-05,0.19037760370846488,0.11292371601186293,-1.4810569935436333
04-06,0.03694985006416599,0.12769193304697268,-2.550637461600235
