month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.5871343366092819,-0.6483729987963754,3.3451176060304992,2.6796556548403543,3.432113848849877,1.0754658188979416,1.9837109175999326,5.842161116356757,0.9989908564088392,1.1917552461266974
01-02,0.6026131630244432,-0.6369379962716438,3.3478321882508304,2.6940086824434673,3.438212411944703,1.022960845347946,2.0410873798036,5.896744556965111,1.0626103591975373,1.2059707558227846
01-03,0.6423476677066179,-0.619837435666625,3.335855797135937,2.724756117432675,3.442771350792387,0.9823962504548226,2.084086927409501,5.963632932378579,1.1212740737935138,1.2282669054003288
01-04,0.6949645797961997,-0.6123989120986432,3.333298850465488,2.762225089643722,3.449761253382212,0.9517581962607428,2.1529068943976997,5.991579992092394,1.177516566891673,1.2546881004747408
01-05,0.7552713067005964,-0.6053270551973281,3.307871533424669,2.7983568516367394,3.4558704925241472,0.9242784178398571,2.2228436348241667,5.995729154026614,1.2500195431746672,1.2573944141429354
01-06,0.8128511817531412,-0.5890866797774946,3.274824771939405,2.833725876662665,3.4708395506889276,0.8986337434876897,2.2693075518563974,6.035070758723713,1.323959704957462,1.2588901843792235
01-07,0.8763301308797601,-0.5750888969502536,3.221893751194882,2.87447458316951,3.483976686576549,0.8964126936889916,2.314753482077354,6.144656668300153,1.3776045469812326,1.2771002226771597
01-08,0.940984080006379,-0.562771669678568,3.1621469897096177,2.9240636475433406,3.4968232676377116,0.8663358433759714,2.3769235583158532,6.258573202856239,1.4398680027796364,1.30716366690848
01-09,0.9976306217255906,-0.5578674053698455,3.1161085615576876,2.9721368711635634,3.5067170587413776,0.872875792119047,2.4465223084961942,6.294284827048446,1.4832694547813106,1.3184630164274163
01-10,0.9569004778592948,-0.4955258842736458,2.6490871713598136,3.02102620489077,3.569529614231333,0.8809280945446298,2.4810994522764256,6.316348526611325,1.4798462432738533,1.3167228805849511
01-11,0.9081455574395377,-0.44317124682070147,2.213498758401881,3.0641379138274316,3.632518922402331,1.2580610420661436,2.46729068485131,7.60108042692001,1.4142161234455795,1.404054820304598
01-12,0.8660946161385806,-0.38563978266634313,1.7762432363917113,3.112792820244086,3.7006932297173463,1.2717170137251728,2.4929894655742104,7.575373008609292,1.412340882397884,1.3898003372813985
01-13,0.9104216000445305,-0.37695532705710705,1.7486287993130667,3.1539057549296268,3.717413375489038,1.257871097215345,2.520878484423961,7.612012471114564,1.3935881891901354,1.3796974030851832
01-14,0.9571173922407562,-0.35395781424462175,1.7042689299653666,3.1987271367841927,3.737466508538688,1.2572063372540618,2.5410704041298593,7.676399532703829,1.3913968411802007,1.3796515360777977
01-15,1.0085009746368103,-0.34167486512972417,1.6620713461321397,3.243031892074415,3.751634889594501,1.269380417580284,2.5489063704418315,7.705725519561787,1.3869456931074158,1.3692782333970142
01-16,1.0587948026904785,-0.34132021277669783,1.6295722639898642,3.282398434988321,3.7594598365524674,1.2866575809499687,2.5455658108893977,7.650926175558312,1.3820407503101608,1.342873117835473
01-17,1.097998497297571,-0.35384257668992297,1.5769906226469104,3.3112005687416217,3.7621700562940616,1.29200892358711,2.560244731001155,7.618351986281599,1.380966483789551,1.3261352476403854
01-18,1.1315274803136404,-0.3688058932541523,1.5050466004390832,3.325894013046818,3.764573544624461,1.2859637236087238,2.5607267905907922,7.588751985757308,1.378766490393208,1.3105619572647604
01-19,1.1705115200019942,-0.39751262666189224,1.4108562029538874,3.3330723712403505,3.762708919916776,1.3003970834607406,2.539058757767431,7.559669798030219,1.3880774776998264,1.2934398937525045
01-20,1.2205132431306538,-0.42605845644794776,1.3231396195655478,3.3313580552628324,3.759874680516999,1.3271832232607934,2.4839765694927425,7.563497883162032,1.3723749781083054,1.2997620595108272
01-21,1.2667189744859437,-0.45008611765505413,1.2427985596757742,3.32252541646508,3.753599498163295,1.3521315554773006,2.436513915328562,7.601138331802502,1.3663937516089937,1.308901744889365
01-22,1.2995458080849582,-0.4553853538729547,1.1870432796948227,3.3068845905513347,3.748604827481724,1.3499681834033015,2.396952504677664,7.5683252504315,1.355380590419488,1.296052009043288
01-23,1.3226956242695778,-0.45238300270848725,1.1473433522722662,3.2848098202036833,3.7399197429116584,1.3421269468829449,2.383428316423464,7.572189017666676,1.3477075961046718,1.2960518904871923
01-24,1.3441079102192892,-0.4453794060419937,1.1186837346730618,3.263637078540885,3.733008345576175,1.3376706419255988,2.3459188759965452,7.5456239970777865,1.332543675231336,1.293256774229383
01-25,1.3790366830281096,-0.43736464934355945,1.0813057944185769,3.247662685992808,3.7227571136280395,1.3241741179868767,2.3052277000583437,7.566276664489826,1.3046854934302041,1.2971537249751026
01-26,1.4174127515126402,-0.43537366955504836,1.0643695666144992,3.241067896674467,3.7121220107535784,1.334510224927597,2.246527624009003,7.516911962630015,1.2578741096546784,1.2850814750347315
01-27,1.462495129617688,-0.4364926856696063,1.0594453427767732,3.241003286207604,3.7009752863669276,1.3608670567079495,2.17876745131691,7.47037463943695,1.2213437255142412,1.2807550195850075
01-28,1.4981958227410512,-0.44940905628151867,1.0734715055894337,3.2335320220284545,3.6940437672956463,1.3762609163145767,2.1216344480463434,7.474012906159073,1.1737358656683106,1.2899105305489604
01-29,1.530341326609225,-0.4613948611628653,1.0700135821180077,3.2231099099547875,3.6919788644333345,1.3949566761500014,2.052640236614087,7.497547483756289,1.1358196302770494,1.3105234427648647
01-30,1.5500350600256283,-0.4771290176925636,1.0465063301972533,3.208881443783882,3.689778457694769,1.427021214728844,2.0125789565565952,7.5543647455952865,1.1319161388930477,1.3317603015213333
01-31,1.5683321511953892,-0.48947748028656807,0.9946218295992505,3.200965176745393,3.6927486022712572,1.460586559518198,1.9541578010692142,7.613589510703259,1.14511930597973,1.3525923864922893
02-01,1.5885834548193625,-0.4960643230189526,0.9388868609507793,3.1948475536833385,3.7007491003874335,1.505862609762803,1.8993873352272639,7.698445395508054,1.1749632725595496,1.371254711070053
02-02,1.6056030938116717,-0.49472717986068454,0.8891014378185206,3.19040110248689,3.714513019461776,1.5788064514761233,1.8685537382960116,7.734359891588052,1.2564586774336506,1.3821572746156598
02-03,1.6142654474966953,-0.4820943115633581,0.8505023828859635,3.1851486577873023,3.7209318048184112,1.6629612338464137,1.8559838719995658,7.799248848669214,1.3450316969535618,1.3998454811806837
02-04,1.6150135276774458,-0.4724879959725843,0.8285482282383064,3.1847765170503455,3.7201743624859276,1.7560560884041272,1.8470914404934433,7.79984057163825,1.418495941711963,1.4127892730206064
02-05,1.6125510095675974,-0.471780198900329,0.813684102080678,3.186306072184044,3.712070745856358,1.8569686587091023,1.8604265098329449,7.774832423262241,1.516353247370371,1.4292395406503042
02-06,1.6011328504321083,-0.46983587761154944,0.8108479531310268,3.1823372979691573,3.7019034322051696,1.9515658014473776,1.8523623517328467,7.71812555186894,1.5977575362297587,1.4336556392506983
