month_day,east,north,up
01-01,0.20742752455828967,0.34050378237868534,0.9153762954883153
01-02,-0.3503382080820793,0.17334249700031915,2.2999119916608364
01-03,-0.008267344425078982,0.5729449090216148,0.7420804539857077
01-04,-0.1893697695584334,0.6410809099604285,1.3369471159842188
01-05,-0.43153469469178973,0.597466910899254,1.397813777982728
01-06,-0.1176371198251413,0.4735404118380674,0.5940554399812399
01-07,0.009572955041503184,0.12067641277688511,1.6996096019797498
01-08,0.12478302990814705,-0.17887508628430096,2.7287262639782592
01-09,0.4819306047747912,0.14519841465452155,2.359655425976772
01-10,0.07420317964143439,0.10839691559334072,2.6440845879752812
01-11,-0.23814924549191885,-0.08252958346784439,1.7023887499737924
01-12,-0.19468917062527408,0.0008564174709720374,0.866442911972302
01-13,-0.22897909575862788,-0.09563258159020932,2.2919345739708135
01-14,-0.2158940208919817,-0.07437158065138802,1.7938012359693236
01-15,0.10637855397466062,0.2876394202874242,2.299355397967835
01-16,0.1714636288413076,0.22733792122624277,2.3553470599663435
01-17,-0.06595129629205043,0.17697392216506683,2.384901221964855
01-18,0.3853837785745978,-0.12420257689611996,2.076392883963365
01-19,0.35709385344124456,0.15818342404269448,2.5059470459618742
01-20,0.35505392830788696,-0.1224930750184817,0.9493762079603867
01-21,0.5976390031745353,0.3993304259203359,1.181930369958895
01-22,0.567161578041179,-0.04865857314084987,1.560234531957407
01-23,0.6541216529078221,0.13447742779796915,1.1354761939559164
01-24,0.7990192277744653,-0.047386571263214494,2.4427178559544274
01-25,0.6943543026411164,-0.0323755703243952,2.3727095179529387
01-26,0.5529393775077582,-0.22617706938557602,1.3705761799514473
01-27,0.13433695237440393,-0.043603568446757585,2.6126303419499592
01-28,0.34142202724105103,0.0629699324920564,2.1669970039484694
01-29,0.0807571021076933,-0.13026906656912438,2.26536366594698
01-30,0.4964671769743354,-0.42400806563030946,1.0908553279454911
01-31,0.30373975184097984,-0.2996845646914885,1.4880344899440028
02-01,-0.10211267329236923,-0.5844235637526722,0.372838651942512
02-02,0.3875349015742743,-0.3617875628138561,0.8036428139410221
02-03,0.4516199764409189,-0.22402656187504053,2.263134475939534
02-04,0.846330051307563,-0.44826556093622427,0.49037613793804247
02-05,0.39560262617420855,-0.09119205999739705,-0.751632200063447
02-06,0.38756270104085394,-0.3873060590585852,1.6777969619350626
02-07,0.4233352759075001,-0.03954505811976612,2.006726123933573
02-08,0.4658578507741449,-0.44865905718094645,0.9452177859320838
02-09,0.4533804256407845,-0.34627305624212656,1.149271947930594
02-10,0.19946550050743467,-0.5181995553033183,1.1747636099291057
02-11,0.23817557537407846,-0.5957510543644935,0.22531777192761493
02-12,-0.10980184975927426,-0.9065525534256813,0.7116219339261262
02-13,-0.2385292748926325,-0.1464165524868672,0.7325510959246364
02-14,-0.21469420002598338,-0.5838430515480433,-1.1475822420768536
02-15,0.3965158748406589,-0.4229570506092198,-0.21327808007834215
02-16,-0.03996155029269799,-0.3093210496704084,1.0340260819201696
02-17,-0.21650147542604697,-0.8263725487315912,0.5842677439186786
02-18,0.12789609944059266,-0.7819240477927754,1.0360094059171887
02-19,-0.2691438256927592,-0.7549130468539498,1.3862510679157003
02-20,-0.049558750826117326,-0.6150895459151392,0.044242729914208634
02-21,0.1577763240405305,-0.3754535449763168,0.8988593919127206
02-22,0.3197988989071774,-0.7601925440375048,0.9617885539112307
02-23,0.3173839737738169,-0.8599315430986865,0.16221771590973977
02-24,0.6007190486404659,-0.7142955421598655,-0.41604062209174797
02-25,0.6144291235071078,-0.42853454122104395,0.3401385399067609
02-26,0.7234516983737567,-0.2726485402822364,0.21400520190527206
02-27,0.5727867732404006,-0.3773875393434188,0.9529968639037816
02-28,0.4861218481070477,-0.7454390384045978,0.02842602590229304
03-01,0.0508219416903562,-0.66690966223108,-0.07036564659956857
03-02,0.07103201655699898,-0.5597111612922636,-0.7650614846010579
03-03,-0.46892398778186095,-1.180032219179832,-1.0848846651473816
03-04,-0.6118805795818815,-0.681208718241015,-0.325201336482205
03-05,-0.12277050471523439,-0.7953852173021929,-0.3807180078170288
03-06,0.1996062368180744,-0.5862283830300449,-0.6479013458185174
03-07,0.06831631168471848,-0.617271548757897,0.012315316179990533
03-08,0.33649305321803075,-0.5587813811524065,-1.1404013551548309
03-09,0.4524697947513424,-0.8737578802135871,-0.7596513598229869
