month_day,east,north,up,east_sd,north_sd,up_sd
01-01,1.8366235367654191,0.7960139719589306,-0.6263870048903052,5.44838582283803,4.145876855023033,6.66491389179298
01-02,3.5754446143539456,0.9753038614674301,-1.3812248374438132,5.416494960636632,3.312825156129823,5.8009683652887505
01-03,1.922908581727652,0.5314253770373559,-1.1856300157726094,5.821200785670407,3.3938996147854734,7.0686950771348815
01-04,1.941727515254431,0.409697370727099,-1.5440010093137198,5.928646990446745,3.0308504687686737,7.259968921624998
01-05,1.9648070548418166,0.32316936441684213,-1.7468992755821027,5.95493105926802,2.8541373574093343,7.46429528611741
01-06,2.003619927762535,0.29587772174294885,-2.0142460266989706,5.9567305491989595,2.7747915264439893,7.721892175180534
01-07,2.0879115885620405,0.19542244270541922,-2.263550353573415,5.9957654144827925,2.711480551047877,7.891976873300338
01-08,2.1731426433009413,0.15625201215273765,-2.475054680447859,6.0552098495485405,2.6452751398840624,8.160308507649248
01-09,2.249191879858024,0.13576036947884482,-2.7132499164132113,6.098589653165419,2.521199591417052,8.5270276538388
01-10,2.2739441467181347,0.10582630256252828,-2.8551239402573527,6.162587639074759,2.47649601849031,8.701330035034074
01-11,2.3972661105479443,0.037964962918937986,-2.911543418646948,6.134456906378345,2.393990793775165,8.816552262753971
01-12,2.4428183774080563,0.004915744487468868,-2.91143562430927,6.042253975406427,2.3402772812895503,8.937934745426872
01-13,2.5084130685105923,-0.06873953455006097,-3.099485405729169,5.952883349462832,2.30922384735404,9.078121045329137
01-14,2.6181774565828264,-0.11563723783001474,-3.2269654901793703,5.8379873655196315,2.1916537081415703,9.252444152625122
01-15,2.7158509355641507,-0.17615312292814964,-3.264572847356844,5.7399205991825815,2.1051198143991736,9.26901855189886
01-16,2.70737289939396,-0.1883114322687093,-3.230925659079773,5.5864471462166305,2.045737033170763,9.34498149649274
01-17,2.6930706207995265,-0.24425762039714807,-3.1911208950451266,5.488705361121948,2.0376401766913164,9.467754011699638
01-18,2.7250956149323655,-0.3517068388286168,-3.2371282522225995,5.417826963086513,2.009411909905711,9.554090734145229
01-19,2.703205457550054,-0.5154651481691771,-3.33268712455159,5.352247049936912,1.99729288032094,9.722371485743695
01-20,2.6627274213798633,-0.6288598211461006,-3.3439672090017907,5.25348913689637,1.9793563213317407,9.83501571511229
01-21,2.6314615064217937,-0.7603757062442362,-3.402113960118659,5.150782522802124,1.9905069673997555,9.817189108422294
01-22,2.565292561160695,-0.8405582580090392,-3.6063758627506783,5.0530714357468804,2.0393497025186473,10.016031667634728
01-23,2.562929676505656,-0.9610014158344473,-3.715916553261486,4.967825369870598,2.1151763508505357,9.972741426760853
01-24,2.5691486100324346,-1.032899119114402,-3.815451183166233,4.9371617444760485,2.1914437652579895,9.9410107232855
01-25,2.5749736041652755,-1.1519786405761747,-4.031276722161888,4.862093609367931,2.2288489600363146,9.965524671792958
01-26,2.5657501134496297,-1.2001127074924922,-4.191211352066635,4.891387767529459,2.253769759370557,9.96943336336699
01-27,2.578981168188531,-1.2572649562269917,-4.359836891062292,4.977585837522891,2.2860811813674107,9.852461534464615
01-28,2.5821031320183407,-1.2947081140524,-4.51469273308825,5.066722022550469,2.2579616661101207,9.79690943201927
01-29,2.573370550393605,-1.283539150665687,-4.6933000902657245,5.189229639269846,2.2662911353876942,9.778695600869302
01-30,2.5808137263446262,-1.270473217582005,-4.820398356534108,5.310661473813682,2.275935416244739,9.770758152045316
01-31,2.602984175022921,-1.3402133451043834,-5.032975410681279,5.397824522742015,2.2870065909485238,9.678022666152932
02-01,2.641457654004246,-1.3783413514146396,-5.237449434525419,5.426481335222146,2.355290146023234,9.65566632122528
02-02,2.603852345106783,-1.4446329940885325,-5.436929518975621,5.461133711897576,2.425572697265284,9.598654123228442
