month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,2.2268499502285684,1.0626647433665393,-1.0128269043256264,6.808135850024144,4.68065647829642,5.6683676582393945,4.750199876018985,6.71339700708716,4.492303880778854,1.6960482149337879
01-02,2.234602507983342,1.039500682916896,-1.1363042486891686,6.791495122525043,4.681889859542889,5.670491628698885,4.528597499662231,6.80679053644334,4.363350162559943,1.6990019389779136
01-03,2.2633820679373335,0.9758992286842765,-1.3780211596384746,6.742012366017728,4.685359787099993,5.718180875496588,4.322637570608927,6.958216923992959,4.239605449996952,1.6892369177453732
01-04,2.2973682945579927,0.8817077744516567,-1.6077591816988923,6.670965417737897,4.687464438053506,5.727877882237818,4.093015444828994,7.1190862075906525,4.098224299043953,1.6676358518579057
01-05,2.3395000767342062,0.766107431330148,-1.8387749815370877,6.571654429297941,4.689200352616176,5.693882636237793,3.829766113056668,7.2653779906552085,3.95657859847582,1.6573321381685175
01-06,2.3710485255770877,0.6347426437641953,-2.061436336930839,6.460670599173966,4.691077331918758,5.701770003579715,3.5681276091041894,7.406173588584706,3.8536197014790154,1.6399584264087599
01-07,2.4020403077533015,0.49461896730935345,-2.2606365812134785,6.357366443242469,4.689489754091959,5.703474762794002,3.309961046064938,7.567516354790182,3.7972308815832485,1.6145729101330681
01-08,2.4286298677072935,0.3463041797434006,-2.4401334921627846,6.259580015716295,4.6866800916359255,5.70525622808892,3.0927167425135114,7.688448811560506,3.7831637685127357,1.601947021328025
01-09,2.4584016498835077,0.20392161439966983,-2.607667069778758,6.168678251874671,4.681964077475121,5.749225194999184,2.892970098432808,7.897932098930961,3.8010896239923624,1.5924079623063
01-10,2.481718987615277,0.0771629379448278,-2.7913450918391756,6.06841059722831,4.679603013769122,5.8238281406604155,2.71137956340093,8.085937213151137,3.871622273903962,1.5884154204727818
01-11,2.4981985475692694,-0.05146129406556974,-2.9890364472329263,5.961923880143979,4.679310370713164,5.892563484041782,2.5260602906780028,8.201793207224172,3.9461290231889756,1.5898640199903982
01-12,2.504278107523261,-0.1653666371870783,-3.1779966915155655,5.856684736036342,4.6786423117028395,5.913174726403814,2.3993830496657824,8.399233846437992,3.9805984501378076,1.572204622293652
