month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
01-01,-0.5486083330981195,0.6880616352230982,2.040584021524343,1.1318971970197944,1.6842064848761973,4.0702775128735915
01-02,-0.5683271687282714,0.7041019459395214,2.108945205828896,1.1380546836945078,1.73503285581283,4.168147130668836
01-03,-0.5828798133993425,0.7214488936583359,2.1571771293535806,1.1382762465793657,1.8234913189871016,4.217264053106458
01-04,-0.6103478405952774,0.7554736075971604,2.2751263460130153,1.1321983278881838,1.9033885993376565,4.488833082875498
01-05,-0.6199889615806363,0.7910265658764922,2.3605294469995126,1.1269618592102466,1.9688092249356566,4.694989327551309
01-06,-0.6187119862413966,0.8272777907445377,2.4568358778979733,1.140247715063512,2.018113548687335,4.7907319254797445
01-07,-0.6104073911302021,0.8514056377828367,2.550805084293298,1.1082139558227213,2.060267529607399,4.999648147805988
01-08,-0.5937151762470531,0.8668709403247226,2.614027066185488,1.023317260597175,2.116766347820592,5.0239588166452025
01-09,-0.5774136749252826,0.8776111983701954,2.6727501569078753,0.944656519944438,2.189415849933193,4.987963628621922
01-10,-0.5516863402701788,0.8776272897490016,2.6885632476302628,0.9430427801031263,2.2390272907836484,4.9659693829096385
01-11,-0.5252332920536963,0.8724717589575541,2.6761535628557858,0.9533368470964455,2.250193563842878,4.857564148377005
01-12,-0.4994008401618125,0.8548996282440597,2.641105548169345,0.9750112299734222,2.216127677898682,4.722016605530567
01-13,-0.4773432710331487,0.8285134421049313,2.584561428074077,0.9627429372171793,2.1945392772048447,4.548708043923429
01-14,-0.4676451081150611,0.7936398449586292,2.500983423651746,0.9569737100623658,2.157199585195241,4.344967824163349
01-15,-0.45742361186364006,0.7506495811456603,2.3779454192294156,0.9684925374429922,2.1126821335726946,4.37278718096779
01-16,-0.44457378227888567,0.7083093173326913,2.2417990814737516,0.9603413459298643,2.0702529593311687,4.1844585630673965
01-17,-0.4362933563695326,0.6724148201084363,2.0979994069633845,0.9845858621998691,2.035500321035117,4.036447156296914
01-18,-0.4225467378109822,0.640673522728275,1.9240763922769444,0.9892111637391652,1.9912003970595462,4.005124569337845
01-19,-0.415586546375189,0.616250469688621,1.737572261917566,0.9841549000588549,1.9896586944583137,3.953437664488917
01-20,-0.4176727820621532,0.5993423276561406,1.5188420158852498,0.9777795009558572,1.9589192986223105,3.865899914405269
01-21,-0.4135297313104961,0.5776008077939137,1.2876762120164649,1.0007201072461578,1.9338697363172215,3.8282735073357292
01-22,-0.4113666805588389,0.5518542879316867,1.1302720748143464,1.0258146446218144,1.925790694742216,3.845664450585133
01-23,-0.39740696314051505,0.5330627680694593,1.030344604278895,1.0562042112699073,1.8811653258450307,3.913918537923216
01-24,-0.3796305790555246,0.509046248207232,0.9704471337434435,1.0920460351346994,1.8691764429397308,3.865580935749709
01-25,-0.36438919497053424,0.47626639501167145,0.9234279965413252,1.0967286834781977,1.8095128367510938,3.8209577613358747
01-26,-0.3603928108855439,0.44144154181611106,0.8178988593392071,1.1069845543483048,1.789822812892664,3.7729631678815774
01-27,-0.3716580934672203,0.39773502195388427,0.678834722137089,1.132130913374975,1.7699188630621379,3.831285190978166
01-28,-0.39306170938223,0.3593585020916575,0.5467305849349706,1.1747974162611134,1.7527418467932854,3.859879810619757
01-29,-0.41999532529723965,0.334425315562764,0.44902978106618574,1.224544477969154,1.754168705471975,3.914089567514899
01-30,-0.4379006078789159,0.3182521290338703,0.37449897719740094,1.2584032688360525,1.7469402903034144,4.012709117411154
01-31,-0.435275890460592,0.3025589425049768,0.29469817332861603,1.2725442821835493,1.742731876714117,4.122208953914448
