month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.7667070460151613,1.9739155693688963,-1.293539783043571,4.899432222314475,3.797043368287575,3.213150314007529,4.112212213460358,4.962703764110722,2.816577252061449,1.007886061709206
01-02,0.7621347848688362,1.988087125983709,-1.2365253649620733,4.8889127988865395,3.7947204829431196,3.2378880819995075,4.108809834296329,4.976080344732302,2.844720209473977,1.0070092509594517
01-03,0.756812484798408,2.0109824614355563,-1.1001798621324113,4.863016515048254,3.7837608957440287,3.2448662224305225,4.085532484164655,4.938721146048829,2.8480665794731306,1.005587465382378
01-04,0.7565424069502021,2.037370019109626,-0.9733765815249713,4.829902226968847,3.7648654563840487,3.2288230779603304,4.057932338696811,4.798875618538656,2.8583529802210315,0.9925233961074291
01-05,0.7651034402131073,2.061817576783696,-0.8281488564730871,4.799310690981225,3.751409948016411,3.213166474510908,4.046787759437096,4.7289869274203316,2.8833471802703166,0.9984885746417325
01-06,0.7871955845871238,2.0846251344577658,-0.7005255758656471,4.771459266926346,3.7445151558213143,3.175655991047496,4.042954246161844,4.704894096921304,2.89774109942615,0.9891963860048143
01-07,0.828856617850029,2.097654914354058,-0.5553645174804295,4.75335445861318,3.7398484311928253,3.127946442458701,4.009573112092385,4.644729935493234,2.8901314915522978,0.9768214868917604
01-08,0.8837732066684895,2.091689138694795,-0.4185923479841005,4.746060414032684,3.7279061012152277,3.0896943237858707,3.9984781024912253,4.539911254071554,2.888263389034623,0.9641450331887084
01-09,0.9495109065980613,2.072927807479976,-0.25884128959888275,4.755520509981044,3.7156905244360545,3.0825460620527787,3.958377363196382,4.40938149920336,2.852864302162593,0.9308630392741598
01-10,1.0254996511018246,2.038279704409775,-0.12816914408875144,4.767862108397416,3.7039926659805964,3.0795387434299917,3.9461651627637764,4.258336830742658,2.836336043356601,0.8996892520492741
01-11,1.0805571514206374,1.9986069465176974,-0.01891371321768186,4.761821434151172,3.6881888885785092,3.053014149905814,3.9221308974233677,4.13794848745197,2.803317434825028,0.8830848495369502
01-12,1.1076856297767217,1.9456817560259656,0.07285611412543692,4.732075556100952,3.6628496077127406,3.007112097631281,3.884082347728812,3.998100728313428,2.76790903937642,0.8759148987294109
01-13,1.0962384860403311,1.8845309047899625,0.20797702859346925,4.678367418799433,3.631519622161571,2.934848580130948,3.8524605504609544,3.889870684738241,2.734732088720687,0.8889436856602184
01-14,1.0707024534150515,1.8050156091095146,0.37074683195039054,4.616060782453805,3.598605678328884,2.844629321266029,3.8291139254284907,3.8294593273914304,2.705328311638949,0.8827683791887792
01-15,1.0423564207897718,1.7163736467624,0.5552866353073117,4.5487515562505,3.569666062056468,2.793119481770608,3.777072075126778,3.794850163436661,2.6825390891285252,0.8843605067454972
01-16,1.019251499275603,1.6245627955263966,0.6829953275531219,4.482057012347169,3.543096848171194,2.737810858711499,3.7301541271140457,3.7086129369073766,2.6575866187067723,0.8729832893518695
01-17,1.0052271998539102,1.5483459383679978,0.7839318215629073,4.414497178248523,3.517306492082151,2.665722125518496,3.67068534946562,3.7247542742815773,2.6273752612251964,0.8706336824546704
01-18,0.9974152557282786,1.480320402698143,0.8561572524339768,4.345020577480134,3.491769460081366,2.5994854278837995,3.6143509677554655,3.7339320669636438,2.592694761896014,0.8732394655483349
01-19,1.0004478891209307,1.415693966294608,0.9408193979441078,4.2750017972149355,3.4686868001333573,2.550370741994951,3.538741242126482,3.7464189707793,2.574809957736099,0.8809067095123111
01-20,1.0178700334949473,1.3500215239686784,1.0219993452182143,4.203207185097582,3.452771473917673,2.509138843748972,3.4653096148788762,3.8742219785084173,2.541594936401921,0.879769272638407
01-21,1.043427733424519,1.2895357483094154,1.0776504036034324,4.126316898030875,3.4385150310948234,2.459924489394569,3.3916019911089528,4.01686722666168,2.525658706539,0.8950441367858541
01-22,1.0653343222429796,1.230076639316819,1.1318014619886498,4.04856920437994,3.4258522565778526,2.4021783568991566,3.3007361002582587,4.057010817124497,2.4775529307293445,0.8942045248843791
01-23,1.0806575777281069,1.1812864192131116,1.206536964818312,3.9778238992293056,3.416032334814029,2.3548567290439184,3.2351729051530893,4.032628757196619,2.447911499635462,0.8965126096862984
01-24,1.0854108332132342,1.1370850879982932,1.3063869120924185,3.92223075647906,3.413487636798219,2.3401812176926016,3.1370824505748036,4.043176496527985,2.4052939295011884,0.8870054353141419
01-25,1.0922263109205839,1.096725979005697,1.4087690815887475,3.8771611252708666,3.4109874879693276,2.3066547698671975,3.0851567686605774,4.0991049762303,2.385455233659848,0.8925356722487496
01-26,1.1040595664057113,1.053430203346434,1.4834568066406317,3.845609757030416,3.404971763963893,2.285089460331489,3.0052421019481654,4.134025596362513,2.327700073923197,0.8922801210511326
01-27,1.1181994885575055,1.0143977610205044,1.512971198359183,3.8178708456193817,3.394664367304607,2.29585307786236,2.918699294111068,4.088733172161352,2.2801328421969713,0.8885051802034551
01-28,1.1315982995981884,0.9861908742501303,1.5314811456332897,3.7828925140122815,3.3807611121510894,2.3055583419832915,2.8206950840925726,4.086220584737433,2.238726434306952,0.8790547944384901
01-29,1.1398937773055378,0.9639362097019788,1.5507810929073964,3.7320732966842165,3.3655689383934955,2.293956877132029,2.716763283023064,4.160125467960529,2.193783491302966,0.8924096919644171
01-30,1.150360366123998,0.9387926562649382,1.5716021512926144,3.6773036261125642,3.3465169141321263,2.2732928101702528,2.6092434160291815,4.2342970985933945,2.140823614330468,0.9033059675101652
