month_day,east,north,up
01-01,-0.5798947514383865,-0.04104595989527521,1.3333540383255502
01-02,-0.3415381054913298,0.05324040841392699,1.3516301054533129
01-03,-0.5691365565223255,-0.09682266761871416,1.108846536603783
01-04,-0.5797496015103387,-0.11364142651655484,0.9459248071884148
01-05,-0.602204313165019,-0.1423310187477283,0.9294489111063797
01-06,-0.6055048581530321,-0.16702894431223592,0.8950563483576782
01-07,-0.6181970698077118,-0.21066436987674325,0.8810554522756432
01-08,-0.6106482809543048,-0.22905751586185996,0.6832047202327793
01-09,-0.6579002148312066,-0.24043433031525588,0.617022990817411
01-10,-0.7309491574815828,-0.311610489208035,0.6362013135397927
01-11,-0.7077830358029298,-0.32767091477254234,0.6553420841244244
01-12,-0.6689585807909438,-0.31988967367038257,0.7064286880423895
01-13,-0.627759125778957,-0.31821259923488965,0.7192527919603546
01-14,-0.574388837433637,-0.26935219146606315,0.7739977292116529
01-15,-0.49356438242164935,-0.2703251170305707,0.747359333129618
01-16,-0.4543482607429958,-0.29958970926174466,0.7403626037142499
01-17,-0.40303630573100857,-0.3300334681595851,0.6920825409655482
01-18,-0.34221185071902155,-0.30862722705742573,0.8758024782168465
01-19,-0.2975040623737013,-0.2843084859552664,1.083497415468145
01-20,-0.27587960736171446,-0.293189744853107,1.27164651938611
01-21,-0.23836348568306176,-0.2564626704176137,1.3127664566374084
01-22,-0.22330569733774175,-0.24324809598212094,1.3069947272220404
01-23,-0.12813124232575562,-0.2548251882132946,1.3903021644733387
01-24,-0.0769942873137685,-0.2679564471111354,1.3770012683913035
01-25,-0.07689899896844833,-0.30758353934230914,1.3327753723092688
01-26,-0.05673704395646109,-0.3039981315734831,1.3205286428939005
01-27,-0.05177092227780672,-0.32245439047132374,1.3186652468118656
01-28,-0.06873396726581946,-0.277264816035831,1.2873393507298305
01-29,-0.09381367892049935,-0.25430440826700496,1.3723759546477958
01-30,-0.10073089057517952,-0.22002316716484538,1.4386125585657608
01-31,-0.11285226889652616,-0.1847877593960191,1.555624162483726
02-01,-0.12862364721787314,-0.14828985162719271,1.6144274330683575
02-02,-0.1251268922419132,-0.03175911490243994,0.8133659027477708
02-03,-0.14198585480158038,-0.05127942768296445,0.5931203917554927
02-04,-0.11502868545393882,-0.029978617468836646,0.38497862407872235
02-05,-0.10847599985783962,-0.07053938685158267,0.35454049002323307
02-06,-0.0850035879096614,-0.07454685953103182,0.25087930059174696
02-07,-0.09600245370334876,-0.03444267524000035,0.16601143156534637
02-08,-0.0874164790835191,-0.018584718451566253,0.1044249962676249
02-09,-0.05365403387545397,0.0343359834349071,0.22496012959735456
02-10,-0.05896217690268296,0.027413548066478634,0.337012909985908
02-11,-0.01444613417128704,0.03365929550400097,0.42739133458421896
02-12,-0.04044730344804215,-0.0694716407744275,0.37675896465019276
02-13,-0.01894760333801544,-0.11817446829971935,0.2841529215093344
02-14,-0.02032241303191138,-0.1587400409230502,0.27134687836847604
02-15,-0.010548203117963954,-0.197713456683636,0.2385525999334998
02-16,0.012429928364610647,-0.20694961754226088,0.2017896940475433
