month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.6449392076018654,-0.23517395363596383,1.7584197297392963,1.9528243628697648,2.8016206273633952,0.9171247310125215,1.1575848682968748,3.8191731822173667,0.4135236733494226,0.7153244790989367
01-02,-0.6520435610070363,-0.24614037008237513,1.7357079986438286,1.9464825295246246,2.799191917784252,0.9200701933123439,1.1401177477762696,3.8590807187854153,0.41455015309836435,0.7234770004582793
01-03,-0.6648952307803414,-0.2655880177900125,1.693783054971412,1.9382108632512172,2.7934323630487365,0.9250343018616346,1.112615671619195,3.887912171053655,0.408983337002492,0.7195432080106431
01-04,-0.6679706042573503,-0.2825060358680203,1.6596714446323284,1.9380884073019005,2.785491547458134,0.9254918365455153,1.1072799502901807,3.8988217969197714,0.4079852063720251,0.7194435985036746
01-05,-0.6659296814380627,-0.294358868760843,1.639993908367319,1.9492260577749392,2.777507075489807,0.925668885361602,1.115555294022639,3.8774347115976084,0.4151365933269871,0.7240490071267001
01-06,-0.662261351211368,-0.2940746646166286,1.6251274832134206,1.9591965989546292,2.767752626191708,0.9301269922793844,1.128373726894502,3.863135824349419,0.41412668929854335,0.7240746167362363
01-07,-0.657767095058747,-0.2957163863983403,1.5989321691706333,1.969102152257146,2.7664482371216095,0.9387989760309926,1.1178231464048638,3.87791635312427,0.4316696965964394,0.7291215854410767
01-08,-0.6508580240913111,-0.30439736743931123,1.543019077350068,1.975989549861177,2.7644679586138152,0.9421541326049739,1.141739430614246,3.9304746535291795,0.46360771171698023,0.7295799845359066
01-09,-0.6354067309016528,-0.3300398299617637,1.47103265219617,1.9889849652026121,2.7638083018568067,0.9418902939081223,1.1550223061257645,3.929964108346213,0.46937049053761426,0.714679723458784
01-10,-0.6130067517194197,-0.3528461967920217,1.4152581604685661,2.0001087653417566,2.7654856166749293,0.942546848109577,1.1796804768169196,3.8539296889261783,0.47952966241724315,0.7047324752912514
01-11,-0.5860908820335186,-0.36474555742307624,1.4081623504083656,2.015914585894493,2.7728834705076895,0.9579650003884163,1.2162459779384702,3.824613497783545,0.4836123862932776,0.6885492652577238
01-12,-0.5653954181402455,-0.36945272666974205,1.4512229997933463,2.034221477323188,2.789625750340059,0.982488221123084,1.2517734707421955,3.792131832495363,0.48291134526350576,0.6773545138123904
01-13,-0.5511564534395832,-0.37278972615013944,1.4931422492712885,2.0494199229194368,2.804061230869028,0.9995308661797768,1.2971656659984148,3.7575098772700555,0.48800609235880443,0.6536481905940309
01-14,-0.5452552665166984,-0.3806445034083146,1.5099333506010824,2.056613443015128,2.810063955073355,1.0011801343425504,1.3090901026860189,3.7507086024038956,0.497269098885199,0.6440640474882755
01-15,-0.5349713855530642,-0.3953430692533278,1.5050255222547662,2.054749002322255,2.8077715108852837,0.9799885076908559,1.3226820992382935,3.67120930839112,0.5118332612732232,0.6286507172928093
01-16,-0.5256492549931246,-0.4151083866481418,1.4969328383064135,2.0497113153974285,2.801998286992974,0.9554817040814677,1.3183161935372911,3.699949087930663,0.5084560446069032,0.6373627620755906
01-17,-0.5181869545498207,-0.44101029743022185,1.4859594560472311,2.0459471155536364,2.79886048544773,0.9442274962232706,1.3379931119430297,3.68814852052133,0.5331872112887879,0.6273159884902578
01-18,-0.5082808135323981,-0.4570415215168619,1.4774010550371275,2.044438110126446,2.7942935347500857,0.9241889866972743,1.343985937769623,3.6647058567799236,0.550016429983866,0.609472627129982
01-19,-0.4935982393482646,-0.46728131816732094,1.481855413053881,2.0406721615431382,2.7898311166422602,0.9125532337150769,1.3325359445134914,3.6494082477939394,0.5508147553674815,0.6085737080905141
01-20,-0.47112855969188655,-0.45509688258117104,1.4957139283618404,2.0305563140152403,2.789286403553943,0.903554034453818,1.3165402591357815,3.699530628295254,0.5483626554100125,0.6191777892921364
01-21,-0.4532840652206936,-0.43046948403205815,1.527665036262392,2.01404434311256,2.790164739942931,0.8924350991932566,1.292903835683457,3.759748735964414,0.5137760092929474,0.6145695110331704
01-22,-0.4339921633420933,-0.40356430770516755,1.5544487367555364,1.9983526216721759,2.793073376459278,0.8782909378447082,1.2596296831312446,3.8295995529228035,0.4868198591959846,0.6249011463526176
01-23,-0.41938537901657363,-0.3876700521645638,1.6048430273411507,1.9891647550629001,2.8010255034989857,0.8815697155956513,1.246983467489317,3.876684622533254,0.47865035200334693,0.6359468834571148
01-24,-0.4038917927601779,-0.3812613419002379,1.639871090704297,1.9889760136119135,2.8144996617515137,0.8836759413122498,1.2267101645061393,3.932802591374164,0.47242103922524403,0.64302334125187
01-25,-0.39074244805191266,-0.3754928014021804,1.6836057391596677,1.988971850327179,2.828628318594241,0.875505567364325,1.2152509751590233,3.9764681061353446,0.4641960852742355,0.6575990367083763
01-26,-0.3752003754868453,-0.3714312876618821,1.7100800863184962,1.984388772016392,2.832158401621379,0.8709695799854711,1.2078647607748112,4.045637844239675,0.4758389178715276,0.698847964589581
01-27,-0.35761439712486287,-0.3710213930070445,1.7268693032226645,1.9767082845430426,2.830057174249013,0.8751866514966598,1.197031293620308,4.038764307307294,0.47774115878929624,0.7157780125627379
01-28,-0.33645333502585245,-0.374144746802406,1.7385381905436839,1.967093872551611,2.828813325447619,0.87741870572597,1.1850167080364082,4.0763408625054,0.4801610726393463,0.7399272030917532
01-29,-0.3133275595601841,-0.37458949719611484,1.7330534149482206,1.9544014024312861,2.832354337959846,0.8840020339260249,1.1690499148881202,4.145319785256258,0.49473337986762517,0.7579950312768132
01-30,-0.28447572370748336,-0.3697645755186268,1.736259585672294,1.936111577112772,2.8314642673986534,0.8828755921776814,1.1419254959959386,4.194184419164827,0.48412090982837774,0.7664650331608412
01-31,-0.255025369336264,-0.3612055797670648,1.7239761267667373,1.9155905563591942,2.827586641849619,0.8777374456654167,1.1309544301733032,4.200840922865175,0.47294024645216276,0.7720939703782548
02-01,-0.22377797792800758,-0.3496480654969842,1.7386667419352555,1.8960555978717875,2.822431431749786,0.8892712896181052,1.117814315667248,4.253756612597808,0.48190817229448746,0.7852581909623949
02-02,-0.20118688281604738,-0.340414995671348,1.7591595793259953,1.8780539436223185,2.8290533241931715,0.8712967565558026,1.09135678317943,4.3119775727314975,0.4578308621392178,0.7952579030485022
02-03,-0.1835876395559389,-0.34143674066052654,1.7730761204204388,1.8622960546836442,2.8383949021191057,0.8572748334375255,1.0783185030051918,4.383597769917549,0.45450033405755796,0.8036505768554887
02-04,-0.17136172962916377,-0.34959996713118674,1.7729348837371048,1.8487302611175291,2.8482960800818344,0.8472527517988755,1.057123838655771,4.470636562235797,0.45504936350214875,0.8136831749978559
02-05,-0.16182026414683295,-0.3650343047129582,1.7548514248315483,1.8401159041640918,2.857796024749548,0.845076693050709,1.0601569621763542,4.538464133175152,0.47452243583145814,0.8304490425835358
02-06,-0.15929583570153943,-0.3725130867391739,1.763064262222288,1.8286742852582236,2.8650994664944167,0.8428566212962565,1.0533202041026775,4.657470081250607,0.47274741222131306,0.8464396705822623
02-07,-0.15717881466365333,-0.37522816506168594,1.7855045070204352,1.818725975120605,2.8719959295402027,0.8393497136948621,0.99701635259158,4.71959958494715,0.4400449973258203,0.8610700854757571
02-08,-0.15515512695910083,-0.3648454656064201,1.8230003073741383,1.8087063155851109,2.877091713043915,0.8439435202882248,0.9782664686015107,4.756628432226582,0.41044427707679415,0.8646852696179538
02-09,-0.15140847629158535,-0.35885684022522835,1.8217138855056192,1.7958844472631388,2.8731669004472025,0.8477147628069829,0.966220733989914,4.819208040585987,0.3893373349885975,0.871162438696361
02-10,-0.1441173811796254,-0.3597111778069994,1.7699741303037666,1.7789880642458549,2.8621033323078415,0.8316286777815934,0.9368973945117348,4.788652211211797,0.38738274362499847,0.856690387549629
02-11,-0.12723147125285053,-0.36379588575914096,1.6799906713982102,1.7532231388814392,2.837778266167987,0.8191770250836474,0.9201316176638803,4.770273595553506,0.3882076912414031,0.8479484588497167
02-12,-0.10276407984459403,-0.36661763074831955,1.6081672124926538,1.7349278258316254,2.819003956111846,0.7994565682328381,0.8851122651126913,4.750100200294827,0.3803314233082216,0.8500627490065003
02-13,-0.06934335510300409,-0.3662067831449057,1.568653383216727,1.7224722008997169,2.8108777889685483,0.7813536954177602,0.8689425195018192,4.7158454999630655,0.3752361759132935,0.8394873720567888
02-14,-0.04405448221326579,-0.37007593554149193,1.5526780724593188,1.7221020108945118,2.8148302868840793,0.7862650981348033,0.8671458295382231,4.756920701229275,0.3748997229596718,0.8493312858997053
02-15,-0.02015449821241649,-0.3653317546047447,1.550059057998207,1.7296112653092235,2.8271981470857415,0.7953422728904396,0.8470236149175501,4.75676417243175,0.37479225345943423,0.8429102177082625
02-16,-0.000751161070464107,-0.35376534912502855,1.566520709875224,1.735644111126341,2.840660755684734,0.8141558645772565,0.8426652685245429,4.788905648503691,0.3655289901915834,0.8423213202777937
02-17,0.019155178649990636,-0.34007375381863375,1.5857799907247945,1.7361051674090018,2.853693446539969,0.8340335371561259,0.8408591304839963,4.809041658486669,0.36335254182534993,0.8391546620112735
02-18,0.04178268890486578,-0.3281821515499988,1.570080529848011,1.735047713512456,2.8676190305333074,0.8239617101583165,0.8357051503888242,4.846743687115732,0.36453489636503233,0.8372890030557966
02-19,0.06318470302749457,-0.3361312830598644,1.5158223272448728,1.735872682348531,2.8750438469302595,0.827809202912032,0.8338422091594508,4.807914386603011,0.35892204919287757,0.802337567336606
02-20,0.08881603583269197,-0.357051518718601,1.446894271804269,1.7369135084135643,2.8822808352780522,0.830744483299582,0.8117346416889615,4.785284337741865,0.35642730286954216,0.7927639908581451
02-21,0.11121890954268028,-0.38829396963731994,1.4047926598224958,1.733984265217731,2.8879155424720255,0.8212062677325191,0.8188475903229683,4.809938895606856,0.3511190185433685,0.7932232437100187
02-22,0.12933776860190405,-0.40658752470490983,1.3659256394477017,1.73002513932954,2.8929658822868536,0.8279736007082302,0.8205982075406627,4.809978620916911,0.34059802188069577,0.7702161943668256
02-23,0.14400002041777063,-0.41995366540285217,1.3255013588280347,1.7264167387416613,2.8918941645603753,0.8318952574483103,0.8287943090617274,4.7895173261820085,0.3406167436889272,0.7608865438584028
02-24,0.15727899832361325,-0.44006794728670245,1.2819842624079392,1.7295098202211114,2.884446051570116,0.846835920793006,0.8231962922140802,4.772774239545086,0.33988753082891915,0.7567910559529174
02-25,0.17327470231943187,-0.4601385185046089,1.2449958316688965,1.7351738462071984,2.8776981272354942,0.8477167386432731,0.8219407479180089,4.716299695797673,0.322699827711548,0.7360048929564161
02-26,0.18891920035857224,-0.47653431270777397,1.2098274169162042,1.7410008349246133,2.8733014595318633,0.8601474748411267,0.8193218324860133,4.679887789140071,0.32924600522363723,0.7170981488602735
