month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.6272966825802837,-0.22668158772204547,4.005172364306901,0.7143196631925851,0.8422272881744938,4.267949609745754
01-02,-0.5882424706333907,0.07615450349853983,4.22240626558403,0.8256088436788408,0.7222830152058012,4.241627091748336
01-03,-0.7087626202123829,-0.23239415553005852,4.107339818700632,0.6541870143882564,0.9375059882470682,3.277093059175347
01-04,-0.7358036966746606,-0.2585278043122877,4.0701854415119625,0.6524428899649285,1.0439780487130061,3.0375202248962903
01-05,-0.6541381064702708,-0.3495947864278509,4.112564397656628,0.6720316365956177,1.0498412335833611,2.7940728792965253
01-06,-0.562885849599215,-0.35120843521008155,4.366303353801294,0.679733092237862,1.0280192600824116,2.6689576911153177
01-07,-0.5016469260614913,-0.356942083992311,4.667748976612626,0.6599654311445312,1.0142207148982718,2.756614857177341
01-08,-0.4770480025237688,-0.35035573277454163,4.791661266090624,0.6938686757061691,0.9990322869017942,2.8347428290486487
01-09,-0.4274490789860458,-0.37227604822343835,4.715933555568623,0.755482868170331,1.0419346412213994,3.1354232088895757
01-10,-0.41213015544832315,-0.3479163636723363,5.019872511713288,0.8419075633463069,1.0329314601462238,3.4882876568130663
01-11,-0.30919789857726715,-0.30070334578789903,5.191344801191287,0.9074483338408227,0.9777828554070617,3.7756571222326993
01-12,-0.2766656417062112,-0.3296103279034631,5.202283757335951,0.8898609555327684,1.0290497104445446,4.180894593063496
01-13,-0.21976005150182232,-0.29549064335235975,5.277089380147283,0.8899904230214392,1.1260941907660595,4.588275168204284
01-14,-0.13277446129743184,-0.21742429213459014,5.343108336291948,0.8222302588518466,1.1673761047982165,5.008149324436823
01-15,-0.033055537759708695,-0.10771794091682088,5.911860625769947,0.7955589629564268,1.2801474032503817,5.251127208521237
01-16,-0.02073661422198523,-0.036224923032384206,5.945786248581279,0.7385332806544823,1.3146369947155658,5.284748206490891
01-17,0.05163564264907109,-0.06686523848128145,5.86687187139261,0.7930202800833674,1.3209385770830582,5.110445845367634
01-18,0.18584789952012706,-0.02447888726351133,5.876077494203942,0.8426833593028329,1.336016754003653,5.00296539969577
01-19,0.2661001563911831,-0.026599202712408766,5.825549783681941,0.904071134367453,1.3220432939776534,4.738379851749956
01-20,0.256192413262238,0.013533815172027275,5.551768739826606,0.8921413313620645,1.321546272509667,4.273749178779747
01-21,0.21993800346662776,0.00953349972313089,5.2593076959712715,0.850356107311372,1.3656380026780885,3.658779758597973
01-22,0.1460302603376833,0.0037865176075670528,4.908086652115936,0.8734657075232748,1.4453512520308158,3.041035258453404
01-23,0.1662425172087399,-0.05942713117466325,4.604132274927268,0.817761860652622,1.5169842522592512,2.525819090487321
01-24,0.16053477407979583,-0.1756007799568943,4.234431231071933,0.7733849404711979,1.6127703100351365,2.0598067344145954
01-25,0.14210703095085137,-0.3084944287391248,3.4956368538832656,0.6940260332979231,1.6314420486386176,1.4848223365550792
01-26,0.1303326211552413,-0.3884814108546895,2.959389143361264,0.6367456636180588,1.572158234057021,1.3299480175161011
01-27,0.16693154469296362,-0.44829505963691946,2.7421947661725956,0.629865763149199,1.4803462081758734,1.3559681410906725
01-28,0.12986380156402028,-0.4853753750858168,2.1894670556505944,0.6498346980081192,1.360552001027521,1.3731271984288953
