month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.475315061856316,-0.40899026645597736,4.183434709353988,1.9225374492780114,2.950485379755337,0.6793959435299335,0.9147480193616551,1.953531002859938,0.138263190199907,0.7186593832661076
01-02,-0.4561528223096769,-0.38174236862487027,4.315116409648542,1.9232418232022945,2.988211176844171,0.7275387350072942,0.9362708280048163,2.1844291981290356,0.1132654506450049,0.798666335550723
01-03,-0.4111311209941764,-0.3303187951848782,4.568424254682097,1.9376594533490383,3.064329548782512,0.7812873175524369,0.9209711446262377,2.2834915796106796,0.08257089186397304,0.8651472295704087
01-04,-0.36320108634534276,-0.3103785550782195,4.789740433048984,1.947628958907399,3.1303609687678633,0.8284170299794298,0.9292297328179857,2.4245412526943655,0.1334690857730147,0.9277393794591839
01-05,-0.3144793850298424,-0.30135220386044964,4.954034389193649,1.9581599493043769,3.182958072831694,0.8259405382742736,0.9672516329147055,2.685725830123446,0.13742461227664332,1.0230688297186723
01-06,-0.28477990593656427,-0.29382029708712437,5.057853345338313,1.95842069666411,3.2181974434091836,0.8241719695882718,0.9686752589920354,2.6823590349395103,0.19668691827844953,1.032232500733527
01-07,-0.26104709350995253,-0.27631616809157694,5.195727857038535,1.9762576409080301,3.2632479357790536,0.7744662335958553,0.9766312742654802,2.616527056878721,0.21667598996378093,1.0060040417333358
01-08,-0.24141428108334062,-0.26923426131825173,5.288566257627644,1.9832180564049604,3.2893540175480918,0.7351502581887619,1.0222940055520442,2.614758750852649,0.21510763979492012,0.9820908475864438
01-09,-0.21597591310117323,-0.2781162434338152,5.365751880438975,1.9988952698261315,3.3015597850097484,0.7025445669094529,0.9784059899979639,2.5158230518309357,0.22376714005258647,0.9420657316848543
01-10,-0.18813372880910462,-0.2851412251112551,5.4087675695149215,2.0061503045715896,3.3036974239181354,0.7322242094037117,1.000769550029186,2.644847378578534,0.23317156172650377,0.9346239620567022
01-11,-0.1599311341194559,-0.3081105392457814,5.431201724453429,2.027271843792613,3.304954152903713,0.7452467659920806,1.0206704390465489,2.618020949022217,0.24238826874895203,0.916125249933049
01-12,-0.12274868458778236,-0.3424991858373942,5.396193234143387,2.0302424706587776,3.2928142786606807,0.789696072763315,1.038497871659399,2.5697046993061132,0.25214355002176364,0.8879377499249458
01-13,-0.09044019652398523,-0.3802947208797724,5.3078620323201795,2.0365370792667092,3.2691255960180072,0.7971418315302424,0.993454914233384,2.52872692591109,0.27817897957593446,0.8715406902554039
01-14,-0.06979559734907688,-0.4038569225888173,5.207747497163639,2.04238219244101,3.242397115263673,0.8123813740577798,0.9898897646785626,2.4335145631653132,0.28588310538841,0.8334188276001331
01-15,-0.06146766484083502,-0.42643579096452894,5.105349628673765,2.0604194281587955,3.2171451163399696,0.8350779253082272,0.9859895056896782,2.344065772531244,0.2731643053183242,0.7899450512587736
01-16,-0.05516473233259312,-0.4665952148957964,4.951835093517224,2.0775902398014026,3.185653464977325,0.8143377373326697,1.0001746684933823,2.343880602552083,0.2444299224555899,0.7704780732882867
01-17,-0.04344617168980829,-0.521692194820743,4.761047436540514,2.09780055072404,3.147231921102622,0.8290860228071283,1.0475625472497168,2.426085350947595,0.21742949904101283,0.75067740568697
01-18,-0.016849132555714946,-0.5731392867330476,4.545821869256799,2.097776290006819,3.0995122899399843,0.823487176803607,1.0675586475099317,2.388280848578863,0.18565471211304418,0.7544695271940706
01-19,0.014995829514131217,-0.6098337128549324,4.370450058332746,2.073475448101442,3.0492467289838636,0.8143410709311022,1.0622138245685,2.4238883834226894,0.1718680413905529,0.7644625162922012
01-20,0.04530086416296506,-0.6306823616371626,4.163066236699632,2.0358309555661376,2.9984265954015954,0.8086378491421402,1.0910942200567646,2.5381418560493287,0.16142748043404798,0.7701210342949063
01-21,0.06625867658957657,-0.6335560104193928,3.9531268595109648,1.9972540158264458,2.9470593073988263,0.8352436135189245,1.1131006391456217,2.7068000812673323,0.12989343060698894,0.8116748607347747
01-22,0.08679148901618834,-0.615554659201623,3.8015847045445184,1.9668108998680962,2.9003911241166853,0.8190325317637902,1.1068128180710464,2.8337465036774954,0.16475181100947603,0.833680589670221
01-23,0.1041076347761335,-0.5896283079838534,3.701623105133628,1.941737577271648,2.8594846328677197,0.8444210554415919,1.1211019504116577,2.75671778992766,0.15662431993996026,0.8558032071276214
01-24,0.13566266942496757,-0.5808991789883058,3.632403172389404,1.933514974918223,2.835157711048119,0.8390927430891372,1.118343687109086,2.6576391027947084,0.155060911786116,0.8331940432037465
01-25,0.17955381518491262,-0.5914867166594251,3.5440610174229583,1.9250372926856663,2.814818113818099,0.8170092029503447,1.1213665951762595,2.452856129332869,0.12778574292395428,0.7561424756625676
01-26,0.2328477387226353,-0.6157714765527667,3.483552195789846,1.9112637087711108,2.800928081123882,0.8042264857565953,1.1385986928610756,2.3367575251984096,0.1576695790652279,0.7105396435482823
01-27,0.26187777337146906,-0.6319590142238859,3.3856794852678447,1.8955357237318182,2.7814627843894697,0.7953640738527432,1.1371938492154665,2.3100903247565046,0.19131378463725562,0.6712822637712244
