month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.6445099050458242,-0.3242277515254886,2.0613740962983447,0.5986004774999996,1.0209330268205294,3.5833083998797406
01-02,-0.6488118635647911,-0.6635086079186276,1.5061050992449485,0.5612901079177507,1.0296131230746268,3.4389735187666415
01-03,-0.6596783723473986,-0.4425417308300182,1.9796054053753016,0.5903218679783493,1.0682815242772108,3.9821966033577363
01-04,-0.6538706711229003,-0.45159654440086033,1.9012105978637217,0.6284331539905819,1.1128005311536928,4.0672387086325275
01-05,-0.641462969898403,-0.41736246908281344,1.9010880125743637,0.6244816996756709,1.1378136590203112,4.332459973348056
01-06,-0.631816379785017,-0.43993950487587746,1.760776538396117,0.5961667115025645,1.1455727512664362,4.444885687201542
01-07,-0.6074475674494076,-0.47101654066894233,1.6370428419956482,0.5854053080466664,1.1919427736656112,4.513278515797006
01-08,-0.5998287551137992,-0.4709713542397848,1.662748034484068,0.6158592582877307,1.1706755521887906,4.619138030761419
01-09,-0.6127432761115249,-0.4233706122550713,1.8488032269724881,0.6657550373835341,1.1253134677710885,4.800152783728533
01-10,-0.6224411304425831,-0.3903309813814693,1.822386197238686,0.6745469234125133,1.119610247696745,4.884240421249563
01-11,-0.5855056514403075,-0.46646912828564524,1.6006580563937725,0.6819023693307006,1.0241928014348152,4.852172083428612
01-12,-0.5649701724380334,-0.4952850529675983,1.6284799155488594,0.6985863229012318,1.0217953863682079,4.553260744650595
01-13,-0.5225458045468695,-0.510656533205107,1.5013017747039459,0.764202924626615,1.0470979291802238,4.279790052887069
01-14,-0.46528254776681627,-0.49478356899817166,1.4290069671923653,0.7661709892315473,1.0173158561881617,4.034714090576525
01-15,-0.3988637354312088,-0.4981661603467915,1.4302232707918965,0.7729180522664574,0.9952746477968323,4.178347436578628
01-16,-0.37008936754004496,-0.4299043072509668,1.5235506855025391,0.7605033168962199,1.0295296915537255,3.995200449851763
01-17,-0.3231038885377698,-0.41264245415514256,1.4639281002131812,0.7752216769249055,1.0216872686920189,3.9215394903741188
01-18,-0.2852072984243841,-0.35759726772598494,1.6156666260349344,0.7950900136052309,1.0763621352207065,3.7277885583279518
01-19,-0.2756773749776649,-0.34852985907460493,1.675499596301132,0.8188583222646789,1.048698076014504,3.5684384917785117
01-20,-0.2836807848642781,-0.34292356153433595,1.8946881221228853,0.8535600795135996,1.0269639507714163,3.4479239752258386
01-21,-0.27956197252867016,-0.2989617084385113,1.973343314611305,0.8674726053134789,1.0028944493758751,3.4355507782426535
01-22,-0.28333204908195125,-0.3300942997871313,1.910476284877503,0.9194676053996483,0.9408011969249881,3.579414775508701
01-23,-0.2263465700796756,-0.3823491133579731,1.8566648106992563,0.9472050722414669,0.9333190176365643,3.571665861147748
01-24,-0.19871109107740023,-0.37494281581770444,1.8711366698543426,0.9602524588076886,0.9726207591574741,3.6708704488468613
01-25,-0.2136533898529033,-0.4435476293885465,1.7455640845649845,0.9939905282044198,0.9996256409012291,3.695865984813349
01-26,-0.25317346640618354,-0.3528079985149446,1.9757248326089603,0.9864423486497911,1.1083607837043874,3.613609532008254
01-27,-0.24547132073724112,-0.37110170097467615,1.8515911362084914,1.0181126438323027,1.050150938234289,3.6051759815245004
01-28,-0.2613191750682997,-0.37388429232329606,1.8525907731413556,1.04609760596712,0.9829520153028634,3.480079480396959
01-29,-0.29313925162157967,-0.3921002170052497,1.9202459656297755,1.0415963093304692,0.9642937909656069,3.377268316561285
01-30,-0.32157599484152666,-0.38792169724275904,1.9551456025626397,1.0394444255912998,0.9632592922916062,3.381386711782707
01-31,-0.3444794047281409,-0.37576539970248996,1.972356350606615,1.0828241059491732,0.9427897316837375,3.302066779118935
02-01,-0.3424605923925322,-0.37460354660666534,2.1219448764283686,1.059539922792507,0.9590721829667133,3.379313234844085
02-02,-0.37095844672358974,-0.4240861379552856,2.007350068916788,1.0472879657538092,0.9844017558128783,3.51525046698154
02-03,-0.414384078832426,-0.4513965070816835,1.9463774836274306,1.0163068348297002,0.9852094010552442,3.5231180482996014
02-04,-0.421043044274596,-0.4925013206525258,1.7326604538936285,1.036353825687771,1.000091304163809,3.6538461498632038
02-05,-0.4175631208278759,-0.5478172453344795,1.6199434241598258,1.1161685446571026,0.9714914396185389,3.6979063192270463
02-06,-0.42621653071448934,-0.5619165033497666,1.6829986166482456,1.1149090787678482,1.0051886157639771,3.6835651178561823
02-07,-0.4583977183788817,-0.5261324280317198,1.6952426980255542,1.0798205435772779,0.9686801030492093,3.8144575036179518
02-08,-0.43901779493216203,-0.5335816860470065,1.5523534460695292,1.0793049310054226,0.9181776577821272,3.981315628685042
02-09,-0.4110712048187756,-0.47273649961784886,1.6504197496690607,1.0465193164191062,0.8865905212911754,4.04625896301352
02-10,-0.37913017026094614,-0.511296868744246,1.5621693866019253,1.0729141296765783,0.844662926984162,4.253758350899151
02-11,-0.3724224690364489,-0.463112793426199,1.6933690235347896,1.0773237865280298,0.8560541096548172,4.290962260015457
02-12,-0.39409254558972934,-0.4195453847748194,1.7808353271343205,1.0378039100221796,0.8838051595609715,4.445171294683298
02-13,-0.3928515110318995,-0.3970501983456615,1.8343794085116294,1.0435306594280103,0.9188774789783801,4.517517580670415
02-14,-0.4130993653629573,-0.36570501191650306,1.8265734898889383,1.0399183565696928,0.9045215772708026,4.465744872744313
02-15,-0.4194861085829042,-0.4393376032651233,1.6676397934884692,1.0394083340672382,0.8853395151224611,4.432295184811768
02-16,-0.44694507402507405,-0.4790646390581878,1.564839430421334,1.0927726340945523,0.8867178300342178,4.353218503640475
02-17,-0.41359848391168846,-0.4564694526290296,1.5730224006875313,1.1314056424318066,0.8599851769355498,4.290713512235584
02-18,-0.3371185604649683,-0.44211315508876053,1.627194259842618,1.133489932728389,0.8390035464369572,4.289579087020884
02-19,-0.26269974812935926,-0.39984019088182493,1.6798050078865934,1.1003051499309058,0.7653684794907314,4.341886104068422
02-20,-0.25966426912708457,-0.3750561155637782,1.6374602003750134,1.0185080558787862,0.7914111326854163,4.322250058459697
02-21,-0.19641212345814232,-0.35098315135684205,1.4835042817523227,0.990205423099732,0.8655421297327884,4.341729972099122
02-22,-0.15458775556697832,-0.3452768538165731,1.388542807574076,1.0325887745196043,0.915114222732772,4.251678422434319
02-23,-0.14630783212025952,-0.33263166738741534,1.4441646667291625,0.9930329330384797,0.9299032834918601,4.201550868746695
02-24,-0.1121890197846508,-0.4033087031804798,1.3223365258842492,0.98347882244708,0.9037506279313514,4.178087679217084
02-25,-0.12553749261910996,-0.41455604105359517,1.2334178247703074,0.9486691499494724,0.9235447123287638,4.16006590468627
02-26,-0.11686496423256927,-0.4162387269120585,1.0709812359884785,0.9315879354287225,0.9569886884563954,4.121294447149255
02-27,-0.09024118431977647,-0.4485655977522067,0.9333347876217898,0.9500444526748089,0.985241040941419,4.047061893919665
02-28,-0.067573892363471,-0.48929264341753,0.6556444775612392,0.9424547993145488,0.9542939157665108,4.019195016366563
03-01,-0.06600505388892115,-0.49850056419273553,0.7140395565318848,0.9551438643226293,0.9674469682427015,3.9175189589700423
03-02,-0.1470531500518937,-0.4684166581774265,1.3835135380204597,0.8676955494629127,1.1258130824591899,3.7026774134430793
03-03,-0.11026514579709291,-0.4907406636674605,1.4117086294987788,0.8838645409546514,1.1325973442089166,3.9234524287434382
03-04,-0.08823471729986844,-0.538234366127192,1.4300491755225522,0.9014971972166382,1.1331526650849988,3.9989641406612244
03-05,-0.1067982281965838,-0.5304614019202565,1.4349169942735986,0.8832194486595415,1.187606592188561,4.088899172872896
03-06,-0.14371325424481365,-0.5591066195315036,1.305245419085251,0.8784877733911367,1.2610350915367665,4.121014908831074
03-07,-0.15825252271728696,-0.5901457765366892,1.3585192984423577,0.8847141323049675,1.2150526202121774,4.050141355296793
03-08,-0.1923433063412742,-0.5383606911176329,1.547411359617646,0.8772010940308891,1.2708049343807022,3.869994366335292
