month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.6617485094949338,-0.4175000567770204,2.5999220629268427,1.6791639602483732,2.955406446289561,0.4519048584753813,0.8202265961736445,3.4101103520273193,0.2550974787927823,0.6957113898288193
01-02,-0.6677667614028527,-0.4172374229832824,2.588777381510249,1.684297393680569,2.9626918412774876,0.46459790381522903,0.8284795481507675,3.4845497358066817,0.26433745476545006,0.6975308819169647
01-03,-0.673469705251124,-0.4288102298427356,2.5340735907008995,1.702495036351676,2.9769315067959106,0.4831041910491543,0.8455146939913027,3.497464601777032,0.2781696979045057,0.7092349004618114
01-04,-0.6724244944492203,-0.4439196842854001,2.463471970508518,1.722171631181044,2.9753099744601603,0.5082912008338168,0.8411789080479024,3.49126647543664,0.2851223043904885,0.698806280029528
01-05,-0.6638472906133029,-0.4578940691395587,2.3868634300240146,1.7497221640603335,2.971218292551042,0.5449860802378629,0.863754212814533,3.451773490168431,0.30245534538513735,0.6808159239477892
01-06,-0.6586896088948871,-0.4519141924860195,2.341725747025166,1.7674836321983893,2.958820844948683,0.5945620070774962,0.9080869623964755,3.33133023455637,0.32872525854199586,0.6460220068898196
01-07,-0.6422958937384172,-0.4378729836177118,2.30322861848167,1.7815091136180563,2.950365337202106,0.6027862274837672,0.927714466281463,3.301440862633619,0.3337619805720362,0.6024287420289371
01-08,-0.6223631148408629,-0.4300805435447366,2.2823447716662533,1.7888607999266106,2.949820202116218,0.5991643857981597,0.9557612053783988,3.3419888290561532,0.33568358186624375,0.5909105101681362
01-09,-0.5996288725738316,-0.4392064745878419,2.254082573949017,1.795522921616216,2.9609660176892425,0.591044746388058,1.0098728074977545,3.29794036432433,0.3421442069781799,0.5720468478439509
01-10,-0.5822548446340178,-0.446287913862028,2.2490533477956194,1.8003992337990384,2.976148528308755,0.6049034576442432,1.0264831309007112,3.3292300632196907,0.35146425259901765,0.5599219953242187
