month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.2696620660628156,-0.08641237923848778,1.7705607820858016,1.957305126191652,2.674912660378121,9.249506352619191
01-02,-0.15363890622241097,-0.002661764674949829,1.6371230070830953,2.06573046144492,2.812965492436089,9.545257383536496
01-03,-0.2787383509198234,-0.04970328151252998,2.1229398671831063,1.9865027047232242,2.6923794151943086,9.414416289279517
01-04,-0.286718009749579,-0.036954390837720216,2.14058710177963,2.0048094756715438,2.7263229007089578,9.612421310786793
01-05,-0.27089026117192794,-0.012253648311058364,2.077219521561338,1.988981683393759,2.709091705740298,9.674804124193722
01-06,-0.26174399407575777,-0.021193646525137666,2.0629704598615652,1.9752304765361275,2.7283650617527115,9.64987305786392
01-07,-0.2560903195721801,-0.05908920029477264,1.9589510277914215,1.9707953113899506,2.754306427313684,9.567285378148396
01-08,-0.2606996080315652,-0.07337734665700024,1.7522204846101666,1.956740903583263,2.8218770393787906,9.553663916805458
01-09,-0.2781570446390988,-0.10025067820441283,1.7561454969844676,1.9657060173239844,2.8033951382469415,9.481853485569104
01-10,-0.29190337013552115,-0.14085734308515813,1.705496435284695,1.9718525118308459,2.8127701933258002,9.554708002282636
01-11,-0.2834496956319432,-0.13061585981775645,1.9823473735849215,1.971422030648964,2.837896173446215,9.810631066819331
01-12,-0.26157750260984725,-0.11935956173553947,2.129602015588852,1.9830572231275438,2.902478046757771,10.02962647723839
01-13,-0.23808308736552894,-0.1485847451348042,2.196178879815005,2.004872865564931,2.9232241835923567,9.996569268700608
01-14,-0.20434052397306235,-0.11734326186740196,2.3699631514485646,2.0271941614854763,2.8993722531890698,9.75652316458124
01-15,-0.18260166428429997,-0.1499647415629626,2.3749289045636064,2.0547873008248865,2.8747508399007726,9.450919841845113
01-16,-0.1702776194103521,-0.19561214718444947,2.243302065086056,2.109609952127869,2.795405161072537,8.881845812561824
01-17,-0.1614165374993667,-0.22784103428741784,2.2313307811640604,2.1396494743692323,2.7573363626798146,8.537958017530466
01-18,-0.1337961963291227,-0.26899955102001527,2.273470608353177,2.1444584804229043,2.7450863198287228,8.565538493617543
01-19,-0.11330548478850878,-0.32589880849335384,2.197165991097848,2.187447453490634,2.7102082977764415,8.38425523757745
01-20,-0.11661106954419011,-0.3788425104111369,2.290368781249926,2.214279749580633,2.730092085186397,8.375880806712203
01-21,-0.11117961726283493,-0.38156399010669795,2.3171049047353383,2.2361366874277215,2.7601158213062096,8.45257052129885
01-22,-0.11776297979629444,-0.3749039883207775,2.4859039911837137,2.25072371912335,2.772989805324607,8.512622364727266
01-23,-0.06737226825568017,-0.39941065320152325,2.625588262817274,2.2786986758610213,2.7771958761179327,8.43943095100398
01-24,-0.05050748264099125,-0.4335395403044916,2.513546608524908,2.2636194228924595,2.774884590465555,8.366148342739885
01-25,-0.0566612155448214,-0.46107953851857086,2.445901250528839,2.288882738760935,2.7820060626768957,8.336727857691496
01-26,-0.057670504004207195,-0.5074269441400574,2.2978966332735107,2.2983241851494194,2.734993336556446,8.094794944062105
01-27,-0.07606497764877737,-0.5520817571689517,2.191673497499663,2.286551638072633,2.752150193444176,8.057243071606955
01-28,-0.07571500684890342,-0.5630661998274752,2.0278170283924832,2.30418035218148,2.7979559605651243,8.213147237035857
01-29,-0.10070207308606663,-0.5947210128563692,1.8272531518778952,2.2865165960184584,2.8315414343557284,8.390079490124252
01-30,-0.13855210228619289,-0.567605455514893,1.8552152012892336,2.2829400729564218,2.843237960651736,8.626547966407065
01-31,-0.14460213148631873,-0.5558195278030461,1.8639624358857567,2.2618707695152107,2.828964456610264,8.689171691984608
02-01,-0.15274104957533388,-0.5515187852763846,1.887424485297094,2.2091271544192903,2.841971771089743,8.930489670165107
02-02,-0.16396144914583058,-0.5543106353423161,1.6602939421158398,2.194943670919518,2.873705796257431,9.018113245758242
