month_day,east,north,up
01-01,-0.10800280680355671,0.21306539853929257,1.7261718931969119
01-02,0.02954058095707735,0.1647177225045307,1.9066204429805305
01-03,-0.031908721290194016,-0.025344022253272296,-0.9566601328168944
01-04,-0.2951031949347648,-0.06818031676364392,1.0511685832611115
01-05,-0.5445754463571151,0.02131672205931206,1.9342195215613387
01-06,-0.4432699200016874,-0.38624179467328035,0.9375482376393447
01-07,-0.18218661586847332,-0.17307808918366352,2.6145991759395706
01-08,-0.21143664506860177,0.08141894963929068,5.7255945586842385
01-09,-0.16102000760206503,0.22491598846225327,2.5833677192066897
01-10,-0.3336589256910747,0.250413027285211,3.3510853241735834
01-11,-0.29263117711342396,0.09218784388595205,3.033969595807146
01-12,-0.23510342853577576,0.01912932715335014,1.066298311885149
01-13,-0.2999090132914552,-0.5630958562459186,0.840682583518708
01-14,-0.24993682026935682,-0.7002099285340688,-0.34965536706995415
01-15,-0.38474240502503704,-0.17460177860000028,0.10984001567471521
01-16,-0.39443687866961463,-0.3744380731103674,2.396279842863836
01-17,-0.31863135231417783,-0.3370521453985274,1.2441085589418388
01-18,0.09489639626347578,0.1282782267577539,3.1961039416865087
01-19,0.032979700396674624,0.10066415446961081,3.259988213320069
01-20,-0.19215921769234137,-0.41706102892965746,2.932872484953629
01-21,0.06286853088531104,0.08238045433775189,3.5443123121427464
01-22,0.14389627946296393,-0.6624002846170727,2.689085472665196
01-23,-0.026575971959385117,-0.6032921346830117,3.7511919665209783
01-24,-0.028103778937284146,-0.2585173180822721,2.403798460376759
01-25,0.0806461918625853,-0.36696472370375205,3.98318273201032
01-26,0.01472949599578636,-0.7613010182141253,1.8894003369772132
01-27,-0.2846871998709971,-0.7750262016133974,2.4643401641663285
01-28,-0.21843722907112648,-0.6039180516793334,1.241724435799891
01-29,-0.3486872582712499,-0.6003099017452622,2.182330929655676
01-30,0.37111826808417564,-0.5422017518111861,2.205104090178123
01-31,-0.14146509444927957,-0.8863713796548934,0.7156550284783502
02-01,-0.41093734587163006,-0.7501521186097153,0.22942818900079803
02-02,0.07975706937268849,-0.5669328575645438,0.9760346828565787
02-03,-0.24293740427187802,-0.5691580409638054,1.6666411767123632
02-04,-0.18690965569423101,-0.5818276688075088,0.4750254483459248
02-05,-0.3119374626721375,-0.3924417410956597,0.535854164423929
02-06,-0.4238541585389306,-0.25566692449492834,3.1085162138352658
02-07,-0.1173264099612725,-0.4265032190053092,3.882400485468825
02-08,-0.15018755027251107,-0.1940061801823509,2.755729201546828
02-09,-0.08765980169486613,-0.408842474692722,0.5762245842915017
02-10,-0.43418760867276873,-0.4077343247586497,0.3119421892583968
02-11,-0.44466158880849554,-0.3887598344919458,-0.01461047454575212
02-12,0.18766557049029053,-0.08089169056028446,2.9896040292872814
02-13,-0.3574376962731444,0.316034569487994,1.878872781936855
02-14,-0.36213216991771324,0.09553160831095392,2.4153126091259685
02-15,0.03322891199326808,-0.3556935750883096,0.11230799187064022
02-16,-0.07618778387352718,-0.5170298695986811,2.6803589301708706
02-17,-0.321882257518091,-0.5738106085535087,1.6426320906933176
02-18,-0.2556322867182226,0.022686430269450053,2.2879608067713217
02-19,-0.4932712048072361,-0.49631653090759087,2.466011745071549
02-20,-0.571632345118469,-0.7247083809735199,1.107673794482887
02-21,-0.5207157076519324,-0.6912668977061108,1.0377247327831145
02-22,-0.5821879590742789,-0.6282698588831613,2.013053448861118
02-23,-0.31443798827440594,-0.42188393117131695,2.1448266093835695
02-24,-0.09574357303008688,-0.4774424479039121,3.5483219921282423
02-25,-0.090438046674658,-0.57300096463651,2.0948173748729113
02-26,-0.16746585365257008,-0.48433725914687653,-0.019798353493528528
02-27,-0.061438105074907226,-0.5654513314350403,-0.09891408185997087
02-28,-0.04235480094170304,-0.739509848167642,1.8989701897735896
03-01,-0.40281008516656136,-0.7437204220173133,1.443010586243635
03-02,0.07538321583863325,0.16015836531661087,1.0302743011307949
03-03,-0.04457923166214569,-0.33555374618723144,0.6681422328950729
03-04,0.005693614954720244,-0.9006187988675433,-0.824989835340648
03-05,-0.10438647960488211,-0.45103679272433134,1.4143486846589264
