month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.2989715034617161,-0.12375797121577635,1.8524790069771764,1.5099184464984896,2.666222260254467,0.7238450968433077,0.7880592222839528,2.716160226471187,0.40780344851219397,0.5389809633254254
01-02,-0.3057929601496287,-0.13336252151436123,1.8796095064016758,1.506953373660166,2.670038096124745,0.7128483820452809,0.7947569547144447,2.8345333177931353,0.42275070600063264,0.5781659513169224
01-03,-0.31586920685878733,-0.15475051100041978,1.9046793941395637,1.5086108714534874,2.6725459291849014,0.7105842097481104,0.8017159293998313,2.7979070011425238,0.44017906084571123,0.5842890907180132
01-04,-0.320076564679057,-0.16676738937536717,1.9158292818774514,1.5050080574817717,2.6642014584954707,0.6997984980229177,0.799193425111026,2.8196539914491496,0.44314393125800694,0.6151161375571987
01-05,-0.31697058916599335,-0.17023204552809232,1.9262513918375614,1.5078891680733653,2.668154577201607,0.7027444212136582,0.801396262984131,2.8797562029751167,0.4540395918344844,0.6165193798917655
01-06,-0.3128090580973743,-0.16758114612526198,1.9467335017976712,1.5102609507818956,2.6821861847106026,0.7192616186051309,0.7777918624269228,2.8375459821433644,0.42983564550924697,0.6076721536061708
01-07,-0.29459308258431055,-0.15861246894465383,2.0091967228688925,1.5210621465316476,2.706956616885081,0.7044137369144822,0.7680010897609172,2.8530504013580944,0.42913134855328244,0.5865952135523033
01-08,-0.2719448848490247,-0.1552815695418234,2.102609943940114,1.5296515099079253,2.7298110089947905,0.6873954719600913,0.7624725625294666,2.7782298307047895,0.41665837974899916,0.6018863384458186
01-09,-0.24483557600262765,-0.15263622569454857,2.189613165011335,1.5335399677874406,2.746562067444556,0.6616086137501763,0.7470088586379909,2.7044020451634214,0.3921562249007482,0.604864969259656
01-10,-0.21462793382289724,-0.15436310406949602,2.2675724971936666,1.531086870753767,2.7653530882004773,0.645652961937498,0.7712047342235939,2.8256154504227142,0.39267783648169763,0.631793086760666
01-11,-0.190641402754278,-0.15377109355555446,2.2903296071537764,1.5253452082570151,2.778045145642641,0.6472069239344435,0.7672585872569687,2.805475698178937,0.3872450154180839,0.634166770691907
01-12,-0.16724598279676983,-0.15138686081939068,2.3274633837805534,1.5141631360529075,2.7933739060203098,0.6429408213211215,0.7379728941598006,2.8371402548525455,0.37079906893081144,0.6386249909169471
01-13,-0.14986667395037287,-0.1506459614165603,2.33027216040733,1.4987913847984977,2.7978507936940766,0.6503404007253033,0.7155393510759961,2.8644228679588055,0.36433025524921653,0.6257585187824843
01-14,-0.12919292065953147,-0.16117617312484112,2.354987603700773,1.480214261942165,2.8041994680895588,0.6505646666744062,0.7516732521146465,2.91585576245206,0.4007514526380153,0.639809852154873
01-15,-0.10582916736869008,-0.18220860705534406,2.3539952692164388,1.4649199715227494,2.8114154938083136,0.6456182474354681,0.7546547766128109,3.0580820480046476,0.41900086490936,0.6710301112036071
01-16,-0.08771652518895968,-0.20429437431918038,2.366990712509882,1.4553836284632269,2.8219280855704825,0.6330869472062416,0.746205075147354,3.2508778056816023,0.4186325488441001,0.7068710283228469
01-17,-0.08289443856478491,-0.22094903047190562,2.3303578224699923,1.4548565034397896,2.8228117923049347,0.6292221513605253,0.7349796936327668,3.392488166018696,0.43109338286661997,0.7355283845410114
