month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.09786849736361913,-0.1203635057609942,1.4231782674407183,1.8317265749393288,2.54031953680941,0.6543713486737307,0.4527746685654787,2.130403848336102,0.24011961843479285,0.29588968737645893
01-02,0.10725576088874378,-0.10411760997580582,1.4278698006449186,1.8574393623150238,2.5486422781357656,0.6683882065228939,0.40755788161284096,2.1833653596347884,0.2731387087504667,0.3301120072872201
01-03,0.12498885774720174,-0.08580504752395081,1.4357158477380074,1.8750767452029338,2.552792328227307,0.7237160543971063,0.36940164827862015,2.3760183023197796,0.43906057039089935,0.3875784837119737
01-04,0.14417380146411762,-0.06456325595357407,1.4623732197019632,1.9077316935613067,2.563438211590237,0.7394984991844118,0.397115901385461,2.407475897405879,0.5801269439508547,0.4168473114600521
01-05,0.17315249518103343,-0.05010792271653065,1.4860024666659193,1.946431846996989,2.584911943781193,0.7419610603958565,0.4518573189612367,2.3687531369861943,0.5795654867674725,0.4036356013574786
01-06,0.19713327223128257,-0.034839047812820566,1.523616088629875,1.9711361024975096,2.601674939800492,0.7710921888537293,0.46730360517548275,2.3745640869070677,0.5895808805963292,0.3892535809564836
01-07,0.21330050761486505,-0.0319118395757771,1.541102627260498,1.996392010223014,2.61691058187352,0.7764895742585805,0.48659975588718124,2.3349393415863235,0.5803582955073061,0.3698319554101683
01-08,0.2363385763317809,-0.0321096313387336,1.518577707557787,2.0160648960939467,2.6285612259379874,0.7652895033663102,0.5267901229957805,2.306874580172353,0.5745123752254024,0.36219999852664875
01-09,0.26252352004869667,-0.03294804810169015,1.4976736211884096,2.02880852125167,2.6326051239457637,0.7854937290835758,0.551318393753425,2.4220619604188016,0.5651155360123326,0.35983986739988194
01-10,0.2904937159943795,-0.04680829225169912,1.438342480698931,2.0334363331472494,2.63114216058241,0.8014563548094629,0.5663549262378016,2.446014413520446,0.5500438700306243,0.3561557295629342
01-11,0.3188062913975966,-0.062028857842479815,1.3952791069692494,2.028795814069058,2.63586770499556,0.8329688023786374,0.5572205780141113,2.4677612763461663,0.5321868723213237,0.35313751635953183
01-12,0.34554145459168123,-0.06686703654069887,1.3476605833326984,2.028672472130318,2.6431108235344736,0.8610000758944738,0.5343600178928447,2.63952467780019,0.5342872436171177,0.3724826070289201
01-13,0.3715273305766335,-0.07398845334635612,1.2978983681226117,2.0319116076887282,2.654034180209055,0.8786845318122195,0.4975928680329124,2.6987799771449295,0.5714672699072336,0.36675223835120213
01-14,0.3829005421236861,-0.08244419753906584,1.2722684737924237,2.0366980061147757,2.667076019965992,0.8861493472385095,0.4797406770714339,2.6700763974081254,0.5591284100845291,0.3627456935930564
01-15,0.3910518786707389,-0.08536973339844213,1.2338229544622354,2.045640095971879,2.675214747117171,0.8978381759803296,0.4795750853385855,2.6795322971924347,0.5830488536048589,0.37240616600173826
01-16,0.38881884021779145,-0.08723693592448509,1.213669101798714,2.0525106448205657,2.678286650570848,0.9114731962088305,0.5074186838307653,2.7005927378835355,0.5543436260207977,0.363273909583976
01-17,0.3817979453694103,-0.08437241523014241,1.1849339699219605,2.0572658442485805,2.6783169159761684,0.9353085934711002,0.556906681650905,2.705671592931347,0.5572000289700845,0.3677560515052569
01-18,0.3834023793968283,-0.08324340642836153,1.1396373212854096,2.060006628812226,2.6730442138238275,0.9388406009267946,0.5831609354012478,2.764554660470047,0.5758698661098153,0.38694827708355917
01-19,0.3782404756333786,-0.0887009511858092,1.0763260308890616,2.068971046927071,2.667771736248164,0.9409881437580996,0.594378364265519,2.6957460724674016,0.5996091115930723,0.3900915602916019
01-20,0.3795997340790615,-0.10288671616915193,0.9926698903995828,2.0746048331091327,2.6640368537133443,0.9295234519080563,0.6156202116433496,2.7358470567105453,0.5716473391020646,0.4122593221644184
01-21,0.3855742611293106,-0.11531784126544212,0.9252647623635387,2.081392558160973,2.6675277575072913,0.9414660813372014,0.6386246729572662,2.7163591611696942,0.5786731937950939,0.3985079086131248
01-22,0.3952873298462265,-0.1202697996950657,0.8653252593274945,2.095758305877948,2.6787940270715396,0.9334043077396641,0.6364280493122477,2.7479225522506643,0.5672630723995253,0.4283974042112242
01-23,0.41040977356314234,-0.11267384145802253,0.8441336729581171,2.1051973270919446,2.703780943758976,0.9416590056589933,0.6343397079723818,2.7456842720749894,0.5808809660467644,0.44831040780019876
01-24,0.42430200894672476,-0.09522892488764594,0.8692837532554063,2.120942459132653,2.724177338986737,0.9260944882138941,0.6647450205279873,2.77434743931883,0.5571203390113277,0.4709969932973133
01-25,0.4305671609969738,-0.08710900831726937,0.8760369585526955,2.1367696915186265,2.728915346265674,0.939245862652867,0.7365824084210814,2.6387392677539436,0.6135672440526359,0.48676915636198376
01-26,0.4412146047138894,-0.07318492508022612,0.8622526638499847,2.1472080427750377,2.731073308338307,0.9655335504068524,0.737769869148271,2.481959161291413,0.6071792405146018,0.49752294829186744
01-27,0.45265163176413836,-0.06741917517651616,0.823930869147274,2.1571027008659804,2.7177749079875833,0.9908751885568088,0.7185540817832268,2.4054048239653505,0.6266580208792281,0.4745806101065269
01-28,0.4609001171477207,-0.05371280027280617,0.7462059494445632,2.152424593896585,2.704302103955631,0.9754007195339305,0.7719676643049425,2.471838477825922,0.6509972555070599,0.4702240691223609
01-29,0.46730068586463647,-0.0381126753690961,0.6771529047418525,2.138266972510537,2.6917722392110583,0.9666903667171631,0.8369207799296164,2.63028804734925,0.670146986450055,0.4850450656882415
01-30,0.477758546248219,-0.0209052587987193,0.627661318372475,2.130432097925958,2.678908076835532,0.9616931468329578,0.7572273595754881,2.5092674640763577,0.5869074210522575,0.46087728806300987
01-31,0.5166872399651348,0.006956324438324129,0.5410457736697641,2.1460555847698686,2.680253021685385,0.9841495907988345,0.8127788744564743,2.5113601688648046,0.634913727010714,0.43416821226557606
02-01,0.5579096836820506,0.02812519934203422,0.4334333539670534,2.1645221545027216,2.6825487245557387,1.008708716535837,0.866198960470889,2.43740835094923,0.6956937554382588,0.3916254733560142
02-02,0.5992071273989664,0.049704490912411026,0.2898178092643426,2.180293535934253,2.690097320582738,1.0250157825956203,0.7862832102144933,2.3522478844200507,0.6327011671162904,0.3484344640929472
02-03,0.6296556127825488,0.07762961581612127,0.1194345562282985,2.1908574878023854,2.6925865312224895,1.0378924845655628,0.6526749414505982,2.39061193201377,0.5306618187267728,0.3386471538792083
02-04,0.6300759731661312,0.10270369905316488,-0.009598696807745569,2.173491330337112,2.676225191824877,1.0069717316900744,0.598833228255464,2.385832567631013,0.4999715780154149,0.33636379694629676
02-05,0.6392307085497135,0.12879132395687515,-0.12489236651045635,2.1760220077848342,2.6701826278887086,0.9869824993504837,0.6156822264850405,2.4047931731984957,0.5024669217969863,0.3381972320692606
02-06,0.6598989855999626,0.16935290719391868,-0.21914957787983375,2.1963079887232047,2.6768482760483474,0.9458557034679177,0.6465734364770818,2.496313483568166,0.5785756834274247,0.3886395126562264
02-07,0.6862808043168784,0.20070407376429553,-0.2640369975825445,2.223438041602284,2.696710524782524,0.9709329147054336,0.6488595865474438,2.6043362286393794,0.6226075785698015,0.3851333517172085
02-08,0.7088553313671275,0.21509274033467227,-0.31795462561858856,2.262255237519542,2.735343320064863,1.0027481095310058,0.6794056342335465,2.6982133165257807,0.679265909219478,0.35469772083286766
02-09,0.7237506917507099,0.2116730735717157,-0.355564961987966,2.287828620088856,2.7715691334781782,1.0226463389927447,0.669566893464014,2.813404644572504,0.6767764790319646,0.33675469967569216
02-10,0.7385262604676258,0.19070965680875915,-0.37906904835734345,2.307770716402248,2.8043268155702803,1.002560697544392,0.6650836070223618,2.9233799412015093,0.6786129544862859,0.34648613965996444
02-11,0.7504507875178749,0.15348999004580263,-0.40542834306005426,2.31777090184183,2.8262864780136208,0.9963005718240399,0.6683881737433282,2.8891891677778743,0.6647611156323471,0.35312836424780775
02-12,0.7720513562347907,0.13172761494951288,-0.4525907627627651,2.3257334292679843,2.8412879016117962,0.9661745795966015,0.6988398820862216,2.997088615531366,0.6426271755002976,0.3613641977288385
02-13,0.796934216618373,0.11774961485322302,-0.5062948491321425,2.332546892749407,2.857064250101066,0.9647187574875716,0.7097907610855987,3.1773756337934307,0.6427286237442563,0.3910681440407895
02-14,0.8095389520019556,0.1042664064235998,-0.5787395605015199,2.3406138760640296,2.8736266430819564,0.97144526635881,0.7207842283224534,3.275280899755495,0.6609591194700737,0.4107511000577281
02-15,0.821174937385538,0.1012373646606432,-0.688532188537564,2.349096894953994,2.894351729856595,0.9617003486885514,0.7283685451219826,3.4437971383467794,0.658542313019864,0.4415029067592053
02-16,0.8263421727691205,0.09425311456435323,-0.7733716915736082,2.3511872172900983,2.9154537371463274,0.9278842743690945,0.6936786231227955,3.5138134533610295,0.6411198146332969,0.45396280036082926
02-17,0.822056283152703,0.08782719780139671,-0.858212236276319,2.355358420143209,2.935007700419959,0.9478911139311582,0.6903899530152463,3.5852249611183975,0.6408927834333513,0.47663506322982085
02-18,0.8339089352029521,0.09822107270510695,-0.9264027809790296,2.361945426442462,2.948390236598747,0.9369070625789572,0.6958481714826518,3.714773157245721,0.618137058754474,0.4867381595488163
02-19,0.8333449205865346,0.10171078094215048,-0.9844370756817403,2.3697535265151988,2.9610463708909665,0.9358479372373296,0.753297179428027,3.6972244320268626,0.6455401290056819,0.4826235106568279
02-20,0.8253402809701171,0.09887132251252745,-1.038583870384451,2.378768564664396,2.966736150268685,0.9132480077323144,0.7858368315507658,3.7364768469332583,0.6392452354631676,0.48498858157558056
02-21,0.8084210580203661,0.09740998908290434,-1.0781650400871619,2.3722235740137796,2.9658857829413665,0.906574002851405,0.8095924556823428,3.6641183144781753,0.6615590254822208,0.48935459460253833
02-22,0.7738341267372819,0.08528303065328113,-1.1369597514565393,2.3527385945111954,2.9555457657826576,0.8421320104659626,0.8237612450923282,3.7045333503430466,0.6234781508298558,0.4982266693110183
02-23,0.7342982371208644,0.06836544722365795,-1.1852825878259168,2.3252948306976178,2.946861213317852,0.8546079396521118,0.8148768628613726,3.788137486907681,0.6306758835767093,0.5361251471960776
02-24,0.6921852641711136,0.05377911379403466,-1.2059387575286276,2.296233998060151,2.9446943207863674,0.8820145790268471,0.8069238736643078,3.886926322911202,0.6047504812008683,0.5704360634974768
02-25,0.6538639578880294,0.0274781970310781,-1.2246365938980048,2.274813630593518,2.939191752941281,0.8717530259878646,0.8156176289524616,3.9747337015918593,0.612187656598728,0.589329534117697
02-26,0.612984318271612,-0.008532094731878524,-1.2277896386007157,2.2559229652327675,2.940319548049315,0.8510657113922918,0.7584292425451532,4.027414759154726,0.6192764821940119,0.6256058907014371
02-27,0.5884942619885278,-0.05049863649483514,-1.2591895583034263,2.2466676797825453,2.935324784403908,0.8605961251607686,0.7319477270817881,4.016114699701219,0.6168093162063234,0.6332068546888808
02-28,0.5742609469794174,-0.10412428503464327,-1.3244318558000565,2.233428935242167,2.9294883070287585,0.860186614187039,0.7371946799719108,3.9928421088142403,0.5863069152255509,0.6451825144357863
03-01,0.5536005486369736,-0.15832910024111801,-1.3745314449633532,2.2043266243632313,2.924686549832494,0.8439853215398231,0.7539154082713474,4.15608262883623,0.5759236952643462,0.6602568631516512
03-02,0.5230078586278631,-0.21846308211425935,-1.3771872841266501,2.1510541969597305,2.9113431205081426,0.8532857752885101,0.7050158748796309,4.2040860032585785,0.5508186519837012,0.6595968982417398
03-03,0.4829005852854194,-0.2687335223207341,-1.3333222899566135,2.0921529801126,2.9014132365334193,0.8712074830857689,0.6305629454152603,4.181979496048248,0.5840332715111608,0.6565507498156364
03-04,0.4324646956690018,-0.3107802724170241,-1.2778742929926576,2.0382495562430534,2.889738794989788,0.8767428126389186,0.6674756476293395,4.170885206764386,0.5939462792132417,0.6436014985061009
03-05,0.38425068105258436,-0.3544738975133142,-1.2568335876953687,1.9984439541864216,2.884333759224243,0.803548440148703,0.6617531732172511,4.187426025111519,0.5589353306881846,0.646664093311617
03-06,0.3492783331028335,-0.383127939276271,-1.317715799064746,1.9866044898132122,2.8939802702302733,0.7355382208980287,0.6621318849995682,4.266692915695588,0.5077279091910292,0.6845157780118937
03-07,0.2990070268197493,-0.4303621893725612,-1.4161094687674567,1.952636659885635,2.896539903175559,0.7224164881600076,0.6850478163444497,4.259485065887087,0.5024174050093348,0.697515684477989
03-08,0.25177738720333165,-0.4846870644688512,-1.5109145968035007,1.9102856753788429,2.897423438985391,0.6482396502124431,0.6501577977141917,4.247473686235603,0.4028047249308803,0.7179203936031581
03-09,0.20728941425358077,-0.5192765228984745,-1.6171551415062115,1.8678829212126207,2.888617784112934,0.57050474116477,0.6386489727030619,4.260548952941606,0.3489116303617896,0.7128973422488497
03-10,0.16135769130382976,-0.548439939661431,-1.681915477875589,1.8159557288773087,2.8706286286847873,0.5313861959260632,0.6797766314943315,4.206616995730499,0.3622754545866851,0.7138276382202685
03-11,0.12194576002074549,-0.5494637730910541,-1.734126855911633,1.7843103794415922,2.851684175351033,0.4872655708267845,0.659294189480164,4.128223742614181,0.37796058355399903,0.6929659674493358
03-12,0.07575987040432794,-0.535523023187344,-1.7980382339476773,1.755596918716595,2.8243684141148395,0.4842647071157151,0.6447350849699948,3.946546494439966,0.3663127863744885,0.6609689282317395
03-13,0.0213635641212436,-0.524807273283634,-1.8545121119837211,1.729225719186017,2.807206122729214,0.4689492709695964,0.6437795206082791,3.907149806194958,0.35001923921216055,0.6731523672867294
03-14,-0.04708899216184066,-0.5153748567132573,-1.9086714066864319,1.7114221727331949,2.794684849465019,0.421916082828454,0.6106315279447766,3.950083560757933,0.3444220838302647,0.7030006124365108
03-15,-0.11453217344492479,-0.502747648476214,-1.966179659722476,1.7033200185219566,2.7867942566482995,0.3722796964423105,0.595811458674539,3.95956662614161,0.32482718267633365,0.7059477838353401
03-16,-0.17123472972800896,-0.48684023190583725,-2.018851454425187,1.6989664899384302,2.783253578297849,0.32685926171883284,0.6119179010731807,3.919197225662365,0.3107950357837164,0.7064287835347246
03-17,-0.22550395267775986,-0.4722515653354605,-2.0602378324612314,1.6937303562065011,2.772828666101903,0.32015876431276336,0.6063911871598784,3.913413883901356,0.2768227780937721,0.7228693422000498
03-18,-0.2587429672941774,-0.4515139404317504,-2.113915877163942,1.6917630983156662,2.764079941847366,0.2867666585164252,0.6302291250137663,3.854093414003059,0.2567137942165474,0.7306487195190596
03-19,-0.291744481910595,-0.43718360719470695,-2.164205380199986,1.678203509039457,2.758559672594786,0.2738183179375135,0.6178289819637066,3.8901179040375373,0.23152208465961618,0.7565613160204732
03-20,-0.3249668298603459,-0.4266949406243302,-2.2090302999026967,1.665593819937711,2.7574336617536814,0.2531399083273702,0.559699450755416,3.9108533054243835,0.2487167257923858,0.7730169631260394
03-21,-0.34764334447676354,-0.40671773238728676,-2.2325448029387407,1.6578581501366647,2.76511540681005,0.2452115173302398,0.5853652200716376,3.9802894070251296,0.23146514663796064,0.7844374293115409
03-22,-0.36904069242651444,-0.38288427415024334,-2.247780139308118,1.6529291572618643,2.772730902170415,0.2579722485868721,0.5699397296982689,4.012619031796073,0.22494053570759487,0.7860483758043291
03-23,-0.38072241537626533,-0.35233831591319986,-2.2679467256774952,1.6618568039337331,2.786742057326612,0.3023234369955396,0.6023134606858729,4.052420875962971,0.22165553447296496,0.7927380706080395
03-24,-0.3953551799926829,-0.31912569100948984,-2.28911435371354,1.677189750681813,2.8024441043031256,0.34394528681647846,0.5988050588459269,4.0924274342008875,0.23034434173730006,0.8060274062074231
03-25,-0.4074431529424337,-0.2828068161057799,-2.33978927341625,1.6912473249228537,2.812467677418691,0.3878399568734376,0.5925368919694181,4.034292457172741,0.23412436398850817,0.7897377995688962
03-26,-0.4202092508921846,-0.2441618995354033,-2.4214746097856277,1.7009503122892495,2.818639467895756,0.43022608775939797,0.5710258779858682,3.9278916104378063,0.24119714808776338,0.7875032850957172
03-27,-0.4291753488419355,-0.19027114963169336,-2.499542237821672,1.711597082048016,2.8198950694090406,0.45082502238662353,0.57696462514852,3.882623660388145,0.22821377266923434,0.8312718952387232
03-28,-0.43318207179168644,-0.12869498306131685,-2.576441115857716,1.7176273572605547,2.821718177568474,0.49793727322025755,0.5605842942210592,3.928948953814059,0.23946432707388832,0.8638519006773778
03-29,-0.44100337807477075,-0.06644589982427367,-2.63662436889376,1.7222409762122084,2.8208311905364156,0.5155548057815728,0.528138320538078,4.020639279161076,0.2733575251390441,0.8992676551758626
03-30,-0.4573121843578549,-0.007475983253897145,-2.6772190802631375,1.7315877371654742,2.8226086238998596,0.5635473416356684,0.4954711205917509,4.02956830770423,0.2510602965560207,0.9184795429821351
03-31,-0.4832366156409391,0.040313724983146074,-2.758634624965848,1.7414882413688555,2.831242810339073,0.6242377055380669,0.4689507352158992,3.8657464723668093,0.23921729122768814,0.881799174855849
04-01,-0.5202433385906899,0.08007218322018934,-2.8758480863352256,1.7582960519065467,2.8465378698917934,0.6662125001353829,0.45987967644749717,3.8396754990253275,0.2521455165789656,0.8797749202980157
04-02,-0.5588677698737741,0.1117337664572326,-3.0140011310379364,1.7766021938820535,2.866131656006198,0.6946342856692979,0.4708520149836093,3.771785516073047,0.23994818727292372,0.8731429509691839
04-03,-0.5932234511568584,0.1362672246942759,-3.150938550740647,1.798598262499802,2.888492956043716,0.725000632591315,0.47102372697041905,3.791656163592082,0.23448619464176557,0.9050162206451177
04-04,-0.6203426741066093,0.15970589126465254,-3.277900970443358,1.812054844223975,2.912020526235741,0.7745898819406605,0.4970204014283164,3.747616126115569,0.2510931570229155,0.9201731017434241
04-05,-0.6422764803896934,0.18610914116836247,-3.3925508901460684,1.8167462406928885,2.9269467177772404,0.8188446954780996,0.4989309302276969,3.759527771166463,0.25482841273334,0.9361435159780714
04-06,-0.6709686200061111,0.22161655773873923,-3.4986487265154462,1.8300355304465097,2.9457721321667156,0.8284047065768619,0.4692890833711812,3.788818891958139,0.2538900643152013,0.9641094208631471
04-07,-0.7106440929558622,0.2742020993091159,-3.594999687884824,1.8418241892540956,2.956329909349891,0.834420929082748,0.4477355902905915,3.7944653297593556,0.23515337176611967,0.9683161015352335
04-08,-0.7584997742389463,0.3250480575461592,-3.655062107587534,1.8610430101087643,2.9558603643387205,0.8592564278703794,0.4555336866614225,3.7383227530841165,0.24031699393755088,0.9697531865916034
04-09,-0.8077356638553639,0.3867523491165358,-3.6960766106235785,1.8913145761303534,2.9567838371528445,0.871551748687696,0.4958352716517657,3.6004979058880924,0.25325114525951326,0.9404127243367706
04-10,-0.8509392618051147,0.44467434902024566,-3.724939030326289,1.920681546828236,2.956578659766875,0.9210883559865265,0.4972137597254053,3.551523745946551,0.2729197777412588,0.9356056306094369
04-11,-0.8911428597548657,0.49296509892395557,-3.7442066583623332,1.948353110048258,2.9629116007147704,0.9359172756482087,0.49630528583526173,3.6008600370738444,0.3006662121757055,0.9419510797003902
04-12,-0.9215683327046165,0.5462704321609988,-3.756794078065044,1.971393853745597,2.970165758429511,0.9341527298960604,0.47401896925597514,3.57112082497263,0.30522305045921694,0.926990965102653
04-13,-0.9453219306543675,0.5966445153980423,-3.7626158727677548,1.9868962744140888,2.970853731979454,0.9411906369821028,0.4688200880945312,3.583220530396301,0.2906195856873467,0.9352016793968466
04-14,-0.957471361937452,0.643886306968419,-3.777610584137132,1.9956170148327135,2.971492695580341,0.9455677227986204,0.4926158741008535,3.504198642866756,0.3084869029357878,0.9217078368186227
