month_day,east,north,up
01-01,-0.03560591069640658,-0.48072626500650245,2.756679631029113
01-02,0.03866183246085819,0.020138920244768356,2.061967134200713
01-03,0.04466683869364276,-0.2788265736518812,3.047012713210767
01-04,0.03456106563366947,-0.2962136106907743,2.742433788340154
01-05,0.03307751479591861,-0.2627117588407787,2.5061659745806515
01-06,0.0003606306248343655,-0.2691765736574497,2.295187049710039
01-07,-0.07023403132402743,-0.26637472180745425,1.9123525692838708
01-08,-0.06697313771733406,-0.14231731440190326,1.903040311079925
01-09,-0.03355668855508507,-0.12684879588524087,1.9315724973204225
01-10,-0.08349579494839147,-0.16761361070191205,1.840449128005365
01-11,-0.0400349013416977,-0.15325620329636092,2.004670203134752
01-12,0.007537103376106857,-0.1278876847796989,2.1315357227085836
01-13,0.06568688587168924,-0.12123027737414782,2.156101242282415
01-14,0.08904777947838283,-0.17155064774637455,2.0699556507451353
01-15,0.07299756197396562,-0.2087487958963795,1.8966211703189666
01-16,0.01926956669177036,-0.22133583293527284,1.6999089121150206
01-17,-0.028825095257091742,-0.38770064775194396,1.506085542799963
01-18,-0.04534197942817594,-0.5279099070130595,1.2788066179293502
01-19,-0.004536641377037946,-0.586808055163064,1.4585388041698488
01-20,0.00932425222965566,-0.6450062033130689,1.5713709904103468
01-21,0.015662923614126856,-0.623693240351962,1.5996920655397335
01-22,0.035279372776375884,-0.577235832946411,1.5871575851135649
01-23,0.11608471082751375,-0.6573562033186376,1.3873453269096192
01-24,0.10681227110087428,-0.7094210181353088,1.1156552909278943
01-25,0.11708427581867888,-0.8127302773964243,0.7620652549461703
01-26,0.12000072498092802,-0.9152062033242067,0.4176752189644457
01-27,0.12946161858762148,-0.9822487959186557,0.0589518496493886
01-28,0.1861447344165376,-1.0010802774019933,-0.12401596411011291
01-29,0.24772785024545343,-1.0557895366631092,-0.38762822231405897
01-30,0.30272207718548033,-1.0181321292575578,-0.5019182582957828
01-31,0.338727415236618,-1.0275524996297842,-0.6291527387219512
02-01,0.3684105310655341,-0.9930617588909,-0.9182983302592308
02-02,0.4391714246722276,-0.8946710181520157,-1.0028661440187332
02-03,0.469310096056699,-0.849724721857576,-1.1433339577782353
02-04,0.5685598785522812,-0.8328450922298023,-1.3542239937599596
02-05,0.6681318832700861,-0.922254351490918,-1.5846473630750164
02-06,0.7226927768767796,-0.9774636107520336,-1.8036485101678512
02-07,0.6442758927056953,-0.9666728700131492,-2.082471879482909
02-08,0.6450367863123884,-0.9108376848298203,-2.274873026575744
02-09,0.6281199021413042,-0.7699024996464914,-2.274440840335246
02-10,0.6269474624146643,-0.7058784255742738,-2.2508864318725252
02-11,0.6609528004658024,-0.6305765737242781,-2.148943134520916
02-12,0.6215581385169396,-0.6411969440965046,-2.2417998371693066
02-13,0.5612079210125221,-0.6167395366909535,-2.082556539817697
02-14,0.5707688146192155,-0.6363487959520692,-2.1067465757994217
02-15,0.5715519304481317,-0.6460247218798517,-2.1706143895589234
02-16,0.5787572684992691,-0.6281895366965227,-2.1373488699850918
02-17,0.5183181621059629,-0.700476573735416,-2.1453833504112603
02-18,0.5070679446015455,-0.7531524996631983,-2.0993511641707623
02-19,0.44891772709712824,-0.7977950922576471,-2.0860189779302645
02-20,0.4220341762593769,-0.8329821292965405,-2.0856201250230995
02-21,0.40511729208829284,-0.8566802774465448,-2.157187938782601
02-22,0.42325596347276434,-0.880233981152105,-2.083711308097658
02-23,0.469894634857236,-0.9467987959687764,-2.0932791218571603
