month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.03193916543167921,-0.18390461722752688,3.818966759911066,2.0237084039776834,3.3405832097497106,0.7252228992549917,1.5471629995704559,4.767919632636485,0.37849349733583465,0.6570123949365704
01-02,-0.030438678360812235,-0.2210154579443436,3.8223452114081335,2.021387224516531,3.3461415671827717,0.7345006856946635,1.5477296896170414,4.853291397839155,0.3869782352387934,0.681931855855783
01-03,-0.026044370885744905,-0.28415713937797704,3.843608781068934,2.0191008813457354,3.3578725404911935,0.7315721662912676,1.5326963424278628,4.924937246695756,0.41698670376735925,0.7056019964198976
01-04,-0.020094507855122026,-0.3484921541449439,3.8640279062852905,2.025341097740585,3.361719973796655,0.7230491595930683,1.5346678159715998,4.879741316655519,0.4321065640602518,0.6657633583137442
01-05,-0.015386867046721356,-0.400009391134133,3.8735736981683133,2.041990763547316,3.358703281733549,0.7380423076488175,1.586169085488393,4.7963363431056685,0.48002809737803426,0.6593487788676148
01-06,-0.011674781793876265,-0.4506110725677665,3.8489150456068923,2.0661390593271443,3.3545379936455118,0.7658660028303987,1.6076303656249549,4.770409116098836,0.5340030054810072,0.6596182413505474
01-07,-0.008862696541031171,-0.48922608733473333,3.775556393045471,2.0843305822979574,3.3582427545898814,0.8024970025415137,1.6486251799543359,4.805785896596214,0.5470269164567035,0.6437496800158644
01-08,-0.0064572779548527645,-0.5217322132128112,3.6882666293729383,2.1010809536823865,3.3642932399039336,0.8515945638593571,1.6557931676700128,4.922754570491611,0.5316873109464281,0.6154494083046456
01-09,-0.007076303813118833,-0.5476650057575557,3.608439087922628,2.1268528961207083,3.367801722444375,0.8476559702757339,1.6908030884887406,4.9102530369523025,0.5323010770746629,0.6050867241306245
01-10,-0.003496440782496031,-0.5750366871911893,3.5591871020278734,2.153599990285952,3.3604265944935534,0.8578418003820988,1.7176335581931346,4.939827136033283,0.5364854401594579,0.6454440512837205
01-11,0.0032789778036823453,-0.6052639241803783,3.514979560577563,2.1750577294261646,3.3487476761561443,0.8790000436636719,1.693113092397945,4.844938137398381,0.5087509627990557,0.6102080144016476
01-12,0.01050550750097185,-0.6295644945029008,3.455852019127253,2.180157254677977,3.323870129319579,0.907488520640884,1.6540112882576024,4.815108146669597,0.5151340314772858,0.617879499936565
01-13,0.00877314830937249,-0.6445150648254231,3.3886555887880534,2.1768018527800455,3.3015146026413604,0.9270926957314635,1.6408311321665867,4.67105117239408,0.5444057952205804,0.6103094231843087
01-14,-0.011383655326671368,-0.6353256351479454,3.255130269559966,2.172118052495723,3.2643001308408626,0.9154420404967702,1.6393545235372082,4.651785725536584,0.5550798212777236,0.5770799941036767
01-15,-0.0166471256293819,-0.6171695388038011,3.0894071725541,2.1744973160061876,3.232315313278629,0.9116419778328247,1.6644417089326393,4.482190829553357,0.5857033147999051,0.5321072714391788
01-16,-0.015688373709870158,-0.6066289980152123,2.8953818533260116,2.1947866513455216,3.1933004360908837,0.9129627710674997,1.6841389324266758,4.474907599297395,0.5828071496249361,0.5161832291709881
01-17,-0.008237399568136189,-0.6319351238932902,2.7169876452090342,2.2237478131418182,3.1642338351294614,0.9291886206593687,1.7025077264633273,4.44657979904313,0.5729509798414267,0.5310815670235556
01-18,-0.013459758759735563,-0.6738145831047014,2.5591823259809465,2.255743643477486,3.1414451210772305,0.9624386981342801,1.6636198365108366,4.421084077800153,0.6050729355817708,0.5563396203957693
01-19,-0.011255451284668374,-0.7235429312050016,2.3971858956417478,2.276194044186696,3.124721726848619,0.9828797606277222,1.5956838980624315,4.463317171628305,0.5900873528940416,0.5763537457842715
01-20,0.013609967301509979,-0.7538979459719682,2.2695339097469933,2.286970665872516,3.1188706929000856,0.997108411917357,1.535747578109679,4.419982599581272,0.5700852083621277,0.5709707042341324
01-21,0.05363983033213284,-0.7878374051833795,2.111419701630016,2.2965267086795857,3.123322123523168,1.0408632471599055,1.4711159584833835,4.448797278152803,0.5574444503249502,0.5793728087184649
01-22,0.09645191558497797,-0.8059879755059022,1.946923271290817,2.3075402222102297,3.131501475526727,1.0529554381533082,1.4813902439213467,4.45793922781221,0.5794117308050512,0.6016170433913459
01-23,0.12235288972671203,-0.8233807680506467,1.759926840951617,2.318433956145935,3.13251482463124,1.0406220732895177,1.5212217544791258,4.551896800399906,0.5555971138134352,0.6384667166506401
01-24,0.12785608609066823,-0.85358244948428,1.5488304106124182,2.3048065920988274,3.1170690243078703,1.0368480106246518,1.5003094253658689,4.586477826283903,0.528867099280135,0.6704167618598437
01-25,0.13821261578795777,-0.8954574642512468,1.3348562024954411,2.2828456019227987,3.0972700881587234,1.0246655855760103,1.397201496228947,4.931363550417403,0.4816008539342578,0.7053290287351442
01-26,0.1672269232630251,-0.9308702567959913,1.186259772156242,2.2719327459229923,3.091213552549355,1.0814055603113766,1.3353233769202166,5.226268107470329,0.47515503900669426,0.7227933576163594
01-27,0.22130123073809238,-0.9404719382296248,1.115952230705932,2.2825886073749015,3.104277258426358,1.1209873514500133,1.3263496994420418,5.284978081363002,0.47712285104928936,0.7221468484296085
01-28,0.2791222048798263,-0.9538025085521472,1.0576291337000663,2.3000429050115128,3.132383562167798,1.1013176333379193,1.3385452579367776,5.390989488492004,0.4847895875048137,0.7375121267701933
01-29,0.3336854012437825,-0.9673241899857808,0.9558193700275339,2.3014972881389664,3.1590840534037543,1.1031026658669936,1.3464008836517471,5.550600204270945,0.5355933236948701,0.7700959131107115
01-30,0.3698041531632943,-0.9762903158638586,0.7984384952438902,2.296091294005301,3.1678063087684074,1.1051626608456941,1.3083879944087173,5.700124908821637,0.5294397587649907,0.8182193363194723
01-31,0.3908029050828061,-0.9626697750752699,0.6024109537935798,2.271940959730729,3.152563888044277,1.1229282944760666,1.2778950046294026,5.689400385309774,0.5234166908823749,0.8413148843943451
02-01,0.39712387922454,-0.9366736787311254,0.3872011901210472,2.2427590425484865,3.119389120453212,1.1326596154785438,1.2355845137993748,5.704324217293448,0.5332704616651145,0.8905520092550652
02-02,0.3982159644773851,-0.9136086934980924,0.1701025375596258,2.2111882402230862,3.0874003240493324,1.0947670975281718,1.2062149082081717,5.649055535994753,0.5156888936777433,0.9051409134462828
02-03,0.40261027195245247,-0.8992614860428371,-0.010689448335129017,2.1817725010445455,3.0561677185989793,1.0599444304193923,1.1931864825524527,5.595496597177477,0.5146270494608831,0.9611653947657988
02-04,0.41250235720529765,-0.9026053896986928,-0.1952725453409947,2.1622027455331527,3.031068048189406,1.0034978771823782,1.1461811428908961,5.5857250226051,0.4923875210129297,0.9965715696167292
02-05,0.4214099980136983,-0.9081470711323262,-0.33669786456908285,2.145095274812728,3.007274292091253,0.9789163802919886,1.1558517550898042,5.547933037534719,0.4944487725738021,1.0161320941596972
02-06,0.43079986104432105,-0.9147176414548485,-0.45523207268605975,2.13555734592408,2.988663256336127,0.938970046978023,1.1566459129002433,5.578415756123363,0.48453019467785857,1.0445604907277612
