month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.7315530787669904,-0.3108585498713733,0.7290448251276721,0.653712118992151,0.5755109734060339,5.331714365056595
01-02,-0.9135207787669521,-0.5783300807667684,0.6471546847107229,0.4235637869539741,0.4758169563396961,6.650596537408086
01-03,-0.8855961629119282,-0.554370505880369,-0.08725086646561565,0.4961244863862058,0.3298103545433017,6.013750107798221
01-04,-0.8307453575965505,-0.5452912653440504,-0.05764470387092513,0.5546486644488833,0.33512203375033617,6.46561072520042
01-05,-0.5148648420164815,-0.2997046682042162,1.0292489132665181,0.7625525059191881,0.6276980839000205,6.03455848659138
01-06,-0.5980756453239807,-0.4889210150769871,0.6602082710894936,0.7061550655436165,0.50036360692985,6.3210496778395795
01-07,-0.5728760304847933,-0.5027524888263825,0.6895084813032321,0.758921294166256,0.5430233886777709,6.432935870090544
01-08,-0.6107264156456063,-0.49093396257577804,0.6619336915169703,0.7893499507005455,0.610173062843343,6.588998173637419
01-09,-0.5944101341397527,-0.5303404363251738,0.584250568397375,0.8075515535525053,0.6525343876839791,6.650057871658393
01-10,-0.585935519300566,-0.5236802434079028,0.34492577861111334,0.7970747359896773,0.6716784716155431,6.460759419601573
01-11,-0.5040609044613794,-0.5316117171572985,0.31155098882485155,0.788338230358016,0.700065269421691,6.313482148273797
01-12,-0.48517795628885974,-0.5087848575733604,0.11146786570525624,0.7733466018027553,0.7206287788040043,5.9004665998999535
01-13,-0.5867738240438679,-0.5659971481362297,-0.5291130500425195,0.5439739218082537,0.8735564775430014,5.768071361643594
01-14,-0.20421182698231855,-0.42142219120803515,0.1599424718568287,0.7590795466723168,0.7959813205343573,4.930950808826597
01-15,-0.2586791117713,-0.5228042788215469,-0.2454565036535289,0.6518098616530398,0.8364829241661965,4.854047105767118
01-16,-0.2088044969321139,-0.5477024192376089,-0.27150629343979055,0.6152969654138265,0.8528378295977228,4.557101673865453
01-17,-0.1432465487595941,-0.506450559653671,-0.16143108322605243,0.6385208249862645,0.9044389419903577,4.379271569650038
01-18,-0.04709693392040781,-0.5080237000697331,-0.037622539678981076,0.7038017256458711,0.93337271522657,4.107332803354667
01-19,-0.0016723190812214794,-0.5031385071524619,0.04957767053475737,0.7648626421746904,0.8924546694209211,3.871614436272966
01-20,0.022127295757965265,-0.5216783142351907,0.1330862140818288,0.8353254769965822,0.88990113418421,3.7225797042163817
01-21,0.07866857726381868,-0.4696097879845868,0.2532030909622337,0.8153503326617003,0.8815035869970959,3.7109169191146814
01-22,0.107859858769672,-0.46406626173398274,0.2871533011759717,0.8241636349550752,0.8549383893026599,3.6001921180486196
01-23,0.21701641732426633,-0.49697292611213656,0.38768050717992253,0.8113326470151219,0.8421708836997667,3.4110634632760957
01-24,0.25689303082391596,-0.5183559641166637,0.35188390366006417,0.8375992441660792,0.8369449335400874,3.0554634426364844
01-25,0.3029238796715509,-0.5843282191541581,0.36168045490211015,0.8279191749386576,0.8710123435355063,2.861236081186224
01-26,0.31731996744692487,-0.6305337201123982,0.19200768796233816,0.8057342661921806,0.8816218859332992,2.523697304594143
01-27,0.30993669916169325,-0.6196257741009417,-0.007178525947130698,0.8266403743079906,0.8877656026133356,2.330440110996513
01-28,0.17347396997250206,-0.5910656829485931,-0.11181108731263742,0.8819640825364146,0.8963938947041803,2.4331501396020774
01-29,0.14812477528787954,-0.627376918602751,-0.06526206757508969,0.9197520744530188,0.8951793810051291,2.4353475417777655
01-30,0.12023272346039995,-0.6256976780664326,-0.03157971450420887,0.929452318934958,0.8728795623691411,2.414218224016044
01-31,0.11778829068054006,-0.6150470089586848,-0.0009354566714229026,0.9059497603404312,0.9159737338809656,2.4279351452346423
02-01,0.1386962388530612,-0.609072530327128,0.08425165830421995,0.92520613917583,0.8425741867356866,2.4771995477149304
02-02,0.10695656797796278,-0.6451456707431904,0.00020067804176759907,0.901901561141103,0.8182899334849315,2.478450743541997
02-03,0.08607403996000769,-0.7187235730640147,-0.26834554031592267,0.8524041376306708,0.8107206652853058,2.459703586102792
