month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.2671159049784317,-0.092111842768855,1.8052164815872114,1.1604163660454043,1.364936568512543,10.295788996360326
01-02,-0.2116251131182423,-0.3168302158917804,1.8177975624766702,1.197407371646201,1.4687247023833732,10.285549289054318
01-03,-0.2729111474790417,-0.10947423403671058,1.6464270103723873,1.1687489714673653,1.4308744029598874,10.282154170108434
01-04,-0.25236243730461305,-0.030473153805943974,1.1524640917205196,1.2080765571910057,1.4536318467198586,10.426870977780759
01-05,-0.25165643321748465,-0.1214273520153526,1.562985612166881,1.2179773024380747,1.491748496358173,10.214315315468912
01-06,-0.24003718334328733,-0.15470969628796652,1.5322704592273293,1.2325226269949328,1.5270077054744227,10.15750783605581
01-07,-0.2356586742098301,-0.17547722574576569,1.5467701211025928,1.2467461087879672,1.5482780917137844,10.147347070338022
01-08,-0.22499868359489175,-0.1686262366850462,1.5440586718667453,1.3120356783202791,1.5604507817862625,10.178632157935043
01-09,-0.2408238781651388,-0.16847524762432664,1.6301138892975642,1.3424671920234585,1.6005097257074452,10.186233765357237
01-10,-0.2572527764390897,-0.1989242585636069,1.6769505882098639,1.364622827863187,1.612638576775039,10.128920367753532
01-11,-0.2489520450834111,-0.20104363987325768,1.78720210193698,1.360712195236461,1.6177269862031958,10.078982273967513
01-12,-0.2281290915055093,-0.2226445026643901,1.8219313934418722,1.3880380715246683,1.6314794025701131,10.2046974088654
01-13,-0.20498391570538538,-0.22956388397404093,1.828294018280099,1.4081692884062595,1.6466117000548275,10.234518566124951
01-14,-0.14622392509044704,-0.20858696898739554,1.8116751616368438,1.41290859434765,1.656592886221807,10.137863713316571
01-15,-0.11936023077180583,-0.20752857251926848,1.850852601289885,1.4083713800073903,1.696515031965451,10.074310923921715
01-16,-0.11027801793464534,-0.20245165753262276,1.8445967076095933,1.3981762658510277,1.7249191090394118,10.052078895099811
01-17,-0.08978469398637376,-0.2231080758793107,1.8609778509663382,1.3797940590674023,1.7085585387735127,10.000696255123996
01-18,-0.04713951818625048,-0.21223116089266533,2.0542997350638235,1.396022384439033,1.7173967868869509,10.092004042074668
01-19,-0.017212860904645313,-0.22999869035046425,2.0596068043464943,1.4315775852603259,1.6924148926059774,10.127383694247618
01-20,-0.014719536956374155,-0.2383958494378929,2.094073132888424,1.430515389606382,1.6786664390901622,10.192364362304504
01-21,-0.020303990785880174,-0.21925967519198813,2.101624646615539,1.3975337195607433,1.6370507513699877,10.258490177390376
01-22,0.004126370199428162,-0.23694942687200932,2.0663391233056174,1.3472772462858866,1.593491876061696,10.31264498259456
01-23,0.073412286740292,-0.27915769707054877,1.9948573036993993,1.2913641356847851,1.5840553881275328,10.364954637198462
01-24,0.10881672179967422,-0.30954374504686616,1.83136437298207,1.257804051878032,1.575224171685954,10.365819078515505
01-25,0.1037433790812798,-0.3544001633935541,1.6504751459684448,1.1954327049086526,1.5612592178323599,10.440998971069371
01-26,0.1218626289554779,-0.3628306558143163,1.5951859189548192,1.2114608801957216,1.530210596303866,10.48512262085682
01-27,0.11987076771856442,-0.39679448156841146,1.511926321570823,1.1918596184072008,1.4851713968595996,10.430548801437432
01-28,0.10233446203720599,-0.41455830732250637,1.4240482056683084,1.175026079544519,1.4201313874724655,10.555369108261477
01-29,0.059831489689181235,-0.4551406515951202,1.35775527495098,1.1522169968383074,1.3638961051532945,10.615746043339968
01-30,0.0473062951189343,-0.49338966253440053,1.2613845664558727,1.1315064915907036,1.2955140091664143,10.687534244703178
01-31,0.04488480425239132,-0.49259422902923666,1.2826768209237285,1.1299542395916133,1.2286474639472111,10.821319385071842
02-01,0.05468183190436683,-0.47760620293148004,1.292265371687881,1.1168189704743272,1.2082624575518304,10.972165205189208
02-02,0.03964552622300885,-0.4919478064633529,1.1201279965261073,1.0945035377162609,1.1808936720475298,11.153723194849661
02-03,0.015483294615724643,-0.4978708914767075,0.9644313621050746,1.064415799359848,1.1796207605783935,11.25676000076903
02-04,0.027450692638070935,-0.5034347172308028,0.8442236165729301,1.0709018601589022,1.1630810899921107,11.347009096983893
02-05,0.051584757327083314,-0.5183800244663793,0.7269084636333791,1.1330017835178252,1.1534743538532326,11.473626162486509
02-06,0.04318548868276235,-0.5077586650352893,0.6305451625456797,1.1790083665712667,1.1715409482407486,11.564390131261094
