month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.24199594702871075,-0.20721546091196272,2.824484379607275,1.9882747976505524,4.354617598732523,1.16444485637595,1.3025594495613009,9.769036439565273,0.4600730316052464,1.20287111032679
01-02,-0.25086570915575884,-0.20887298659600526,2.8448941455169248,1.9941020935943055,4.34715695860041,1.1813745928747172,1.3186982382474353,9.71499259608008,0.48518659744947706,1.2027269567911774
01-03,-0.25616471964882,-0.21109848613625687,2.8549209048906263,2.001151226563432,4.339006073248961,1.1984723494760465,1.325679104210219,9.629531041013474,0.4989020178639037,1.1930088237354177
01-04,-0.2684496687395175,-0.21427857018408042,2.8670642929190753,2.0164248352108274,4.3248418929915236,1.2070184301961333,1.3529098597590947,9.548644686094196,0.5221165348804542,1.1806555305118023
01-05,-0.27562530410472474,-0.2186130659966099,2.8607415044769366,2.033219016867662,4.312538646327103,1.2168905080225763,1.3957168004433493,9.49056447377329,0.5428577746368153,1.1701665584882495
01-06,-0.275322508097383,-0.21690001278953153,2.8468613630936206,2.0498057563870193,4.302884261841461,1.2356133139669883,1.438658502245504,9.453389594067984,0.5621927157500415,1.1578072802100179
01-07,-0.2708118689527863,-0.21234382232755122,2.842362594259325,2.068071388763242,4.297346873230026,1.235542836876532,1.4716904119882512,9.405091134775946,0.5782660785750768,1.147503575478437
01-08,-0.26035368078858173,-0.2095856710812572,2.8498260803269897,2.0864147205459598,4.2955148739885525,1.2314098576700117,1.501692689088325,9.372576538031787,0.5875559838861868,1.1476576295142569
01-09,-0.24853519850673017,-0.20892359826633566,2.857545448747595,2.0969321431394885,4.293980534210399,1.2257107874751814,1.5374042861872081,9.38474857358738,0.5902421958444233,1.153841151944154
01-10,-0.23615075397663068,-0.2124562865581971,2.863695699935511,2.1080548155700995,4.296650256946133,1.2196534273843216,1.5484279964206593,9.384881234085702,0.5989024754678817,1.1542097036001924
01-11,-0.2217838947539571,-0.22111526176950647,2.8569091872462815,2.1172256662194995,4.300164071927216,1.2277402742189354,1.5632566159384864,9.417458011675333,0.6110377043239539,1.15428854852374
01-12,-0.20725569927008192,-0.22747748468457762,2.8555775773465735,2.1232421486905944,4.303181579106232,1.2475895172648572,1.5697101107509788,9.431531129126075,0.6323458305815606,1.1577909668674602
01-13,-0.19155440281912278,-0.23602481804850864,2.851477831020701,2.129733031958238,4.304952185966302,1.2693552379474982,1.5766509877598538,9.42807303545971,0.6571442290056106,1.160492489665219
01-14,-0.17622635980619034,-0.24958995173490872,2.842714359619,2.1310628234774334,4.303134017655379,1.2678363111859468,1.57129847413046,9.395605978306362,0.6824458326354066,1.1528483489050774
01-15,-0.15742870895012073,-0.26484773248013227,2.833488633315339,2.129254998498793,4.301515181899937,1.2567079702127515,1.5604886032968175,9.41813611028285,0.6791509257183552,1.1659074084608327
01-16,-0.14119625417248247,-0.28404325832339505,2.814334965835207,2.130911288035556,4.297556641881883,1.2577824899606886,1.5603694396909957,9.443530968270263,0.6828582257241886,1.1701144383328772
01-17,-0.13066652634897444,-0.30782515051085535,2.7865933077446283,2.1341318061629124,4.293921728285916,1.2610419608045185,1.5655594277870573,9.426776245255216,0.6802506532126444,1.1771082079345312
01-18,-0.120140291649413,-0.3273694812690637,2.7737756684331556,2.1422687352319896,4.290048600413552,1.23408584236948,1.5577444242698313,9.422021104009001,0.6641450720306284,1.1778909979719652
01-19,-0.11610628173913398,-0.34756028857274207,2.759003420366935,2.148169225567375,4.288450782824793,1.2355010630372651,1.5476752690099926,9.405724347876209,0.6566665181917956,1.1897983444831268
01-20,-0.11193803220504189,-0.36486690451425924,2.7373709752277975,2.1453996355013505,4.293558810361508,1.2416950682138688,1.5298101031671145,9.435172040841275,0.651573357441109,1.1889862637080573
01-21,-0.10246516903418314,-0.3748299235337314,2.719335441273251,2.1372465375145233,4.296235128113179,1.2447055566810565,1.5084932242955478,9.51687457644775,0.643053566220128,1.198332065552169
01-22,-0.09435849468419223,-0.3885619988948041,2.684161769898055,2.125098189024786,4.300558727453026,1.2470017472933825,1.4830670368000691,9.50462753365956,0.6277628690956836,1.211706319979305
01-23,-0.08890084611718427,-0.39511046517177506,2.659453588636063,2.1111135866896698,4.3047903752740515,1.2371178090622958,1.474947439124129,9.505842879425078,0.628023633899693,1.2109189972103869
01-24,-0.08138731519723516,-0.39982461772325595,2.6503983485505422,2.0984887134514953,4.304242543897537,1.2294644486448862,1.4549957118712906,9.548150454799924,0.62564016743485,1.2131984231728545
01-25,-0.07249976466944293,-0.4020255349806191,2.6613146770924723,2.0892185694717225,4.314479027906612,1.2140350196582763,1.4428407994265675,9.566540800781441,0.6108818944946567,1.2306061329312972
01-26,-0.06499995923968982,-0.40180929537523724,2.664322672301069,2.0802322848071104,4.3262848128707105,1.2050537886994772,1.4405271952956291,9.667645115050643,0.6138024926401487,1.245406918771876
01-27,-0.055791820476603395,-0.4041558008678946,2.6550434126077045,2.075023676198789,4.3378257409400485,1.198786201253011,1.4282115778029127,9.72227573289109,0.608291078933843,1.254894554216261
01-28,-0.0481219170076346,-0.4053890710664342,2.627138662718262,2.070982377969126,4.352760875576001,1.177925607072553,1.4140334591922634,9.796804953939374,0.5874714489654405,1.2806831758864607
01-29,-0.04207015079356779,-0.4079801844022288,2.5798976383190158,2.0684367968493707,4.360529804925661,1.1804772012106985,1.3895890462381393,9.900539012042248,0.5827619140703173,1.3057238505985846
01-30,-0.035865443403030384,-0.41260610165959194,2.52060955509624,2.0620195625030124,4.366368162349837,1.180700213103072,1.370943161919613,9.931670202530942,0.5676043178157262,1.3179263144489037
01-31,-0.025876912483081244,-0.4163648620542101,2.4459900993244448,2.050548734822386,4.371669060366098,1.1558161594729741,1.351083425031146,9.961486693117163,0.5416785923833201,1.3169774821277023
02-01,-0.014774656072936014,-0.42200597539000473,2.379462800415394,2.035887522991041,4.373774464451872,1.1439920227813236,1.3286600607477632,10.021802718642578,0.519008776124771,1.3210809241023498
02-02,-0.004367987898084809,-0.4292696377454072,2.322256089741638,2.020090793215799,4.379659711917439,1.1160144145532516,1.3090280810511916,10.061607548034976,0.48371561263715535,1.3340180656087324
02-03,0.006221523414021291,-0.43562447657139797,2.282400849656117,2.0077560346017655,4.384016311158724,1.1011872216211542,1.2957935754247425,10.138022663077166,0.47097443343198264,1.3488013290329586
02-04,0.010560544530048928,-0.44670284480915334,2.261510805649028,1.9969345418888107,4.385801899747429,1.075622506689971,1.2841528756064224,10.127177078113652,0.4489627031680346,1.3445518994192454
02-05,0.007919173489213822,-0.46507876206651666,2.2316751734066442,1.9915850590768325,4.388055701297711,1.050403333770144,1.2711214241068984,10.152760773541576,0.43012006611973275,1.3603944019247363
02-06,0.000997900487594361,-0.48535860089250743,2.196353756850535,1.9852171559613196,4.388873197863007,1.0403749009707197,1.2580153947046082,10.166759570181872,0.4195605078266633,1.3554138844182078
02-07,-0.009275333298338772,-0.5050448122675177,2.1734573402944255,1.9825603114486183,4.39389994215031,1.0389129046130876,1.2359970404384393,10.216413279574427,0.40032520922903253,1.3561374827160528
02-08,-0.019832880809762067,-0.5206957295248811,2.1505065119736106,1.9875198711772668,4.401610804135355,1.0422191052021585,1.231121998221819,10.280028138231707,0.40686609196061607,1.3745862039225638
02-09,-0.026573271458440302,-0.5334530193312639,2.1219248012998544,1.9948608380365922,4.405190675897706,1.0538527820756944,1.2379763026290174,10.318884131178343,0.4180156316076874,1.3852436984651455
