month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.739922802781628,0.5761766795753904,0.9663478570866029,3.361019347127774,3.636069075381413,0.8674875484999354,2.112335594924534,3.679939993929146,1.7077300963074684,0.2491870136620838
01-02,0.8054784424267906,0.5731012687646159,1.2181848424634256,3.3695299088244695,3.646756108415872,1.0244321051208187,2.0058123777845243,3.492550082671293,1.719093226550271,0.33654326259553846
01-03,0.8750683413312124,0.5576304875834708,1.3986588648772855,3.3761172519024183,3.660310198368902,1.133139342513289,1.9362452553307428,3.323843450664623,1.6800251932507313,0.27351499172371857
01-04,1.0101958172008023,0.5214706107451775,1.7406576485925125,3.3726566025511833,3.6890611469333416,1.1825016117102325,1.8422593643445904,3.0608616863040488,1.6092491390442294,0.27193071629995136
01-05,1.1348260565992927,0.45731947532524775,2.0078097619346065,3.3243964671602555,3.703497489213203,1.224461717314768,1.868193829986316,2.9116187512827314,1.4930144754222883,0.18138143891002967
01-06,1.2291994428414477,0.3683320940938267,2.1305107045628477,3.2535361077714056,3.7044778200141213,1.2537898618168353,1.8916182909590322,2.872064099819764,1.3482667364668937,0.09096242704691415
01-07,1.296263916864672,0.27719026182827,2.165999607782833,3.185623574124101,3.6895269603294047,1.2722590519738233,1.9124118893059583,2.965872799018952,1.2129613242754071,0.06685004847549299
01-08,1.3510548140693845,0.2037874272024544,2.217050658796433,3.1414616587447606,3.678965546994324,1.1921703065410205,1.8316831743790414,2.938107290164813,1.2156463625390965,0.07515708820155205
01-09,1.4007130254115592,0.1652948166680349,2.262599155916629,3.136018063830649,3.6811440172385055,1.1365178597288874,1.716608408349036,3.0416305781553215,1.286631311701542,0.07342083463148738
01-10,1.4663697196249483,0.1571281011211106,2.3569317863452928,3.156878564564368,3.701575434402362,1.1292453880273738,1.615141865034561,3.035713476248881,1.2845303349798782,0.06167910015892837
01-11,1.5367207300428856,0.16113172500612585,2.5135916056379792,3.1807715369882397,3.7277427846034543,1.1212236905291537,1.552159029502815,3.0821268955719137,1.2874116389134262,0.08324229867677745
01-12,1.5983356137712394,0.17849244149515514,2.678680781973869,3.1962751472329645,3.7466481634800664,1.134162662332675,1.458679259074691,2.8491408411994774,1.3347957741048788,0.17331659635876684
01-13,1.671895039026991,0.18271922598249513,2.8306903724210324,3.212415737151516,3.7625024573382007,1.1773525472061541,1.2853321616774498,2.6011566436717155,1.3623858442204815,0.190555510515868
01-14,1.7204557249317354,0.19197884990177463,2.956570207287774,3.2076570529364545,3.78922015900984,1.2282825332905019,1.290381936484257,2.5598389528276213,1.4405967140836606,0.2580503088056578
01-15,1.7444993906070656,0.2030658624644005,3.0861617835490662,3.1784428228499726,3.8304711898635606,1.1736555703638083,1.1449515397341226,2.863573567638485,1.4334873145946583,0.27367020737775
01-16,1.7457314789471128,0.21869906605385386,3.2274407108035046,3.140151981647191,3.87439942334316,1.1216724054005147,1.1168272604596448,3.242006570470278,1.4072429400450184,0.26295981057408646
01-17,1.7089045424068046,0.25837995432598587,3.3627276526927288,3.086933478069964,3.911065925570129,1.1469460346353064,0.9921968284629193,3.2651810216963755,1.4144269469134763,0.3215863863478962
01-18,1.670429086043494,0.2925787634532933,3.5759828683125443,3.0420315815040135,3.937237642787146,1.2275651025893728,0.882956683780185,3.3227844598593848,1.4325858816642063,0.3537030999782745
01-19,1.6316546164648489,0.338883038335903,3.842996562715718,2.996608743698151,3.964875977404712,1.304334693492642,0.7701716028904008,3.3170865590373224,1.4521887522316614,0.3851685809006167
01-20,1.6020971942837776,0.3786824595907561,4.122273439442501,2.9523571813733147,3.9870398501437654,1.3019562081126315,0.7129731272723151,3.279024557916491,1.416326352559114,0.41467070953613955
01-21,1.5762202149968372,0.4055395721179792,4.446725925767881,2.9064803694481887,4.008777541648361,1.4025992543162253,0.7394785823901203,3.2058831794925218,1.4323343612748693,0.45624384163089565
01-22,1.5702675849778922,0.43017941083989303,4.752472483646477,2.86157970651038,4.022045389073355,1.4896391471792916,0.7866229397342008,3.2488783230487974,1.4148509745448163,0.5200107842282573
01-23,1.587508097939382,0.4424097019511885,5.073337740187062,2.8302591944187188,4.0250783168528095,1.588222464005502,0.8168816277712413,3.256781715976504,1.4666534335636026,0.5895058131834531
01-24,1.622396658704858,0.447554838313223,5.3652602113873,2.810784734605076,4.044840833845456,1.605722035759122,0.8404486157865749,3.214525631624784,1.4297149454613218,0.654580970299521
01-25,1.6838103943200924,0.4505475461206875,5.682753413244851,2.814731243560648,4.0825462875002785,1.6524766353925688,0.884793031206483,3.5484859032609504,1.4170121849812343,0.6512250385477604
01-26,1.7434159714517519,0.4500461587069153,5.965067345759714,2.8309453429873654,4.124900555671789,1.7070880041376248,0.8918328616217646,3.741336687126076,1.4131817704433551,0.6951097311237765
01-27,1.8020883900998368,0.43757289829412843,6.184727008931889,2.857871186445242,4.162470537563609,1.7935785267397324,0.9652545497494402,4.120051792608013,1.4100809132084964,0.7898014095917021
01-28,1.8562005232185737,0.4233394831320807,6.369224442319271,2.891731816990249,4.183137900992292,1.918388094379444,0.9975932362308868,4.273721475650589,1.4377836500673025,0.8234407932366968
01-29,1.8921113548733013,0.40715485369274795,6.444179463257532,2.913447878508384,4.183261462551126,2.108578828486431,1.1453282668416127,4.333359033884532,1.423099013627576,0.8335660499020384
01-30,1.9008659802404684,0.3896140615592172,6.413189666860121,2.9186940325634825,4.165835119430321,2.1442801199356136,1.1995249627533806,4.3850100515826975,1.4680454546073807,0.8511394607156624
01-31,1.8801539389409685,0.39990382498124194,6.277202648240488,2.9058125431677215,4.135349725257184,2.19195545478829,1.1685177677611018,4.217545467454002,1.5059708609708955,0.8241099834821835
02-01,1.8192557865303582,0.4229713661810445,6.071868407398632,2.8825630256389565,4.093836119993851,2.1243169438754204,1.0463402530174795,4.2649688405870805,1.5128070485533878,0.8488344454755216
02-02,1.7275715230086361,0.45248335182529137,5.8100508332234435,2.847611335769205,4.046451312326696,1.9837360024369484,0.9880160316989418,3.9339712877401203,1.4850112474178776,0.7629615775408617
02-03,1.6384144312109346,0.49134612919759063,5.55619629592184,2.814978787234533,4.013354386582449,1.845685079942351,0.9017136284655501,4.271018105533704,1.4058705903141364,0.7295195383025622
02-04,1.5553950161946066,0.5227743789148834,5.306428943478517,2.7807296732181763,3.9880244468011568,1.7538965765097683,0.8879469875884094,4.332280473046033,1.3360627250131705,0.6628336840611586
02-05,1.5019625592444692,0.5543307506442587,5.0985263112545445,2.74542928556501,3.9724195896427417,1.676366806199529,0.825121718482742,4.3753174038593725,1.3246511349750862,0.5791586411943053
02-06,1.472049674978673,0.5950084496083611,4.957077045722105,2.7098566793382224,3.9619878344385895,1.6728004039554696,0.8010758956998322,4.412743467656456,1.3128069312204254,0.5892825853612755
02-07,1.4404841411749956,0.6471741424738571,4.864181146881198,2.6735089681888664,3.9440353505857244,1.6567977568432644,0.7809183525641934,4.42239851238278,1.2822003487893496,0.6042672008582526
02-08,1.4070854022778816,0.6965000514629691,4.79864417028738,2.6439453067587775,3.9314213917715395,1.444572211302205,0.7375926474100343,4.4500573846581055,1.1224813693506046,0.578468249264168
02-09,1.360570350276848,0.7437916273642903,4.733660730076789,2.615264555326839,3.9297063401593677,1.2963192256343332,0.7496439410639172,4.27374008540239,1.0222136518174514,0.540434950317026
02-10,1.3064447660503,0.7987126542997474,4.730522662607788,2.588476281074333,3.9420430018203767,1.1801113758159527,0.7310860121963296,4.373338962142277,0.9900040135641205,0.5312125275875745
02-11,1.2418502036034802,0.8346986013194879,4.718166688590085,2.5678922071877235,3.947033613306347,0.9812282583933651,0.6167139266616287,4.504722355880161,0.9277196316833237,0.5696883511846647
02-12,1.1671671058305186,0.8832488263625488,4.706260084288942,2.5459684475137827,3.951826541589475,0.8530015494682662,0.6832279304296822,4.202201373423421,0.841959050282835,0.5741654144467994
02-13,1.0858620267366568,0.9287487984790778,4.735774292636291,2.5189823260432505,3.9349296892535888,0.7125185884413152,0.6147788166894989,4.165702789915769,0.7529003439581032,0.5608172331347406
02-14,1.005525744616444,0.953986694652359,4.7191743882103765,2.4973225920203683,3.8964613326023665,0.6811444786920868,0.5624968900557752,3.9470405472198538,0.7250925571422497,0.6491224544175248
02-15,0.9480353741983902,0.9749825315431584,4.693317281947807,2.477946276442675,3.8717876895920096,0.5863469106667427,0.5112296348253845,3.801316742331306,0.651139355317939,0.6795577277503113
02-16,0.9028596968776725,0.9654924369233537,4.675145995896299,2.4601374286276947,3.8454019798107986,0.5145465698651392,0.4813644093869966,3.865892238467131,0.6457243512605463,0.6284341382185866
02-17,0.8743969005928539,0.9386804320926825,4.5734451685627056,2.446913608601461,3.8250687560190397,0.4336616465916983,0.5466188673958278,3.897365149648181,0.6312585160328027,0.5961399269882609
02-18,0.859834837882079,0.8949050526399687,4.372241917918673,2.4448346785753614,3.7957361223857555,0.31731194700237825,0.6740247871381154,4.090824151016027,0.5539718253584317,0.6026510472345014
02-19,0.8521752501723809,0.837847056376258,4.158491139713628,2.447250597058304,3.76277145944451,0.23034750288014288,0.8214838983722444,4.156305781981193,0.5343192377747307,0.5502952935104816
02-20,0.8541893233352379,0.7865677566681522,3.9097477296969942,2.4640612587650237,3.7261572416322317,0.1835729358363501,0.8893857636794188,4.240230104577753,0.4916078738197189,0.4921825664937093
02-21,0.8523826129262053,0.7456032646267623,3.695922798979883,2.4981375845182305,3.699757417272311,0.16102410138310022,0.9512726522369617,4.168959692811598,0.5181902084837038,0.39340026292738506
02-22,0.8301051189452834,0.7048869135854218,3.493369125340073,2.53017012713669,3.674652612236018,0.1618309540643856,1.045292012103125,4.191195488943181,0.5061611790911159,0.3440555794183226
02-23,0.7859179525035835,0.6820659257663526,3.305861708777563,2.5645689110808325,3.6370189213618005,0.17228207976015414,1.1183639488623993,4.024078045927356,0.5141672601728388,0.2832999763039542
02-24,0.7140433358233278,0.6533680789473327,3.034522771514576,2.579269648972602,3.585499370048436,0.14944326736141497,1.2353054483577763,3.76418242105912,0.4977963452822547,0.27395920720470857
02-25,0.6432347239306185,0.6265487056431849,2.7318886206892077,2.575885205488139,3.521647555713505,0.16187234416013724,1.2522893735523544,3.6881004229535406,0.46447037876251035,0.24345204011755106
02-26,0.5846604533791679,0.6254010953793055,2.4592614377902335,2.5649214572547527,3.470507819003825,0.17058012946160234,1.302983182598829,3.6279738263449772,0.4377441025479038,0.1933294604897537
02-27,0.5488016892675942,0.6128547175693704,2.1598351056125096,2.548439010934599,3.428139099684806,0.20794160055144875,1.3169840342919323,3.7012871147277795,0.3834826608792357,0.17941109508795722
02-28,0.5247624138609072,0.6232475837357041,1.98037458347636,2.5372245708804937,3.393000817497539,0.2317528966826754,1.3973657747755217,3.800967183431282,0.41066071213678584,0.13812281585767772
03-01,0.49780642153602295,0.6202955821162804,1.8144020958410576,2.526217445932509,3.360852081894534,0.2797713439888326,1.4777883107129364,4.120952341164982,0.3114366096938854,0.10689197273477517
03-02,0.47424295585895765,0.5857648012280253,1.6867482384227062,2.5112070813054856,3.331541061098832,0.32419590388745334,1.4738110869099212,4.3008024342305475,0.23613013361033786,0.08989621497035324
