month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
01-01,0.022848673339658357,0.05576411901712023,1.7930867529198824,0.5977952620291679,1.5392263686737317,3.9101634964843304
01-02,0.03360348691615842,0.0573457461150362,1.8235388578319218,0.6043024685313982,1.5685835869250235,3.8077814550096556
01-03,0.04465107827043623,0.059145706546285516,1.8665015182995166,0.6184167604937932,1.5854999898175888,4.028137813915124
01-04,0.05721681653454749,0.06431396074211751,1.8987504503458175,0.6365897635122498,1.583895990689781,4.162953283641699
01-05,0.0649242214653254,0.06685638160461614,1.9055877157254517,0.6283688045002059,1.6081969211935612,4.29875735882199
01-06,0.059789126396103356,0.07536796913378147,1.9079799811050857,0.6348726127335607,1.6318222574388541,4.317165198763845
01-07,0.04888819799354802,0.08466705666294677,1.8695122464847198,0.6646899938091249,1.664702750229253,4.432045181228212
01-08,0.0377813674356806,0.09494881900159369,1.8748349565936409,0.6557055124943504,1.7056745216852445,4.500737849143043
01-09,0.06554241633465024,0.02167134813020536,1.8935035561395543,0.6627349912336471,1.752595696734759,4.537080683577837
01-10,0.10145971057904893,-0.05457916389409442,1.9159089176364215,0.8153775893188484,2.0036545934564143,4.234841123815093
01-11,0.14597409131084113,-0.13110251796314898,1.9482469665657898,0.8531925480385204,2.0033021130739943,4.216644187384435
01-12,0.19854526572247172,-0.2098018647921565,1.9764663688282398,0.893417999364461,1.987516621718169,4.206851307578942
01-13,0.2185089913312661,-0.20977947668867397,1.9772161832546389,0.8964680626461455,1.9590199128681436,4.243513506980678
01-14,0.23955658309825542,-0.21121468491633424,1.9613758628650848,0.9138313122476706,1.9491194708281108,4.24321824732583
01-15,0.25529733688856016,-0.20781920326309172,1.9773730706132295,0.9303842375152401,1.9230814031886139,4.340206857400717
01-16,0.27203008337464485,-0.20918607501905348,1.9772217555121774,0.9588937268843092,1.919428159521363,4.466042862078483
01-17,0.2896372003554427,-0.20546107370980612,1.9891613271289788,0.9840993155369572,1.935624145640176,4.375971595685687
01-18,0.3091895998497962,-0.19812773419806623,2.033888025327192,1.006437065082689,1.9492554416975558,4.321600929950139
01-19,0.33676013067879246,-0.19817969702046706,2.0472889686128513,1.0167903519787447,1.9498872890566783,4.272157254318679
01-20,0.36544056916280526,-0.19419981772138728,2.0552355666515325,1.010026939133272,1.9259143507184517,4.252174597812453
01-21,0.3939640609388622,-0.19530883166890728,2.0686241080988665,1.0136163981094215,1.899231558910165,4.25730831640939
01-22,0.4186521343506189,-0.20256453449077108,2.05101295179966,1.012494406522379,1.8476087386217368,4.3676047732710375
01-23,0.4344835459941456,-0.20615775581903256,2.0521110120248007,1.0238693657686053,1.8138650541172423,4.354408957956367
01-24,0.44811464141522883,-0.21404090879227725,2.0518950315869535,1.0319617581512908,1.7809358702524762,4.388052722075426
01-25,0.4632441591193617,-0.21481897860538718,2.041220743327246,1.0573321339490724,1.7654965613601232,4.464308306194201
01-26,0.4830856729047452,-0.20741188209822756,2.038030596999576,1.0848534120486757,1.7376958284605737,4.590383914499934
01-27,0.5131846373168338,-0.20225901321019218,1.9797927744221242,1.1149238163488524,1.7118791982316353,4.578221737530767
01-28,0.5525985655477683,-0.18738294029629793,1.9323580586821223,1.1598616682819287,1.689410835446817,4.411559655805945
01-29,0.5993086016241893,-0.17053879948924966,1.9137675773804341,1.209682369681829,1.6802053766416367,4.453195494161611
01-30,0.6485262551684763,-0.15551673432431146,1.8869768265458449,1.2480934622025184,1.6292569098237681,4.699861291710686
01-31,0.6935031247527246,-0.13931544154024897,1.8890155701428546,1.2736503068031564,1.5789786857190289,4.7490217099643175
02-01,0.7222908506593202,-0.12584963291187715,1.8606182268454874,1.282246204098309,1.551352658525301,4.837331673899757
02-02,0.7348515645279565,-0.11734963795578417,1.8010953353311234,1.307070454544151,1.5453849885500717,4.661715108262912
02-03,0.7385305749180727,-0.11242474495488784,1.7523031419952206,1.306303421569261,1.5246451247550807,4.869015860872699
02-04,0.740026946985178,-0.110322799096887,1.6936666559889728,1.3340170009914445,1.4794055208273083,5.030916277456791
