month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.6725962249954399,-0.09300341209222769,2.641659917483865,1.01589818570866,0.5638612230388663,4.466851572693565
01-02,-1.0300898891338415,-0.2622325954859695,3.983118303621672,0.8569091316280547,0.6449150127798359,4.9072375333219975
01-03,-0.6317377218353951,-0.12520357815721453,2.872105457920352,0.9657587702996543,0.5454972371892108,4.602205910805476
01-04,-0.6555270643838128,-0.18271034446287315,2.8662016710711344,1.0024988107879957,0.5473252001940699,4.674148476343223
01-05,-0.6018497402655637,-0.19603933299075416,2.9542201064441387,0.9749365664763343,0.5284245775375067,4.847531794627736
01-06,-0.5333390828139809,-0.17233498818530157,2.9969496529282544,0.9846637216867633,0.5418064790989866,4.934100555487038
01-07,-0.4574728698068422,-0.25326397671318257,2.9431791994123686,0.9447309124685047,0.606152112829635,4.953570696431434
01-08,-0.39335110124414835,-0.31310407635217435,2.718364301452039,0.9575433140476933,0.6295644325261909,4.926968196818643
01-09,-0.39576266601478766,-0.39065528710227654,2.6182938479361546,0.9470929906104218,0.6628964138740483,4.99207140175242
01-10,-0.41245200856320524,-0.4462064978523789,2.4729456166424924,0.9527328205551154,0.7119682003755642,5.13211193635665
01-11,-0.3899857955560666,-0.43447993082470426,2.395208496459941,0.9569289314989723,0.6764036109451348,5.297245752116441
01-12,-0.3833862492155971,-0.4485089193525847,2.3402602651662776,0.9684121644911923,0.6069897560567039,5.271275863442883
01-13,-0.3623200362084586,-0.5026379078804657,2.190100922761504,0.9935367719381178,0.6753131457856424,5.412298010411307
01-14,-0.34715382320132043,-0.515711340852791,2.181797135912286,1.0228234583589204,0.6897153410307978,5.360736641124989
01-15,-0.32597649908307175,-0.49792921826956116,2.2170711268408456,1.0358725369764352,0.6879394068654181,5.5136067736520955
01-16,-0.3505325082981569,-0.49672487346410793,2.2330451177694055,1.101793149893938,0.7102812581655001,5.565743643026881
01-17,-0.36861073973546404,-0.4944316397697664,2.092263553142409,1.1816564046250286,0.7146978622418115,5.508745472711967
01-18,-0.3438334156172153,-0.46492729496431345,1.811837544070969,1.1904299347954534,0.8048899482122488,5.290190988262347
01-19,-0.3688338692767436,-0.4592118390477496,1.699489312777307,1.2137441031216345,0.7883592936458101,5.132180758176157
01-20,-0.4086009896029392,-0.45352971646451873,1.5990188592614218,1.2590900247782955,0.8170084489078551,4.998176350772114
01-21,-0.4694903321513579,-0.4873253716590657,1.5694039613010926,1.3199260179239658,0.7808519018557603,4.917706077926571
01-22,-0.4982463413664438,-0.4986654712980581,1.5868779522296521,1.3797902460538725,0.7833201238211883,4.908119317857446
01-23,-0.4536467950259723,-0.49072779315927145,1.6624074987137678,1.387182511735123,0.8852799696658914,4.812681731533284
01-24,-0.4295805820188349,-0.4877123372427086,1.7849814896423277,1.4160930878370757,0.9430076219482529,4.726081996383186
01-25,-0.44148103567836405,-0.5097524368817006,1.756977702793109,1.4647015722701093,0.9977703616656132,4.368398145597967
01-26,-0.4562592671156713,-0.5734814254095812,1.7716628048327798,1.4593733647068148,1.0365594726673601,4.132524837023226
01-27,-0.46783749855297674,-0.6068770806041289,1.5904479068724504,1.4784516286385512,1.016276081678167,4.040477317014982
01-28,-0.4894935077680609,-0.5177616246875654,1.404966342245455,1.4876455951540413,0.9953455496487954,3.7698443411518334
01-29,-0.43337173920536776,-0.5128906132154457,1.2117958887295706,1.474393126734126,0.9997776328914616,3.620922254860498
01-30,-0.4018721928648962,-0.5225640461877709,1.0094587685470187,1.5397996086383003,0.9400276263420289,3.392398764909367
01-31,-0.34785042430220203,-0.5367152569378738,0.9928549816978004,1.5817560196210483,0.8333306399891883,3.139939662346562
02-01,-0.2999842112950632,-0.5671109121324206,0.8725734170708046,1.5704460578294583,0.8290337034498851,3.08748314197735
02-02,-0.29782910939903634,-0.641973233993635,0.7249362968882535,1.5185713450792417,0.7552016680921046,3.292005251565443
