month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.6855201214101703,-0.04827936191285194,3.4682131281242645,1.5955598917133034,2.9963097611838525,1.117025061080552,0.3281225425328402,4.34146955962081,0.4739076164444587,0.9083709473463383
01-02,-0.6878136815732679,-0.05856385617679214,3.4476134569218773,1.5958804452439976,3.0032707576305904,1.117785588928491,0.32744149852056237,4.491950777937688,0.4518057947526433,0.9106878335248487
01-03,-0.6911408018994635,-0.06680840026022825,3.4465785589615483,1.5935291280278012,3.0263548297160905,1.117213343203022,0.3253656608313849,4.604774367154868,0.4541483525551983,0.9189224589658549
01-04,-0.6830679222256592,-0.07161961101033103,3.4523903276678864,1.5915014797522433,3.0365163631131367,1.1177137960016308,0.30328601148575246,4.716240355311726,0.4625101008379349,0.9256949462083166
01-05,-0.6675994869962993,-0.06969304398265616,3.4522376519297793,1.5885771669770976,3.037408502902638,1.157537155018164,0.3178723601856533,4.667017501788504,0.45888988046539675,0.9153038332176316
01-06,-0.6660399406558283,-0.07103536584387012,3.4470938650805607,1.592167563968123,3.032794157988512,1.1490394308464116,0.3060292834636853,4.628330240887164,0.47085990084037377,0.8830252448260302
01-07,-0.6618626165375793,-0.06841990992730629,3.444892300453565,1.5950678633102908,3.0313981507657606,1.16012061506784,0.27986325152701,4.643622218935638,0.506500551414671,0.8839689849711667
01-08,-0.6611608479748857,-0.07364223178852015,3.4905018469376805,1.6066212674179867,3.050885378661784,1.1353647178961819,0.30094120907473493,4.65534432069658,0.4808202126604722,0.8728174553124484
01-09,-0.6469501905233034,-0.08718677587195632,3.518564726755129,1.6151508816805145,3.0588549042760995,1.1252712257362285,0.30794750214540023,4.68888741391632,0.459405221055699,0.8419442873135075
01-10,-0.6403834332981567,-0.09600404565989847,3.512455294000144,1.6267595958298955,3.0529686615390506,1.114402136834567,0.3067500603182706,4.627640887401957,0.4572731274522002,0.8410907590780549
01-11,-0.6424578098592145,-0.11184010019018598,3.463107902766957,1.6389103801849665,3.02805143621269,1.121721231326214,0.3466325921451104,4.524840770166679,0.4742415414592927,0.83500565617078
01-12,-0.6411399868731434,-0.12391493946281862,3.412631441944459,1.6510560784613781,3.0044795052680953,1.1635002231849148,0.38292255749079385,4.482288772869482,0.4992297725012337,0.8258184697044687
01-13,-0.6391616196690634,-0.14559361555106828,3.3824493352161933,1.6632781751210617,2.995247262388583,1.1915389345734133,0.4289757178156332,4.474710305674463,0.5145087130742618,0.8483602477958406
01-14,-0.6235410302427614,-0.16701673608376244,3.370798339599039,1.668818642619664,2.9905734412996092,1.2133492036661677,0.44388983747140326,4.469468174286866,0.5260086321295586,0.8446720887596771
01-15,-0.598338218594237,-0.19951541217201205,3.329996232870773,1.6749631955015802,2.982573147338988,1.2387234517801948,0.4706194572154887,4.450218563879981,0.5439676555842857,0.8429453331398555
01-16,-0.5710331847234906,-0.24086075492692838,3.289511903920285,1.6809113952053043,2.9744361666229344,1.250565513385008,0.5277580415409403,4.362032502389631,0.5356386917736299,0.7995537347368346
