month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-2.183552177793235,-0.7118861304682451,2.7054994262999186,3.992509721671432,3.907393917128501,5.180126421287404,1.5718596061212835,6.512616941697678,4.936201173241507,1.3863400207869485
01-02,-2.148140970822419,-0.6665086691602596,2.6847107942000203,3.926412853582454,3.8769475657431443,4.975053257386048,1.5399868923953817,6.206364933667688,4.773304490414143,1.3625607969812459
01-03,-2.0632963346585638,-0.595607714798257,2.6532938474605414,3.7959977439413457,3.8171624455127655,4.7792594217824,1.5359085671114976,5.983133261026478,4.6321866494534865,1.3461569128507689
01-04,-1.9665945556375668,-0.5549527921822861,2.623443567387729,3.67745832418125,3.7578709435710547,4.563076356975697,1.56536300645477,5.73022594799679,4.4658939975349,1.3085002810593136
01-05,-1.8680435702673623,-0.5592899330583788,2.630415509537139,3.5931325814042974,3.716813988025423,4.314764508129993,1.5631431362814383,5.36436094710636,4.252934981958278,1.2593282023012702
01-06,-1.7648163944209678,-0.5643064390138365,2.698435070734168,3.532192109508063,3.6987677640925987,4.053618478423392,1.5507357645701842,5.219367109970574,3.99729295377505,1.2074353364232033
01-07,-1.6380431868285417,-0.5793054846518338,2.85896415574072,3.4995307403759472,3.7073472559895837,3.8362441838908494,1.5379978207660232,5.078416161297731,3.7945673077467563,1.1794827329561388
01-08,-1.4831747411408773,-0.5813902445755451,3.058151970906003,3.4585184595879888,3.7254287991873554,3.6217502016093785,1.4839639968519596,4.9838051265189165,3.5588357536434794,1.1305010807990477
01-09,-1.2475519598968918,-0.6574562594414037,3.3212213578773118,3.3907863766005666,3.7404718814132547,3.4061454287111417,1.4920803666957205,4.955110332963864,3.321980023259022,1.1128235554766341
01-10,-1.0330329624089656,-0.726344179110439,3.5669914980379676,3.3070619576202205,3.7460416610958034,3.0382347754354844,1.4577888630606581,4.595991278859192,2.881063204920181,1.0290073136336446
01-11,-0.8332212048736795,-0.7948031748280723,3.801108013335469,3.2190066398854444,3.7421546327141093,2.8216687071490143,1.4478026823270558,4.524755643486462,2.7156559299969083,1.042771476272484
01-12,-0.7273007484612474,-0.8059779745581391,3.9470133283686177,3.1549622195183584,3.7325094475258354,2.6095208256845623,1.4423263561139728,4.493127013858777,2.5348160796779036,1.048849537851975
01-13,-0.6293096361846177,-0.8133595600024917,4.094646230482895,3.093906402788992,3.7181877044427036,2.3770030997264096,1.4664218824134407,4.4647289875366525,2.363207338617071,1.0451753299355304
01-14,-0.5240500365811386,-0.799492499652983,4.212694699415413,2.9991156192042987,3.695633542551978,2.1144863832440155,1.403521788563045,4.434485091491526,2.16502899014306,1.0663181057949545
01-15,-0.41456710084599213,-0.7613856776871768,4.318351019350577,2.882745224196551,3.6576765195594976,1.8705679280457317,1.194302791121947,4.398482089852256,1.9262612660888627,1.0718787842779196
01-16,-0.29256661261580935,-0.6946430223467653,4.39997959425336,2.7455682862728086,3.616501347498515,1.644191982213942,1.0576897471869902,4.313961850048223,1.7339444695793789,1.0982264213130146
01-17,-0.18617801660110556,-0.6285761510373314,4.440433528788362,2.623747912842724,3.5677670603907643,1.4208994903432999,0.9130867855437055,4.237764866846994,1.5184821494415623,1.0903443601156342
01-18,-0.08069047369121907,-0.5652710300086622,4.498227891572693,2.513021104568818,3.539730548666052,1.2362461491951928,0.810593968641939,4.226857088319193,1.3052396538627604,1.0582542091678029
01-19,0.016776930329778523,-0.5460297978688816,4.56972642102369,2.424011567715653,3.518308972938128,1.0218795718907996,0.7498729502074849,4.3098299310196975,1.152352515558422,1.0753790137036323
01-20,0.11906204268410943,-0.531763565729101,4.6512707838080205,2.346611203341296,3.5007198124810217,0.8016784296491495,0.7120006243911363,4.26924172823524,0.9843086127428421,1.0512341410140977
01-21,0.24755826614955145,-0.5100640002559871,4.680040146592351,2.2736096781649136,3.4729285089803335,0.6033727291305734,0.6761157166239247,4.192571628417107,0.8325339019872934,1.0187077509071363
01-22,0.395336434059438,-0.46509776811620634,4.672383120487793,2.1996904902308585,3.439641841468585,0.535412959527362,0.6395050168152682,4.216637694980401,0.6291764439176472,0.9656923072117328
01-23,0.5432062686359912,-0.43802042486531456,4.722352483272123,2.125364143483728,3.4177836128140755,0.5667300533024836,0.6272361846888023,4.194593460388945,0.4503587734000893,0.9486077088910546
01-24,0.6311441587680998,-0.44418613716997823,4.8077482349453415,2.092048952884044,3.396089160162869,0.6720741680140727,0.6219790363348461,4.203948941097529,0.2763232953589979,0.9165473692977869
01-25,0.6740709377890974,-0.47402546058575307,4.933591208840784,2.097882098858587,3.3845777705839866,0.6899770399467191,0.5404402271995591,4.049281251930494,0.2702852703470005,0.9167383311553146
01-26,0.6851546612545394,-0.5076758951126391,5.056234182736225,2.1374055688678664,3.383656319431425,0.707411385394504,0.47545357496818413,4.094496070515258,0.32440003688607133,0.9424248619946461
01-27,0.7109925513866481,-0.5422679963061919,5.158017434409444,2.166851124846287,3.395653836783452,0.7836565693544516,0.3882472661639254,4.221945308296122,0.383630739575044,0.9990952940345942
01-28,0.7384846081854234,-0.5684864863886335,5.243036797193774,2.163483301927968,3.409327336000849,0.8038775640177442,0.38130745149509626,4.2270689856812345,0.3769175435294774,1.0171834784511984
01-29,0.769672498317532,-0.5893841431377418,5.270908937755883,2.1538488969551004,3.4127159437933847,0.8266193844583047,0.32754773297153655,4.233763477031796,0.36339039951665253,1.037632833768648
01-30,0.8057409440051965,-0.5986220776646279,5.288347744984658,2.141720398688772,3.412429742011774,0.8188487321193046,0.32829636924785066,4.217583057008426,0.3913477630013557,1.0319314928928667
01-31,0.8572524452484163,-0.6179044566359585,5.299585163324543,2.1629983050420036,3.4205908671455822,0.7831593925405519,0.3427404571557403,4.293554041640699,0.4061399779346483,1.0601378144328608
02-01,0.9138847798249694,-0.6418729467184,5.3333114705533164,2.192648075248503,3.436228121878337,0.8163273719649419,0.3424271348176845,4.315929987479643,0.39246098871046914,1.0484818566891085
02-02,0.9532587810681892,-0.6740344923563972,5.369255833337648,2.2323581194735733,3.452943424093609,0.8115295588198912,0.3339855003138861,4.532056959792054,0.37912332553132655,1.0976195242399824
02-03,0.97405639342252,-0.7180390935499501,5.459357140566424,2.280863200011336,3.481200426644732,0.8495728225936828,0.34239623797096425,4.625407430472838,0.3821953679635931,1.1316853786801593
02-04,0.9861734502212952,-0.7594159169657249,5.622289003350754,2.3169949801028484,3.5164740342194967,0.8396540308153536,0.3773010084518423,4.911969360810645,0.3993278918619587,1.2018326342076477
02-05,0.9941210625756262,-0.7931246848259441,5.778645866135084,2.345143675745775,3.5504649235024317,0.753684710466291,0.3929652217175598,4.986524233642743,0.39430029333303257,1.2341021517340665
02-06,0.9821700638188459,-0.7860598415750525,5.868759673363859,2.336366055152794,3.5612238852883666,0.8086622683344623,0.4219025427691577,5.152182247819996,0.4067098768743857,1.2571675562349114
02-07,0.9592065650620656,-0.7772130538797164,5.8427943139259675,2.335878006128207,3.5590135928493503,0.7863976894766951,0.4743917542906668,5.242232195411316,0.35371126483219006,1.2806923575466047
02-08,0.9330500107497298,-0.7543884884066027,5.84557339893252,2.340965114520149,3.5682284655488203,0.8322597812923087,0.525443073112357,5.445007230247497,0.3406100213912783,1.3005088751124763
02-09,0.9294712342151717,-0.7360569784890442,5.856291372827961,2.378145824734369,3.590958069565044,0.8243092113884349,0.6486962061596818,5.674843376762896,0.3913580871106731,1.3377465457821553
02-10,0.9377063465695028,-0.7005421352381527,5.894107957834514,2.4263724864926113,3.6251500958537193,0.7808287696041345,0.7375093700123808,5.832481346680761,0.44599955551126236,1.3567164281487138
02-11,0.9539109033682781,-0.6648592364317055,5.9178939872855105,2.47224109024798,3.6537958496327505,0.769015159958794,0.8436647292589593,5.963377315132028,0.5188968520821051,1.3710838992108916
02-12,0.9794918490559424,-0.6359221709585917,5.871966127847618,2.501662983511555,3.6783186156163654,0.7247841630470775,0.892137958989308,6.192423384950422,0.5784609060096685,1.4158866332167084
02-13,1.0127130725213844,-0.6288739943743668,5.790767435076393,2.5343755158346397,3.6915028577075155,0.6922434901339598,0.92984987167495,6.297676741882839,0.5886091240398086,1.4195335005222927
