month_day,east,north,up
01-01,0.3007188168744315,-1.8093379610188176,3.142901522244571
01-02,0.39851415956691794,0.9890447572496978,0.7225657708789107
01-03,0.30592005115378146,-0.5382838413322819,5.0842295322541915
01-04,0.22918029495959194,-1.4954308429437078,4.917956585712184
01-05,0.43058339590826433,-0.3598635588408493,4.365540782027321
01-06,0.984415068285503,0.6852751538334422,3.8844106926281694
01-07,1.2642467406627393,0.24641386650773,2.383423460371879
01-08,1.6617926987542673,0.46555257918201975,3.3980076566870117
01-09,2.163910085417223,0.7056912918563107,5.944448995859291
01-10,1.8037417577944637,0.17883000453059478,2.546033192174427
01-11,0.6772877158859849,0.09968300291917334,1.0350459599181354
01-12,0.47797653112037075,0.8481074298791728,1.3264872990904135
01-13,0.40723677492618204,0.3068175711248903,0.8569286382626942
01-14,0.5824970187319946,0.27624199808489264,3.4080842631492594
01-15,0.9581858339663796,0.5392378536163244,2.7618113166072513
01-16,1.1674460777721867,0.540519423433469,3.5379669414938175
01-17,1.5971348930065712,-0.8326275781779547,3.6844082806660947
01-18,2.1385379939552385,-0.24777457978937942,2.08799247698123
01-19,1.614083952046767,-0.19849300997223512,1.5452909590106514
01-20,0.7412013387097198,-1.0747828687265157,4.936018012468645
01-21,1.8664615825155297,-1.4032155846236576,1.5521736373552086
01-22,1.7492932548927722,-1.8782197290922258,3.6241864050989165
01-23,0.21483921298429784,-2.090938159275082,4.036199172842622
01-24,-0.006900543209891736,-1.6166565894579363,2.5214976548720442
01-25,0.48793112916734876,-1.297946448212216,2.064938994044325
01-26,-0.03580862702683962,-0.3422363069664979,3.0649517617880297
01-27,0.4020230453503975,-1.3733833085779226,-0.5120354704682606
01-28,0.1844261462990701,-0.009530310189350213,-1.5753084170102696
01-29,0.5705435329620245,-1.1071058832293486,1.598990065019153
01-30,1.2475180624821192,-1.0498243134122018,1.641002832762861
01-31,0.3147783062879338,-1.108257029309341,3.0984441719351383
02-01,0.5911814072366024,-1.102689745206482,0.3284569396788487
02-02,0.9020130796138423,-1.5326938896750535,4.9330411359939825
02-03,0.6677018948482224,-0.8559837484293332,0.9419110465948334
02-04,0.0576764243683195,-0.2418450357550456,0.6197809571956834
02-05,0.4660795253169896,-0.38442060879504086,-2.768063417917751
02-06,0.385339769122801,-0.213996181835038,-1.2341935073169028
02-07,0.711885727214325,-0.8048574691607513,-1.0397521681446238
02-08,0.7910031138772803,-0.575147327915032,-0.990025114686631
02-09,1.214120500540236,0.12627709904496992,-1.7564409183714957
02-10,0.23423788720318747,-0.6891556168521696,0.12871470651507114
02-11,0.9026409881518594,0.08769738153640239,0.38929890283020413
02-12,0.25947266052909906,-0.8418781915035931,0.015454527716770425
02-13,0.3713043329063371,-0.8355966216864488,-1.273961275968094
02-14,-0.1770068518592788,-0.8073150518693034,-3.4203770796529605
02-15,0.2373962490893909,-0.2226049106235824,-3.211792883337823
02-16,-0.10834350710480058,-0.035466197949295585,-2.171351544165545
02-17,-0.2209404061561309,-0.5280417709892922,-1.0070530621361218
02-18,0.04560555193539465,0.12209694168499834,0.5106739913218726
02-19,-0.3279913471159362,-0.2230500599264293,-1.6700275266487066
02-20,-0.260302531881553,-0.5120542043950006,-2.8113004731907156
02-21,-0.0447565737900284,-0.508915491720708,-2.591001991161291
02-22,0.08478938430149834,-1.2432053504749934,-1.4118463662747283
02-23,0.42304962810730995,-0.5483523520864181,-2.054547884245306
02-24,0.08702415762740971,-0.8803564965549845,-1.9133922593587427
02-25,0.14299868714750552,-0.5490749267378444,-3.3566652059007502
02-26,0.5469732166675974,-1.6492219283492646,-0.24808100958561244
02-27,0.1293763176162709,-1.7263689299606906,-4.333496813270477
02-28,0.7226365614220821,-0.4778016458578312,-4.578055474098199
03-01,-0.026355370011261186,-0.17901105609293122,-1.388773752305269
03-02,0.2091905880802624,-0.2954437719900694,-4.6307609845615625
03-03,0.1425936890289308,-0.9135907736014965,-3.101605359674999
03-04,0.6311396471204596,-1.403023489498637,-5.429306877645577
03-05,1.117685605211984,-0.8155990625386321,-0.2304369670447277
03-06,-0.42019700812506144,-0.32960320700720364,1.3918615149846947
03-07,0.38292037853788985,0.19110693423851494,-1.2146971458430247
03-08,0.49718062234370314,0.021388504055660666,-1.9119700923850318
03-09,0.44986943757808756,-0.4411870689843374,-2.8169573246413244
03-10,0.9315582528124674,-1.0010483563100454,-1.891944556897617
03-11,0.33767563947542156,-0.869481072207185,-3.208788932011053
03-12,0.20979302613837728,-0.24134235953289515,-5.777776164267343
03-13,0.3404818413727604,-0.46348936114432504,-3.904049110809351
03-14,-0.09082934339285854,-0.08792207704146238,-5.981607771637074
03-15,0.6002880432700968,-0.04749765008146234,-6.201595003893366
03-16,0.2696911442187667,-1.249787508835743,-5.273296521863945
03-17,0.15880853088171903,-0.32864879616145515,-5.387998039834523
03-18,-0.15478836816960775,-0.7492243692014541,-7.764128129233673
03-19,-0.08524241007808397,-0.2933713708128757,-7.513258218632822
03-20,0.2837321194420129,-1.0556612295671601,-7.041102593746258
03-21,-0.12386477960931831,-0.1273796597500151,-5.8430898260025526
03-22,-0.9061759643749351,0.021759052924273905,-6.431791343973131
03-23,-0.5262014348548375,0.4204691941699948,-5.501635719086565
03-24,0.11020166609383024,-0.988963521727154,-4.561337237057147
