month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.4290590979876016,-0.5562076242426344,1.5385372852719952,1.856344473948094,2.858246869567097,1.1281888601078605,0.8933099657604483,4.353710664994649,0.653530516806607,0.7152742625417666
01-02,-0.44344727618570906,-0.5602702512978099,1.5446399327754827,1.8578992517173194,2.8530944163000456,1.1318939488693793,0.8885685337837226,4.298303089179895,0.6532478025060633,0.7241518578260644
01-03,-0.4679835408160507,-0.5752225391383199,1.5342800492110287,1.8648205622005813,2.8416422519237354,1.1416534354215426,0.8771933854168228,4.300214072743394,0.6543552919445276,0.7557620086132445
01-04,-0.4867389646725829,-0.5952524559470836,1.5114757212021301,1.8736770374379408,2.8302297534025764,1.149920165355158,0.8837747248498472,4.235367219185766,0.6685901997136715,0.7373351982355004
01-05,-0.5020522506322896,-0.617879942200292,1.4679373158122795,1.8920042799404022,2.8232327894528826,1.1563803551114766,0.8971771944915985,4.155181954600452,0.6754979024545499,0.7153462043981291
01-06,-0.5148671598318167,-0.6296034924277385,1.449516671913733,1.904969431475901,2.8218678607449625,1.1613891306679427,0.9287854730739477,4.125942698930746,0.6833074981457404,0.6996100709187548
01-07,-0.5150441200744765,-0.6305335555242959,1.4400711343311283,1.914126186034846,2.8227367740780847,1.155580201425975,0.9417212741809544,4.123109672511674,0.6808785736803121,0.695384754535263
01-08,-0.5049670586675492,-0.6300670883213456,1.4253093871748181,1.9163486875596998,2.8222989856056593,1.148957912059992,0.9624293231435053,4.159320109734723,0.6697616443088844,0.7028450264558079
01-09,-0.49100760259516213,-0.6351267594696811,1.3909839602067073,1.9208171313442826,2.8225308031474605,1.1395605741534816,0.9885975304110204,4.197912833394916,0.6602217785523117,0.7056258663471697
01-10,-0.4774545415398547,-0.6402773507153342,1.3407500617601282,1.9239834281656194,2.8285528824477204,1.1255070392669648,1.0206350471273924,4.256553481626089,0.6652174052266041,0.7148834369878775
01-11,-0.46205410566035726,-0.6431705981694157,1.3088590807239704,1.9262232956080139,2.8408239798423094,1.113449929491201,1.0364280209052694,4.346165657293798,0.6571476790145153,0.7258619856741151
01-12,-0.4456707790836538,-0.6453689522287513,1.2969056103522019,1.9292296446830128,2.8563780515418666,1.1075296026273964,1.0410106950976898,4.434409320119613,0.646460204286983,0.7411859905159055
01-13,-0.4312858614129193,-0.6501148732108012,1.3051800276289498,1.9315930505896202,2.867993823997766,1.1173305717877469,1.0464297218938716,4.493905080312449,0.6527476396016401,0.7462492665437039
01-14,-0.4232834171609943,-0.6600745983770181,1.3014155753071817,1.9335924272390699,2.8766240294786876,1.1257425249592221,1.0543527731467277,4.497147334672809,0.6546481135216186,0.7414378390923513
01-15,-0.40926407107006474,-0.6692129086932502,1.2922554840840468,1.9325375250165908,2.8829434073093196,1.1294476045152608,1.0639288989337836,4.504458119161765,0.6544994164918779,0.7225484340714393
01-16,-0.39766145389045654,-0.6783667201401168,1.3061004664399314,1.9330006101013897,2.8923724271960842,1.132365962132513,1.0748346922463896,4.4853205689566416,0.6581210373326746,0.7020223732044362
01-17,-0.3895621372941116,-0.6835547334660544,1.3440996173369129,1.931017392151331,2.894887418102877,1.1504784655624285,1.084958036485889,4.493827952058616,0.6833413075432746,0.6878986068666803
01-18,-0.3895173827236272,-0.6861633259531988,1.4017575199833623,1.9357803872244617,2.897559439212444,1.1419015582277443,1.090738978625049,4.4585229281977945,0.705001414944911,0.682222544009626
01-19,-0.39040873926425385,-0.6965712239958991,1.428125839296479,1.9470436739704502,2.8970807100985048,1.1497824060273485,1.104610848028272,4.445862638957948,0.7302476885954945,0.676407998601312
01-20,-0.38183620691599157,-0.7020659275941549,1.4462271447207062,1.9626983912123401,2.906107997169089,1.1541859910232581,1.1148134626882895,4.421047393110012,0.7498510529491897,0.6692954981911623
01-21,-0.36821298012328496,-0.7106078534146327,1.4466756723671559,1.9729448754751049,2.9148963085534647,1.1622385250598943,1.119709895810242,4.474769961104347,0.7460995040108117,0.6615837133954358
