month_day,east,north,up,east_sd,north_sd,up_sd
01-01,-0.024598625056277263,-0.19287472210707932,3.2442730975086413,1.2939138417497895,1.2193623895471841,2.976959049788847
01-02,-0.12649767325655578,-0.4783461002945819,3.319610600241582,1.3839925006442593,1.0731968014920266,3.3621182429090175
01-03,-0.0019509255958798748,-0.24845941488009984,3.1797269439295044,1.2227406200710997,1.3061308343637634,2.9198663744237274
01-04,0.01897474393704542,-0.25399828694087373,3.09312199902714,1.2114388940452194,1.3679995220321448,3.080061445666177
01-05,0.012739302358859969,-0.2031038256683141,3.1254003874581096,1.2470573224114068,1.4442054760575065,3.136738034076583
01-06,0.004620527447341279,-0.18783158661797617,3.093623220333523,1.315335133544172,1.5103786536984052,3.2879286033966757
01-07,0.007840641424711303,-0.16896490312319393,2.9929516087644927,1.3293919780055246,1.5440807925537787,3.3596565001075582
01-08,0.013927422068747716,-0.16389821962841203,2.9515966638621283,1.3399823172649858,1.5498302279379221,3.520472006829309
01-09,0.03563086937945087,-0.2294926472447405,2.7454139411819862,1.3308625716050528,1.5987237995440353,3.709581018337321
01-10,0.05081765002348826,-0.26218707486106924,2.5498256629462888,1.3239730883667626,1.6152841036057906,3.8120416167305686
01-11,0.08590443066752489,-0.30374261358850957,2.5742484958217027,1.2889746609707786,1.5891809399488472,3.870531443263283
01-12,0.11688565575600646,-0.337937041204839,2.581365773141561,1.2755935537383543,1.5857499038948613,3.9025850961473165
01-13,0.1912724364000432,-0.3624314688211682,2.56719416157253,1.313761274041698,1.5820835407330138,3.8750620171357575
01-14,0.23789255037741341,-0.34008700754860827,2.5034614388923884,1.286075685899203,1.5620142094164835,3.96105519308583
01-15,0.3205237754658951,-0.3816425462760487,2.5535898273233575,1.2757952516249031,1.5771763952505586,3.9546094782461205
01-16,0.3304383338877098,-0.37076475167015555,2.5962848824209934,1.2818937615686874,1.6056885133941432,4.160854159228782
01-17,0.40901955897619097,-0.3852591792864845,2.574102159740851,1.2741411992647602,1.5980466035344036,4.245025611346776
01-18,0.47807856184244973,-0.42563138468059164,2.6170638815051537,1.2994130242425315,1.5873154714003443,4.254154243114183
01-19,0.557559786930931,-0.47194247896358776,2.6523311588250125,1.3482305523922096,1.5227463457355122,4.207348245537401
01-20,0.6100187897971905,-0.5214813510243608,2.6866928805893147,1.353258981289522,1.4800859342266084,4.261212287987507
01-21,0.6628277926634497,-0.5463146675295785,2.6296601579091727,1.3604423559270247,1.41911654833816,4.323102352511799
01-22,0.6750479066408203,-0.5987757618125746,2.7266329907845868,1.3660832756315144,1.413605344356726,4.334976059987422
01-23,0.7401124650626348,-0.6586924116511265,2.6737224903266665,1.3338163277165356,1.385816842426234,4.232115161105612
01-24,0.7859659123733387,-0.6459257281563445,2.675317545424303,1.3444060551899326,1.334695165737158,4.230762443323781
01-25,0.8414971374618196,-0.6626034891060064,2.531684822744161,1.3640470704348142,1.3273444667113832,4.156669199608605
01-26,0.8999728069947447,-0.6348923611667799,2.4099854333973525,1.3365885694965733,1.3515510690749044,4.088427653726402
01-27,0.917170698749893,-0.6156312332275532,2.390713821828322,1.3317249920874534,1.3208248266550506,4.026719770068689
01-28,0.9635297016161521,-0.5661867719549932,2.31073109914818,1.3258449114492359,1.333325607989778,3.8965928126204616
01-29,1.001288704482411,-0.5774978662379894,2.303009487579149,1.3461550533770115,1.2630008297486475,3.8532929817600294
01-30,1.0221088184597813,-0.5528311827432073,2.105848987121229,1.3792346218415301,1.2211255694132392,3.9098478965810375
01-31,1.0664622657704852,-0.510436721470647,1.9460551533299764,1.3690810354674716,1.1508974676473862,3.8882233024495862
02-01,1.0879601575256332,-0.48094781575364287,1.9966946528720566,1.417121811029706,1.198113233928206,3.7840349811757563
02-02,1.0835913826141146,-0.5039811322588611,1.8776730413030258,1.4086537345144599,1.2193027744349183,3.7438160727272787
02-03,1.034500385480374,-0.48827555987519017,1.8025625408451063,1.3811434539508705,1.2609946180950813,3.7202628602414376
02-04,1.0444538327910773,-0.488997765269297,1.5849075959427423,1.3812057978492802,1.3012805892085544,3.747760323770611
02-05,1.056618391212892,-0.4713199706634044,1.521347095484823,1.3793342026623387,1.3097905995316559,3.6167971732280813
02-06,1.0715329496347064,-0.4209977316130668,1.288664372804681,1.389289668395804,1.3421681761214879,3.4892583908484016
02-07,1.0842752858342986,-0.339597714784951,1.2294927612356503,1.4314530721084557,1.3488339585983076,3.487561318609112
02-08,1.147795399811669,-0.27163103129016936,1.2355044829999529,1.481372105711066,1.3301990785797948,3.4462945021635245
02-09,1.2104266249001503,-0.1897032366842769,1.237471760319811,1.483237359549311,1.3704737880867945,3.4015201470211225
02-10,1.2233245166552986,-0.16030321985616117,1.2061723709730026,1.5007947958450536,1.3997723288997674,3.4891869088058387
02-11,1.2722112972993351,-0.133742091916934,1.0686785371817495,1.504677809779196,1.432792948155115,3.6191989638496733
02-12,1.2726147446100387,-0.12596429731104128,1.0679902589460522,1.5230535304693138,1.4647092170373286,3.8008853611191173
02-13,1.28779596969852,-0.0904531693718152,1.1069575362659105,1.512980627205201,1.5216065751879349,3.7403757869863585
02-14,1.3003438614536673,-0.04118093032147772,1.1222137024746577,1.46578990885209,1.590890118779079,3.611121992952922
02-15,1.3154806420977037,-0.04165869127114021,1.0665698686834044,1.439102060562275,1.6463686761233376,3.566305577318204
02-16,1.3104118671861855,-0.01799756333191437,0.9811649237810404,1.3999215060126542,1.6439033056622927,3.591402266983332
02-17,1.379326425608,0.02694134238508954,0.9688766455453429,1.384085689586763,1.6267622570645017,3.674695950591397
02-18,1.5044909840298146,0.08581358143542721,0.883355033976312,1.3417448073398612,1.5842398078739688,3.723733575610991
02-19,1.5892610980071844,0.1499135982635422,0.8852889779628366,1.3127688863419424,1.5786223550955742,3.683917649654275
02-20,1.6717812119845548,0.20151361509165774,0.7539395886160282,1.2388293557214352,1.5901370194864364,3.6869229652451465
02-21,1.7305679926285915,0.18872474303088413,0.7408624214914417,1.1516292167105888,1.6400189393357298,3.8564266099781856
02-22,1.7489325510504061,0.15826364874788842,0.5733685877001885,1.058119412901808,1.6703851516213242,3.9824936261709665
02-23,1.6924082205833315,0.12184144335378148,0.34583030946449095,0.9805410542646195,1.668717242674151,3.903880755017023
02-24,1.6425744210814859,0.07408223329024846,0.18770926768967233,0.8848288842212888,1.5756708070510914,3.9647438767188525
02-25,1.5952483749373931,0.03445312090681396,0.05607742005404798,0.7873501752980293,1.5376778750269573,3.9665149159848148
02-26,1.5684695204904928,0.024558852845723445,-0.05991932379647267,0.7156761193434565,1.4885735238165219,3.8838880227341948
02-27,1.5464123443652706,-0.041189047693999246,-0.2541375517184776,0.6529140738313506,1.4483654778164006,3.7755751232336046
02-28,1.5355094611693412,-0.12476055934483261,-0.4967709311556338,0.5994353517301483,1.4065184154225965,3.760559758347168
03-01,1.5160440577806307,-0.1503793269067087,-0.7868225664423126,0.5517769034569385,1.3612835390637656,3.905838624574941
03-02,1.511565686909516,-0.216947491896775,-0.9834068042739694,0.5145199511267968,1.2772554713771676,3.910854962744445
03-03,1.4854812554323409,-0.28187323264441677,-1.1685849814995661,0.5280616388489309,1.272659478996699,3.8670514751057645
03-04,1.4567847027430434,-0.37522321581630097,-1.3001449769069806,0.48364103609332054,1.2032704170418276,3.7776594118637177
03-05,1.3881366349022322,-0.46013683535182204,-1.4842504268598498,0.4506726304972523,1.1981011604303387,3.720662675015258
03-06,1.3109006882735414,-0.5466140912509796,-1.7272407252975677,0.40821841471891157,1.200907039635011,3.7509198308522333
03-07,1.2293071658872754,-0.6551943774531671,-1.6903946600989215,0.44924392168872807,1.1531859607932662,3.729691220661948
03-08,1.2060712192585856,-0.6877807242614152,-1.807463746415427,0.513403064349028,1.1188762383184432,3.6188735591195824
03-09,1.2635989089935313,-0.7051004044029966,-1.7141570751561752,0.5142198550245,1.1381430693451706,3.58878150203721
03-10,1.2939993260012042,-0.7623170542415473,-1.8575049493514684,0.5114838519700825,1.1307562048359665,3.5070451392020585
03-11,1.2997209551300895,-0.7794488555952493,-1.988216459910398,0.5395146026430566,1.1735794343243977,3.330975172517616
03-12,1.3104728872892772,-0.7873564145247102,-2.1036734250147826,0.5739443413920589,1.2445291970715984,3.274295449186145
03-13,1.325849061872708,-0.8211548825450797,-2.137009177997955,0.6199126080854582,1.2528676905696494,3.2521753833868368
03-14,1.3445767516076539,-0.8305109263230246,-2.1918722037083995,0.641277195071501,1.2394144724422316,3.1676223807825363
03-15,1.3525953504335086,-0.8042912125252122,-2.277250380933996,0.7124607536356593,1.2437631312214474,3.053158660573666
03-16,1.3579351613805757,-0.8468714987274009,-2.240422497553532,0.724188909737071,1.2677721527143173,2.9541371195228048
03-17,1.3356083056609758,-0.8154154212932252,-2.236230977809431,0.7325865763628391,1.2649646030142139,2.9031322122685213
03-18,1.3252026620625885,-0.8272260105257158,-2.3210212762471487,0.7646551946370008,1.2498568394903002,2.8984709226236087
03-19,1.280675806342989,-0.8377093270309337,-2.3982236958969874,0.8402365238593797,1.2408419984815287,2.9280808345465714
03-20,1.2555974354718744,-0.7622532495967582,-2.476323085243796,0.8980376881536447,1.157163670218774,2.9109738613966436
03-21,1.2021190646007596,-0.691548687314097,-2.5647739897421196,0.9312334989094202,1.0611021543864807,2.8098989472724574
03-22,1.1149558452447963,-0.6725229129102238,-2.710030954846504,0.9397339107176065,1.0768010249523017,2.840399650258637
03-23,1.0369441410403484,-0.6559395627487755,-2.870300041163009,0.9224076678995938,1.069042125715487,2.9047208802481825
03-24,0.9394718307752943,-0.6549319701630848,-3.0228479153583026,0.8978257577110831,1.0564981082593683,2.8622014133950193
03-25,0.8509510356617557,-0.6193971048501209,-2.967171547129354,0.8431923228648659,1.0546293409635734,2.845400078682817
03-26,0.8479272102451865,-0.5677713304462481,-2.9943800273852528,0.8107600876526698,1.091310619899308,3.0276870741249255
