month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.2629680837014997,-0.4045712869594723,2.198452227626378,2.0725684032204352,2.845034341495098,1.085289010482288,1.4140905245890758,2.936819966142636,0.7503830989702314,0.5310560089191788
01-02,0.24920345309021105,-0.40888515659099617,2.1689402699543896,2.0725370118092896,2.8479564959993002,1.0966380107720373,1.4124707203996616,2.9608933419858716,0.7557084847894682,0.5133682660103052
01-03,0.23100550499894687,-0.42211491605606427,2.109522415216474,2.0746485284348832,2.853035246761234,1.1163680572687456,1.4018750079634579,2.9955375768435175,0.7380922511470206,0.5027061110836328
01-04,0.2210732134733393,-0.4353022512787083,2.055722742296741,2.074595718546414,2.847285903430945,1.1253951124724682,1.3823197279543098,3.006273291055453,0.7279645482659584,0.4814874934237034
01-05,0.22558637649318633,-0.44958453599630194,2.00745135220529,2.0870313236182656,2.8437258509762593,1.1319483401936332,1.3692681900356725,3.0080423461652157,0.7252971598820501,0.46045373423531577
01-06,0.23597226678576064,-0.44729005303712777,1.9495900631239398,2.104710599868003,2.844264317884692,1.1643711781679729,1.3898736916744747,2.9905048854617027,0.732874471939939,0.4517471448418323
01-07,0.25813290455308247,-0.44206728724967087,1.9231600871739032,2.131485679706891,2.8575199396307642,1.15971226030282,1.4057958224516374,3.098845544812696,0.7335416611218647,0.4759185849438671
01-08,0.2850955625224245,-0.4382889659066585,1.926711929405685,2.157375511609912,2.8806458206953955,1.1421930241364395,1.4148433729536771,3.1380476997327875,0.7280633247389231,0.48252836244231656
01-09,0.32204710938065545,-0.45090357385657537,1.9521829635566583,2.185046067513228,2.903534844927447,1.133791139386728,1.4387044669221294,3.2242241317729565,0.7232268768783284,0.5000123084410555
01-10,0.3572819895722197,-0.46676666665497696,1.964112078515713,2.207725850509902,2.916421656710984,1.1276507140003644,1.4539318129948124,3.2465979113511656,0.7232427538843254,0.5127974040608689
01-11,0.39822091016782446,-0.4827701634937824,1.9500432136767873,2.2316467391131103,2.9145065363050375,1.1337919561934235,1.4749273569888344,3.1691594562143366,0.7223218876238912,0.4980798347001529
01-12,0.43508508328868184,-0.48915042800935543,1.9568309144944271,2.252385971188278,2.907912550561963,1.1616999971584658,1.4875539089271426,3.1609612586116156,0.7292928265519932,0.5134957785197972
01-13,0.4667517816620646,-0.49366806626230236,1.943854473897926,2.2770243944948114,2.9026146715290633,1.1858423287065438,1.4879275046741298,3.1346549356007216,0.7236233279214425,0.5190263088755701
01-14,0.4846689850859523,-0.4973382297677746,1.9352770232004144,2.29184756550233,2.8971217674933443,1.2047193796019495,1.4857845253942144,3.1606725238900393,0.7132981401359748,0.5072752394603968
01-15,0.4996124511361027,-0.5201366761015297,1.888506643209974,2.30590604822954,2.8897835341883944,1.2058026062666838,1.4875308753154872,3.207579282315177,0.7131032461110013,0.5210952564987253
01-16,0.5167650080953439,-0.5446947183948808,1.8232211117043817,2.3154720816742866,2.8784753462820114,1.2139084236822792,1.4855829866530883,3.215443374533494,0.7148384843290558,0.49968753265909854
01-17,0.5419125145495346,-0.572144679880151,1.7120052771684866,2.327875498180768,2.8632050304014,1.2166561012090227,1.4770267231462417,3.3179400326687882,0.7282372013379365,0.4976537440261315
01-18,0.5723913341350385,-0.5836431262139059,1.6059550991982479,2.3392772850674906,2.8469899281751303,1.2431593961316223,1.476505431069059,3.339481365284615,0.7271479520505152,0.48266149239819944
01-19,0.5996499517003405,-0.5915062190123073,1.5409140121371,2.3460404712080862,2.8383826024899546,1.233739709440751,1.4843857882680769,3.3533722539945545,0.7295586391436186,0.4684112015030152
01-20,0.6376075591646323,-0.5846784027197997,1.5087820159850434,2.3503411703044375,2.834931461844537,1.22063020599909,1.4739345724164636,3.3702991978649237,0.7338263439852153,0.46108801821652357
01-21,0.6743823383460957,-0.574490990467696,1.4793783026612697,2.3512701585611815,2.834210298880933,1.2243741568944326,1.4737821420777333,3.3229213071507733,0.7296459233862953,0.45414751961812005
01-22,0.7216247942952362,-0.5678460024580166,1.4269947913576975,2.3614094505327694,2.835316561639194,1.2433202508521095,1.4473765615346765,3.3658823063453136,0.734724206876011,0.4609772971009374
01-23,0.7549379573150837,-0.5592151558624787,1.3702900679329133,2.368346025579775,2.834598655084515,1.2809087689133236,1.4431439922775604,3.4304441166318167,0.767827577168229,0.47358959661432676
