month_day,east,north,up,east_sd,north_sd,up_sd
01-01,0.1362666873774576,0.14462527462859986,2.189538069401763,0.8861548317290012,1.2577981797597684,6.815081224299636
01-02,-0.16292751689955123,-0.006246719966044589,1.81591855625037,0.6598821943323581,1.485882470310524,7.732427393993406
01-03,0.16973925970520892,0.11031523208028511,2.269231556466177,0.822200039905472,1.3968017998362008,6.8193177838943155
01-04,0.204722991511543,0.11295175538601013,2.3107046205029853,0.8065456028196575,1.4659348737221882,6.713747339843741
01-05,0.22211505665121084,0.1176341120250688,2.2432401845397933,0.7895733374332421,1.4989931532488616,6.671130381242963
01-06,0.22284878845754524,0.10261646866412691,2.026200748576601,0.8083305668834372,1.520973434831669,6.575646519325871
01-07,0.2519908535972122,0.0781946586365192,1.919069645946743,0.8184616626458581,1.5710127960967841,6.499002149572112
01-08,0.3033287520702135,0.05656034860891052,1.894413543316884,0.8050385560914165,1.5764398581799377,6.4187693639995365
01-09,0.3477083172098807,0.027859371914635785,1.951674107353692,0.7715704816296542,1.606334160467357,6.409905262809335
01-10,0.34857538234954843,-0.016129104779638963,1.917213838057167,0.7491943146925709,1.6039169859350462,6.377657575017684
01-11,0.3962882808225494,-0.0884675814739144,2.0092535687606414,0.756239176558965,1.6170382628976108,6.288020321689437
01-12,0.47012617929554973,-0.07561022483485584,2.007580799464116,0.7954088258703551,1.6323213905324645,6.1092902267476585
01-13,0.5588474111018839,-0.11340703486246463,1.9796496968342576,0.8427453320807116,1.6435119102028697,6.026738878193219
01-14,0.6506019762415517,-0.12753301155673966,2.0446435942043992,0.8619377630426213,1.6317201693581733,5.863620833245928
01-15,0.7100482080478857,-0.15069648825101428,2.012529158241207,0.8753609954800332,1.6496696998807654,5.70693050338362
01-16,0.6914736065208867,-0.17471829827862292,1.9425438889446818,0.8218395348201263,1.6528024952397284,5.666217688589667
01-17,0.7087240049938878,-0.23922760830623171,1.9223211196481564,0.8093731488232917,1.6368117972647969,5.591385009396002
01-18,0.7583910701335551,-0.26469525166717295,1.9833733503516313,0.7948884430710967,1.6750460244638048,5.497570386809447
01-19,0.801991468606556,-0.2866545616947818,1.936963081055106,0.8121884802290307,1.6304811141752011,5.69857453152107
01-20,0.8284460337462232,-0.3249722050557233,2.033173645091914,0.8179203564787775,1.610384681098383,5.747637755663187
01-21,0.8553005988858908,-0.33303568174999854,2.0671008757953886,0.8507953064823446,1.6052545669733467,5.768306487129286
01-22,0.8493718306922252,-0.33717832511094037,2.0805947731655303,0.8605512113208245,1.569018597170266,5.873358678721911
01-23,0.904580562498559,-0.3783168018052152,2.062522003869005,0.8651705817246584,1.5662342138090337,5.925160612544342
01-24,0.9235767943048936,-0.3952052784994905,1.965082567905813,0.9030301816979976,1.5664512172523957,5.960694369269213
01-25,0.9397438594445611,-0.42559375519376613,1.8506597986092876,0.883146951081126,1.5864318152712833,5.979605095069709
01-26,0.9779650912508951,-0.43853223188804114,1.7356661959794293,0.8453888370059408,1.5561904912067621,6.037185067104728
01-27,1.0143821563905633,-0.49953320858231637,1.7379767600162372,0.8242636740063106,1.5392206624138713,6.2202498236726
01-28,1.072878388196897,-0.4926550186099245,1.781941490719712,0.8256024645498433,1.4882316053061089,6.339903144069926
01-29,1.0603246200032312,-0.5221101619708662,1.6107395547565198,0.8185671991053336,1.468810574997595,6.461159216884614
01-30,1.0748458518095654,-0.517669471998475,1.5155376187933278,0.8215229717124355,1.4652509544622028,6.598600628109539
01-31,1.1012712502825661,-0.5013287820260831,1.5462565161634692,0.8393213707663749,1.4163905938213517,6.709791299108695
02-01,1.1414299820889005,-0.4943839253870245,1.4308629135336106,0.8683146527843689,1.3585351534610879,7.022425129908687
02-02,1.1519928805619013,-0.5108849020812999,1.3219276442370853,0.8491670355327028,1.3298358708769724,7.189736843379009
02-03,1.1283557790349024,-0.5106650454422414,1.2416965416072268,0.8378774456766048,1.2982827623426192,7.146887778970419
02-04,1.1638145108412365,-0.5044076888031834,1.129594605644035,0.8508371400947132,1.2827031267258628,7.203197557586504
02-05,1.1815190759809038,-0.5026878321641249,1.0464051696808427,0.8530017550357388,1.2380492324051486,7.329269751679263
02-06,1.217006974453905,-0.5137804755250671,1.027399067050984,0.8941285699852405,1.2236161970160906,7.3739143125622615
02-07,1.1861490395935728,-0.5076689522193424,0.9444304644211254,0.8884280480775135,1.1855300761479652,7.3975334703217905
02-08,1.2054994380665733,-0.49123242891361724,0.780974361791267,0.8762704630469482,1.206300376876641,7.566242940333035
02-09,1.2204165032062413,-0.4475084056078919,0.8865224258280751,0.9064553975841052,1.199637487944447,7.640012770047525
02-10,1.1679419016792423,-0.4457552156355004,0.8871579898648829,0.9274483548127012,1.229748878627896,7.7721069801739615
02-11,1.1511964668189094,-0.4430145256631086,0.8173810539016908,0.9388932691197832,1.2736114266340965,7.739294065962343
02-12,1.0489260319585774,-0.4703946690240505,0.8466416179384988,0.9975374136088156,1.3172908419107756,7.6288127990421595
02-13,0.9793972637649113,-0.48963314571832534,0.8876188486419736,1.0634634480354672,1.3458848138988626,7.614201664833054
02-14,0.9279434955712458,-0.4666799557459333,0.9730669126787815,1.1536120791853257,1.2950230572389851,7.603059053886412
02-15,0.8832147273775799,-0.48103926577354184,0.941156643382256,1.2361667062638033,1.2829388829617607,7.635017177125305
02-16,0.825548459183914,-0.4653527424678167,1.0280297074190645,1.3156406180280251,1.2886693308895059,7.565784857529424
02-17,0.7829655243235815,-0.4643745524954252,1.0112236047892056,1.4660150563258476,1.2685430828479205,7.514061654300096
02-18,0.7968159227965821,-0.4327296958563671,1.0785883354926806,1.595528789968838,1.2662206904615994,7.569670663595205
02-19,0.7983038212695833,-0.38835567255064257,1.089515566196155,1.6948384068608962,1.205956004435725,7.466726711340148
02-20,0.807908386409251,-0.3660316492449181,0.9845052968996302,1.7918335485415815,1.178161204639053,7.423747767986381
02-21,0.8021796182155847,-0.36360762593919244,0.8801783609364382,1.8848197450397537,1.170019966939913,7.363097917067556
02-22,0.8017716833552522,-0.36317526930013394,0.8897889249732461,1.9827215501163824,1.173424775976711,7.446269588393418
02-23,0.792284581828253,-0.3809054126610761,0.8140119890100541,2.031214789177233,1.1546711443006463,7.303129131190114
02-24,0.7849101724620676,-0.39025710288127446,0.6174164193492832,2.117787035264866,1.1428504177962395,7.2584350946923415
02-25,0.8124630982607176,-0.3697718883395676,0.5010922324723951,2.116824977984743,1.1197289483091075,7.1372594727020635
02-26,0.8352939430154115,-0.33073533451214676,0.4269697740753608,2.055048248176798,1.1060403432635566,7.157337449671761
02-27,0.9221936543202222,-0.32805616704836227,0.24506845495571533,1.9024162493346342,1.0868812762307651,7.240028400912736
02-28,1.000478308806851,-0.29669868519063874,0.18844545023000964,1.7804704015081319,1.0876288590523195,7.205946765264294
03-01,1.0002392730717233,-0.2946951089309889,0.35727893308531583,1.6282306869591294,1.1311752648212157,7.2172510553672105
03-02,1.0637632826558354,-0.25981830784748655,0.20432283045545688,1.4779143508938875,1.1378644328753789,7.063623444435181
03-03,1.1279450700177247,-0.2900259512084279,0.0934245056033761,1.3219122369064464,1.1264136839803844,7.08193009769393
03-04,1.1827090796018367,-0.31577137234714786,0.030237291862406406,1.1632009224820563,1.1351916200067866,7.0892874219607185
03-05,1.2218419780748377,-0.34182346015253445,-0.15232325521189646,1.083057952594783,1.1748446067246365,7.031113350841435
03-06,1.2260859876589492,-0.3746088812912537,-0.32584824673064394,0.9863520731995853,1.2266380879132974,7.181017682826037
03-07,1.2297122194652836,-0.3942965246521958,-0.34866212713828054,0.9072677528508887,1.2477901500870276,7.1639989242555355
03-08,1.2865962290493962,-0.4081930569020264,-0.35078711865702794,0.8622910320936767,1.2955051828943358,7.069826888700698
03-09,1.3581157941890634,-0.4237162558185234,-0.46496988795355326,0.8251774720833739,1.28076782757619,6.906237934518436
03-10,1.376750914884287,-0.4253550102905771,-0.4808326572500786,0.7885956959484691,1.2230737246525947,6.793041555936429
03-11,1.4200838133572873,-0.4271582092070742,-0.4684776487688256,0.7361210730777612,1.1925056417438193,6.611448374265586
03-12,1.4468300451636218,-0.4028147414569051,-0.5013004180653513,0.7334307400422104,1.2107587570333922,6.440817248040057
03-13,1.451945165858845,-0.42611571815118027,-0.5669098540285432,0.7090945666339408,1.245245929775053,6.350309281965174
03-14,1.472131397665179,-0.43075002817878877,-0.7135015122139575,0.6811250517970875,1.2294959081650165,6.306081513888376
03-15,1.4697131850270688,-0.4413176715397308,-0.8405020592882604,0.66571932466894,1.200954764074616,6.337513891931348
03-16,1.4487571946111808,-0.4479430926784502,-0.9683114952514522,0.628564418859135,1.2009359816371916,6.47205128609469
03-17,1.4239300930841816,-0.4747418471505034,-1.131103153436866,0.5912696347951308,1.168772878507394,6.639422861919743
03-18,1.4101518804460718,-0.47666504606700083,-1.3283348116222806,0.5520333487905321,1.1854566890122002,6.674082176870259
03-19,1.409840334474628,-0.462877133872386,-1.4260109142521393,0.5852480520212114,1.178540185930002,6.623861681851416
03-20,1.4065865662809622,-0.4431736661222169,-1.533415905770887,0.5682120487945794,1.186237264583391,6.637860399072224
03-21,1.3837505758650743,-0.41903019837204725,-1.651709786178523,0.5900308984788607,1.1656931890010211,6.573442785785565
03-22,1.335883474338075,-0.38878450839965545,-1.873385888808382,0.5885522571276487,1.2033769887293808,6.486481335499292
03-23,1.2937719283666318,-0.33831659620504184,-2.0272797692160185,0.6145743806190893,1.231162176609074,6.471789110190388
03-24,1.2464114935062993,-0.326719795121539,-2.1738136496236544,0.5832637021973847,1.263721982304033,6.582680827354858
03-25,1.2138821697570774,-0.2860741051491471,-2.315827530031291,0.5640253579065295,1.2635346634162081,6.6646051325516025
03-26,1.2191795126745228,-0.2357128596212001,-2.429392521550039,0.5500007958715022,1.2428412069813648,6.777143038647305
03-27,1.2117035222586345,-0.2083871696488081,-2.519464179735453,0.5981424939495457,1.2096710615959674,6.805393511050741
03-28,1.2103564207316357,-0.15928370189863872,-2.6456958379208673,0.6302536341077689,1.1951713452851727,6.745638097321047
03-29,1.1961382080935257,-0.08688690081513574,-2.7021986072173925,0.6724523337624816,1.1913020885000616,6.835933699048676
03-30,1.2093155510109705,-0.048490099731632964,-2.784128043180585,0.6612342076932789,1.1837752705457711,6.7715247504178695
03-31,1.2222217828173048,-0.014706631981464203,-2.7234619235882205,0.6832067516036175,1.184868687748745,6.718908263335395
04-01,1.2145191257347503,0.030659057990927562,-2.7506669151069687,0.6922623561372057,1.1914236445088227,6.600494480513347
04-02,1.217309801985529,0.11298919240776299,-2.7297119066257163,0.7020545780244973,1.1343853447939203,6.530706005234559
04-03,1.2055760337918635,0.17541710460237686,-2.777561342588908,0.7377398364613957,1.1036115874466703,6.629908180638793
04-04,1.204228932264864,0.2283872390192134,-2.8348774452187664,0.7804407873297499,1.0778727816803055,6.790534103474102
04-05,1.190699608515643,0.24337515121382713,-2.876055770070847,0.7737858854529569,1.0685637496504727,6.785711978268677
04-06,1.224983618099755,0.2395586189639967,-2.7858652060340394,0.7776534433300121,1.0654843723143967,6.8912919208852985
04-07,1.2400231832394217,0.25513764226972163,-2.842314641997231,0.773716910279786,1.05850002704496,6.935546789664463
04-08,1.2362271928235338,0.30508555446433516,-2.8712929668493117,0.8029877893516255,1.0803975297544088,6.942041913837029
04-09,1.2149423135187571,0.31445568888117165,-2.926884625034726,0.8367621153374197,1.0750334325753697,6.951614639042668
04-10,1.200826323102869,0.32900804552022955,-2.97995628322014,0.8656036051727941,1.1166933093435307,7.048999281118018
04-11,1.2210436660203143,0.31340484660373197,-3.0025790525166656,0.8983525658803744,1.1619842997961234,7.189675807173773
